LineDuel_DeckSelect_Title_Text#0,"""덱 선택"""
LineDuel_SlashNum#0,"""$(0)/$(1)"""
DeckEdit_GuideText#0,"""카드 추가: <%Decide>\u3000선택 중인 카드 제거: <%Function>\u3000모든 카드 제외: <%Exception2>\u3000덱 리스트 정렬: <%Exception>\u3000조각 윈도우 전환: <%ChangeCtrlWindowForward>\u3000편집 완료: <%Cancel>"""
DeckEdit_GuideText_DeckList#0,"""선택 중인 카드 제거: <%Decide>\u3000모든 카드 제외: <%Exception2>\u3000덱 리스트 정렬: <%Exception>\u3000조각 윈도우 전환: <%ChangeCtrlWindowForward>\u3000\u3000편집 완료: <%Cancel>"""
DeckEdit_Save_Message#0,"""덱을 저장했습니다."""
DeckEdit_Save_Error_Message#0,"""카드 수가 덱에 필요한 수에 미치지 못해 취소되었습니다."""
InvitationList_EmptyText#0,"""프리 배틀 신청이 없습니다."""
DeckEdit_SortDefault#0,"""표준 정렬"""
DeckEdit_SortCost#0,"""코스트"""
DeckEdit_SortNormal#0,"""노말 카드만"""
DeckEdit_SortRare#0,"""반짝 카드만"""
DeckEdit_HintTextUsing#0,"""덱 안"""
DeckEdit_EmptyText#0,"""카드가 없습니다"""
DeckEdit_ReturnConfirmMessage#0,"""변경 사항을 삭제합니다.<br>괜찮으시겠습니까?"""
DeckEdit_ResetConfirmMessage#0,"""덱 리스트에서 모든 카드를 제거합니다.<br>괜찮으시겠습니까?"""
PenaltyMessage#0,"""지난번 다른 플레이어와의 대전 중 장시간 조작이 이루어지지 않아 한동안 플레이 할 수 없습니다."""
LineDuel_ReplayPopup#0,"""자기 시점으로 리플레이 보기"""
LineDuel_ReplayPopupR#0,"""상대 시점으로 리플레이 보기"""
LineDuel_ReplayErrorToast#0,"""리플레이를 재생할 수 없습니다."""
LineDuel_ReplayGuide#0,"""보고 싶은 배틀을 선택하면 관전할 수 있습니다."""
LineDuel_WatchStartPopup#0,"""관전 시작"""
