line01#0,"""4択クイズ、開始！<br>（全2問）"""
quize16_select2#0,"""フェルーサ岩稜：第２"""
quize16_select3#0,"""デクストベース：第１"""
quize16_select4#0,"""デクストベース：第２"""
quize16_correct#0,"""<red>アルテラベース<c>でした！<br>正解おめでとうございます！<br>正解数+１です！"""
quize16_incorrect#0,"""<red>アルテラベース<c>でした！<br>く～ぅ、残念！！"""
quize17_select1#0,"""デクストベース：第１"""
quize17_select2#0,"""フェルーサ岩稜：第２"""
quize17_select3#0,"""アルテラベース"""
quize17_select4#0,"""デクストベース：第２"""
quize17_correct#0,"""<red>アルテラベース<c>でした！<br>正解おめでとうございます！<br>正解数+１です！"""
quize17_incorrect#0,"""<red>アルテラベース<c>でした！<br>く～ぅ、残念！！"""
quize18_select1#0,"""ドライゼンプラント：第２"""
quize18_select2#0,"""ドライゼンプラント：第１"""
quize18_select3#0,"""フェルーサ岩稜：第１"""
quize18_select4#0,"""ノイゼンプラント"""
quize18_correct#0,"""<red>ドライゼンプラント：第２<c>でした！<br>正解おめでとうございます！<br>正解数+１です！"""
quize18_incorrect#0,"""<red>ドライゼンプラント：第２<c>でした！<br>く～ぅ、残念！！"""
quize19_select1#0,"""フェルーサ岩稜：第１"""
quize19_select2#0,"""ドライゼンプラント：第１"""
quize19_select3#0,"""フェルーサ岩稜：第２"""
quize19_select4#0,"""ノイゼンプラント"""
quize19_correct#0,"""<red>フェルーサ岩稜：第１<c>でした！<br>正解おめでとうございます！<br>正解数+１です！"""
quize19_incorrect#0,"""<red>フェルーサ岩稜：第１<c>でした！<br>く～ぅ、残念！！"""
quize20_select1#0,"""フェルーサ岩稜：第１"""
quize20_select2#0,"""ドライゼンプラント：第１"""
quize20_select3#0,"""フェルーサ岩稜：第２"""
quize20_select4#0,"""ノイゼンプラント"""
quize20_correct#0,"""<red>フェルーサ岩稜：第１<c>でした！<br>正解おめでとうございます！<br>正解数+１です！"""
quize20_incorrect#0,"""<red>フェルーサ岩稜：第１<c>でした！<br>く～ぅ、残念！！"""
