st_057120_0010#0,"""Esto es aburdo! Incluso tus poderes no están teniendo ningún efecto real en el..!"""
st_057120_0430#0,"""Hemos estado vivos por tanto tiempo, después de todo."""
st_057120_0440#0,"""Pero eso es bueno. todo ha sido bueno<br>Porque lo único que importa es que nos divertimos."""
st_057120_0450#0,"""Pero en este momento, no nos estamos divirtiendo en absoluto. Porque alguien nos ha estado utilizando para sus propios fines."""
st_057120_0460#0,"""Él tiene este hedor asqueroso sobre él.<br>Es un olor extraño, como el que recibo de ti."""
st_057120_0470#0,"""Y él también me ha robado una buena parte de mi poder."""
st_057120_0480#0,"""Así que aquí está el trato que quiero hacer. Te prestaré lo que queda de mi poder, si lo usas para detenerlo."""
st_057120_0490#0,"""Porque si hacemos eso...<br>Si nos deshacemos de él...<br>Entonces toda la lucha debería terminar."""
st_057120_0500#0,"""Dar la vuelta a la hoja, ¿Eh?"""
st_057120_0510#0,"""¿Que es lo que realmente buscas?"""
st_057120_0520#0,"""Soy flo. Double vino de mí.<br>Y mi deseo original siempre fue este."""
st_057120_0530#0,"""Para crear un mundo sin conflicto, donde todos puedan divertirse jugando juntos..."""
st_057120_0540#0,"""¡Vamos!, ¡Resiste por favor!"""
st_057120_0550#0,"""¡Oh, estoy tan aliviada de que hayas despertado!, ¡Estaba muy preocupada por ti <%me>!"""
st_057120_0560#0,"""¿Qué le pasó a Flo?..."""
st_057120_0570#0,"""¿Han desaparecido todos?..."""
st_057120_0580#0,"""Flo... Se desvaneció, mientras estaba acunado en los brazos de Clarissa.<br>Junto con todo lo que había creado aquí..."""
st_057120_0590#0,"""¿<%me> tuviste la oportunidad de hablar con Flo?"""
st_057120_0600#0,"""Alguien ha estado usando a Flo para sus propios fines...<br>Tiene que ser Elmir, ¿Verdad?"""
st_057120_0610#0,"""Pero no estoy detectando nada en el área cercana...<br>¿Dónde estara ahora?"""
st_057120_0620#0,"""Pero al menos ahora, Es-Ars no debería bombear infinidad de demonios. Vamos a reagruparnos con Harriet y los demás."""
name01#0,"""フラウ"""
name02#0,"""？？？"""
