11_voice_NPC_5185_100#0,"""Oh... <%me>.<br>Um, is it ok if you take this?"""
Matoi_13_020#0,"""I wonder whether there wasn't much I could do in my past life, and I was suffocating because of it? If that's the case maybe this is happiness. """
11_voice_NPC_5185_104#2,"""Do you know where they get all the data they put up on that big monitor? It's such a mystery, it's construct and all. """
11_voice_NPC_5185_105#3,"""I heard the ARKS ship has been in space for over 200 years. Why do you think it set off in the first place?"""
Matoi_15_020#0,"""Were they just seeking adventure? I can't seem to find any history on what happened before that."""
11_voice_NPC_5185_105#4,"""Photons are in the air all around us, right?"""
Matoi_16_020#0,"""It's weird that some people are in tune with them and others aren't, even though they're everywhere."""
11_voice_NPC_5185_100#6,"""I really enjoy reading books and data. I can't make any rigorous movements so I'll read anything I can get my hands on."""
Matoi_17_020#0,"""When you compare two accounts of the same thing you sometimes get totally different perspectives. It's fascinating."""
11_voice_NPC_5185_100#7,"""Oh, welcome back. Or is it good morning?"""
Matoi_18_020#0,"""Ha ha. You ARKS members work such irregular hours, I have no idea what to say sometimes. Let's make it \""Good Morning\""!"""
11_voice_NPC_5185_104#3,"""Is everything all right? Are you not overworking yourself? You can't hide it from me, you know. You have a scary expression on your face. Please please look after yourself, okay?"""
11_voice_NPC_5185_104#4,"""Oh... <%me>.<br>Um, take care of yourself, okay? For some reason I have a feeling something bad is going to happen."""
11_voice_NPC_5185_105#5,"""Everything feels so sad...<br>I can sense it in the Photons around here. What happened?"""
11_voice_NPC_5185_100#8,"""The air around here feels so light. Maybe it's everyone's positive energy? Ha ha. I like it."""
11_voice_NPC_04_104#0,"""<%me>. Um, are you... okay? There's been nothing but trouble lately, so I've been worried."""
Matoi_mb9_020#0,"""If I'm imagining it all, that's fine. But don't take it all in by yourself, okay? """
Matoi_mb9_030#0,"""When you're having a tough time, you should just say so? If you don't, no one will realize and you'll be all alone..."""
11_voice_NPC_04_104#1,"""Ah... <%me>.<br>Did you find that dragon you were looking for?"""
Matoi_mb10_020#0,"""I heard that it was on a rampage. But why did it rampage in the first place?<br>...I wonder what happened."""
Matoi_mb10_030#0,"""...I've got a really bad feeling about this. Please take care of yourself, I mean, really. """
11_voice_NPC_04_100#0,"""It seems like they're going to broadcast that Battle-Skills Tournament we talked about before."""
Matoi_mb11_020#0,"""So, how do I put this...? I want to watch you in battle, <%me>."""
Matoi_mb11_030#0,"""I'm just genuinely interested, but I feel I were to watch, I'd might be able to remember something"""
11_voice_NPC_5185_104#5,"""<%me>.<br>Your face is all stiff. Are you okay? Did something happen?"""
Matoi_mb12_020#0,"""If it's nothing, that's fine...<br>But you shouldn't take on so much on your own."""
11_voice_NPC_5185_106#0,"""<%me>...<br>I'm okay. I'm actually so calm that I'm quite surprised myself."""
Matoi_mb13_020#0,"""I believe in Xion. Especially since Xion was smiling at you."""
Matoi_mb13_030#0,"""...Oh, you didn't see that? No, it was nothing like that. Xion was definitely smiling. """
11_voice_NPC_5185_100#9,"""No one really talked about Xion at all. I feel like everyone would get too worried about him..."""
Matoi_mb14_020#0,"""So let's keep the stuff about Xion between you and me. Our little secret. Okay?"""
Matoi_mb14_030#0,"""...hehe, this kinda nostalgic, interacting like this."""
11_voice_NPC_5185_100#10,"""<%me>. It's so tense! """
Matoi_mb15_020#0,"""Not you, but our surroundings. What is it, what's going on? I feel like something is changing. """
Matoi_mb16_010#0,"""<%me>, are you alright?<br>You're not wound up in something weird, are you? """
11_voice_NPC_5185_104#6,"""I feel like you've got this cold air about you. I'm hoping it's not anything in particular..."""
11_voice_NPC_5185_104#7,"""Oh, <%me>.<br>Yeah, I'm physically okay. """
Matoi_mb16zeno_020#0,"""Philia took away my weapons saying I shouldn't overdo it...<br>But really, I'm physically fine. """
Matoi_mb16zeno_030#0,"""...I guess this is all thanks to Xion.<br>...Xion. """
11_voice_NPC_5185_100#11,"""ふふっ、嬉しいな。<br>だって、これからはわたしも<br>一緒に任務へ行けるんだもん。"""
Matoi_mb18_020#0,"""<%me>の<br>お手伝いをできると思うと<br>本当に、嬉しいの。"""
Matoi_mb18_030#0,"""みんなを守るために<br>一緒に頑張ろうね。"""
11_voice_NPC_5185_104#8,"""検査って、なんでやらなくちゃ<br>いけないんだろうね。<br>わたし、こんなに調子がいいのに……"""
Matoi_mb19_020#0,"""……わ、わかってるよ。<br>ちゃんと検査とか、受けるよ。<br>フィリアさんに怒られちゃうもん。"""
11_voice_NPC_5185_100#12,"""みんなわたしのことを心配して<br>言ってくれてるんだもんね。<br>……言われたら、行くよ。うん。"""
11_voice_NPC_5185_100#13,"""また一緒に任務へ行けるね。<br>ふふっ、嬉しいな。"""
Matoi_mb20_020#0,"""あ、ちゃんと検査も受けたよ。<br>だから大丈夫、心配しないでね。"""
Matoi_mb20_030#0,"""<%me>も<br>無理しちゃダメだよ。<br>一緒に頑張ろうね。"""
11_voice_NPC_5185_105#6,"""身体の調子はとてもいいんだけど……<br>検査しなくちゃいけないんだって。"""
Matoi_mb21_020#0,"""ほんとは一緒に行きたかったけど<br>フィリアさんに怒られちゃうし<br>検査も大事、だよね……"""
Matoi_mb21_030#0,"""<%me><br>気をつけて行ってきてね。<br>無理しちゃダメだよ？"""
11_voice_NPC_5185_100#14,"""ふふっ、次の任務は一緒だね。<br>嬉しいな。"""
Matoi_mb22_020#0,"""あ、もちろん検査の結果も<br>体調もばっちりだよ。<br>心配しなくても大丈夫。"""
11_voice_NPC_5185_104#9,"""<%me><br>わたし、頑張るからね。"""
11_voice_NPC_5185_100#15,"""会う人みんなが、声をかけてくれるの。<br>大丈夫だった？\u3000無事でよかったって。"""
Matoi_mb23_020#0,"""だから頑張らないとなって思う。<br>心配してくれたみんなのためにも。"""
11_voice_NPC_5185_101#2,"""わたしなら大丈夫。<br>みんなのために、頑張るよ。"""
