11_voice_NPC_5021_101#0,"""А, это ты! Ты как раз<br>вовремя, молодой ARKS."""
11_voice_NPC_5021_100#4,"""ダークファルスが復活したとしても<br>私たちのやることは変わらないぞ。"""
Jan_mb9_020#0,"""浮き足立たずに、目標を見据えよ。<br>私たちアークスの役目は<br>ダーカーの驚異に立ち向かうことだ。"""
11_voice_NPC_5021_100#5,"""ダークファルスが復活したとしても<br>私たちのやることは変わらないぞ。"""
Jan_mb10_020#0,"""浮き足立たずに、目標を見据えよ。<br>私たちアークスの役目は<br>ダーカーの驚異に立ち向かうことだ。"""
11_voice_NPC_5021_100#6,"""ダークファルスが復活したとしても<br>私たちのやることは変わらないぞ。"""
Jan_mb11_020#0,"""浮き足立たずに、目標を見据えよ。<br>私たちアークスの役目は<br>ダーカーの驚異に立ち向かうことだ。"""
11_voice_NPC_5021_100#7,"""不安になることがあった場合は<br>なによりもまず、基本に立ち返るべし。"""
Jan_mb12_020#0,"""己の真なる目的を今一度確かめる。<br>それだけで地に足がつくものだぞ。"""
11_voice_NPC_5021_100#8,"""不安になることがあった場合は<br>なによりもまず、基本に立ち返るべし。"""
Jan_mb13_020#0,"""己の真なる目的を今一度確かめる。<br>それだけで地に足がつくものだぞ。"""
11_voice_NPC_5021_100#9,"""不安になることがあった場合は<br>なによりもまず、基本に立ち返るべし。"""
Jan_mb14_020#0,"""己の真なる目的を今一度確かめる。<br>それだけで地に足がつくものだぞ。"""
Jan_mb16_010#0,"""どうした、何か不安でもあるのか？<br>だがな、それはきっと<br>ただの取り越し苦労だと思うぞ。"""
11_voice_NPC_5021_100#10,"""不安は、自分の内から生まれるものだ。<br>大丈夫と信じていれば自ずとそうなる。<br>私も若い頃には……"""
11_voice_NPC_5021_100#11,"""もっと、胸を張るといい。<br>君が、皆を救ったといっても<br>過言ではないのだからな。"""
11_voice_NPC_5021_100#12,"""変化は恐れることではない。<br>辿るべき道を辿ったからこそ<br>変わったわけだ。"""
Jan_mb18_020#0,"""道は必ず開ける。<br>己を信じ、誤らなければ<br>目的は達成できる、そういうものだ。"""
Jan_mb22_010#0,"""目的のために立てた目標に<br>振り回されてはならんぞ。"""
11_voice_NPC_5021_100#13,"""立てた目標を達成することばかりに<br>気を取られて、目的が達成できなければ<br>無意味だからな。"""
11_voice_NPC_5021_100#14,"""無事に戻ってきたようで<br>安心したぞ。"""
Jan_mb23_020#0,"""強い意志は何にも勝る。<br>いいか、私も若い頃はよく無茶をした。<br>それでだな……"""
11_voice_NPC_5021_104#1,"""思うことは多くあると思う。<br>そういう時は、まず落ち着くことだ。"""
Jan_mb23_after_020#0,"""焦りや不安は、視野を狭くさせる。<br>視野の狭さは、大局を見失わせる。<br>大局を見失えば、目的が喪失する。"""
Jan_mb23_after_030#0,"""だからまずは、落ち着くことだ。<br>そしてしっかりと休むことだ。<br>肝心なときに動けなくなるからな。"""
11_voice_NPC_5021_100#15,"""成し遂げんとする強い意志は<br>何よりも勝るということだな。<br>それを君は自身で証明した。"""
Jan_mb24_after_020#0,"""アークスにとってもその実例は<br>きっと喜ばしいものだろう。<br>私も同じように、若い頃は……"""
Jan_mb25_010#0,"""君はまた新たな出来事と<br>向き合っているのだろう。<br>それが君の役割なのだろうな。"""
11_voice_NPC_5021_104#2,"""自分の役目というものを<br>正しく理解することは大切だ。<br>いいか、私も若い頃は……"""
st01_010#0,"""おお、君か！<br>しっかりと休養はとれたようだな！"""
st01_020#0,"""休むことは肝要なことだぞ！<br>私の若い頃も、そう休む暇などなく<br>日々ダーカーとの戦闘に明け暮れ……"""
11_voice_NPC_5021_100#16,"""サモナーなるクラスは……<br>今までのクラスとは違う<br>独特の戦い方が求められる。"""
st01_020#1,"""つまりまだまだ学ぶ機会がある<br>そういうことでもある。"""
st01_030#0,"""私も若い頃は、日々勉学に励み<br>戦闘に明け暮れ……"""
11_voice_NPC_5021_100#17,"""地球は今までにない文明のある星だ。<br>色々予想外のことが多くあるだろうが<br>恐れずに進むしかない。"""
st01_020#2,"""足を止めてしまえば、それまでだ。<br>私もかつては戦場で……"""
sq00_010#0,"""私は今回の作戦には不参加だ。<br>ともすれば邪魔にすらなってしまう。<br>そう判断してな。"""
11_voice_NPC_5021_104#3,"""昔、私が若かったころに、自らの衰えを<br>認めようとせず、ただがむしゃらに<br>突っ走る者が居てな、そいつは……"""
11_voice_NPC_5021_100#18,"""うむ、無事に帰還したようで何より。<br>私の若い頃は、出撃して帰らない者が<br>ざらにいて、その捜索には……"""
sq02_010#0,"""昨今、情勢が落ち着きを見せている<br>というが、それで油断するのは早い。<br>私が若い頃にも……"""
11_voice_NPC_5021_100#19,"""かつてないほどの強大な敵の出現に<br>アークスの皆はたじろいでいるな。<br>だが、こういう時こそ冷静であるべき。"""
sq13_020#0,"""私の若い頃、ダーカーの相手ですら<br>やっとだった頃に現れたのが【巨躯】。<br>しかし同時期に三英雄が現れた。"""
sq13_030#0,"""対になる存在は常に生まれうる。<br>自らがそれであると信じ<br>日々研鑽を重ね続ければ誰もが……"""
11_voice_NPC_5021_100#20,"""А-а, ты новобранец ARKS?<br>Позволь мне обучить тебя<br>основам."""
skit01_020#0,"""Изучение основ полезно не только<br>для работе в ARKS, но и для<br>обычной жизни."""
skit01_030#0,"""Безрассудство и<br>неподготовленность опасны.<br>Они влияют на других так же<br>сильно, как и на тебя.<br>В молодости я пренебрегал<br>основами и..."""
11_voice_NPC_5021_109#0,"""Учитывая все обстоятельства,<br>враги этой эпохи бесподобны.<br>Если они пожирают наши фотоны,<br>как мы можем надеяться бороться<br>с ними?"""
ep6_sq00_02#0,"""Имей в виду, что если кто-то<br>напуган, опрометчиво<br>отправляться в одиночку - плохая<br>идея. Когда я был моложе, мои<br>ноги подгибались при виде<br>грозного врага..."""
ep6_sq01_01#0,"""Эти хулиганы ворвались в наш<br>флот и даже не вытерли ноги.<br>И, несмотря на хорошее<br>сопротивление, мы потерпели<br>поражение. Это очень печально."""
11_voice_NPC_5021_104#4,"""Однако, сразу же применив<br>столько силы, враг показал<br>свою что может. В этом смысле<br>для нас это фора. Раньше я был<br>слишком горд, чтобы использовать<br>слабости врага, но..."""
11_voice_NPC_5021_100#21,"""Наше положение казалось<br>безвыходным, даже невозможным,<br>и все же мы были на грани<br>смерти."""
ep6_sq02_02#0,"""Наша сила - не единственный<br>фактор. Сейчас все на взводе...<br>Наши узы никогда не были<br>сильнее."""
ep6_sq02_03#0,"""Все мы великие воины. Когда-то много лет назад я потерялся на поле битвы, мой товарищ решил спасти меня, не жалея своей жизни..."""
11_voice_NPC_5021_100#22,"""У меня нет слов! Всё сложилось<br>лучше, чем я мог ожидать!<br>Видите, что происходит, когда<br>мы все объединяемся?"""
11_voice_NPC_5021_101#3,"""Ничто не может заменить чувство,<br>которое возникает, когда все<br>работают вместе и играют свою<br>роль. Незаменимость. Я помню,<br>как раньше я испытывал это<br>чувство в компании друзей..."""
