msc_022020_0010#0,"""มาน่อน!"""
msc_022020_0400#0,"""ถ้ามีอะไรเกิดขึ้น พวกเราจะคอยอยู่เคียงข้างเธอเอง"""
msc_022020_0410#0,"""เธอไม่จำเป็นต้องรับมือกับเรื่องนี้คนเดียวนะ..."""
msc_022020_0420#0,"""...ขอบใจนะ"""
msc_022020_0430#0,"""พวกเธอพูดถูก... นี่เป็นนิสัยเสียของฉันสินะ?"""
msc_022020_0440#0,"""อยู่นี่เอง มาน่อน"""
msc_022020_0450#0,"""...เกลน (Glen)"""
msc_022020_0460#0,"""ขอโทษนะ ฉันจะรีบไปเดี๋ยวนี้แหละ"""
msc_022020_0470#0,"""เธอรู้จักสถานที่ใช่ไหม?"""
msc_022020_0480#0,"""อื้ม"""
msc_022020_0490#0,"""เกลน (Glen) มาน่อนมีท่าที<br>แบบนั้นบ่อยหรือเปล่าคะ?"""
msc_022020_0500#0,"""ดูเหมือนว่าเธอจะปิดกั้น<br>ตัวเองจากทุกสิ่งเลยน่ะ"""
msc_022020_0510#0,"""...ก็คงเพราะ ผู้คนยังคงแสดงท่าที<br>กังขาในตัวเธออยู่น่ะนะ"""
msc_022020_0520#0,"""แย่จัง... ทั้งๆ ที่มาน่อนก็ยัง<br>ต่อสู้เพื่อความสงบสุขของฮาลฟา (Halpha) แท้ๆ..."""
msc_022020_0530#0,"""พวกเราควรจะทำอะไรบางอย่างนะ..."""
msc_022020_0540#0,"""ฝากดูแลเธอให้ดีด้วยนะคะ"""
msc_022020_0550#0,"""ไม่ พวกเธอไม่ควรทำหรอก"""
msc_022020_0560#0,"""ฉันตั้งใจจะทำแบบนั้นอยู่แล้ว"""
msc_022020_0570#0,"""เอาจริงๆ ฉันเองก็มี<br>ความคิดของฉันเรื่องนี้อยู่เหมือนกัน"""
msc_022020_0580#0,"""...แต่ ฉันติดหนี้พวกเธอสามคนอยู่นี่นะ"""
msc_022020_0590#0,"""ปล่อยให้ฉันจัดการเรื่องนี้เถอะ<br>ฉันจะไม่ทำไม่ดีกับเธอหรอกน่า"""
msc_022020_0600#0,"""ฉันหวังว่ามาน่อนจะไม่ต้อง<br>รับมือกับเรื่องนี้คนเดียวนะ..."""
msc_022020_0610#0,"""ฉันรู้ว่าเกลน (Glen) บอกว่าจะดูแลมาน่อนให้<br>แต่เราก็ควรไปแวะดูเธอเป็นระยะๆ นะ"""
msc_022020_0620#0,"""คอยนึกถึงเธอไว้เสมอด้วยนะ เข้าใจไหม?"""
