Title#0,"""Б: Вечный хоровод"""
Area34L#0,"""Корабль ARKS - VR-пространство (Эпическая пустыня)"""
Area35S#0,"""VR - Восточные равнины Куэнта"""
Area35L#0,"""Корабль ARKS - VR-пространство (Восточные равнины Куэнта)"""
Area36S#0,"""VR - Веруанская Пустошь"""
Area36L#0,"""Корабль ARKS - VR-пространство (Веруанская Пустошь)"""
Area37S#0,"""VR - Тронный зал замка Куэнта"""
Area37L#0,"""Корабль ARKS - VR-пространство (Тронный зал замка Куэнта)"""
Area38S#0,"""VR - Северный Форт Эпической пустыни"""
Area38L#0,"""Корабль ARKS - VR-пространство (Северный Форт Эпической пустыни)"""
Area39S#0,"""VR - Берег Луизы"""
Area39L#0,"""Корабль ARKS - VR-пространство (Берег Луизы)"""
Area40S#0,"""VR - (????)"""
Area40L#0,"""Корабль ARKS - VR-пространство (????)"""
Area41S#0,"""VR - Сад в каньоне"""
Area41L#0,"""Корабль ARKS - VR-пространство (Сад в каньоне)"""
Area1000S#0,"""VR - Зачарованный лес"""
Area1000L#0,"""Корабль ARKS - VR-пространство (Зачарованный лес)"""
Area1001S#0,"""VR - Городская область"""
Area1001L#0,"""Корабль ARKS - VR-пространство (Городская область)"""
Area1002S#0,"""VR - Драконий алтарь"""
Area1002L#0,"""Корабль ARKS - VR-пространство (Драконий алтарь)"""
Area1003S#0,"""VR - Руины"""
Area1003L#0,"""Корабль ARKS - VR-пространство (Руины)"""
Area1004S#0,"""VR - Побережье"""
Area1004L#0,"""Корабль ARKS - VR-пространство (Побережье)"""
Area1005S#0,"""VR - Каньон"""
Area1005L#0,"""Корабль ARKS - VR-пространство (Каньон)"""
Area1006S#0,"""VR - Карьер"""
Area1006L#0,"""Корабль ARKS - VR-пространство (Карьер)"""
Area1007S#0,"""VR - Всплывший комплекс"""
Area1007L#0,"""Корабль ARKS - VR-пространство (Всплывший комплекс)"""
Area1008S#0,"""VR - Широния"""
Area1008L#0,"""Корабль ARKS - VR-пространство (Широния)"""
Area1009S#0,"""VR - Всплывший комплекс"""
Area1009L#0,"""Корабль ARKS - VR-пространство (Всплывший комплекс)"""
Area1010S#0,"""VR - Искажённая Лиллипа"""
Area1010L#0,"""Корабль ARKS - VR-пространство (Искажённая Лиллипа)"""
Area1011S#0,"""VR - База добычи"""
Area1011L#0,"""Корабль ARKS - VR-пространство (База добычи)"""
Area1012S#0,"""VR - Токио"""
Area1012L#0,"""Корабль ARKS - VR-пространство (Токио)"""
Area1013S#0,"""VR - Лас-Вегас"""
Area1013L#0,"""Корабль ARKS - VR-пространство (Лас-Вегас)"""
Area1014S#0,"""VR - Искажённая Амдуския"""
Area1014L#0,"""Корабль ARKS - VR-пространство (Искажённая Амдуския)"""
Area1015S#0,"""VR - Курон"""
Area1015L#0,"""Корабль ARKS - VR-пространство (Курон)"""
Area1016S#0,"""VR - Вулканические пещеры"""
Area1016L#0,"""Корабль ARKS - VR-пространство (Вулканические пещеры)"""
Area1017S#0,"""VR - База добычи"""
Area1017L#0,"""Корабль ARKS - VR-пространство (База добычи)"""
Area1018S#0,"""VR - Морское дно"""
Area1018L#0,"""Корабль ARKS - VR-пространство (Морское дно)"""
Area1019S#0,"""VR - Луна"""
Area1019L#0,"""Корабль ARKS - VR-пространство (Луна)"""
Area1020S#0,"""VR - Городская область"""
Area1020L#0,"""Корабль ARKS - VR-пространство (Городская область)"""
Area1021S#0,"""VR - Земли Дьявольского замка"""
Area1021L#0,"""Корабль ARKS - VR-пространство (Земли Дьявольского замка)"""
Area1022S#0,"""VR - Искажённый Лес"""
Area1022L#0,"""Корабль ARKS - VR-пространство (Искажённый Лес)"""
Area1023S#0,"""VR - (????)"""
Area1023L#0,"""Корабль ARKS - VR-пространство (????)"""
Area1024S#0,"""VR - Обломки корабля ARKS - Палуба"""
Area1024L#0,"""Корабль ARKS - VR-пространство (Обломки корабля ARKS - Палуба)"""
Area1025S#0,"""VR - Материнский корабль"""
Area1025L#0,"""Корабль ARKS - VR-пространство (Материнский корабль)"""
Area1026S#0,"""VR - Парящий континент"""
Area1026L#0,"""Корабль ARKS - VR-пространство (Парящий континент)"""
Area1027S#0,"""VR - Логово даркеров"""
Area1027L#0,"""Корабль ARKS - VR-пространство (Логово даркеров)"""
Area1028S#0,"""VR - Лес"""
Area1028L#0,"""Корабль ARKS - VR-пространство (Лес)"""
Area1029S#0,"""VR - VR Арена Лес"""
Area1029L#0,"""Корабль ARKS - VR-пространство (VR Арена Лес)"""
Area1030S#0,"""VR - Подземные тоннели"""
Area1030L#0,"""Корабль ARKS - VR-пространство (Подземные тоннели)"""
Area1031S#0,"""VR - Шаттл"""
Area1031L#0,"""Корабль ARKS - VR-пространство (Шаттл)"""
Area1032S#0,"""VR - Крепость Широнии"""
Area1032L#0,"""Корабль ARKS - VR-пространство (Крепость Широнии)"""
Area1033S#0,"""VR - Прибрежные воды Японии"""
Area1033L#0,"""Корабль ARKS - VR-пространство (Прибрежные воды Японии)"""
Area1034S#0,"""VR - Эпическая пустыня"""
Area1034L#0,"""Корабль ARKS - VR-пространство (Эпическая пустыня)"""
Area1035S#0,"""VR - Восточные равнины Куэнта"""
Area1035L#0,"""Корабль ARKS - VR-пространство (Восточные равнины Куэнта)"""
Area1036S#0,"""VR - Веруанская Пустошь"""
Area1036L#0,"""Корабль ARKS - VR-пространство (Веруанская Пустошь)"""
Area1037S#0,"""VR - Тронный зал замка Куэнта"""
Area1037L#0,"""Корабль ARKS - VR-пространство (Тронный зал замка Куэнта)"""
Area1038S#0,"""VR - Северный Форт Эпической пустыни"""
Area1038L#0,"""Корабль ARKS - VR-пространство (Северный Форт Эпической пустыни)"""
Area1039S#0,"""VR - Берег Луизы"""
Area1039L#0,"""Корабль ARKS - VR-пространство (Берег Луизы)"""
Area1040S#0,"""VR - (????)"""
Area1040L#0,"""Корабль ARKS - VR-пространство (????)"""
Area1041S#0,"""VR - Сад в каньоне"""
Area1041L#0,"""Корабль ARKS - VR-пространство (Сад в каньоне)"""
Area2000S#0,"""VR - Зачарованный лес"""
Area2000L#0,"""Корабль ARKS - VR-пространство (Зачарованный лес)"""
Area2001S#0,"""VR - Городская область"""
Area2001L#0,"""Корабль ARKS - VR-пространство (Городская область)"""
Area2002S#0,"""VR - Драконий алтарь"""
Area2002L#0,"""Корабль ARKS - VR-пространство (Драконий алтарь)"""
Area2003S#0,"""VR - Руины"""
Area2003L#0,"""Корабль ARKS - VR-пространство (Руины)"""
Area2004S#0,"""VR - Побережье"""
Area2004L#0,"""Корабль ARKS - VR-пространство (Побережье)"""
Area2005S#0,"""VR - Каньон"""
Area2005L#0,"""Корабль ARKS - VR-пространство (Каньон)"""
Area2006S#0,"""VR - Карьер"""
Area2006L#0,"""Корабль ARKS - VR-пространство (Карьер)"""
Area2007S#0,"""VR - Всплывший комплекс"""
Area2007L#0,"""Корабль ARKS - VR-пространство (Всплывший комплекс)"""
Area2008S#0,"""VR - Широния"""
Area2008L#0,"""Корабль ARKS - VR-пространство (Широния)"""
Area2009S#0,"""VR - Всплывший комплекс"""
Area2009L#0,"""Корабль ARKS - VR-пространство (Всплывший комплекс)"""
Area2010S#0,"""VR - Искажённая Лиллипа"""
Area2010L#0,"""Корабль ARKS - VR-пространство (Искажённая Лиллипа)"""
Area2011S#0,"""VR - База добычи"""
Area2011L#0,"""Корабль ARKS - VR-пространство (База добычи)"""
Area2012S#0,"""VR - Токио"""
Area2012L#0,"""Корабль ARKS - VR-пространство (Токио)"""
Area2013S#0,"""VR - Лас-Вегас"""
Area2013L#0,"""Корабль ARKS - VR-пространство (Лас-Вегас)"""
Area2014S#0,"""VR - Искажённая Амдуския"""
Area2014L#0,"""Корабль ARKS - VR-пространство (Искажённая Амдуския)"""
Area2015S#0,"""VR - Курон"""
Area2015L#0,"""Корабль ARKS - VR-пространство (Курон)"""
Area2016S#0,"""VR - Вулканические пещеры"""
Area2016L#0,"""Корабль ARKS - VR-пространство (Вулканические пещеры)"""
Area2017S#0,"""VR - База добычи"""
Area2017L#0,"""Корабль ARKS - VR-пространство (База добычи)"""
Area2018S#0,"""VR - Морское дно"""
Area2018L#0,"""Корабль ARKS - VR-пространство (Морское дно)"""
Area2019S#0,"""VR - Луна"""
Area2019L#0,"""Корабль ARKS - VR-пространство (Луна)"""
Area2020S#0,"""VR - Городская область"""
Area2020L#0,"""Корабль ARKS - VR-пространство (Городская область)"""
Area2021S#0,"""VR - Земли Дьявольского замка"""
Area2021L#0,"""Корабль ARKS - VR-пространство (Земли Дьявольского замка)"""
Area2022S#0,"""VR - Искажённый Лес"""
Area2022L#0,"""Корабль ARKS - VR-пространство (Искажённый Лес)"""
Area2023S#0,"""VR - (????)"""
Area2023L#0,"""Корабль ARKS - VR-пространство (????)"""
Area2024S#0,"""VR - Обломки корабля ARKS - Палуба"""
Area2024L#0,"""Корабль ARKS - VR-пространство (Обломки корабля ARKS - Палуба)"""
Area2025S#0,"""VR - Материнский корабль"""
Area2025L#0,"""Корабль ARKS - VR-пространство (Материнский корабль)"""
Area2026S#0,"""VR - Парящий континент"""
Area2026L#0,"""Корабль ARKS - VR-пространство (Парящий континент)"""
Area2027S#0,"""VR - Логово даркеров"""
Area2027L#0,"""Корабль ARKS - VR-пространство (Логово даркеров)"""
Area2028S#0,"""VR - Лес"""
Area2028L#0,"""Корабль ARKS - VR-пространство (Лес)"""
Area2029S#0,"""VR - VR Арена Лес"""
Area2029L#0,"""Корабль ARKS - VR-пространство (VR Арена Лес)"""
Area2030S#0,"""VR - Подземные тоннели"""
Area2030L#0,"""Корабль ARKS - VR-пространство (Подземные тоннели)"""
Area2031S#0,"""VR - Шаттл"""
Area2031L#0,"""Корабль ARKS - VR-пространство (Шаттл)"""
Area2032S#0,"""VR - Крепость Широнии"""
Area2032L#0,"""Корабль ARKS - VR-пространство (Крепость Широнии)"""
Area2033S#0,"""VR - Прибрежные воды Японии"""
Area2033L#0,"""Корабль ARKS - VR-пространство (Прибрежные воды Японии)"""
Area2034S#0,"""VR - Эпическая пустыня"""
Area2034L#0,"""Корабль ARKS - VR-пространство (Эпическая пустыня)"""
Area2035S#0,"""VR - Восточные равнины Куэнта"""
Area2035L#0,"""Корабль ARKS - VR-пространство (Восточные равнины Куэнта)"""
Area2036S#0,"""VR - Веруанская Пустошь"""
Area2036L#0,"""Корабль ARKS - VR-пространство (Веруанская Пустошь)"""
Area2037S#0,"""VR - Тронный зал замка Куэнта"""
Area2037L#0,"""Корабль ARKS - VR-пространство (Тронный зал замка Куэнта)"""
Area2038S#0,"""VR - Северный Форт Эпической пустыни"""
Area2038L#0,"""Корабль ARKS - VR-пространство (Северный Форт Эпической пустыни)"""
Area2039S#0,"""VR - Берег Луизы"""
Area2039L#0,"""Корабль ARKS - VR-пространство (Берег Луизы)"""
Area2040S#0,"""VR - (????)"""
Area2040L#0,"""Корабль ARKS - VR-пространство (????)"""
Area2041S#0,"""VR - Сад в каньоне"""
Area2041L#0,"""Корабль ARKS - VR-пространство (Сад в каньоне)"""
Area3000S#0,"""VR - Зачарованный лес"""
Area3000L#0,"""Корабль ARKS - VR-пространство (Зачарованный лес)"""
Area3001S#0,"""VR - Городская область"""
Area3001L#0,"""Корабль ARKS - VR-пространство (Городская область)"""
Area3002S#0,"""VR - Драконий алтарь"""
Area3002L#0,"""Корабль ARKS - VR-пространство (Драконий алтарь)"""
Area3003S#0,"""VR - Руины"""
Area3003L#0,"""Корабль ARKS - VR-пространство (Руины)"""
Area3004S#0,"""VR - Побережье"""
Area3004L#0,"""Корабль ARKS - VR-пространство (Побережье)"""
Area3005S#0,"""VR - Каньон"""
Area3005L#0,"""Корабль ARKS - VR-пространство (Каньон)"""
Area3006S#0,"""VR - Карьер"""
Area3006L#0,"""Корабль ARKS - VR-пространство (Карьер)"""
Area3007S#0,"""VR - Всплывший комплекс"""
Area3007L#0,"""Корабль ARKS - VR-пространство (Всплывший комплекс)"""
Area3008S#0,"""VR - Широния"""
Area3008L#0,"""Корабль ARKS - VR-пространство (Широния)"""
Area3009S#0,"""VR - Всплывший комплекс"""
Area3009L#0,"""Корабль ARKS - VR-пространство (Всплывший комплекс)"""
Area3010S#0,"""VR - Искажённая Лиллипа"""
Area3010L#0,"""Корабль ARKS - VR-пространство (Искажённая Лиллипа)"""
Area3011S#0,"""VR - База добычи"""
Area3011L#0,"""Корабль ARKS - VR-пространство (База добычи)"""
Area3012S#0,"""VR - Токио"""
Area3012L#0,"""Корабль ARKS - VR-пространство (Токио)"""
Area3013S#0,"""VR - Лас-Вегас"""
Area3013L#0,"""Корабль ARKS - VR-пространство (Лас-Вегас)"""
Area3014S#0,"""VR - Искажённая Амдуския"""
Area3014L#0,"""Корабль ARKS - VR-пространство (Искажённая Амдуския)"""
Area3015S#0,"""VR - Курон"""
Area3015L#0,"""Корабль ARKS - VR-пространство (Курон)"""
Area3016S#0,"""VR - Вулканические пещеры"""
Area3016L#0,"""Корабль ARKS - VR-пространство (Вулканические пещеры)"""
Area3017S#0,"""VR - База добычи"""
Area3017L#0,"""Корабль ARKS - VR-пространство (База добычи)"""
Area3018S#0,"""VR - Морское дно"""
Area3018L#0,"""Корабль ARKS - VR-пространство (Морское дно)"""
Area3019S#0,"""VR - Луна"""
Area3019L#0,"""Корабль ARKS - VR-пространство (Луна)"""
Area3020S#0,"""VR - Городская область"""
Area3020L#0,"""Корабль ARKS - VR-пространство (Городская область)"""
Area3021S#0,"""VR - Земли Дьявольского замка"""
Area3021L#0,"""Корабль ARKS - VR-пространство (Земли Дьявольского замка)"""
Area3022S#0,"""VR - Искажённый Лес"""
Area3022L#0,"""Корабль ARKS - VR-пространство (Искажённый Лес)"""
Area3023S#0,"""VR - (????)"""
Area3023L#0,"""Корабль ARKS - VR-пространство (????)"""
Area3024S#0,"""VR - Обломки корабля ARKS - Палуба"""
Area3024L#0,"""Корабль ARKS - VR-пространство (Обломки корабля ARKS - Палуба)"""
Area3025S#0,"""VR - Материнский корабль"""
Area3025L#0,"""Корабль ARKS - VR-пространство (Материнский корабль)"""
Area3026S#0,"""VR - Парящий континент"""
Area3026L#0,"""Корабль ARKS - VR-пространство (Парящий континент)"""
Area3027S#0,"""VR - Логово даркеров"""
Area3027L#0,"""Корабль ARKS - VR-пространство (Логово даркеров)"""
Area3028S#0,"""VR - Лес"""
Area3028L#0,"""Корабль ARKS - VR-пространство (Лес)"""
Area3029S#0,"""VR - VR Арена Лес"""
Area3029L#0,"""Корабль ARKS - VR-пространство (VR Арена Лес)"""
Area3030S#0,"""VR - Подземные тоннели"""
Area3030L#0,"""Корабль ARKS - VR-пространство (Подземные тоннели)"""
Area3031S#0,"""VR - Шаттл"""
Area3031L#0,"""Корабль ARKS - VR-пространство (Шаттл)"""
Area3032S#0,"""VR - Крепость Широнии"""
Area3032L#0,"""Корабль ARKS - VR-пространство (Крепость Широнии)"""
Area3033S#0,"""VR - Прибрежные воды Японии"""
Area3033L#0,"""Корабль ARKS - VR-пространство (Прибрежные воды Японии)"""
Area3034S#0,"""VR - Эпическая пустыня"""
Area3034L#0,"""Корабль ARKS - VR-пространство (Эпическая пустыня)"""
Area3035S#0,"""VR - Восточные равнины Куэнта"""
Area3035L#0,"""Корабль ARKS - VR-пространство (Восточные равнины Куэнта)"""
Area3036S#0,"""VR - Веруанская Пустошь"""
Area3036L#0,"""Корабль ARKS - VR-пространство (Веруанская Пустошь)"""
Area3037S#0,"""VR - Тронный зал замка Куэнта"""
Area3037L#0,"""Корабль ARKS - VR-пространство (Тронный зал замка Куэнта)"""
Area3038S#0,"""VR - Северный Форт Эпической пустыни"""
Area3038L#0,"""Корабль ARKS - VR-пространство (Северный Форт Эпической пустыни)"""
Area3039S#0,"""VR - Берег Луизы"""
Area3039L#0,"""Корабль ARKS - VR-пространство (Берег Луизы)"""
Area3040S#0,"""VR - (????)"""
Area3040L#0,"""Корабль ARKS - VR-пространство (????)"""
Area3041S#0,"""VR - Сад в каньоне"""
Area3041L#0,"""Корабль ARKS - VR-пространство (Сад в каньоне)"""
Area4000S#0,"""VR - Зачарованный лес"""
Area4000L#0,"""Корабль ARKS - VR-пространство (Зачарованный лес)"""
Area4001S#0,"""VR - Городская область"""
Area4001L#0,"""Корабль ARKS - VR-пространство (Городская область)"""
Area4002S#0,"""VR - Драконий алтарь"""
Area4002L#0,"""Корабль ARKS - VR-пространство (Драконий алтарь)"""
Area4003S#0,"""VR - Руины"""
Area4003L#0,"""Корабль ARKS - VR-пространство (Руины)"""
Area4004S#0,"""VR - Побережье"""
Area4004L#0,"""Корабль ARKS - VR-пространство (Побережье)"""
Area4005S#0,"""VR - Каньон"""
Area4005L#0,"""Корабль ARKS - VR-пространство (Каньон)"""
Area4006S#0,"""VR - Карьер"""
Area4006L#0,"""Корабль ARKS - VR-пространство (Карьер)"""
Area4007S#0,"""VR - Всплывший комплекс"""
Area4007L#0,"""Корабль ARKS - VR-пространство (Всплывший комплекс)"""
Area4008S#0,"""VR - Широния"""
Area4008L#0,"""Корабль ARKS - VR-пространство (Широния)"""
Area4009S#0,"""VR - Всплывший комплекс"""
Area4009L#0,"""Корабль ARKS - VR-пространство (Всплывший комплекс)"""
Area4010S#0,"""VR - Искажённая Лиллипа"""
Area4010L#0,"""Корабль ARKS - VR-пространство (Искажённая Лиллипа)"""
Area4011S#0,"""VR - База добычи"""
Area4011L#0,"""Корабль ARKS - VR-пространство (База добычи)"""
Area4012S#0,"""VR - Токио"""
Area4012L#0,"""Корабль ARKS - VR-пространство (Токио)"""
Area4013S#0,"""VR - Лас-Вегас"""
Area4013L#0,"""Корабль ARKS - VR-пространство (Лас-Вегас)"""
Area4014S#0,"""VR - Искажённая Амдуския"""
Area4014L#0,"""Корабль ARKS - VR-пространство (Искажённая Амдуския)"""
Area4015S#0,"""VR - Курон"""
Area4015L#0,"""Корабль ARKS - VR-пространство (Курон)"""
Area4016S#0,"""VR - Вулканические пещеры"""
Area4016L#0,"""Корабль ARKS - VR-пространство (Вулканические пещеры)"""
Area4017S#0,"""VR - База добычи"""
Area4017L#0,"""Корабль ARKS - VR-пространство (База добычи)"""
Area4018S#0,"""VR - Морское дно"""
Area4018L#0,"""Корабль ARKS - VR-пространство (Морское дно)"""
Area4019S#0,"""VR - Луна"""
Area4019L#0,"""Корабль ARKS - VR-пространство (Луна)"""
Area4020S#0,"""VR - Городская область"""
Area4020L#0,"""Корабль ARKS - VR-пространство (Городская область)"""
Area4021S#0,"""VR - Земли Дьявольского замка"""
Area4021L#0,"""Корабль ARKS - VR-пространство (Земли Дьявольского замка)"""
Area4022S#0,"""VR - Искажённый Лес"""
Area4022L#0,"""Корабль ARKS - VR-пространство (Искажённый Лес)"""
Area4023S#0,"""VR - (????)"""
Area4023L#0,"""Корабль ARKS - VR-пространство (????)"""
Area4024S#0,"""VR - Обломки корабля ARKS - Палуба"""
Area4024L#0,"""Корабль ARKS - VR-пространство (Обломки корабля ARKS - Палуба)"""
Area4025S#0,"""VR - Материнский корабль"""
Area4025L#0,"""Корабль ARKS - VR-пространство (Материнский корабль)"""
Area4026S#0,"""VR - Парящий континент"""
Area4026L#0,"""Корабль ARKS - VR-пространство (Парящий континент)"""
Area4027S#0,"""VR - Логово даркеров"""
Area4027L#0,"""Корабль ARKS - VR-пространство (Логово даркеров)"""
Area4028S#0,"""VR - Лес"""
Area4028L#0,"""Корабль ARKS - VR-пространство (Лес)"""
Area4029S#0,"""VR - VR Арена Лес"""
Area4029L#0,"""Корабль ARKS - VR-пространство (VR Арена Лес)"""
Area4030S#0,"""VR - Подземные тоннели"""
Area4030L#0,"""Корабль ARKS - VR-пространство (Подземные тоннели)"""
Area4031S#0,"""VR - Шаттл"""
Area4031L#0,"""Корабль ARKS - VR-пространство (Шаттл)"""
Area4032S#0,"""VR - Крепость Широнии"""
Area4032L#0,"""Корабль ARKS - VR-пространство (Крепость Широнии)"""
Area4033S#0,"""VR - Прибрежные воды Японии"""
Area4033L#0,"""Корабль ARKS - VR-пространство (Прибрежные воды Японии)"""
Area4034S#0,"""VR - Эпическая пустыня"""
Area4034L#0,"""Корабль ARKS - VR-пространство (Эпическая пустыня)"""
Area4035S#0,"""VR - Восточные равнины Куэнта"""
Area4035L#0,"""Корабль ARKS - VR-пространство (Восточные равнины Куэнта)"""
Area4036S#0,"""VR - Веруанская Пустошь"""
Area4036L#0,"""Корабль ARKS - VR-пространство (Веруанская Пустошь)"""
Area4037S#0,"""VR - Тронный зал замка Куэнта"""
Area4037L#0,"""Корабль ARKS - VR-пространство (Тронный зал замка Куэнта)"""
Area4038S#0,"""VR - Северный Форт Эпической пустыни"""
Area4038L#0,"""Корабль ARKS - VR-пространство (Северный Форт Эпической пустыни)"""
Area4039S#0,"""VR - Берег Луизы"""
Area4039L#0,"""Корабль ARKS - VR-пространство (Берег Луизы)"""
Area4040S#0,"""VR - (????)"""
Area4040L#0,"""Корабль ARKS - VR-пространство (????)"""
Area4041S#0,"""VR - Сад в каньоне"""
Area4041L#0,"""Корабль ARKS - VR-пространство (Сад в каньоне)"""
Area127S#0,"""VR - Руины замка Куэнт"""
Area127L#0,"""Корабль ARKS - VR-пространство (Руины замка Куэнт)"""
NpcComMsg1#0,"""Начинаем Бесконечный квест.<br>Постарайтесь пройти как можно<br>дальше и заработать как можно<br>более высокий балл."""
NpcComMsg2#0,"""Добавлены новые типы<br>Заказов Миссий.<br>Внимательно читайте инструкции.<br>Удачи!"""
