choice01#0,"""Sobre Etoile"""
text0004#0,"""Etoile Double Saber<pict ds_icon> puede bloquear e incluso Just Guard de ataques enemigos con su acción de arma(WA), \""Deflect\"".<br><br>Si activas Deflect nuevamente después de bloquear un ataque enemigo, realizarás un poderoso contraataque \""Deflect Combo\"".<br><br>Puede activar Deflect Combo al usarlo varias veces incluso si no obtiene un Just Guard."""
text0005#0,"""Hay muchas habilidades que alteran las acciones disponibles para Etoile Double Saber <pict ds_icon>. Selecciona tus habilidades con cuidado y personaliza tus acciones de Etoile Double Saber de una manera que se adapte a tu estilo de lucha.<br><br>Double Saber Step Slide<br><yellow>・Durante un Step, use Step nuevamente<c> para pasar a una acción de movimiento suave que le permita controlar su dirección.<br>※La velocidad de movimiento aumenta mientras el bloqueo está activado."""
text0006#0,"""Double Saber Skip Arts<br><yellow>・Use un PA mientras no ingresa una direccion de movimiento<c> para omitir la primera mitad del PA.<br><br><yellow>・Usar un PA mientras ingresas una direccion de movimiento<c> funcionará igual que si no hubieras aprendido esta habilidad."""
text0007#0,"""Double Saber Quick Take<br><yellow>・Después de una PA o Acción de Arma(WA), usa una PA o un ataque normal cuando la marca amarilla en pantalla<c> te indique para acercarte al enemigo a una alta velocidad y atacar.<br><br>Double Saber Step Guard<br><yellow>・Avanza hacia un enemigo justo cuando está a punto de golpearte<c> para protegerte de su ataque y realizar un contraataque de alta velocidad."""
Title#2,"""Etoile Dual Blades <pict du_icon>"""
text0001#2,"""Cuando Dual Blades están equipados con un Etoile, realizan ataques \""Etoile Dual Blade\"" y PA en lugar de los ataques normales de Dual Blades .<br><br>La acción de arma(WA) de Etoile Dual Blades, \""Parry\"", bloquea los ataques enemigos y puede activarse en medio de tus propios ataques, permitiéndote encadenar tus propios ataques mientras conservas la capacidad de defenderte en cualquier momento."""
text0002#2,"""La acción de arma Etoile Dual Blade, Parry, bloquea los ataques desde todas las direcciones. Si bloquea con éxito un ataque, atacará al enemigo con un poderoso contraataque.<br><br>Parry se puede usar en medio de los PAs, ataques normales y otras acciones, por lo que no tiene que romper su flujo en combate para bloquear los ataques enemigos."""
text0003#2,"""Step Edge<br><yellow>・Usa tu acción de arma(WA) durante un Step<c> para lanzar espadas que ataquen a enemigos distantes.<br><br>Use esto para ajustar su posición y asegurarse de que su próximo ataque se conectará."""
text0004#1,"""Cuando aprendes la habilidad \""Etoile Dual Blade Gear\"", se agrega un Gear a la parte superior de la paleta de armas.<br><br>El Gear se llena cuando atacas a los enemigos. Cuando el Gear ha alcanzado un cierto nivel, puedes usar un poderoso ataque llamado \""Connect\"".<br><br>Además, al consumir la barra del Gear completo, puedes realizar un movimiento especial aún más poderoso \""Full Connect\""."""
text0005#1,"""Connect<br><yellow>・Usa tu acción del arma(WA) después de Step Edge cuando el Gear esté al 50% o más<c> para conectar un poderoso ataque de área amplia, que consume el 50% del Gear.<br><br>Full Connect<br><yellow>・Cuando tu Gear esté lleno, usa Connect, luego usa (WA) de nuevo<c> para realizar un ataque especial increíblemente poderoso que consume todo tu Gear. Usa esto sabiamente."""
Title#3,"""Etoile Wand <pict wd_icon>"""
text0001#3,"""Cuando Wand <pict wd_icon> está equipada con Etoile, realiza ataques de \""Etoile Wand\"" y PA en lugar de los ataques del Wand normal.<br><br>La característica principal de Etoile Wand es que sus ataques te permiten moverte libremente mientras los realizas, lo que significa que el combate tiene una gran sensación de fluidez.<br><br>Además, la activación de su Acción de Arma(WA) durante un PA cambia la naturaleza del PA, lo que significa que siempre tiene opciones disponibles."""
text0002#3,"""La activación de la acción de arma(WA) de Etoile Wand en el momento correcto durante un PA alterará el PA, convirtiéndolo en una versión más poderosa pero de menor alcance llamada \""Focus PA\"".<br><br>Evalúe la situación y decida si un PA normal o un Focus PA es más apropiado."""
text0003#3,"""La acción de arma(WA) de Etoile Wand, \""Charge Protection\"", te permite moverte libremente mientras bloqueas los ataques enemigos.<br><br>Además, si ha aprendido \""Etoile Wand Gear\"", puede consumir el Gear para mantener la guardia en alto por más tiempo."""
text0004#2,"""Cuando aprendes la habilidad \""Etoile Wand Gear\"", se agrega un Gear a la parte superior de la Paleta de armas.<br><br>El medidor de engranajes se puede llenar de las siguientes maneras:<br><yellow>・Atacar enemigos<br>・Moviente<br>・Just Guarding<c><br><br>Puedes consumir el Gear para mantener tu guardia con tu Acción de Arma(WA). Si consumes suficiente de tu Gear, activarás el ataque especial \""Protect Release\""."""
text0005#2,"""Protect Release<br><yellow>・Active Charge Protect, mantenga presionado el botón hasta que haya consumido suficiente de su Gear, luego suelte el botón<c> para realizar un poderoso ataque de amplio alcance a su alrededor. Si realiza Liberación de protección mientras ingresa la entrada de movimiento, se moverá rápidamente antes de realizar el ataque.<br><br>※El poder de Protect Release se puede aumentar consumiendo aún más el Gear antes de activarlo."""
Title#4,"""Skill del Etoile"""
text0001#4,"""Etoile tiene muchas habilidades de clase que apoyan a los miembros de tu grupo y a otros jugadores cercanos.<br><br>Para usarlos de manera más efectiva, trate de mantenerse al tanto de las personas que lo rodean y ayúdelos cuando necesiten apoyo."""
text0002#4,"""Over Drive<br>Recupera HP y PP para todos los miembros del grupo, incluido usted. El PP máximo también aumenta durante un período de tiempo.<br><br>Recast Save<br>Reduce el temporizador de reactivación en las habilidades activas de otros miembros del grupo."""
text0003#4,"""Just Guard PP Area<br>Recupera PP para todos los miembros del grupo, incluido tú mismo, cuando conectas un Just Guard a un enemigo.<br><br>Around Mate Up<br>Aumenta la recuperación de HP de los elementos de recuperación para todos los jugadores cercanos y les agrega un efecto de recuperación de PP."""
