11_voice_NPC_5020_101#0,"""Este es un lugar agradable."""
Oza_mb20_020#0,"""No deberías molestarte más."""
Oza_mb20_030#0,"""Frecuentemente me dejaba llevar por las quejas.<br>gracias."""
Oza_mb21_010#0,"""No esperaba saber sobre otras clases que no fueran Hunter antes.<br>Pensé que Hunter era el mejor."""
Oza_mb21_020#0,"""Ahora estoy reflexionando sobre esa actitud.<br>Incluso si sólo está familiarizado con su clase,<br>no se puede cooperar sin conocer a los demás."""
Oza_mb21_030#0,"""Hay muchas clases en ARKS. Conocer otras clases es muy importante."""
11_voice_NPC_5020_104#8,"""Trato de pensar mejor cómo moverse siendo hunter, para luchar junto a otras clases."""
Oza_mb22_020#0,"""Ya es historia del pasado los prejuicios que tenia contra las otras clases.<br>A partir de ahora tengo una visión más amplia."""
Oza_mb22_030#0,"""Simplemente cambiando mi visión, la forma de movimiento cambio mucho.<br>Creo que era bueno conocer a los demas."""
11_voice_NPC_5020_100#8,"""Fue un trabajo duro."""
11_voice_NPC_5020_104#9,"""Aún así, recientemente,<br>me siento muy tenso"""
Oza_mb23_030#0,"""Creo que es exagerado de mi parte pero tengo un mal presentimiento. Ten cuidado."""
11_voice_NPC_5020_100#9,"""¿Estaba bien?<br>Parece que fue muy difícil.<br>Estoy escuchando la situación hasta cierto punto."""
Oza_mb23_after_020#0,"""¿Hay algo que pueda hacer por usted?<br>¿Dime en que puedo ayuda?"""
Oza_mb24_after_010#0,"""Oh, ¡Tu!<br>¿Estaba bien?"""
Oza_mb24_after_020#0,"""Para ser honesto, pensé que tener un compañero sería muy complicado sólo como oponente,<br>pero... Solo es cosa de acostumbrarse."""
11_voice_NPC_5020_101#5,"""Volví con dos personas a salvo.<br>¡¿No es increible?!, Es realmente bueno."""
Oza_mb25_010#0,"""Parece que habran cambios en ARKS otra vez.<br>Todo el mundo ha recibido comentarios positivos sobre la mejora."""
11_voice_NPC_5020_100#10,"""Creo que una de las razones fue que todos peleamos juntos."""
11_voice_NPC_5020_100#11,"""<%me>！<br>Tanto tiempo sin verte. Has estado durmiendo durante bastante tiempo."""
st01_020#0,"""Todo el mundo estaba esperando tu regreso.<br>Contamos con tigo a partir de ahora."""
11_voice_NPC_5020_104#10,"""Hmm, qué debo hacer...<br>Oh, lo siento. Estaba pensando."""
st01_020#1,"""Una clase summoner fue recién creada,<br>¿Las mascotas lucharán juntos?<br>Me pregunto cómo pelearan."""
st01_030#0,"""Es una clase que fue creada con mucho cuidado.<br>Ambos tenemos que hacer un compromiso para que sea más fácil luchar."""
11_voice_NPC_5020_100#12,"""Oh Hola.<br>la tierra es interesante."""
st01_020#2,"""Hay coches parques y se ve como un área urbana.<br>Yo alcancé a ver un resto."""
11_voice_NPC_5020_104#11,"""Luchar contra esas illusión se está haciendo cada vez mas comun,<br>pero simplemente no me puedo acostumbrar."""
st01_020#3,"""Creo que entiendes, pero no hay sentimiento cuando los derribas?<br>Simplemente no me acostumbro.……"""
11_voice_NPC_5020_104#12,"""El problema en el que estás involucrado es cada vez más grande."""
st01_020#4,"""Bueno, supongo que está bien, pero siempre que necesites una mano.<br>o dudes en llamarme."""
st01_010#0,"""¿Es este enemigo una organización que la gente creo?<br>¿Cuál es la razón por la que estan encontra de ARKS?"""
11_voice_NPC_5020_104#13,"""Los Darker atacan a menudo las Naves ARKS,<br>pero almenos no han entrado nunca al área comercial."""
st01_020#5,"""Tendremos que reforzar las medidas de seguridad.<br>El oponente está ves es más molesto que los Darkers."""
st01_010#1,"""Está claro que se vuelve más difícil cuando atacan los Darkers con Phantoms juntos,<br>que cuando atacan por separado."""
11_voice_NPC_5020_104#14,"""Especialmente si la erosión de todas las cosas, la naturaleza de los Darkers, fue recreado como una especie fantasmal...<br>Es peligroso."""
11_voice_NPC_5020_100#13,"""Por favor, deje el apoyo a nosotros.<br>Deje su energía para su propósito."""
11_voice_NPC_5020_100#14,"""Oh, ¿Regresaste?<br>No sé qué pasó,<br>pero al principio estaba bien."""
sq02_010#0,"""出撃回数が落ち着いてきた分は<br>訓練でフォローしている。"""
sq02_020#0,"""普段出来ない連携訓練などに<br>時間を割けて、良い感じだ。"""
11_voice_NPC_5020_104#15,"""終の女神、シバか……<br>まだ【深遠なる闇】が片付いていない<br>というのに、次から次へと……"""
sq13_020#0,"""平和は間近かと思ってたが<br>思わぬ形で逆戻り、だな。"""
ep6_sq00_01#0,"""次の襲撃がいつかもわからん。<br>だからこそ、準備は万全に<br>しておく必要がある。"""
11_voice_NPC_5020_104#16,"""お互い気を引き締めておこう。<br>今までにない危機だからな。"""
11_voice_NPC_5020_108#1,"""くそっ！\u3000まさかこんなことに……<br>……オレが間に合っていれば！"""
ep6_sq01_02#0,"""……いや、例えそうだったとしても<br>俺では実力不足だったか。<br>事実、たどり着けもしなかった。"""
ep6_sq01_03#0,"""だが、まだ希望はある。だろう？<br>お前の表情が語っている。<br>ならば、それに賭けるのみ！"""
ep6_sq02_01#0,"""まさかとは思ったが<br>本当に助けられたとはな。"""
ep6_sq02_02#0,"""オレたちだけでなんとかしなければと<br>考えていたが、そうではないのだな。<br>全員が揃っていなければ意味がない。"""
ep6_sq02_03#0,"""気づかされることばかりだが<br>くよくよしてられんな。<br>ここからは、全力の全力だ！"""
11_voice_NPC_5020_105#1,"""強襲部隊は全滅らしい。<br>……あの規模の攻撃でも<br>厳しいとは、厄介だな。"""
ep6_sq02_01_02#0,"""とはいえ……<br>冷静さを欠いては、敵の思うツボだ。<br>平常心を保ち、戦い続けねばな。"""
