text00#0,"""What do you want to know?"""
Title#3,"""What if a Pet Reaches Lv.100?"""
text01#4,"""After asking Pietro for a \""Limit Break\"",<br>you will be able to further level Pets that have<br>reached Lv.100.<br><br><yellow>It's highly recommended to use high rarity eggs<br>to level Pets after the Limit Break.<br><c>"""
Title#4,"""The Pet Received Damage!"""
text01#5,"""Pets also have HP, which decrease when<br>the Pet takes damage.<br><br>When the Pet's HP value falls to zero, the Pet<br>will be temporarily unable to fight.<br><br>If your Pet's HP goes down, you can either<br>switch to another Pet to let it recover<br>or you can cast a Technique like \""Resta\""<br>from your Subpalette."""
Title#5,"""What Candy Box Items Can I Use?"""
text01#6,"""The following consumables are dedicated to<br>candy boxes:<br><br>■Candy Eraser<br>Erases a candy from the box.<br><br>■Candy Remover<br>Removes a candy to return it to your inventory.<br>Available in the \""Recycle Shop\"".<br><br>■Caramel Crusher<br>Deletes a Caramel Cube from the candy box.<br>Available in the \""Excube Exchange Shop\""."""
Title#6,"""The Pet Fainted!"""
text01#7,"""When the Pet's HP value falls to zero, the Pet will be<br>unable to fight. After a period of time, it will regain<br>consciousness and be ready to fight again.<br><br>Unconscious Pets will recover after the<br>incapacitation period regardless of being<br>active, use that to your advantage and switch<br>to another Pet or weapon instead.<br><br>The incapacitation period will vary depending on<br>the Pet type."""
Title#7,"""Evolve The Pet's Rarity?"""
text01#8,"""\""Pet Rarity Evolution\"" is a feature that increases<br>the Pet's level cap by upgrading its rarity.<br><br>Go to the Pet Lab, then use an egg having<br>the same type and higher rarity than one<br>of your Pets to evolve it.<br><br>The name, level, increased stats, candy box<br>and attributes will be inherited, the personality<br>of the evolved Pet can be changed."""
Title#8,"""I Want to Compress Candies!"""
text01#9,"""Candy Compression is a feature that<br>reduces the size of a candy to help<br>you fill you box with more candies.<br><br>Candy compression can be used on<br>set and unset candies.<br>"""
Title#9,"""Candy Box Spots are Already Taken!"""
text01#10,"""There are some places in the candy box<br>where candies can't be placed.<br><br>■Jelly Cubes<br>  They will automatically be removed when<br>  the Pet reaches level 50.<br><br>■Caramel Cubes<br>  They can be removed using \""Caramel Crusher\"".<br><br>■Paper Cubes<br>  They can not be removed."""
Title#10,"""The Pet's Personality?"""
text01#11,"""Pets differentiate based on their personality.<br>Some of them are listed below.<br><br>・Enjoys the Sun<br>  Increased damage when<br>  the weather is clear.<br><br>・Fervent<br>  Low change to survive a lethal<br>  blow, increase power and temporary<br>  gain invulnerability.<br><br>・Docile<br>  Increased damage on enemies<br>  suffering from a Status Effect."""
text02#3,"""・Diligent<br>  Increased damage and higher<br>  PP consumption.<br><br>・Adept<br>  Increased PP recovery from attacks.<br><br>・Serene<br>  Heals the previous Pet's HP when changing<br>  Pets after a period of time.<br><br>The \""Personality\"" can be changed by using<br>a different egg when you \""Evolve Pet Rarity\""<br>at the Pet Lab."""
Title#11,"""Maron/Melon's Features"""
text01#12,"""Maron and Melon gradually inflate after getting<br>hit, that will increase the power of a specific PA.<br><br>・PA Power boost<br>\""Maron Strike\""<br>\""Melon Strike\""<br><br>The Pet will faint after using the PA in exchange<br>for massive damage.<br>Be careful when Maron reaches its last stage, the<br>Pet will explode after a period of time and damage<br>the owner."""
text02#4,"""The difference between Maron and Melon:<br><br>・Maron Strike<br>  Because Maron requires more hits to reach<br>  the last stage, the damage of the strike will<br>  consequently be higher.<br>  Pay attention to Maron's self-destruction when<br>  it gets to the last stage.<br><br>・Melon Strike<br>  On the other hand, Melon requires less hits to<br>  reach the last stage, but the power of the strike<br>  will in result be much lower.<br>  Unlike Maron, you can throw Melon multiple times<br>  by using the PA again when the Pet hits the target."""
Title#12,"""What's the Pet Attribute Cap?"""
text01#13,"""Depending on the rarity, Pets will have<br>a different attribute cap.<br><br>・★1~12  <yellow>max. 50<c><br>・★13+   <yellow>max. 60<c><br><br>Attribute values exceeding the rarity cap<br>will be truncated."""
Title#13,"""Viola's Features"""
text01#14,"""You can change the performance of Viola by<br>using the \""Viola Change\"".<br>After Viola change, the following adjustments<br>will be applied:<br><br>・Increased offensive and defensive power<br>・Slower PA animation<br>・Slower PP recovery<br><br>Activate it again to return to the previous form.<br><br>Make sure to adapt yourself to the situation<br>and use the two different forms to your advantage."""
Title#14,"""Synchro's Features"""
text01#15,"""Synchro has an ability that <yellow>increases its power<c><br>as you successively \""combo\"" different PAs.<br><br>After using the first PA, the second PA that<br>you successively \""combo\"" will get<br>the damage boost.<br><br>\""Synchro Geki\"" will consume the accumulated<br>\""combo power\"" to increase the PA damage."""
text02#5,"""A mark will display around the player<br>when Synchro reaches the 3rd \""combo\"".<br>You can use that mark as an indicator<br>for the activation of \""Synchro Geki\"".<br><br><red>The \""combo\"" chain will end if the Pet<br>performs anything other that a PA.<c><br>Focus on your PA combo to take advantage<br>of Synchro's combat abilities."""
Title#15,"""Pet's Form Evolution!"""
text01#16,"""Some Pets will change to a different form after<br>using a specific egg when you evolve their rarity.<br><br>In addition to the appearance, the evolution<br>will modify some Photon Arts and increase<br>the cap of the bonus stats.<br><br>The Pet will also inherit the level, the increased<br>stats and candy box of the previous Pet.<br><br><c ff4f3f>※You can't return to the previous form after the evolution.<c>"""
text02#6,"""Check the item details of your eggs to find out<br>if you can use them to evolve your Pets."""
Title#16,"""Redran's Features"""
text01#17,"""The main particularity of Redran is the ability<br>to lock on targets and use homing attacks.<br><br>The homing PA have the following characteristics:<br><br>・Redran Laser<br>  Hold the PA button to lock on enemies, then release<br>  the lasers to hit the targets.<br><br>・Redran Burst<br>  Lock on a target then hold the PA button to load<br>  additional charges."""
text02#7,"""The homing attacks can also be used<br>to active another PA.<br><br>・Redran Mine<br>  Redran Laser, Redran Gravity and<br>  Redran Burst can all be used to trigger<br>  and release the detonation.<br><br>Make a good use of its homing attacks<br>if the occasion arises."""
