11_voice_NPC_5242_101#0,"""Ah, my friend! You have the best timing!"""
11_voice_NPC_5242_102#0,"""具現武装というのは、地球人にとっての<br>子供達みたいなものだろう！<br>それを折るなんてとんでもない！"""
st01_020#6,"""とってもとってもとーっても<br>痛くて苦しいはずだよ！<br>本人も、その子供達もね！"""
11_voice_NPC_5242_100#8,"""痛みや辛さ、苦しさを越えた先に<br>新たな力、新たな輝きがある！<br>具現武装も、同じなんだね！"""
st01_020#7,"""もちろん、サモナーも同じだよ！<br>だから僕は、愛する子供達の<br>痛みや辛さを受け止めているのさ！"""
11_voice_NPC_5242_108#0,"""アースガイドの指導者……<br>彼は悲しい存在だね。<br>自分の友を、信じられなかったんだ。"""
st01_020#8,"""無償の愛と、それを見守り続ける<br>勇気さえあれば、大概のことは<br>なんとかなるというのに……"""
st01_030#2,"""そう、僕の愛する子供達と<br>僕自身のように！<br>わかるよね、マイフレンド！"""
11_voice_NPC_5242_100#9,"""マイフレンド！\u3000君にはずーっと<br>お世話になってきたからね！<br>僕と僕の子達も精一杯協力するよ！"""
11_voice_NPC_5242_101#2,"""あぁ、マイフレンド！\u3000おかえり！<br>僕の子達も喜んでいるよ！"""
sq01_020#0,"""というかマイフレンドがいないときは<br>彼らも寂しかったのか愛情表現が<br>苛烈でね！\u3000ほんと、無事でよかった！"""
sq02_010#0,"""やぁ、マイフレンド！<br>皆とは違い、なんだか忙しそうだね！"""
11_voice_NPC_5242_100#10,"""僕の子達も君のことを心配しているよ！<br>何をしているかは秘密だろうけど<br>あまり無理はしないように！"""
11_voice_NPC_5242_100#11,"""やあマイフレンド！<br>大変なことになっているね！"""
sq13_020#0,"""復讐、とは穏やかじゃない台詞だよ！<br>そんな心持ちで、いったい何を<br>幸せにできるというのか！"""
sq13_030#0,"""自分が苦しんだ分、他者には幸せを<br>振りまいてこそ、だというのに……<br>僕の子達も嘆いているよ！"""
11_voice_NPC_5242_102#1,"""This threat from the unknown arouses everyone's anxiety...<br>It clouds their faces and fills their hearts with sighs!"""
ep6_sq00_02#0,"""Yet even at this time, you are cool as a cucumber, my friend! Yes, there is simply nothing that can frighten you! Ah, if only I saw as you do."""
ep6_sq00_03#0,"""I do not want my children to worry, so I am giving them even more love than usual!"""
ep6_sq01_01#0,"""Ah, I'm glad you are safe after what happened, my friend...!<br>My beloved children were crying, they were so worried!"""
ep6_sq01_02#0,"""No matter how much they destroy in their anger and hatred, our enemies will never be satisfied..."""
11_voice_NPC_5242_108#1,"""...If only love of the kind I feel for my children had been permitted in the Photoner era, how differently things might have gone."""
11_voice_NPC_5242_100#12,"""We were in a desperate situation, but your success has brought smiles back to the faces of my beloved children!"""
ep6_sq02_02#0,"""Thank you, my friend! My worry about my children was keeping me from sleeping at night. Their relief is second only to my own!"""
11_voice_NPC_5242_100#13,"""Hello, my friend! These busy times seem that they shall never end!"""
ep6_sq02_01_02#0,"""But I have no complaints! I can watch my beloved children go about their tasks so enthusiastically!"""
ep6_sq02_01_03#0,"""Just watching my children hard at work sweeps my fatigue away. You feel the same, do you not?"""
ep6_sq04_01_01#0,"""Ah, my beloved children! Each and every one of them is bursting with their own lovable personality!"""
ep6_sq04_01_02#0,"""For me, the chance to watch my children grow as they work hard is a treasure that is irreplaceable!"""
11_voice_NPC_5242_101#3,"""To protect this treasure...<br>I will spend every minute, every second that I can lavishing my love upon my children!"""
text01#2,"""いよいよ最終局面という感じだね！<br>あともうひと頑張りだよ！"""
11_voice_NPC_5242_100#14,"""ここにきて、子供達も顔つきが<br>凜々しくなってるんだ。<br>覚悟が決まってるようで、頼もしいよ！"""
text03#0,"""さあ、みんなで愛に満ちた平和な世界を<br>手に入れようじゃないか！"""
text01#3,"""マイフレンド、無事に帰ってきたね！<br>僕の子供達も喜んでいるよ！"""
text02#1,"""悲しみの連鎖が断たれた今<br>皆も一層、愛情を与え合うことの<br>大切さに気づくだろう！"""
11_voice_NPC_5242_101#4,"""たくさんの苦しさや辛さを超えて<br>ついに訪れた平和……僕はこれからも<br>毎日毎分毎秒、子供達に愛を注ぐよ！"""
