Title#0,"""魔神城戦"""
OnDefencePhase1End1#0,"""再度破界鎚を召喚し障壁を攻撃します！<br>マナを回収して、召喚する<br>破界鎚の数を増やしましょう！"""
OnDefencePhase1End2#0,"""破壊鎚召喚中！<br>攻め込む準備をして下さい！"""
OnAttackPhase1End0#0,"""破界鎚の消滅、及び敵増援を確認！<br>再侵攻が予測されるため<br>破界塔の守りを固めて下さい！"""
OnAttackPhase1End1#0,"""破界鎚の消滅、及び<br>再度敵増援を確認！<br>破界塔の守りを固めて下さい！"""
OnAttackPhase1End2#0,"""破界鎚の全破壊、及び<br>再度敵増援を確認しました！<br>破界塔の守りを固めて下さい！"""
OnDefencePhaseEndByTimeOver#0,"""敵軍の動きに変化を確認しました！<br>一部エネミーは自爆してきますよ！<br>注意して下さい！"""
OnDefencePhaseEnemyDecrease0#0,"""敵軍、数が減ってきています！<br>このまま押し切りましょう！"""
OnDefencePhaseEnemyDecrease1#0,"""敵軍、残りあとわずかです！<br>あと少しですよ！"""
OnWaveHapping#0,"""魔神城に不穏な動き有り！<br>妨害を仕掛けてきそうです！<br>各員は状況に応じ行動して下さい！"""
OnRamCountIncrease#0,"""一定量のマナを回収しました！<br>より多くの破界鎚が召喚できます！<br>引き続きマナを回収しましょう！"""
OnBaseHpDecrease0#0,"""$(0)破界塔の損傷拡大！<br>至急救援に向かって下さい！"""
OnBaseHpDecrease1#0,"""$(0)破界塔、もう持ちません！<br>大至急救援をお願いします！"""
OnBrokenBase0#0,"""破界塔の機能停止を確認！<br>残るは３つです！\u3000まだ余裕は<br>あります！\u3000焦らずに行きましょう！"""
OnBrokenBase1#0,"""２つ目の破界塔も機能停止しました！<br>予断を許さない状態です！<br>注意して下さい！"""
OnBrokenBase2#0,"""３つ目の破界塔、機能停止！<br>残る１つは必ず死守して下さい！"""
OnBrokenBase3#0,"""全ての破界塔の停止を確認。<br>残念ですが、これ以上の<br>戦闘継続は不可能です。"""
OnBossDeadlySkill#0,"""魔神城から超巨大エネルギー反応！<br>このままだと拠点が危ないです！<br>全力で凌いで下さい！"""
OnHpGaugeDecrease0#0,"""自軍の損傷拡大中！<br>これ以上被害が大きくなれば<br>撤退することになります！"""
OnHpGaugeDecrease1#0,"""自軍の損傷甚大！\u3000これ以上は<br>耐えられません！\u3000破界塔を守り<br>被害を最小限に抑えて下さい！"""
OnTimeDecrease0#0,"""戦闘可能時間、残り半分です！<br>戦局がこちらに傾いていれば勝利ですが<br>可能であれば魔神城を撃破して下さい！"""
OnTimeDecrease1#0,"""戦闘可能時間、残りわずかです！<br>あと少し、最後まで諦めずに<br>頑張って下さい！"""
OnSuccessTimeover#0,"""敵軍の撤退を確認しました！<br>損傷もさほど大きくなく<br>我々の勝利ですよ！"""
OnSuccessBreakGauge#0,"""魔神城の消滅を確認！<br>我々の完全勝利です！"""
OnSuccessReturn#0,"""それでは帰還して下さい。<br>お疲れ様でした！"""
OnFailureTimeover#0,"""破界塔の損傷を確認。<br>これ以上の戦闘は難しいです。<br>一度退却しましょう。"""
OnFailureAnnihilationBase#0,"""全破界塔の機能停止を確認……<br>これ以上の戦闘継続は難しいので<br>一度退却しましょう。"""
OnFailureReturn#0,"""残念ですが……仕方がないです。<br>帰還して下さい。"""
NpcComMsg1#0,"""まもなく魔神城戦です！<br>既に障壁の展開も確認されており<br>激戦が予想されます。"""
NpcComMsg2#0,"""破界鎚を召喚して障壁を破壊し<br>魔神城に接近、これを撃破して下さい。<br>健闘を祈ります！\u3000頑張って下さい！"""
