11_voice_NPC_5213_100#0,"""あ……<%me><br>えっと、その、ちょっといい？"""
11_voice_NPC_5213_100#5,"""はー……なんでだろう<br>記憶はあんまり残ってないけど<br>今、すごい、解放感がある。"""
Matoi_13_020#0,"""昔のわたし、できないことが多くて<br>息苦しい思いでもしてたのかな？<br>ふふっ、だとしたら今は幸せなのかも。"""
11_voice_NPC_5213_104#2,"""あの、大きなモニターの情報って<br>どうやって集めてるのかな？<br>原理といい、不思議だよね。"""
11_voice_NPC_5213_105#3,"""アークスシップって、二百年以上前から<br>宇宙に出てるんだよね？<br>どうして宇宙に出ようと思ったのかな？"""
Matoi_15_020#0,"""……んー、冒険したいからなのかなぁ。<br>調べても、それ以前の歴史は<br>見つからなくってさ。"""
11_voice_NPC_5213_105#4,"""フォトンって、そこらの大気中に<br>あるものなんだよね？"""
Matoi_16_020#0,"""日常的にあるものなのに、どうして<br>フォトンが扱える人と扱えない人に<br>分かれちゃうんだろうね。不思議。"""
11_voice_NPC_5213_100#6,"""本や資料を読むのって、面白いね。<br>わたし、激しくは動けないから<br>そういうのを読みあさってるの。"""
Matoi_17_020#0,"""ひとつの資料を見るだけじゃなく<br>複数を照合すると見えてくるもの、とか<br>うん、なんだかとっても刺激的だよ。"""
11_voice_NPC_5213_100#7,"""あ、おかえりなさい。<br>それとも、おはよう、かな？"""
Matoi_18_020#0,"""たはは……アークスのみんなって<br>時間が不規則だから、挨拶に困るね。<br>でも、うん、おはよう。"""
11_voice_NPC_5213_104#3,"""大丈夫？\u3000無理してない？<br>隠してもわかるよ、表情が怖いもん。<br>ぜったい、ぜったいに無茶しないでね。"""
11_voice_NPC_5213_104#4,"""あ……<%me><br>その……えっと、気を付けて、ね？<br>わからないけど、嫌な予感がするの。"""
11_voice_NPC_5213_105#5,"""なんだか、悲しい感じがする……<br>大気中のフォトンが、そんな感じ。<br>なんでだろう、なんでだろう……？"""
11_voice_NPC_5213_100#8,"""なんだろう、空気がふわふわしてるね。<br>みんなの気持ち、なのかな？<br>ふふっ、ちょっと面白いかも。"""
11_voice_NPC_04_104#0,"""<%me><br>その……大丈夫？<br>大変な事ばかり起きてるから、心配。"""
Matoi_mb9_020#0,"""気のせいならいいんだ。<br>でも、あんまり抱え込まないでね。"""
Matoi_mb9_030#0,"""辛いときは、辛いって言うべきだよ？<br>そうしないと、誰も気付いてくれないし<br>ひとりぼっちになっちゃうから……"""
11_voice_NPC_04_104#1,"""あ……<%me><br>探している龍は見つかった？"""
Matoi_mb10_020#0,"""暴走しているって話だけど<br>どうして暴走しちゃったんだろう。<br>……何が、あったんだろう。"""
Matoi_mb10_030#0,"""……すごくイヤな感じがする。<br>気をつけてね、ほんとうに。"""
11_voice_NPC_04_100#0,"""このまえ言ってた戦技大会って<br>様子が中継とかされるみたいだよ。"""
Matoi_mb11_020#0,"""だから、なんていうか……<br><%me>の<br>戦いぶりも見てみたいな、なんて……"""
Matoi_mb11_030#0,"""純粋な興味でもあるんだけど……<br>何か見たら思い出すんじゃないかって<br>そんな気もして、さ。"""
11_voice_NPC_5213_104#5,"""<%me>。<br>顔がこわばってるよ、大丈夫？<br>何かあったの？"""
Matoi_mb12_020#0,"""何もないならそれでいいけど……<br>あんまり一人でため込みすぎないでね"""
11_voice_NPC_5213_106#0,"""<%me>……<br>わたしは、大丈夫だよ。<br>自分でも驚くくらい、落ち着いてる。"""
Matoi_mb13_020#0,"""シオンさんのことも、信じてる。<br>だって、あのひとはあなたに<br>笑いかけてたから。"""
Matoi_mb13_030#0,"""……そう見えなかった？<br>ううん、そんなことないよ。<br>笑ってた、絶対に。"""
11_voice_NPC_5213_100#9,"""シオンさんのことは<br>誰にもいってないよ。<br>余計な心配かけちゃいそうだし……"""
Matoi_mb14_020#0,"""だから、シオンさんのことは<br><%me>と<br>わたしの秘密、だね。"""
Matoi_mb14_030#0,"""……ふふっ、なんだろう。<br>なんだか懐かしいな、こういうの。"""
11_voice_NPC_5213_100#10,"""<%me>。<br>なんだか、ぴりぴりしてるね。"""
Matoi_mb15_020#0,"""あなたじゃなくて、周りが。<br>なんだろう、何があるんだろう。<br>何かが変わってきてる、気がする。"""
Matoi_mb16_010#0,"""<%me>。<br>大丈夫？\u3000何かヘンな事に<br>巻き込まれてたりしない？"""
11_voice_NPC_5213_104#6,"""最近、ちょっと空気が冷たいというか<br>怖い感じが、するの。<br>何もなければいいんだけど……"""
11_voice_NPC_5213_104#7,"""あ、<%me>。<br>うん、わたしの身体は大丈夫だよ。"""
Matoi_mb16zeno_020#0,"""フィリアさんからは、無理は禁物って<br>武器も取り上げられちゃったけど……<br>身体は本当に、なんともないの。"""
Matoi_mb16zeno_030#0,"""……これも<br>シオンさんのおかげなのかな。<br>……シオンさん。"""
11_voice_NPC_5213_100#11,"""ふふっ、嬉しいな。<br>だって、これからはわたしも<br>一緒に任務へ行けるんだもん。"""
Matoi_mb18_020#0,"""<%me>の<br>お手伝いをできると思うと<br>本当に、嬉しいの。"""
Matoi_mb18_030#0,"""みんなを守るために<br>一緒に頑張ろうね。"""
11_voice_NPC_5213_104#8,"""検査って、なんでやらなくちゃ<br>いけないんだろうね。<br>わたし、こんなに調子がいいのに……"""
Matoi_mb19_020#0,"""……わ、わかってるよ。<br>ちゃんと検査とか、受けるよ。<br>フィリアさんに怒られちゃうもん。"""
11_voice_NPC_5213_100#12,"""みんなわたしのことを心配して<br>言ってくれてるんだもんね。<br>……言われたら、行くよ。うん。"""
11_voice_NPC_5213_100#13,"""また一緒に任務へ行けるね。<br>ふふっ、嬉しいな。"""
Matoi_mb20_020#0,"""あ、ちゃんと検査も受けたよ。<br>だから大丈夫、心配しないでね。"""
Matoi_mb20_030#0,"""<%me>も<br>無理しちゃダメだよ。<br>一緒に頑張ろうね。"""
11_voice_NPC_5213_105#6,"""身体の調子はとてもいいんだけど……<br>検査しなくちゃいけないんだって。"""
Matoi_mb21_020#0,"""ほんとは一緒に行きたかったけど<br>フィリアさんに怒られちゃうし<br>検査も大事、だよね……"""
Matoi_mb21_030#0,"""<%me><br>気をつけて行ってきてね。<br>無理しちゃダメだよ？"""
11_voice_NPC_5213_100#14,"""ふふっ、次の任務は一緒だね。<br>嬉しいな。"""
Matoi_mb22_020#0,"""あ、もちろん検査の結果も<br>体調もばっちりだよ。<br>心配しなくても大丈夫。"""
11_voice_NPC_5213_104#9,"""<%me><br>わたし、頑張るからね。"""
11_voice_NPC_5213_100#15,"""会う人みんなが、声をかけてくれるの。<br>大丈夫だった？\u3000無事でよかったって。"""
Matoi_mb23_020#0,"""だから頑張らないとなって思う。<br>心配してくれたみんなのためにも。"""
11_voice_NPC_5213_101#2,"""わたしなら大丈夫。<br>みんなのために、頑張るよ。"""
11_voice_NPC_5213_100#16,"""わたし、戻ってこれて良かった。<br>みんなが、喜んでくれたの。<br>おかえりって。"""
Matoi_mb24_after_020#0,"""それと、すごく怒ってくれたの。<br>勝手にいなくなるなって。<br>寂しくて悲しかったって。"""
Matoi_mb24_after_030#0,"""フィリアさん、泣いてくれた。<br>おかえりって言いながら<br>心配したんだって怒ってくれた。"""
11_voice_NPC_5213_101#3,"""<%me>。<br>わたしを救ってくれてありがとう。<br>帰ってこれて、良かった。"""
11_voice_NPC_5213_100#17,"""まだ無理はしちゃダメっていうから<br>一緒に任務はいけないんだけど……<br>わたしも手伝いたかったな。"""
Matoi_mb25_020#0,"""<%me>。<br>気を付けて、任務に行ってきてね。<br>無理は禁物だよ。"""
11_voice_NPC_5213_100#18,"""<%me>！<br>やっと会えたね！<br>ずーっと我慢してたんだよ、わたし！"""
st01_020#0,"""すぐにでも会いに行きたいって<br>思ってたけど、やることもあって……<br>でも、ようやく会えた！"""
st01_030#0,"""喜んでばかりもいられない状況だけど<br>……わたしたちが一緒なら<br>大丈夫だよね、きっと。"""
11_voice_NPC_5213_100#19,"""アル君がダークファルスだった、か……<br>……今聞けば納得できるかも。"""
st01_020#1,"""わたし、アル君と初めて会った時に<br>なんだか懐かしい、って感じがしたの。"""
st01_030#1,"""あれは、多分お互いの中に<br>闇に飲み込まれていたころの記憶が<br>あったからだと思う。"""
st01_040#0,"""アル君はきっと【深遠なる闇】の中から<br>生まれてきた存在なんだろうから……<br>懐かしくも、なっちゃうよね。"""
11_voice_NPC_5213_106#1,"""……あ、<%me>。<br>ごめん、ぼうっとしてた。<br>ちょっとマザーのことを考えてて。"""
st01_020#2,"""あの人も、シオンさんと同じで<br>ずっと孤独で寂しかったんだよね。"""
st01_030#2,"""だから、今度こそわたしたちで<br>なんとかしてあげたかったなぁ、って。"""
st01_040#1,"""わたしは守護輝士だけど……<br>まだまだだなあ、って……思うんだ。"""
st01_010#0,"""マザーから、アルくんを取り戻した<br>ヒツギちゃんの具現武装「天叢雲」。"""
st01_020#3,"""あれにシャオくんが注目してるみたい。<br>ヒツギちゃんに協力お願いしてたし。<br>無茶言ってなければいいんだけど。"""
sq00_010#0,"""……<%me>。<br>いよいよ、この時が来たんだね。<br>頑張ろうね。"""
sq00_020#0,"""あの人を……絶対に助け出すんだ。<br>永遠と続く輪廻から、解放して<br>あげないと……うん。"""
sq01_010#0,"""<%me>。<br>ありがとう、あの時わたしを<br>かばってくれて。"""
sq01_020#0,"""でも、次からはああいうの<br>絶対にやめてね。<br>残される方は、本当に辛いんだよ。"""
11_voice_NPC_5213_106#2,"""……え、わたしも前にやった？<br>それを言われると……あはは……"""
sq01_040#0,"""とにかく、無事でよかった。<br>まだ、問題はいっぱいだけど<br>一緒に頑張っていこうね。"""
sq02_010#0,"""ハリエットって子のお兄さんが<br>よりにもよって、あのルーサー……"""
sq02_020#0,"""<%me>……<br>これって、オメガの中だけの話だよね。<br>ルーサーに妹なんていなかったよね。"""
sq02_030#0,"""ハリエットさん、こっちのルーサーとも<br>何か関係があったのかなって思うけど<br>……何もないんだよね、きっと。"""
sq02_040#0,"""それにしても、ルーサーが兄って……<br>……うう、想像したくないかも。"""
11_voice_NPC_5213_105#7,"""この前のダーカー……<br>明らかに今までのと違ったよね。"""
sq03_020#0,"""あれがオメガの影響によるものなら<br>放っておいたら大変なことになる。<br>わたしたちが頑張らないと。"""
sq04_010#0,"""嫌な予感、って言えばいいのかな<br>理由はわからないんだけど……<br>なんだか、そういうのを感じるの。"""
11_voice_NPC_5213_105#8,"""気のせいだったらいいんだけど<br>……あんまりこういうのって<br>気のせいだったことがない、かな。"""
sq04_030#0,"""……あ、ごめんなさい。<br>不安にさせるだけだよね、これじゃ。"""
sq04_040#0,"""<%me>と<br>シエラちゃんのコンビなら<br>大丈夫、絶対に大丈夫だから。"""
sq05_010#0,"""フォトナー関連のことばかり起きる。<br>それって、【深遠なる闇】が影響<br>してるからなのかな？"""
sq05_020#0,"""……だって、さ。<br>【深遠なる闇】の素体は【仮面】。<br>フォトナーとの繋がりは薄いよね。"""
11_voice_NPC_5213_102#0,"""なんだか、もっと他の……<br>フォトナーに近い何かの影響が<br>あるんじゃないかな。"""
sq06_010#0,"""<%me>。<br>本当に大丈夫？<br>フィリアさん呼ぶ？\u3000浄化する？"""
11_voice_NPC_5213_102#1,"""ルーサーみたいになっちゃったら<br>ほんっと、わたし、嫌だからね。<br>何かあったら言ってね。絶対に。"""
11_voice_NPC_5213_102#2,"""シオンさんのような容姿の<br>クラリッサさん……か。<br>わたしも会ってみたかったかも。"""
sq08_020#0,"""わたし、ずっとその人に……<br>白錫クラリッサに助けてもらってた。<br>お礼とか言いたかったなあ、って。"""
11_voice_NPC_5213_105#9,"""いや、いきなりそんなこと言っても<br>向こうはちんぷんかんぷん、だよね。<br>……それでも、見てみたかったかも。"""
sq10_010#0,"""みんな無事に戻ってこられたみたい<br>だけど、記憶が曖昧みたいで<br>何があったか教えてくれないの。"""
11_voice_NPC_5213_105#10,"""シエラちゃんもそれについては<br>口が堅くて、教えてくれないし……"""
sq10_030#0,"""ねえ、<%me><br>あなたなら知ってるよね。<br>一体何があったのかな？"""
11_voice_NPC_5213_107#0,"""え、とても言えない……？<br>……うう、そう言われると<br>ますます気になっちゃう……！"""
11_voice_NPC_5213_105#11,"""それにしても、【若人】の騒動と<br>【双子】の騒動は、どうして同時に<br>起きなかったんだろうね。"""
sq11_020#0,"""同時に起こってたら、あなたの手が<br>回らなくて大変なことになっちゃうし<br>良い事だとは思うんだけどさ。"""
sq11_030#0,"""……【若人】による一連の騒動が<br>終わるのを待ってたかのよう。<br>何か理由があったりするのかな？"""
sq12_010#0,"""ブラックホールとか、どうすれば<br>いいのかわからないけど……<br>それでも、諦めたりしないよ。"""
sq12_020#0,"""だってわたしたちはさ<br>みんなが憧れる守護輝士、だもんね。"""
sq12_030#0,"""絶対に諦めないし、なんとかする。<br>出来ることは全部やってみて<br>……そして、守ってみせるんだ。"""
sq12_040#0,"""そうだよね<br><%me>！"""
sq13_010#0,"""あの時はわたしも<br><%me>も<br>死力を尽くした後だったけど……"""
sq13_020#0,"""わたしたちの力、全然通じなかった。<br>力の差とか、そういうのじゃない。<br>あれは、どういうことなんだろう。"""
11_voice_NPC_5213_109#0,"""終の女神・シバ……<br>あんな風に、ぜんぜん攻撃が<br>効かない相手ははじめてだった。"""
11_voice_NPC_5213_102#3,"""……強い相手だと思うけど<br>みんなを守るために<br>一緒にがんばろうね。"""
11_voice_NPC_5213_108#0,"""アルマさん、大丈夫かな……<br>早く、体調がよくなるといいね。"""
11_voice_NPC_5213_109#1,"""……もっとわたしに<br>力があれば、こんなことには<br>ならなかったのかな……"""
11_voice_NPC_5213_108#1,"""……ううん、そうじゃない、よね。<br>悲しんだりするよりも動かなきゃ。"""
ep6_sq01_03#0,"""もう一度シャオくんに会えるように<br>がんばろうね。<br><%me>。"""
11_voice_NPC_5213_106#3,"""マザーシップへ急ごう。<br>シャオくんが危ない……！"""
ep6_sq01_00_01#0,"""敵が次から次へと押し寄せてくる。<br>うう、息つく暇もないよ……"""
ep6_sq01_00_02#0,"""でも、こんな状況なのに<br>誰ひとり諦めていない……<br>みんなも、あなたも。"""
ep6_sq01_00_03#0,"""アムドゥスキアに着けば、きっと……！<br>わたしもがんばらなきゃ！"""
11_voice_NPC_5213_100#20,"""シャオくんが戻ってきてくれたね。<br>今はみんなと一緒に、ここにいる。<br>取り戻せて、本当によかった。"""
ep6_sq02_02#0,"""今度こそ<br>シバたちから、みんなを守ろうね！<br>力を合わせれば、きっと……！"""
ep6_sq02_01_01#0,"""市街地の被害<br>少なく済んでよかったね。<br>ミトラも撃退できたみたいだし。"""
ep6_sq02_01_02#0,"""でも、A.I.Sの部隊は<br>全滅しちゃったんだって……<br>しかも、シバひとりに。"""
ep6_sq02_01_03#0,"""強さが桁違いで心配だけど……<br>わたしたちなら、きっと勝てるよね。<br>うん、がんばろう！"""
ep6_sq02_02_01#0,"""シバひとりの力が<br>アークス全員と同じくらいだなんて……<br>普通に戦っても、通じないわけだね。"""
ep6_sq02_02_02#0,"""でも、結灰陣の力があれば<br>きっとなんとかなるよね！"""
ep6_sq02_02_03#0,"""それから、こんな時だけど……<br>わたし、スクナヒメとコトシロさんに<br>会いに行けるのが嬉しいな。"""
ep6_sq03_02_01_01#0,"""<%me>……<br>スクナヒメとコトシロさんは<br>なんとか無事だったよ。"""
11_voice_NPC_5213_108#2,"""わたしも大丈夫だって<br>フィリアさんに言ってるんだけどな。<br>ちょっと痛いだけだし……"""
ep6_sq03_02_01_03#0,"""……ごめん、余計心配かけちゃうね。<br>あなたも怪我をしたんだから<br>無理しないで休んでね。"""
