11_voice_NPC_5057_101#0,"""อ้าว มาพอดีเลย<br>มานี่สิ มีของจะให้นะ"""
Alice_01_40#0,"""และสิ่งมีชีวิตที่บ้าคลั่งไปนั้นก็จะ<br>เข้าโจมตี ARKS อย่างพวกเรา<br>ไม่ต่างอะไรจากพวก D-arkers """
Alice_01_50#0,"""ผู้ที่จะสามารถกำจัด D-arkers ให้สิ้นซากได้จริงๆ <br>ก็มีเพียงแค่ ARKS ที่ใช้ Photon เท่านั้น"""
Alice_01_60#0,"""เพราะฉะนั้น ถึงจะปวดใจ<br>แต่พวกเรา ARKS ก็จำเป็นต้องทำ<br>......แม้ว่าจะรู้สึกขมขื่นแค่ไหนก็ตาม"""
Alice_01_10#1,"""ダーカー以外の生物と戦うことを<br>どう思うか、ね。<br>私も考えたことあるわよ、それ。"""
Alice_01_20#1,"""どう思うか、よりも<br>どうやって割り切るか、だと<br>私は思っているわ。"""
Alice_01_30#1,"""知っての通り、フォトン以外の力で<br>ダーカーを倒しても、その残滓が残り<br>周囲の生物を狂わせていくわ。"""
Alice_01_40#1,"""そして、凶暴化した生物は例外なく<br>ダーカーと同様に、我々アークスを<br>襲ってくるようになる。"""
Alice_01_50#1,"""ダーカーを完全に消し去れるのは<br>フォトンを扱えるアークスのみ。"""
Alice_01_60#1,"""だから、たとえ良心の呵責があろうとも<br>私達アークスがやらなければならない。<br>……どんなに辛くても、ね。"""
11_voice_NPC_5057_106#0,"""ที่ Dark Falz คืนชีพขึ้นมานี่ ว่ากันตรงๆ <br>เหนือความคาดหมายไปหน่อยนะ"""
Npc57_mb9_020#0,"""แม้แต่คนอย่างชั้นเองก็คงไม่ใช่เวลา<br>มามุดหัวอยู่แต่ในยานแล้วล่ะมั้ง"""
11_voice_NPC_5057_106#1,"""ダークファルスの復活、というのは<br>正直予想外の事態ね。"""
Npc57_mb9_020#1,"""私ものんびりと隠居している<br>場合じゃないのかもしれないわ。"""
11_voice_NPC_5057_106#2,"""ที่ Dark Falz คืนชีพขึ้นมานี่ ว่ากันตรงๆ <br>เหนือความคาดหมายไปหน่อยนะ"""
Npc57_mb10_020#0,"""แม้แต่คนอย่างชั้นเองก็คงไม่ใช่เวลา<br>มามุดหัวอยู่แต่ในยานแล้วล่ะมั้ง"""
11_voice_NPC_5057_106#3,"""ダークファルスの復活、というのは<br>正直予想外の事態ね。"""
Npc57_mb10_020#1,"""私ものんびりと隠居している<br>場合じゃないのかもしれないわ。"""
11_voice_NPC_5057_106#4,"""ที่ Dark Falz คืนชีพขึ้นมานี่ ว่ากันตรงๆ <br>เหนือความคาดหมายไปหน่อยนะ"""
Npc57_mb11_020#0,"""แม้แต่คนอย่างชั้นเองก็คงไม่ใช่เวลา<br>มามุดหัวอยู่แต่ในยานแล้วล่ะมั้ง"""
11_voice_NPC_5057_106#5,"""ダークファルスの復活、というのは<br>正直予想外の事態ね。"""
Npc57_mb11_020#1,"""私ものんびりと隠居している<br>場合じゃないのかもしれないわ。"""
11_voice_NPC_5057_101#2,"""พวก Darker ดูเหมือนจะพัฒนาขึ้น <br>แต่ ARKS เองก็ก้าวหน้าเหมือนกัน<br>ไม่ต้องไปกลัวพวกมันหรอก"""
11_voice_NPC_5057_101#3,"""ダーカーも進化してきているようだけど<br>それはアークスも同じよ。<br>尻込みする必要はないわ。"""
11_voice_NPC_5057_101#4,"""พวก Darker ดูเหมือนจะพัฒนาขึ้น <br>แต่ ARKS เองก็ก้าวหน้าเหมือนกัน<br>ไม่ต้องไปกลัวพวกมันหรอก"""
11_voice_NPC_5057_101#5,"""ダーカーも進化してきているようだけど<br>それはアークスも同じよ。<br>尻込みする必要はないわ。"""
11_voice_NPC_5057_101#6,"""พวก Darker ดูเหมือนจะพัฒนาขึ้น <br>แต่ ARKS เองก็ก้าวหน้าเหมือนกัน<br>ไม่ต้องไปกลัวพวกมันหรอก"""
11_voice_NPC_5057_101#7,"""ダーカーも進化してきているようだけど<br>それはアークスも同じよ。<br>尻込みする必要はないわ。"""
Npc57_mb16zeno_010#0,"""ที่ ARKS พัฒนาได้ไปเป็นอย่างกับละครนั้น<br>อาจเป็นเพราะมันอยู่ในมือของคนเสียสติเช่นนั้นก็ได้"""
11_voice_NPC_5057_101#8,"""เพียงแต่ว่า ที่ชั่วร้ายก็คือเค้าก้าวข้ามล้ำเส้นเกินไป<br>ช่างทำได้เจ็บแสบจริงๆ เลย"""
Npc57_mb16zeno_010#1,"""アークスの劇的な進化は、ああいった<br>狂人の手が入っていたからなのかもね。"""
11_voice_NPC_5057_101#9,"""ただ、一線を越えたソレは悪そのもの。<br>本当に、よくやってくれたわ。"""
