choice01#0,"""『ラスター』について"""
text0001#3,"""「ラスターボルテージ」<br>スキルを習得するとサブパレットに<br>ボルテージ表示が追加されます。<br><br>攻撃をヒットさせた回数に応じて<br>ボルテージが上昇し、威力と<br>被ダメージの軽減にボーナスが得られます。<br><br>クラススキルを習得していくことで<br>ボルテージを上昇させやすくなったり<br>自己支援の効果を得られるようになります。"""
text0002#3,"""「ラスターボルテージ」<br>ボルテージは攻撃をヒットさせずに<br>一定時間が経過するとリセットされます。<br><br><c ff4f3f>※ボルテージには残り時間を示すゲージが<br>   表示されますが、通信環境により<br>   誤差が発生する場合があります。<c>"""
text0003#2,"""「スラッシュライズ」<br><yellow>・攻撃の後に、移動入力を行いながらジャンプを使用<c><br>上昇を伴う攻撃が発動。長押しすると<br>ギアを消費して、残りＨＰに応じた支援テクニックが発動します。<br><br>「スラッシュフォール」<br><yellow>・攻撃の後に、移動入力を行わずジャンプを使用<c><br>急降下を伴う攻撃が発動。長押しすると<br>ギアを消費して、残りＨＰに応じた支援テクニックが発動します。<br><br><c ff4f3f>※クラススキル「スラッシュフォール」未習得の場合<br>   入力を問わずスラッシュライズが発動します。<br>※ＨP７５％以上の場合「ザンバース」<br>   ＨP７５％未満の場合「メギバース」が自動的に発動します。<c>"""
text0004#2,"""「ラスターステップスライド」<br><yellow>・ステップ中に再度ステップを使用<c><br>ＰＰを消費して一定距離を移動します。<br>エネミーがいる場合は同時に射撃を行います。<br><br>「ステップスライドアドバンス」<br><yellow>・ロックオン中、前もしくは後ろに<br> 方向入力しながら<br> ステップ中に再度ステップを使用<c><br>ＰＰを消費して入力方向に応じた移動攻撃を<br>行います。発動時に無敵時間が存在します。"""
text0005#2,"""「ラスターカウンター」<br><yellow>・ステップもしくは武器アクションで<br> 回避成功後にステップアタック<c><br>回避に成功した直後は強力な<br>ステップアタックが発動します。<br><br>「ラスターステップガード」<br><yellow>・ロックオン中、エネミーの攻撃に合わせて<br> タイミングよく前もしくは後ろにステップ<c><br>エネミーの攻撃をジャストガードして<br>入力方向に応じたカウンター攻撃を行います。"""
text0006#1,"""「エクストラアタック」<br><yellow>・ステップアタックを除く通常攻撃を<br> ４回連続で使用<c><br>ＰＰやギアの増加量が強力な攻撃が発動します。"""
text0007#1,"""「エンハンスコンボ」<br><yellow>・ギアが１つ以上ある状態で<br> エンハンスアーツ中に<br> 任意のＰＡボタンを押す<c><br>ギアを１つ消費して<br>エンハンスアーツを続けて発動します。"""
text0008#1,"""「クイックスラッシュ」<br><yellow>・ＰＡ後などに発生するガイド表示に<br> 合わせて通常攻撃<c><br>発動時に入力していた方向に応じて<br>高速な移動を伴う攻撃が発動します。<br><br>「クイックシュート」<br><yellow>・特定タイミングに発生する<br> ガイド表示に合わせて武器アクション<c><br>スタイルに応じて異なる攻撃が発動します。<br>共通：エクストラアタック発動後<br>ザンディ：ステップで回避成功後<br>フォメル：エンハンスコンボ発動後<br>バーラン：ラスターステップガード発動後"""
text0009#0,"""「ラスタータイム」<br>スキルを発動すると範囲攻撃を行い<br>ラスタータイムを開始します。<br><br>ラスタータイム中はＰＰの回復量が増加し<br>被ダメージが減少するなどの効果を得ます。<br><br>ラスタータイム中に再度スキルを発動することで<br>フィニッシュ技を発動します。"""
Title#4,"""『スマートＰＡ』について"""
text0001#4,"""ラスターのガンスラッシュには<br>簡単な操作でアクションを楽しめるよう<br>スマートＰＡが用意されています。<br><br>スマートＰＡはエネミーとの距離や<br>ＰＡを連続で使用した時のコンボなど<br>状況に応じて自動的に選択して発動します。<br><br>スマートＰＡで戦闘を行っている場合も<br>スキルの効果や威力が通常通り発揮されます。<br>ラスターのアクションに慣れていなかったり<br>コンボの構成に迷った時に活用しましょう。"""
