EnemyWeak#0,"""不要看對手弱小就大意了<br>別鬆懈！"""
ItemRare#2,"""啊，那個很不錯耶！"""
DamageSmall#2,"""呀！"""
DamageMiddle#2,"""嗚嗚！"""
DamageLarge#2,"""呀啊！"""
Trap#2,"""是、是陷阱！？"""
ThankTrapRescue#2,"""謝、謝謝......"""
TrapRescueOther#2,"""要不要緊？"""
MemberDamaged#2,"""小心！"""
MemberDead#2,"""......不、不可饒恕！"""
AbilityExe#2,"""/toge 很好，越打越上手了！"""
AbilitySpecial#2,"""/toge 交給我吧！"""
Resurrect#2,"""我、我還可以繼續打！"""
PartyJoin#2,"""/ci1 1 放心交給我！"""
Marvelous#2,"""......真強"""
IncidentJsApcBegin#2,"""/ci2 1 啊，來得正好！<br>敵人數量有點多，打得好累<br>可以請你幫幫忙嗎？"""
IncidentJsApcFailure#2,"""嗚嗚......我不行了......<br>對不起，讓我先<br>撤退吧......"""
IncidentJsApcSuccess#2,"""/ci2 3 呼，總算是撐過去了......<br>我得向你道謝，你幫了我一個大忙。<br>那麼，下次見囉！"""
IncidentJsApcBeginEvo#0,"""/ci3 1 嗚哇......好像有種很不妙的<br>反應就在附近......<br>小心為上！"""
EnemyWeak#3,"""これぐらいの相手ならあたしでも……！"""
EnemyLarge#3,"""な、なんでそんなにおっきいのよっ！"""
EnemyBoss#3,"""逃げちゃダメだよね？"""
EnemyRare#3,"""あ、あれって珍しいヤツじゃない？"""
EnemyBoost#3,"""……な、なんかすごい迫力"""
DestroyEnemy1#3,"""やったっ！"""
DestroyEnemy2#3,"""倒した！\u3000……よね？"""
DestroyEnemy3#3,"""あたしだって<br>できるんだからね！"""
CondFreeze#3,"""冷たっ！"""
CondBurn#3,"""熱いってば！"""
CondShock#3,"""か、感電っ！？"""
CondPoison#3,"""く……これ、毒……？"""
CondPanic#3,"""なんかふらふら……"""
CondStan#3,"""う、動いてあたしの身体！"""
CondMirage#3,"""え、えっ、どこに敵が？"""
Die#3,"""まだ……あたし……"""
ThankHeal#3,"""ありがとう！"""
ThankBuff#3,"""補助、ありがと！"""
ThankCure#3,"""ふー、やっとスッキリしたよ"""
DefeatEnemy#3,"""なんとかしのげた……かな？"""
LevelUp#3,"""あっ、いいなぁ！"""
InvokeSkill1#3,"""これ苦手なんだけど！"""
TechIce#1,"""足止めだけでも！"""
TechThunder#1,"""何も出来ないと思ったら大間違いよッ！"""
PBFull#3,"""いい加減にしなさいよ！"""
PBRelease#3,"""あたしを怒らせたわね！"""
TacticsFree#3,"""それじゃ自由にやるから！"""
TacticsGuard#3,"""身を守って！機会を待つの！"""
TacticsMassedAttack#3,"""みんなでやれば、必ず！"""
TacticsAttack#3,"""ひ、ひきつけるの？仕方がないなぁ……"""
Avoid#3,"""どこ狙ってるの？"""
HealSelf#3,"""まだ死にたくないから！"""
BuffSelf#3,"""補助なしじゃ危ないからね"""
HealOther#3,"""大丈夫？\u3000回復するわ"""
BuffOther#3,"""ブーステッドっ！<br>これだけは得意なのよね、あたし"""
QuestStart1#3,"""行くわよー！"""
QuestStart2#3,"""一緒に頑張ろう<%me>"""
QuestEnd1#3,"""終わり、かな？"""
QuestEnd2#3,"""<%me>もあたしも五体満足。うん、よかったよかった！"""
IncidentStart#3,"""な、何が起こるの？"""
IncidentSuccess#3,"""やったっ！"""
IncidentFailure#3,"""ええーっ……"""
PSE#3,"""そろそろ来た？"""
PSELevelUp#3,"""続けていきましょう！"""
PSEBurst#3,"""やった、大成功！ここから一気に頑張りましょう！"""
HP30#3,"""痛いってば！"""
HP10#3,"""うう……まっずい……"""
ItemRare#3,"""あ、それいいなぁ！"""
DamageSmall#3,"""きゃっ"""
DamageMiddle#3,"""ううっ"""
DamageLarge#3,"""きゃあっ！"""
Trap#3,"""わ、罠！？"""
ThankTrapRescue#3,"""あ、ありがとう……"""
TrapRescueOther#3,"""大丈夫？"""
MemberDamaged#3,"""気をつけて！"""
MemberDead#3,"""……ゆ、許さない！"""
AbilityExe#3,"""/toge よし、いい感じになってきた！"""
AbilitySpecial#3,"""/toge まかせて！"""
Resurrect#3,"""ま、まだいけるんだから！"""
PartyJoin#3,"""/ci1 1 まかせなさい！"""
Marvelous#3,"""……すっご"""
IncidentJsApcBegin#3,"""/ci2 1 あっ、いいところに！<br>ちょっと数が多くて大変だから<br>手伝って貰えないかな？"""
IncidentJsApcFailure#3,"""うう……これ以上はムリ……<br>ごめんなさい、あたしは先に<br>撤退させてもらうわね……"""
IncidentJsApcSuccess#3,"""/ci2 3 ふう、なんとかなったぁ……<br>素直にありがとね、助かったよ。<br>それじゃ、またね！"""
IncidentJsApcBeginEvo#1,"""/ci3 1 うわっ……なんか、やばそーな<br>反応がすっごい近くに……<br>気をつけましょう！"""
EnemyWeak#4,"""哇，這傢伙好像很弱耶"""
EnemyLarge#4,"""嗚哇，好大啊......"""
EnemyBoss#4,"""喂喂喂<br>我可沒聽說要對付這種的啊！"""
EnemyRare#4,"""嗯─，那是啥啊<br>好像不太常看到喔？"""
EnemyBoost#4,"""......感覺好像不太妙啊！"""
DestroyEnemy1#4,"""好耶！"""
DestroyEnemy2#4,"""好啊！"""
DestroyEnemy3#4,"""成功了！"""
CondFreeze#4,"""冷死了冷死了！"""
CondBurn#4,"""好燙，燙燙燙！"""
CondShock#4,"""麻、麻死我啦！"""
CondPoison#4,"""嗚嗚......中毒了......？<br>好難受......"""
CondPanic#4,"""整、整個世界都在轉～～～"""
CondStan#4,"""身體不能動了......<br>這是怎麼搞的！"""
CondMirage#4,"""怎麼啦？<br>世界怎麼變得模糊了？"""
Die#4,"""竟然在這種地方......"""
ThankHeal#4,"""呼，得救啦"""
ThankBuff#4,"""好，再加把勁！"""
ThankCure#4,"""舒服多了<br>謝啦"""
DefeatEnemy#4,"""呼，看來總算是撐過去了？"""
LevelUp#4,"""被搶先一步了！"""
InvokeSkill1#4,"""別動！"""
InvokeSkill2#2,"""只要有心，我也辦得到！"""
InvokeSkill3#2,"""看到了，就是那裡！"""
TechThunder#2,"""至少能牽制敵人吧！"""
PBFull#4,"""你給我差不多一點！"""
PBRelease#4,"""看我的絕招！"""
TacticsFree#4,"""隨我愛怎麼打就怎麼打，對吧！"""
TacticsGuard#4,"""我對逃跑可是很有自信的！"""
TacticsMassedAttack#4,"""砲火集中！"""
TacticsAttack#4,"""我、我來引開敵人！<br>......你可得趕快來救我喔？"""
Avoid#4,"""嗚哇！"""
HealSelf#4,"""還以為死定了咧"""
BuffSelf#4,"""事前準備要做好！"""
HealOther#4,"""喂喂，沒事吧？"""
BuffOther#4,"""別忘了輔助喔！"""
QuestStart1#4,"""好，上吧！"""
QuestStart2#4,"""一起加油吧，伙伴！"""
QuestEnd1#4,"""結束啦！"""
QuestEnd2#4,"""成功啦，伙伴！<br>無可挑剔吧！"""
IncidentStart#4,"""怎、怎麼啦怎麼啦？"""
IncidentSuccess#4,"""好！"""
IncidentFailure#4,"""這......"""
PSE#4,"""很好，開始了！"""
PSELevelUp#4,"""再多提升一點吧！"""
PSEBurst#4,"""來了來了來了來了！"""
HP30#4,"""等等，冷靜點啦！<br>真的很痛耶！"""
HP10#4,"""好想逃走......"""
ItemRare#4,"""我也好想要喔"""
DamageSmall#4,"""嗚！"""
DamageMiddle#4,"""嗚！"""
DamageLarge#4,"""......啊嗚！"""
Trap#4,"""居然是陷阱！？"""
ThankTrapRescue#4,"""謝、謝啦"""
TrapRescueOther#4,"""真是好險啊！"""
MemberDamaged#4,"""別太勉強了！"""
MemberDead#4,"""......現在這是什麼狀況啊<br>該死！"""
AbilityExe#4,"""/toge 嘿嘿，越打越順了！"""
AbilitySpecial#4,"""/toge 包在我身上！"""
Resurrect#4,"""我才不要放棄！"""
PartyJoin#4,"""/ci1 1 多多關照囉，伙伴"""
Marvelous#4,"""有一手！"""
IncidentJsApcBegin#4,"""/toge /ci2 2 啊啊，伙伴！\u3000來得正好！<br>敵人數量相當多啊<br>拜託你幫幫我吧！"""
IncidentJsApcFailure#4,"""快、快撐不下去了......<br>抱歉了伙伴，我要撤退了。"""
IncidentJsApcSuccess#4,"""/ci2 1 呼，總算是撐過去啦。<br>謝啦，伙伴。多虧了你<br>才能度過這個難關。"""
IncidentJsApcBeginEvo#2,"""/toge /ci3 2 這這、這是怎麼了啊！<br>超大的敵意反應！？<br>伙伴，當心點！"""
IncidentJsMultiApcBegin#0,"""/ci2 1 /mn9 哦，芙莉葉小姐，妳看那邊！<br>伙伴來支援了！<br>嘿嘿，來得正是時候！"""
IncidentJsMultiApcSuccess#0,"""/ci2 1 /mn15 很好很好，<br>總算是應付過來啦！<br>謝啦伙伴，幫了我一個大忙"""
EnemyWeak#5,"""おっ、こいつは弱そうだな"""
EnemyLarge#5,"""うわー、でっけぇ……"""
EnemyBoss#5,"""おいおいおい<br>こんなのいるなんて聞いてねえよ！"""
EnemyRare#5,"""んー、なんだありゃ<br>あんまり見ないヤツじゃないか？"""
EnemyBoost#5,"""……なんかやばい雰囲気だぞ！"""
DestroyEnemy1#5,"""よっしゃ！"""
DestroyEnemy2#5,"""やったぜ！"""
DestroyEnemy3#5,"""決まったあっ！"""
CondFreeze#5,"""さささささ寒っ！"""
CondBurn#5,"""あちっ、あちちっ！"""
CondShock#5,"""し、しびびびびび！"""
CondPoison#5,"""うう……毒……？<br>気持ち悪い……"""
CondPanic#5,"""せ、世界が回ってるううう"""
CondStan#5,"""身体が動かねえ……<br>なんだよこれ！"""
CondMirage#5,"""なんだあ？<br>世界がぼやけてるぞ？"""
Die#5,"""こんなとこで……"""
ThankHeal#5,"""ふー、助かったぁ"""
ThankBuff#5,"""よっしゃ、頑張るぜ！"""
ThankCure#5,"""スッキリしたぜ<br>ありがとな"""
DefeatEnemy#5,"""ふー、なんとかなったか？"""
LevelUp#5,"""先越されたっ！"""
InvokeSkill1#5,"""動くなよっ！"""
InvokeSkill2#3,"""おれだってなぁ！"""
InvokeSkill3#3,"""見えた、そこだっ！"""
TechThunder#3,"""牽制程度にはなるだろ！"""
PBFull#5,"""いい加減にしろよなっ！"""
PBRelease#5,"""奥の手発動ッ！"""
TacticsFree#5,"""自由にやっていいんだよな！"""
TacticsGuard#5,"""逃げ足には自信あるぜ！"""
TacticsMassedAttack#5,"""集中砲火だっ！"""
TacticsAttack#5,"""お、おれがひきつける！<br>……早めに助けてくれよ？"""
Avoid#5,"""うわっと！"""
HealSelf#5,"""死ぬかと思った"""
BuffSelf#5,"""準備はしっかりと！"""
HealOther#5,"""おいおい、大丈夫か？"""
BuffOther#5,"""補助、忘れんなよ！"""
QuestStart1#5,"""よっしゃ行こうぜ！"""
QuestStart2#5,"""一緒に頑張ろうぜ、相棒！"""
QuestEnd1#5,"""終わったあ！"""
QuestEnd2#5,"""やったな相棒！<br>カンペキだろ！"""
IncidentStart#5,"""な、なんだなんだぁ？"""
IncidentSuccess#5,"""よーっし！"""
IncidentFailure#5,"""げげっ……"""
PSE#5,"""よっしゃ始まった！"""
PSELevelUp#5,"""どんどん続けようぜ！"""
PSEBurst#5,"""きたきたきたきた！"""
HP30#5,"""待て待て、落ち着けって！<br>マジ痛いんだから！"""
HP10#5,"""もう逃げたい……"""
ItemRare#5,"""おれも欲しいなぁ"""
DamageSmall#5,"""うっ"""
DamageMiddle#5,"""ぐっ"""
DamageLarge#5,"""うあっ！"""
Trap#5,"""罠かよっ！？"""
ThankTrapRescue#5,"""さ、サンキュー"""
TrapRescueOther#5,"""危ないところだったな！"""
MemberDamaged#5,"""無理すんなよ！"""
MemberDead#5,"""……どういうことだよ<br>クソッ！"""
AbilityExe#5,"""/toge へへっ、調子がよくなってきた！"""
AbilitySpecial#5,"""/toge 任せとけって！"""
Resurrect#5,"""諦められるかよ！"""
PartyJoin#5,"""/ci1 1 よろしくな、相棒"""
Marvelous#5,"""やるぅ！"""
IncidentJsApcBegin#5,"""/toge /ci2 2 ああっ、相棒！\u3000いいとこに！<br>ヤバイ数のエネミーがいるんだよ<br>ちょっと協力してくれ！"""
IncidentJsApcFailure#5,"""こ、これ以上はきつい……<br>すまん相棒、おれ撤退させてもらうわ。"""
IncidentJsApcSuccess#5,"""/ci2 1 ふぃー、なんとか終わったかぁ。<br>ありがとな相棒。お前のおかげで<br>なんとかなったよ。"""
IncidentJsApcBeginEvo#3,"""/toge /ci3 2 ななっ、なんだよ！<br>すっげー巨大な敵性反応！？<br>相棒、気をつけろよ！"""
IncidentJsMultiApcBegin#1,"""/ci2 1 /mn9 おっ、フーリエさん、あれ見ろ！<br>相棒が来てくれたぞ！<br>へへっ、タイミングばっちりだな！"""
IncidentJsMultiApcSuccess#1,"""/ci2 1 /mn15 よーしよーし、<br>なんとかなったぁー！<br>サンキューな相棒、助かったぜ"""
Die#6,"""死了"""
ThankHeal#6,"""謝謝你的恢復"""
TacticsFree#6,"""好，自由"""
TacticsGuard#6,"""好，防禦"""
TacticsMassedAttack#6,"""好，集中攻擊"""
TacticsAttack#6,"""好，攻擊"""
IncidentStart#6,"""開始了"""
IncidentSuccess#6,"""成功"""
IncidentFailure#6,"""差勁"""
PSE#6,"""PSE開始了"""
PSELevelUp#6,"""PSE等級上升"""
PSEBurst#6,"""PSE爆發"""
HP30#6,"""可能會死"""
HP10#6,"""快死了"""
ItemRare#6,"""到手了！"""
DamageSmall#6,"""有點痛"""
DamageMiddle#6,"""蠻痛的"""
DamageLarge#6,"""超痛的"""
Trap#6,"""哈哇哇"""
ThankTrapRescue#6,"""謝謝你救了我"""
MemberDead#6,"""怎麼一副快死了的樣子"""
Die#7,"""死んだ"""
ThankHeal#7,"""回復ありがとう"""
TacticsFree#7,"""あい、フリー"""
TacticsGuard#7,"""あい、ガード"""
TacticsMassedAttack#7,"""あい、集中攻撃"""
TacticsAttack#7,"""あい、攻撃"""
IncidentStart#7,"""はじまるよ"""
IncidentSuccess#7,"""せいこう"""
IncidentFailure#7,"""へたくそ"""
PSE#7,"""PSEはじまた"""
PSELevelUp#7,"""PSEレベルアップ"""
PSEBurst#7,"""PSEバースト"""
HP30#7,"""死ぬかも"""
HP10#7,"""死にそう"""
ItemRare#7,"""ゲットだぜ！"""
DamageSmall#7,"""ちょっといたい"""
DamageMiddle#7,"""まあまあいたい"""
DamageLarge#7,"""ちょういたい"""
Trap#7,"""はわわ"""
ThankTrapRescue#7,"""助けてくれてありがとう"""
MemberDead#7,"""なに死んでんの"""
EnemyWeak#6,"""嘍囉"""
EnemyLarge#6,"""脖子會痠"""
EnemyBoss#6,"""打倒這個就行了吧"""
EnemyRare#6,"""竟然出現在這裡，真稀奇"""
EnemyBoost#6,"""......這個氣氛是"""
DestroyEnemy1#6,"""結束了"""
DestroyEnemy2#6,"""死吧"""
DestroyEnemy3#6,"""消失吧"""
CondFreeze#6,"""冰冰的......"""
CondBurn#6,"""熱熱的......"""
CondShock#6,"""麻麻的......"""
CondPoison#6,"""中毒了......"""
CondPanic#6,"""暈暈的......"""
CondStan#6,"""動不了了......"""
CondMirage#6,"""輕飄飄的......"""
Die#8,"""......當然會是這種下場"""
ThankHeal#8,"""謝謝您"""
ThankBuff#6,"""謝謝您的支援"""
ThankCure#6,"""麻煩您了"""
DefeatEnemy#6,"""大致上都解決了呢"""
LevelUp#6,"""有實力比什麼都重要"""
InvokeSkill1#6,"""雖然我不太擅長"""
InvokeSkill2#4,"""還是盡我所能吧"""
TechFire#0,"""這才是我本來擅長的"""
TechIce#2,"""我來阻止敵人的動作吧"""
TechThunder#4,"""不會讓你逃走的"""
TechWind#0,"""死吧"""
TechLight#0,"""如何？"""
TechDark#0,"""消失吧"""
PBFull#6,"""好久沒感到憤怒了"""
PBRelease#6,"""全部消失最好"""
TacticsFree#8,"""那麼，我要照自己的意思打了"""
TacticsGuard#8,"""雖然我不擅長一味防禦......"""
TacticsMassedAttack#8,"""集中攻擊吧"""
TacticsAttack#8,"""雖然我不認為自己有<br>被攻擊的價值......"""
Avoid#6,"""沒用的"""
HealSelf#6,"""真可惜"""
BuffSelf#6,"""戰鬥準備要做得徹底"""
HealOther#6,"""還好嗎？"""
BuffOther#6,"""千萬別大意"""
QuestStart1#6,"""我們走吧"""
QuestStart2#6,"""<%me>，<br>請您多多指教"""
QuestEnd1#6,"""戰鬥結束了呢"""
QuestEnd2#6,"""我得稱讚您一句「厲害」"""
IncidentStart#8,"""突發狀況嗎<br>這是常有的事"""
IncidentSuccess#8,"""我沒事"""
IncidentFailure#8,"""萬分抱歉"""
PSE#8,"""光子正處於激發狀態呢"""
PSELevelUp#8,"""光子更加活性化了嗎"""
PSEBurst#8,"""這是......<br>好驚人的效果"""
HP30#8,"""這點痛不算什麼"""
HP10#8,"""......我還活著"""
ItemRare#8,"""恭喜您"""
DamageSmall#8,"""痛！"""
DamageMiddle#8,"""嗚嗚！"""
DamageLarge#8,"""好痛！"""
Trap#8,"""竟然設陷阱，真是老套......"""
ThankTrapRescue#8,"""謝謝您"""
TrapRescueOther#6,"""您還好嗎？"""
MemberDamaged#6,"""您還活著嗎？"""
MemberDead#8,"""......我絕對不會饒過你"""
AbilityExe#6,"""/toge 身體好輕盈"""
AbilitySpecial#6,"""/toge 請交給我處理"""
Resurrect#6,"""......看來，還太早了"""
PartyJoin#6,"""/ci1 1 請多多指教"""
Marvelous#6,"""非常好"""
EnemyWeak#7,"""雑魚ですね"""
EnemyLarge#7,"""首が疲れます"""
EnemyBoss#7,"""これを倒せばいいんですね"""
EnemyRare#7,"""こんなところに、珍しいですね"""
EnemyBoost#7,"""……この雰囲気は"""
DestroyEnemy1#7,"""終わりです"""
DestroyEnemy2#7,"""死んでください"""
DestroyEnemy3#7,"""消えてください"""
CondFreeze#7,"""ひんやり……"""
CondBurn#7,"""あつあつ……"""
CondShock#7,"""しびしび……"""
CondPoison#7,"""どくどく……"""
CondPanic#7,"""くるくる……"""
CondStan#7,"""動きが……"""
CondMirage#7,"""ふわふわ……"""
Die#9,"""……当然の、末路です"""
ThankHeal#9,"""ありがとうございます"""
ThankBuff#7,"""援護、感謝します"""
ThankCure#7,"""お手数をおかけします"""
DefeatEnemy#7,"""一通り片付きましたね"""
LevelUp#7,"""強さは貴重です"""
InvokeSkill1#7,"""得意ではありませんが"""
InvokeSkill2#5,"""やるだけやりましょう"""
TechFire#1,"""本分はこちらです"""
TechIce#3,"""動きを止めましょう"""
TechThunder#5,"""逃しませんよ"""
TechWind#1,"""死んでください"""
TechLight#1,"""いかがでしょうか"""
TechDark#1,"""消えてください"""
PBFull#7,"""怒りを感じるのは久々です"""
PBRelease#7,"""全部、なくなればいいのに"""
TacticsFree#9,"""では、自由にやります"""
TacticsGuard#9,"""専守防衛は苦手ですが……"""
