RenameTitle#0,"""変更寵物名字"""
DirectBuy_EggSynthesisNum_FromEmpty_Msg#0,"""<pict StarGem><c 1dedd7>SG消費内容<c><br><br>$(0)的<br>可合成次数不足。<br><br>進入「可合成次數恢復」的<br>購入確認画面麼？"""
DirectBuy_EggSynthesisNum_Confirm_Title#0,"""確認購買道具"""
DirectBuy_EggSynthesisNum_Confirm_Msg#0,"""通過$(0)SG（通常100SG）購入以下的道具、<br>恢復可合成次数５次。<br>確定麼？<br><yellow><br>※連続購入時、購入第１次～第９次時<br>　價格會有折扣、隨著購入次數的增加<br>　折扣率會下降。<c><br>※購入次数在毎天<utc>20:00</utc>點重置。<br>（所持SG:$(1)）"""
DirectBuy_EggSynthesisNum_Confirm_ItemName#0,"""可合成次數恢復"""
DirectBuy_EggSynthesisNum_Item01#0,"""可合成次數恢復（第１次）"""
DirectBuy_EggSynthesisNum_Item02#0,"""可合成次數恢復（第２次）"""
DirectBuy_EggSynthesisNum_Item03#0,"""可合成次數恢復（第３次）"""
DirectBuy_EggSynthesisNum_Item04#0,"""可合成次數恢復（第４次）"""
DirectBuy_EggSynthesisNum_Item05#0,"""可合成次數恢復（第５次）"""
DirectBuy_EggSynthesisNum_Item06#0,"""可合成次數恢復（第６次）"""
DirectBuy_EggSynthesisNum_Item07#0,"""可合成次數恢復（第７次）"""
DirectBuy_EggSynthesisNum_Item08#0,"""可合成次數恢復（第８次）"""
DirectBuy_EggSynthesisNum_Item09#0,"""可合成次數恢復（第９次）"""
DirectBuy_EggSynthesisNum_Item10#0,"""可合成次數恢復（１０次或以上）"""
DirectBuy_EggSynthesisNum_Success_Title#0,"""道具購入結束"""
DirectBuy_EggSynthesisNum_Success_Msg#0,"""$(0)的<br>可合成次数增加了５次。<br><br><yellow>※在這5次寵物蛋合成時<br>　會有額外的經驗值獲得。<c><br><br>※購入次数在毎天早上<utc>20:00</utc>點重置。"""
DesideYesNo_MsgAdd_Title#0,"""寵物蛋合成"""
DesideYesNo_MsgAdd_Header#0,"""寵物蛋$(1)<br>合成給寵物「$(0)」。"""
DesideYesNo_MsgAdd_Lock#0,"""<yellow><br>選擇了處於鎖定状態的道具。<c>"""
DesideYesNo_MsgAdd_Rare#0,"""<yellow><br>選擇了稀有度$(0)或以上的道具。<c>"""
DesideYesNo_MsgAdd_MaxLv#0,"""<yellow><br>$(0)的等級已超過上限、<br>無法獲得經驗值。<c>"""
DesideYesNo_MsgAdd_MaxParam#0,"""<yellow><br>$(0)的附加值已超過上限、<br>有無法繼續提高的附加值。<c>"""
DesideYesNo_MsgAdd_ReturnedEgg#0,"""<br>※這是、<c ff4f3f>使用「把寵物還原到寵物蛋」製作的寵物蛋<c>。<br>真的要作為素材麼、<yellow>請再次確認。<c>"""
DesideYesNo_MsgAdd_Footer#0,"""<yellow><c><br>真的要進行寵物蛋合成麼？"""
Composition_Error_NoItem1#0,"""沒有可用於寵物蛋合成的道具。"""
Composition_After_Title#0,"""寵物蛋合成"""
Composition_After_ReleaseCandy_Msg#0,"""超過Lv.50了、<br>在寵物的糖果盒子裡<br>解放了果凍方塊。"""
Composition_After_LimitBreak_Msg#0,"""到達Lv.100了。<br><br>請去大廳區域找<red>皮埃托洛<c>，<br>對$(0)進行<yellow>界限突破<c>。"""
Composition_After_MaxLv_Msg#0,"""到達等級上限了。"""
Title#4,"""放生寵物"""
Message#0,"""放生$(0)。<br>確定麼？<br><br><c ff4f3f>※放生的寵物會從「寵物一覧」刪除，<br>　無法恢復。<c>"""
Success#0,"""寵物放生了。"""
Message2#0,"""這個寵物，<yellow>稀有度是7或以上<c>。<br>真的要放生麼？"""
Title#5,"""界限突破"""
Message#1,"""對以下的寵物進行界限突破。<br>確定麼？<br><br>※界限突破之後、<yellow>可以成長到<c>Lv.101或以上。<br>※界限突破後、進行寵物蛋合成時<yellow>低稀有度的<br>寵物蛋<c>提供的經驗會大幅減少。"""
Success#1,"""對象的寵物，界限突破成功了。"""
ErrorServerBug#0,"""與服務器連線失敗。<br><br>請稍候再試。"""
ErrorClientBug#0,"""發生了預期外的問題。<br><br>請稍後再試。"""
ErrorDBAccess#0,"""與數據庫的連接失敗。<br><br>請稍候再試。"""
ErrorPetTypeInvalid#0,"""寵物的種類不正確。"""
ErrorPetHasFound#0,"""已經持有寵物了。"""
ErrorPetNotFound#0,"""沒有發現寵物。"""
ErrorPetOwnership#0,"""是登録了所有者的寵物。"""
ErrorPetCanNotLimitBreak#0,"""不滿足界限突破的條件，<br>寵物的界限突破失敗了。"""
ErrorPetRarityUnknown#0,"""未能獲取寵物的稀有度。"""
ErrorPetLock#0,"""無法選擇<br>處於鎖定状態的寵物。"""
ErrorEggTypeInvalid#0,"""寵物蛋的種類不正確。"""
ErrorEggNotFound#0,"""沒有發現寵物蛋。"""
ErrorEggOwnership#0,"""是登録了所有者的寵物蛋。"""
ErrorEggCanNotHatch#0,"""無法使用這個寵物蛋。<br>該寵物蛋是只能用於「寵物蛋合成」的寵物蛋。"""
ErrorEggRarityUnknown#0,"""未能獲取寵物蛋的稀有度取得。"""
ErrorEggLock#0,"""無法選擇<br>處於鎖定状態的寵物蛋。"""
ErrorCandyTypeInvalid#0,"""糖果的種類不正確。"""
ErrorCandyNotFound#0,"""沒有發現糖果。"""
ErrorCandyDuplicate#0,"""未能設置糖果。"""
ErrorCandyOutOfBox#0,"""未能設置糖果。"""
ErrorCandyNotArrangement#0,"""未能設置糖果。"""
ErrorCandyTypeFull#0,"""未能設置糖果。"""
ErrorCandyBoxInvalid#0,"""糖果盒子的状態有可能不正確。"""
ErrorNotInLobby#0,"""無法使用寵物實驗室的機能。"""
ErrorSupportInvalid#0,"""使用了未知的道具。"""
ErrorSupportLack#0,"""輔助道具不足。"""
ErrorPaidItemNotFound#0,"""未持有可合成次數恢復。"""
ErrorPaidItemInvalid#0,"""使用了未知的道具。"""
ErrorMesetaLack#0,"""持有金額不足。"""
ErrorMStoneLack#0,"""星鑽不足。"""
ErrorPetAddInvalid#0,"""進行了不正確的寵物追加。"""
ErrorPetAddMax#0,"""寵物的登録数已達到上限。"""
ErrorPetDeleteInvalid#0,"""未能放生寵物。"""
ErrorPetRenameInvalid#0,"""未能變更寵物的名字。"""
ErrorPetRenameFilter#0,"""含有無法使用的文字<br>未能變更。"""
ErrorCandyAddInvalid#0,"""未能設置糖果。"""
ErrorCandyAddTypeFull#0,"""超過了類型設置上限，因此未能設置。"""
ErrorCandyRemoveInvalid#0,"""未能將糖果還原為道具。"""
ErrorCandyRemoveBackpackFull#0,"""道具背包的剩餘容量不足，<br>或者所持數已超過上限，<br>未能使用。"""
ErrorCandyRemoveItemLack#0,"""キャンディーリムーバー不足，<br>未能還原為道具。"""
ErrorCandyDeleteInvalid#0,"""未能刪除糖果。"""
ErrorCandyDeleteitemLack#0,"""キャンディーイレイサー不足，<br>未能刪除。"""
ErrorCandyCompressInvalid#0,"""未能壓縮糖果。"""
ErrorCandyCompressItemInvalid#0,"""必要的道具不正確。"""
ErrorCandyCompressItemNotFound#0,"""必要的道具不足。"""
ErrorCandyCompressItemLack#0,"""必要的道具不足。"""
ErrorCandyCompressSupportInvalid#0,"""輔助道具不正確。"""
ErrorCandyCompressSupportNotFound#0,"""輔助道具不足。"""
ErrorCandyCompressSupportLack#0,"""輔助道具不足。"""
ErrorCandyCompressMax#0,"""無法繼續壓縮。"""
ErrorCandyCompressSettingInvalid#0,"""糖果壓縮的設定不正確。"""
ErrorCandyCompressBackpackFull#0,"""道具背包的剩餘容量不足，<br>或者所持數已超過上限，<br>未能壓縮。 """
ErrorIceBlockInvalid#0,"""奈糖方塊不正確。"""
ErrorIceBlockNotFound#0,"""選擇了奈糖方塊以外的東西。"""
ErrorIceBlockLackOfRarity#0,"""輔助道具的稀有度不正確。"""
ErrorIceBlockLackOfItem#0,"""キャラメルクラッシャー不足，<br>未能破壞奈糖方塊。"""
ErrorPetSynthesisInvalid#0,"""未能進行寵物蛋合成。"""
ErrorPetSynthesisSettingInvalid#0,"""選擇了無法進行寵物蛋合成的道具。"""
ErrorPetSynthesisMany#0,"""對寵物蛋合成指定了複數道具。"""
ErrorPetSynthesisPayMax#0,"""可合成次數超過了上限、<br>無法購買可合成次數恢復。"""
ErrorInheritanceCantGetCost#0,"""未能獲得必要的美賽達。"""
ErrorInheritancePetKindInvalid#0,"""指定了不同種類的寵物蛋。"""
ErrorInheritanceRarityLack#0,"""指定了稀有度不足的寵物蛋。"""
ErrorInheritancePotentialInvalid#0,"""指定了錯誤的寵物能力的寵物蛋。"""
ErrorInheritanceColorInvalid#0,"""選擇的寵物/寵物蛋無法變色。"""
ErrorEtc#0,"""發生了預期外的錯誤。<br><br>其他錯誤($(0))"""
