name#0,"""Tia"""
11_voice_NPC_5013_100#4,"""สิ่งสำคัญที่สุดในการเป็นนักให้ข้อมูลก็คือความอึด<br>ชั้นเนี่ยโชคดีจริงๆ ที่เลือกมาเป็น Hunter!<br>Tia แล้วเธออ่ะอึดพออ๊ะป่าว?"""
Patty_03_020#0,"""เป็น Wizard ก็ไม่เห็นมีอะไรไม่ดีตรงไหน<br>แต่พอมาโดน Pati จังถาม <br>ทำไมไม้เท้าในมือมันสั่นก็ไม่รู้......"""
11_voice_NPC_5013_100#5,"""情報屋は体力が命！<br>あたし、適性がハンターで良かった！<br>ティア、体力だいじょーぶ？"""
Patty_03_020#1,"""フォースであることに不満はないけど<br>パティちゃんに気づかわれるのが<br>腑に落ちない……"""
11_voice_NPC_5013_102#0,"""เราเป็นทีมอันดับหนึ่งในหมู่<br>หน่วยข่าวกรองของ ARKS จริงหรือเปล่างั้นเหรอ?<br>อย่าพูดอะไรเสียมารยาท! เรื่องจริงซิ!"""
Patty_04_020#0,"""เพราะนอกจากพวกเราแล้ว<br>ไม่มีใครเรียกตัวเองว่า<br>เป็นหน่วยข่าวกรองเลยซักคนยังไงล่ะ"""
11_voice_NPC_5013_102#1,"""本当にアークスいちの<br>情報屋なのか、って？<br>しっつれいしちゃうなあ！\u3000本当だよ！"""
Patty_04_020#1,"""私たち以外には<br>まっとうに情報屋を<br>名乗ってる人がいないからね。"""
11_voice_NPC_5013_104#2,"""เป็นนักให้ข้อมูลมันก็ดีอย่างนะ ได้รู้จักคนตั้งเยอะแยะ!<br>....แต่บางทีก็มีเจอพวกเกรียนๆเหมือนกัน"""
Patty_05_020#0,"""ต้นตอของปัญหาคือ Pati จัง<br>ชอบไปเกรียนใส่เค้าก่อนตังหากเล่า"""
11_voice_NPC_5013_104#3,"""いろんな人と知り合いになれるのは<br>情報屋で良かったと思えることだね！<br>……時々嫌われたりもするけど。"""
Patty_05_020#1,"""たいていの理由は<br>パティちゃんがしつこいからだよ。"""
11_voice_NPC_5013_100#6,"""หืม? เคยเกือบตายมาบ้างรึเปล่าเหรอ?<br>เจอดิเจอดิ เจอบ่อยมวากกเลยล่ะ"""
Patty_06_020#0,"""หัวใจของข้อมูลก็คือความสดใหม่<br>บางทีเลยต้องเข้าใกล้เป้าหมายแบบประชิดเลย<br>ประสบการณ์เฉียดมันต้องเจอแทบทุกวันอยู่แล้ว !"""
11_voice_NPC_5013_100#7,"""んー？\u3000死にそうになったこと？<br>あるよーあるある。いーっぱいあるよ。"""
Patty_06_020#1,"""なにせ情報は鮮度が命。<br>最前線に突っ込んでいくからね。<br>死線なんておちゃのこさいさい、だよ！"""
11_voice_NPC_5013_102#2,"""ชั้นกับ Tia ใครโตกว่ากันงั้นเหรอ?<br>อืมแค่ดูคงไม่รู้หรอกมั้งเนอะ!<br>ชั้นน่ะเป็นแฝดคนพี่ล่ะ!"""
Patty_07_020#0,"""......อยากจะเถียงอยู่หรอกนะคะ<br>แต่คงไม่มีใครเอาชนะเรื่องเวลาได้<br>......ชั้น เป็นแฝดคนน้องค่ะ! ชิ!"""
Patty_07_030#0,"""แค่นี้ต้องเจ็บใจขนาดนั้นเชียว!?"""
11_voice_NPC_5013_102#3,"""あたしとティア、どっちが上って？<br>見てわからないかなあ！<br>あたしが双子のお姉ちゃん！"""
Patty_07_020#1,"""……否定したいけど<br>時系列は覆せません。<br>……私が、双子の妹です！\u3000ッ！"""
Patty_07_030#1,"""そんなに悔しがること！？"""
11_voice_NPC_5013_100#8,"""เห็นท่าไม่ดีเมื่อไหร่ต้องโกยลูกเดียว!<br>คติประจำใจนี้ที่ช่วยให้ชีวิตยืนยาวได้!<br>อย่าลืมเป็นอันขาดเข้าใจป่าว?"""
Patty_08_020#0,"""แต่ ARKS ที่ลืมกฏข้อนี้ที่ผ่านมาก็มีไม่น้อยนะ<br>เธอระวังตัวไว้ด้วยละกัน"""
11_voice_NPC_5013_100#9,"""危ないと思ったらすぐ逃げる！<br>これ長生きの鉄則！<br>ぜーったい忘れちゃダメだよー？"""
Patty_08_020#1,"""このことを忘れてしまう<br>アークスは結構多い。<br>あなたも気を付けてね。"""
11_voice_NPC_5013_104#4,"""ข้อมูลที่มั่วซั่ว อาจพาให้ต้องไปเจอกับวิกฤตเข้าก็ได้น้า<br>อย่างเมื่อสิบปีก่อน...ตอนนั้นเกือบเอาชีวิตไม่รอดแน่ะ"""
Patty_09_020#0,"""พูดถึงเรื่องนี้ ตั้งแต่นั้นมาพวกเราเลย<br>จับคู่กันและตั้งใจว่าจะให้ข้อมูลเฉพาะ<br>เรื่องที่เป็นความจริงกับคนอื่นเท่านั้น"""
11_voice_NPC_5013_104#5,"""情報が混乱、錯綜するって状態は<br>実はすっごく危ないんだよねー。<br>十年前とか、やばかったんだってー。"""
Patty_09_020#1,"""その話を聞いて、私たちだけは常に<br>正確な情報を所持しているチームに<br>なろうって決めたの。"""
11_voice_NPC_5013_103#0,"""โอ้วว ไฟดูดอีกแล้ว!<br>ดังเปรี๊ยะๆเลยเนี่ย<br>อากาศเวลาแห้งๆ น่ากลัวชะมัด"""
Patty_10_020#0,"""นี่คุณ ARKS คนเก่ง...<br>ดูเหมือน Six Pillars จะเริ่มออกทำงานอีกแล้วนะ<br>...ระวังตัวให้ดีล่ะ"""
11_voice_NPC_5013_103#1,"""おおぅ、またピリッときた！<br>なんだかピリピリした<br>空気が漂ってて、怖いねー。"""
Patty_10_020#1,"""アークスのお偉いさん……<br>六芒均衡の動きも活発になってる。<br>……気を付けて。"""
Alice_01_10#0,"""โอ๊ะ หน้าตาแบบนั้น!<br>เป็นหน้าตาที่อยากจะรู้ข้อมูล<br>ที่ Pati จังคนนี้หามาด้วยใจสินะ!"""
Alice_01_20#0,"""ได้เลยๆ ไม่ว่าจะอะไรก็ถามมาได้เลย!<br>ถ้าเป็นตอนนี้พี่สาวคนนี้จะบอก<br>ให้ฟังมันทุกเรื่องเลยล่ะ!"""
Alice_01_30#0,"""......เอ๊ะ? ความ รัก?<br>ความรัก สถานการณ์?<br>คะ ความรักสินะ? รู้ๆ ชั้นรู้จัก!"""
Alice_01_40#0,"""อืมม เอ่อ ก็คือ<br>เอ คือว่านะ คือว่านะ......<br>......อะ อะฮะๆ !"""
Alice_01_50#0,"""ไม่ได้นะ! จู่ๆ ก็มาถาม<br>พี่สาวแบบนั้น!<br>Sexual Harassment!"""
Alice_01_60#0,"""จะเผ่าพันธุ์เดียวกันหรือไม่ก็ไม่เกี่ยวหรอก!<br>ความรักน่ะ...... ความรักน่ะ......<br>มะ มันยังเร็วไปสำหรับชั้นไป 100 ปีอ่ะ!"""
Alice_01_70#0,"""......นี่คือประกาศว่าจะเป็นโสดสินะ"""
Alice_01_80#0,"""ขอโทษด้วยนะคะ ยัยพี่ติงต๊องของชั้น<br>ตื่นเต้นจนเพี้ยนไปอย่างสมบูรณ์แบบแล้วล่ะค่ะ<br>เพราะฉะนั้น กรุณายกโทษให้เธอด้วยนะคะ"""
Alice_01_10#1,"""おっ、その顔！<br>このパティちゃん謹製の情報が<br>欲しいって顔してるねー！"""
Alice_01_20#1,"""いいよいいよ、なーんでも聞いて！<br>今ならお姉さんがなーんでも<br>教えてあげちゃうからねー！"""
Alice_01_30#1,"""……へ？\u3000れん、あい？<br>れんあい、じじょう？<br>れ、恋愛でしょ！\u3000知ってる知ってる！"""
Alice_01_40#1,"""んーと、えと、ええっとー<br>えっと、えっとねーえっとねー……<br>……あ、あははー！"""
Alice_01_50#1,"""ダメだよっ！\u3000いきなりそんなことを<br>お姉さんに聞いちゃ！<br>せくしゃるはらすめんとっ！"""
Alice_01_60#1,"""同種族も他種族も関係ないの！<br>恋愛なんて……恋愛なんて……<br>ひゃ、百年早いんだからねっ！"""
Alice_01_70#1,"""……生涯独身宣言だね。"""
Alice_01_80#1,"""すみません、うちのバカ姉<br>完全にテンパっちゃっているので<br>この辺で許してあげてください。"""
11_voice_NPC_13_106#0,"""ทำไมความเสียหายที่เกิดจาก Dark Falz<br>คราวนี้ มันถึงดูน้อยยังไงไม่รู้นะ"""
Patty_mb9_020#0,"""ถ้าเป็นสมัยก่อนป่านนี้เละไปถึงไหนต่อไหนแล้วไม่รู้<br>ไม่น่าเชื่อเลย เป็นไปได้ไง"""
11_voice_NPC_13_106#1,"""今回のダークファルスによる<br>戦闘被害って、少ない方なんだって。"""
Patty_mb9_020#1,"""昔はどれだけやられちゃってたんだろ<br>とんでもないねぇ、まったく。"""
11_voice_NPC_13_102#0,"""เห็นเค้าพูดว่ามังกรกระหังมังกรกระหายอะไรไม่รู้<br>แต่ถึงตอนนี้ชั้นยังไม่เคยเจอสักกะครั้งเลยเนี่ย"""
Patty_mb10_020#0,"""ใครเป็นคนแรกที่เรียกพวกมันแบบนั้นกันนะ?"""
11_voice_NPC_13_102#1,"""暴走龍暴走龍って言われてるけど<br>あたしぜんぜんこれっぽっちも<br>遭遇しないんだよねー。"""
Patty_mb10_020#1,"""誰が最初にその名前をつけたんだろ？"""
11_voice_NPC_13_101#0,"""ทำอะไรอยู่เล่า จะงานประลองหรืองานวัดอะไร<br>ก็ตื่นเต้นกะเค้าหน่อยซี่ น่าสนุกออกจะตายไป!"""
Patty_mb11_020#0,"""การที่ทุกคนได้ออกมาเฮฮากันเนี่ย <br>ชั้นว่าเป็นเรื่องที่เยี่ยมที่สุดแล้วล่ะ!"""
11_voice_NPC_13_101#1,"""なんにせよ、お祭りとか大会って<br>響きがいいよね！\u3000気持ちいいよね！"""
Patty_mb11_020#1,"""みんなでパーッと騒ぐのって<br>とっても素晴らしいことだと思うよー！"""
11_voice_NPC_5013_100#10,"""ไปดาว Wopal กันดีกว่า<br>อู๊ย ชักอยากจะว่ายน้ำขึ้นมาแล้วสิ!"""
Patty_mb12_020#0,"""วันหยุดยาวบนชายหาดที่ทุกคนใส่ชุดว่ายน้ำ!<br>อ้า... เมื่อไหร่เวลานั้นจะมาถึงซะทีน้า"""
11_voice_NPC_5013_100#11,"""惑星ウォパルに行くとさー<br>なんていうか、泳ぎたくなるよね！"""
Patty_mb12_020#1,"""水着でずばっとみんなでバカンス！<br>あーあ、早くそういう時代に<br>ならないかなぁ。"""
11_voice_NPC_5013_101#0,"""ไม่ว่าตรงไหนคนก็ออกมาสนุกกันเต็มไปหมดเลย<br>เห็นแบบนี้ชักคันไม้คันมือซะแล้วซี"""
Patty_mb13_020#0,"""ทำอะไรลับๆล่อๆอยู่น่ะ?<br>หรือว่า! เธอจะเป็นนักอมตังค์ในตำนานที่เค้าว่า!?"""
11_voice_NPC_5013_101#1,"""あっちこっちで人がわたわたしてて<br>落ち着かない感じがするねー。"""
Patty_mb13_020#1,"""何かが暗躍してる？<br>もしかして！\u3000前にウワサになった<br>始末屋とか！？"""
11_voice_NPC_5013_104#6,"""ดาวเคราะห์ Lilipa เนี่ย ไม่เคยมี ARKS มาก่อนเลยใช่ปะ?"""
Patty_mb14_020#0,"""แล้วพวก Darker มันจะอุตส่าห์<br>ดั้นด้นไปถึงที่นั่นทำไมล่ะเนี่ย?"""
11_voice_NPC_5013_104#7,"""惑星リリーパって、最初はアークス<br>いなかったわけじゃん？"""
Patty_mb14_020#1,"""どうしてダーカーはわざわざそこに<br>やってきたんだろうねー？"""
11_voice_NPC_5013_100#12,"""พวกเราก็คือ คู่แฝดนักให้ข้อมูล!<br>Pati & Tia!"""
Patty_mb15_020#0,"""ทำไมจู่ๆ ถึงพูดแบบนี้ งั้นเหรอ?<br>คือชั้นอยากจะมาแอพพีลตัวเองแถวๆ นี้อีกซักครั้งน่ะ!"""
Patty_mb15_030#0,"""เพราะถ้าไม่ทำงั้น ดูท่าว่าพวกผู้คนคงจะลืมกัน<br>หมดแน่ๆ เลย ว่าพวกเราน่ะเป็นนักให้ข้อมูล!<br>ข้อมูลถูกๆ จ้า! ขายข้อมูลจ้า!"""
11_voice_NPC_5013_100#13,"""あたしたち、双子の情報屋！<br>パティエンティア！"""
Patty_mb15_020#1,"""急にどうした、って？<br>このあたりでもう一度のアピールだよ！"""
Patty_mb15_030#1,"""そうしないと、あたしたちが情報屋って<br>ことを忘れられてそうだったから！<br>情報安いよ！\u3000情報売るよ！"""
Patty_mb16_010#0,"""กฎเหล็กพื้นฐานของนักให้ข้อมูลข้อที่ 1!<br>ควรจะต้องเลือกคู่กรณีที่จะให้ข้อมูล!"""
11_voice_NPC_5013_100#14,"""สำหรับผู้ที่น่าสงสัยหรือท่าทางแปลกๆ<br>ชั้นจะไม่บอกข้อมูลอะไรให้ซักอย่างเดียว!<br>ไงล่ะ น่าชื่นชมใช่มั้ยล่า?"""
Patty_mb16_010#1,"""情報屋大原則そのいち！<br>情報提供する相手は選ぶべし！"""
11_voice_NPC_5013_100#15,"""あやしい相手やおかしな相手には<br>何一つ教えてあげないんだー！<br>偉いでしょ？"""
Patty_mb16zeno_010#0,"""แหม ดีจังเลยๆ<br>ดีแล้วล่ะที่เธอปลอดภัย!<br>สมกับที่เป็น ARKS ชื่อดังเลยเนอะ!"""
11_voice_NPC_5013_100#16,"""คำสั่งเด็ดขาดน่ะมันก็ถูกส่งมาถึงพวกชั้นเหมือนกัน<br>......แต่ก็ดีจริงๆ นะ ที่เรื่องมันจบลงโดยที่<br>พวกชั้นไม่ต้องสู้กับเธอ......!"""
Patty_mb16zeno_010#1,"""いやー、ほんとほんと<br>無事で良かった、ってやつだよ！<br>無事是名アークス、ってね！"""
11_voice_NPC_5013_100#17,"""絶対令はあたしたちにも届いてたけど<br>……あなたと戦わずに済んで<br>ほんっとうに、よかったぁ……！"""
