Window_Titletelop_Exchange_General#0,"""アイテム交換ショップ"""
Window_Titletelop_Gigas#0,"""ギガストラグメント交換"""
Window_Titletelop_Dev#0,"""開発準備特別票交換"""
Window_Titletelop_Sglegacy#0,"""SGレガシーコーデ交換"""
Window_Titletelop_G-Up#0,"""グロウスメント交換"""
Window_Titletelop_SpScratch#0,"""スペシャルスクラッチ交換"""
Window_Titletelop_D-Stone#0,"""ドレドスケイル交換"""
Window_TwolineGuide_Recycle#0,"""特定の所持品と、アイテムを交換することができます。必要数の倍数を納品することで、アイテムを複数個入手できます。"""
Window_Titletelop_TeamBadge#0,"""チームバッヂ交換ショップ"""
Window_TwolineGuide_TeamBadge#0,"""チームバッヂと、アイテムを交換することができます。必要数の倍数を納品することで、アイテムを複数個入手できます。"""
Label_Acquisition_Quantity#0,"""入手数"""
Mes_Shop_Access_NG#0,"""クエスト進行中は使用できません。"""
Special conditions_1#0,"""+$(0)以上"""
Special conditions_2#0,"""$(0)"""
Special conditions_3#0,"""いずれかの属性"""
Special conditions_4#0,"""★$(0)以上"""
Special conditions_5#0,"""<pict potential_icon>$(0)解放済"""
Special conditions_6#0,"""<pict potential_icon>Lv.$(0)"""
Special conditions_7#0,"""<pict Ability_icon>$(0)追加済"""
Special conditions_8#0,"""<pict Ability_icon>×$(0)"""
Special conditions_9#0,"""$(0)系"""
Special conditions_10#0,"""$(0)"""
Special conditions_11#0,"""$(0)装備可"""
Special conditions_12#0,"""$(0)/$(1)"""
Special conditions_13#0,"""$(1)（$(0)）"""
Special conditions_14#0,"""アイテム"""
Exchange rate_itemname_1#0,"""$(0) ($(1)個)×$(2)"""
Exchange rate_itemname_2#0,"""$(0) ×$(1)"""
Caution_Failure#0,"""交換に失敗しました。"""
Caution_MaximumNumber#0,"""交換可能な個数上限を超えています。"""
Caution_InsufficientStorage#0,"""アイテムパックの空き容量不足、<br>または所持数の限界を超えているため、<br>交換できません。"""
Caution_ReadExtendedWarehouse#0,"""拡張倉庫内のアイテムを選択しているときは、<br>別の拡張倉庫を読み込むことができません。"""
Caution_ProductList#0,"""商品リストの情報を取得できませんでした。<br>しばらくしてから、再度アクセスしてください。"""
EnhancementValue#0,"""強化値＋１以上"""
No_EnhancementValue#0,"""強化なし"""
Button_Item_Search_Myshop_NG#0,"""マイショップに出品対象外のアイテムです。"""
Recyclebadge_ac#0,"""対象のACスクラッチアイテム"""
Recyclebadge_sg#0,"""対象のSGスクラッチアイテム"""
Recommend_ac#0,"""対象のイチオシACスクラッチ品"""
Label_Delivered_Items#0,"""納品アイテム"""
Label_Exchange_Quantity#0,"""交換する個数"""
Button_Exchange_Confirmation#0,"""交換内容の確認に進む"""
Caution_Unswitchable#0,"""このアイテムは、交換メニューを変更できません。"""
PaidShop_Top_Title#0,"""AC・SGショップ"""
PaidShop_Top_Help#0,"""AC、SGで便利なアイテムやファッションアイテムを購入できます。"""
PaidShop_Top_MenuTitle#0,"""ショップメニュー"""
PaidShop_Top_MenuItem01#0,"""ACショップ<pict 4space><pict Arcscash>"""
PaidShop_Top_MenuItem02#0,"""SGショップ<pict 4space><pict StarGem>"""
PaidShop_Top_MenuItem03#0,"""ACをチャージする"""
PaidShop_Top_MenuItem04#0,"""SGを購入する<pict 4space><pict Arcscash>"""
PaidShop_Top_MenuItem05#0,"""購入履歴"""
PaidShop_Top_MenuItem06#0,"""AC・SG内訳確認"""
PaidShop_Top_MenuItem07#0,"""プレミアムセットとは"""
PaidShop_Top_CashTitle#0,"""所持金"""
PaidShop_Top_CashItem01#0,"""所持AC"""
PaidShop_Top_CashItem02#0,"""所持SG"""
PaidShop_Top_BannerTitle#0,"""お知らせ"""
PaidShop_Top_BannerWebOperation#0,"""<%NextTabDetails>で詳細な情報をWEBページで確認できます。"""
PaidShop_Top_OperationHelp#0,"""決定：<%Decide>\u3000\u3000戻る：<%Cancel>\u3000お知らせ切替：<%TabForward><pict 4space><%TabBack>\u3000\u3000WEBページを開く：<%NextTabDetails>"""
PaidShop_LimitedItemTitle01#0,"""商品情報"""
PaidShop_LimitedItemTitle02#0,"""<c 76d1ff>期間限定アイテム<c>"""
PaidShop_LimitedItemTitle03#0,"""<c 76d1ff>個数限定アイテム<c>"""
LimitedItemText1#0,"""アカウントにつき$(0)個まで購入可能 """
LimitedItemText2#0,"""あと$(0)個"""
LimitedTime#0,"""$(0) まで"""
PacIteminfo_Title#0,"""パックアイテム情報"""
PacIteminfo_Bonus#0,"""おまけ ※購入後、ビジフォンに配布されます。"""
PacIteminfo_Possession#0,"""所持数（$(0)）"""
LimitedResetShop_Limited1#0,"""<yellow>(更新まであと$(0)日)<c>"""
LimitedResetShop_Limited2#0,"""<yellow>(更新まであと$(0)時間)<c>"""
LimitedResetShop_Limited3#0,"""<yellow>(更新まであと$(0)分)<c>"""
LimitedResetShop_Limited4#0,"""<yellow>(更新まであと1分未満)<c>"""
ItemShop_Title#0,"""アイテムショップ"""
ItemShop_Help#0,"""武器、防具、消費アイテムの購入、サインの回数回復ができます。"""
ItemPac_buy#0,"""<pict wh_item_icon> アイテムパック に買う"""
WarehouseAll_buy#0,"""<pict wh_all_icon> すべての倉庫 に買う"""
WarehousePost_buy#0,"""<pict wh_post_icon> 一時倉庫 に買う"""
WarehouseSystemPost_buy#0,"""<pict wh_management> 運営倉庫 に買う"""
WarehouseDefault_buy#0,"""<pict wh_icon> 基本倉庫 に買う"""
WarehouseCharacter_buy#0,"""<pict wh_chara_icon> キャラ倉庫 に買う"""
WarehousePremiere_buy#0,"""<pict wh_premium_icon> プレミアム倉庫 に買う"""
OneTimePassward_buy#0,"""<pict wh_otp_icon> OTP倉庫 に買う"""
WarehouseEs_buy#0,"""<pict wh_es_icon> PSO2es倉庫 に買う"""
WarehouseGlobal_buy#0,"""<pict wh_global_icon> ミッションパス倉庫 に買う"""
WarehouseDish_buy#0,"""<pict wh_dish_icon> 素材倉庫 に買う"""
WarehouseAddition01_buy#0,"""<pict wh_extend1_icon> 拡張倉庫１ に買う"""
WarehouseAddition02_buy#0,"""<pict wh_extend2_icon> 拡張倉庫２ に買う"""
WarehouseAddition03_buy#0,"""<pict wh_extend3_icon> 拡張倉庫３ に買う"""
WarehouseAddition04_buy#0,"""<pict wh_extend4_icon> 拡張倉庫４ に買う"""
WarehouseAddition05_buy#0,"""<pict wh_extend5_icon> 拡張倉庫５ に買う"""
WarehouseAddition06_buy#0,"""<pict wh_extend6_icon> 拡張倉庫６ に買う"""
WarehouseAddition07_buy#0,"""<pict wh_extend7_icon> 拡張倉庫７ に買う"""
WarehouseDrop_buy#0,"""<pict wh_quest_icon> ドロップ一時倉庫 に買う"""
WarehousePool_buy#0,"""<pict wh_pool_icon> クエスト一時倉庫 に買う"""
ItemPac_sell#0,"""<pict wh_item_icon> アイテムパック から売る"""
WarehouseAll_sell#0,"""<pict wh_all_icon> すべての倉庫 から売る"""
WarehousePost_sell#0,"""<pict wh_post_icon> 一時倉庫 から売る"""
WarehouseSystemPost_sell#0,"""<pict wh_management> 運営倉庫 から売る"""
WarehouseDefault_sell#0,"""<pict wh_icon> 基本倉庫 から売る"""
WarehouseCharacter_sell#0,"""<pict wh_chara_icon> キャラ倉庫 から売る"""
WarehousePremiere_sell#0,"""<pict wh_premium_icon> プレミアム倉庫 から売る"""
OneTimePassward_sell#0,"""<pict wh_otp_icon> OTP倉庫 から売る"""
WarehouseGlobal_sell#0,"""<pict wh_global_icon> ミッションパス倉庫 から売る"""
WarehouseEs_sell#0,"""<pict wh_es_icon> PSO2es倉庫 から売る"""
WarehouseDish_sell#0,"""<pict wh_dish_icon> 素材倉庫 から売る"""
WarehouseAddition01_sell#0,"""<pict wh_extend1_icon> 拡張倉庫１ から売る"""
WarehouseAddition02_sell#0,"""<pict wh_extend2_icon> 拡張倉庫２ から売る"""
WarehouseAddition03_sell#0,"""<pict wh_extend3_icon> 拡張倉庫３ から売る"""
WarehouseAddition04_sell#0,"""<pict wh_extend4_icon> 拡張倉庫４ から売る"""
WarehouseAddition05_sell#0,"""<pict wh_extend5_icon> 拡張倉庫５ から売る"""
WarehouseAddition06_sell#0,"""<pict wh_extend6_icon> 拡張倉庫６ から売る"""
WarehouseAddition07_sell#0,"""<pict wh_extend7_icon> 拡張倉庫７ から売る"""
WarehouseDrop_sell#0,"""<pict wh_quest_icon> ドロップ一時倉庫 から売る"""
WarehousePool_sell#0,"""<pict wh_pool_icon> クエスト一時倉庫 から売る"""
Bay#0,"""購入"""
Sell#0,"""売却"""
BayBuck#0,"""買い戻す"""
Buck#0,"""戻る"""
Decision#0,"""決定"""
Recommended#0,"""オススメ"""
