MsgFriendAdd#0,"""$(0) เป็นเพื่อนกับท่านแล้ว"""
FavNewman#0,"""Newmanist"""
FavDewman#0,"""Deumanist"""
FavMale#0,"""Guy Chaser"""
FavFemale#0,"""Skirt Chaser"""
Troublemaker#0,"""Attentive"""
Healing#1,"""起死回生"""
Valor#1,"""臨戦態勢"""
Guardian#1,"""徹底防御"""
Meddler#1,"""激昂"""
Savior#1,"""復活支援"""
FavHuman#1,"""ヒューマン好き"""
FavCast#1,"""キャスト好き"""
FavNewman#1,"""ニューマン好き"""
FavDewman#1,"""デューマン好き"""
FavMale#1,"""オトコ好き"""
FavFemale#1,"""オンナ好き"""
Troublemaker#1,"""コンディションマスター"""
5001#0,"""ถ้าต้องการความช่วยเหลือก็เรียกมานะ<br>ข้าพร้อมช่วยท่านเสมอ"""
5002#0,"""ข้าก็เป็นเหมือน ARKS คนอื่นๆ<br>เรียกข้าได้ตลอดถ้าต้องการความช่วยเหลือ"""
5003#0,"""เฮ้ Partner! ข้าคิดว่าเราเจ๋งพอและท่านจะเรียกข้า<br>เมื่อยามต้องการ!"""
5007#0,"""...ถ้าหากคุณต้องการให้คนอย่างชั้นช่วยล่ะก็<br>ชั้นก็จะพยายามเต็มที่ค่ะ"""
5008#0,"""ถ้ามีอะไรให้ช่วยก็บอกเลย!"""
5009#0,"""ข้าสนใจในการวิจัยเท่านั้น แต่ถ้าท่านต้องการอะไร<br>ก็บอกมาได้เลย"""
5010#0,"""อือ... ถ้าท่านอยากได้ความช่วยเหลือ<br>ข้าก็จะไปกับท่าน"""
5013#0,"""Pati & Tia นักค้าข้อมูลแห่ง ARKS  <br>คนพี่ Pati! สามารถเรียกหาได้ทุกที่!"""
5014#0,"""Pati & Tia คนน้อง Tiaค่ะ <br>สามารถเรียกใช้ได้ตลอดเวลานะคะ"""
5018#0,"""ก็นะ ไม่ว่าเรื่องอะไรก็จะพยายามเต็มที่ล่ะนะ <br>ทำตัวสบายๆ นะพวก"""
5019#0,"""ข้าจะอยู่ที่นี่สำหรับท่าน <br>หากท่านต้องการความช่วยเหลือ <br>ให้ข้าได้แสดงพลังที่แท้จริงของ Wizard"""
5020#0,"""แค่บอกมาข้าก็จะไปหาแล้วข้าจะ<br>แสดงพลังของ Hunter ให้ท่านได้ดูเอง"""
5021#0,"""ถ้าต้องการอะไร บอกข้ามาเลย<br>ประสบการณ์ข้าช่วยได้ทุกอย่าง"""
5022#0,"""โอ ท่านต้องการเดินทางเหรอ?<br>ต้องการเพื่อนร่วมทางมั้ย?<br>สำหรับท่าน ได้ทุกอย่าง"""
5026#0,"""อย่าลืมชวนข้าเวลาท่านไปข้างนอกล่ะ โอเค?<br>ท่านต้องรักษาสัญญานะ!"""
5054#0,"""Joseph เจ้าหน้าที่แนะแนวการต่อสู้ <br>ถ้าอยากให้ช่วยอะไรละก็อย่าลืมมาหากันล่ะ <br>ยินดีที่ได้รู้จัก ฝากเนื้อฝากตัวด้วยนะ"""
5057#0,"""Barbara เจ้าหน้าที่แนะแนวการต่อสู้ <br>ฉันเป็นคนเข้มงวดแม้แต่เวลาอยู่ในสนามรบ"""
5059#0,"""ฉันไม่คิดจะสนิทสนมกับใคร <br>ต่อให้ต้องตายด้วยอาวุธก็ไม่จำเป็นต้องคร่ำครวญให้"""
5062#0,"""หนูไม่ค่อยมั่นใจว่าจะทำประโยชน์อะไรให้ได้บ้าง<br>แต่ถ้ารุ่นพี่ชวนล่ะก็...<br>หนูจะพยายามเต็มที่ค่ะ"""
5063#0,"""ถึงผมจะยังฝีมือไม่ค่อยได้เรื่องเท่าไหร่<br>แต่จะพยายามทำประโยชน์ให้ท่านอาจารย์ครับ !<br>ไม่ว่าให้ทำอะไรผมก็จะทำเต็มที่ ฝากตัวด้วยครับ !"""
5066#0,"""...คุณเป็นผู้มีพระคุณ เพราะฉะนั้นเชิญเรียก<br>ใช้ได้ทุกเวลานะ ฉันจะเป็นกำลังให้"""
5068#0,"""โทโร่อยากจะไปในที่ต่างๆล่ะเมี๊ยว! ไปกับทุกคนเลยเมี๊ยว!"""
5069#0,"""ถ้ามีเรื่องสนุกๆละก็ อย่าลืมชวนกันล่ะเมี๊ยว <br>โทโร่จะขอตามไปด้วยเม๊ยว!"""
5083#0,"""หากท่านลำบากล่ะก็ ไม่ว่าเมื่อไหร่ก็เรียกข้าได้เลย!<br>ตัวตนที่เรียกว่ารุ่นพี่น่ะก็คือแบบนั้นแหละ!"""
5086#0,"""ถึงชั้นจะแทน Zeno ไม่ได้ แต่ก็จะพยายามสุดความ<br>สามารถเลย ฉะนั้นอยากเรียกเมื่อไหร่ก็เรียกได้เลยนะ"""
5087#0,"""ถึงจะยังเป็นแค่พวกอ่อนหัด แต่ก็จะพยายามเพื่อที่<br>จะได้เป็นมืออาชีพอันดับหนึ่ง"""
5091#0,"""จะพยายามไม่ให้เป็นตัวถ่วงล่ะนะ เพราะฉะนั้น<br>เชิญเรียกได้ตลอดเวลานะรุ่นพี่"""
5125#0,"""ชั้นเองก็ได้ท่านช่วยเอาไว้ในหลายๆ เรื่อง<br>หากต้องการล่ะก็ ไม่ว่าเมื่อไหร่ก็เชิญเรียกได้เลยนะ"""
5126#0,"""สมมติ"""
5127#0,"""สมมติ"""
5128#0,"""สมมติ"""
5135#0,"""เอ ชั้นต้องเขียนอะไรลงไปใน Partner Card......<br>อ้าว เอ๊ะๆ ? นี่ก็ต้องเขียนด้วยเหรอ?<br>อ๊ะ อืม... ไม่ว่าเมื่อไหร่ก็เชิญเรียกชั้นได้เลยนะ!"""
5153#0,"""หากพลังของคนอย่างข้า...... ไม่ใช่สิ<br>หากพลังของข้าจำเป็นกับคุณล่ะก็ ไม่ว่าเมื่อไหร่<br>ก็เรียกได้เลยนะ แล้วข้าจะรีบบึ่งมาหาคุณทันที"""
Pure#0,"""ถ้าฉันมีประโยชน์ละก็ ก็พร้อมจะทุ่มในเสมอนะ"""
Bracing#0,"""ถ้าพลังของฉันเป็นสิ่งจำเป็นละก็ <br>เชิญเรียกได้ตลอดเวลาเลยนะ"""
Cool#0,"""ผะผมจะพยายามเต็มที่เลยครับ เพราะฉะนั้นชวนกันด้วยนะ"""
Pride#0,"""ถ้าพลังของฉันเป็นสิ่งจำเป็นล่ะก็ <br>ชวนได้เสมอนะ <br>ไม่ว่าที่ไหนก็จะไปร่วมด้วย"""
Naughty#0,"""ฉันเครื่องร้อนพร้อมรบเสมอแหละ! เข้ามาได้เล้ย!"""
Urbane#0,"""ไม่ว่าจะเมือ่ไหร่ก็เข้ามาหาได้เลย อย่าเกรงใจเรียกหากันได้"""
Noisy#0,"""เชิญเรียกได้ตลอดเวลานะ! จะรีบไปหาเลยล่ะ!"""
Sharp#0,"""...ไม่ว่าเมื่อไหร่ก็เรียกได้นะ เพราะฉันมีชีวิตอยู่เพื่อการนี้ล่ะ"""
Boyish#0,"""ผมจะมาให้ตลอดเวลาเลยล่ะ! จะคอยคุณติดต่อมานะ!"""
5001#1,"""困った時はいつでも呼べよ！<br>先輩ってのは、そういうもんだ！"""
5002#1,"""あたしだってアークスなんだから<br>いつでも呼んでいいからね。"""
5003#1,"""相棒！\u3000おれたちの仲なんだから<br>遠慮なく呼んでくれよ！"""
5007#1,"""……こんな私でも<br>貴方様が望むのであれば<br>喜んで協力させていただきます。"""
5008#1,"""私でもお役に立てるのなら、ぜひ！"""
5009#1,"""研究対象以外には興味ないのだが<br>キミの誘いならば乗らないわけには<br>いかないな。"""
5010#1,"""え、ええっ、ええっとぉ……<br>ぼくを呼んでもらっても、仕方がないかと……"""
5013#1,"""アークスいちの情報屋<br>パティエンティアが姉、パティ！<br>お呼びとあらば、どこにでも！"""
5014#1,"""アークスいちの情報屋<br>パティエンティアの妹、ティアです。<br>いつでも呼んでください。"""
5018#1,"""まー、何事もほどほどに<br>適当にがんばっていこうよー。<br>気楽に、気楽に。ね。"""
5019#1,"""……いつでも呼んで。<br>フォースの力、見せてあげるから。"""
5020#1,"""いつでも呼ぶといい！<br>ハンターの力、見せてやろう！"""
5021#1,"""ふふふ……私の力が必要ならば<br>いつでも呼ぶといい！<br>私もかつて、戦場において……"""
5022#1,"""おっ？\u3000おっ？<br>行っちゃう？\u3000オレと行っちゃう？<br>いいぜいいぜ、いつでも行くぜー！"""
5026#1,"""敵さんを殺して殺して殺して殺すときには<br>ぜひぜひぜひぜひ誘ってくださいねえ。<br>約束ですよお？"""
5054#1,"""戦技教導官のジョーゼフだ。<br>請われたため、復帰と相成った。<br>よろしく頼むぞ。"""
5057#1,"""戦技教導官のバルバラよ。<br>戦場でも厳しく行くから<br>そのつもりでね。"""
5059#1,"""アタシは馴れ合うつもりはない。<br>ダーカーを殺せればそれでいい。<br>余計な詮索は不要だよ。"""
5062#1,"""わたしなんかじゃ力不足と思いますが<br>先輩に誘ってもらえるのなら……<br>わたし、がんばります。"""
5063#1,"""不出来で未熟な自分ですが、少しでも<br>先生に近づけるよう頑張ります！<br>ご指導、ご鞭撻お願いします！"""
5066#1,"""……あなたには大恩があります。<br>いつでも呼んでください。<br>力になれるよう尽力します。"""
5068#1,"""トロは色んなところに<br>行ってみたいのニャ～！<br>みんなといっしょニャ！"""
5069#1,"""楽しそうなことがあれば<br>いつでも誘ってくれみャ。<br>トロと駆けつけるみャ！"""
5083#1,"""困った時はいつでも呼べよ！<br>先輩ってのは、そういうもんだ！"""
5086#1,"""ゼノの代わりとまではいかないけど<br>全力で頑張るから、いつでも呼んで。"""
5087#1,"""まだまだ未熟者だけど<br>ブレイバーの第一人者として<br>全力で頑張らせてもらうよー。"""
5091#1,"""足手まといにはならないつもりだから<br>いつでも誘ってくれよ、センパイ。"""
5125#1,"""貴方にはいろいろお世話になったし<br>必要なら、いつでも呼んでちょうだい。"""
5126#1,"""仮"""
5127#1,"""仮"""
5128#1,"""仮"""
5135#1,"""えっと、パートナーカードって何書けば……<br>ってあれ、あれれっ？\u3000これも書かれてる？<br>あ、えっと……いつでも呼んでね！"""
5153#1,"""僕なんかの力……じゃなかった。<br>僕の力が役に立つのなら、いつでも<br>呼んでください。すぐに駆けつけます。"""
Pure#1,"""私を必要とするのであれば<br>いつでも、その力に。"""
Bracing#1,"""僕の力が必要なら<br>いつでも呼んで欲しいな。"""
Cool#1,"""ぼ、ぼくも精一杯頑張りますので<br>いつでも誘ってください。"""
Pride#1,"""俺の力が必要なら、いつでも誘え。<br>どこにでも参上しよう。"""
Naughty#1,"""おれはいつでも臨戦態勢！<br>かかってこーい！"""
Urbane#1,"""いついかなる時でも駆けつけます。<br>気軽に呼んで下さいね。"""
Noisy#1,"""いつでも呼んでね！<br>ササッと駆けつけちゃうよー！"""
Sharp#1,"""……いつでも呼んで。<br>わたしはそのために、いるんだから。"""
Boyish#1,"""ボクはいつでも駆けつけるよ！<br>連絡、待ってるから！"""
