Title#0,"""『艦橋』について"""
ep6_sq02_02#0,"""みなさんにも、感謝でいっぱいです。<br>シャオが戻ることなく消えていたらと<br>考えたら、私……！"""
ep6_sq02_03#0,"""……いえ！\u3000感傷に浸るのは後で！<br>今は次の作戦の準備に集中しますね。<br>シャオの言う通り、反撃のときです！"""
ep6_sq02_01_01#0,"""やはり、そう簡単には<br>行きませんね……"""
ep6_sq02_01_02#0,"""ですが、落ち込んではいられません。<br>まずはいち早く交戦データをまとめて<br>シャオと、みんなで相談しましょう！"""
11_voice_NPC_5239_100#7,"""情報から見える対策がきっとあります。<br>よーし、パパっとまとめちゃいます！"""
ep6_sq02_02_01#0,"""相手の戦闘力が分からないと<br>こちらもどのように戦うべきか<br>判断できません。"""
ep6_sq02_02_02#0,"""そういう意味では、シバの戦闘力を<br>具体的に推定できてよかったです。<br>……とんでもない数値でしたけどね。"""
ep6_sq02_02_03#0,"""こちらの力を急に増やせないなら<br>相手の力を減らすことで<br>有利に戦いましょう！"""
11_voice_NPC_5239_102#4,"""ついにシバを倒せたと思ったら<br>擬態したミトラだったなんて……"""
11_voice_NPC_5239_100#8,"""でもでも！\u3000フォトナーを<br>一人とは言え、倒すことができました！<br>これは、大きな一歩です！"""
ep6_sq03_02_01_03#0,"""私たちなら、きっと<br>シバを倒す方法だって見つけられます！<br>引き続き、がんばりましょう！"""
