IncidentName#0,"""หยุดการทำงานของระเบิดเวลา"""
NpcComOnLastHalf#1,"""残りの時限爆弾は約半数です。<br>引き続き解除を続けて下さい。"""
NpcComOnLastOne#1,"""残りの時限爆弾はあと１つです。"""
NpcComOnCorrect#1,"""対象の時限爆弾、熱量低下。<br>無力化を確認しました。解除成功です。"""
NpcComOnIncorrect#1,"""選択に間違いがあったようです。<br>再び選択が可能になるまでは<br>時間がかかるようですね。"""
NpcComOnRemain30#1,"""時限爆弾のタイムリミットまで<br>残り、30秒です。<br>対処を急いでください。"""
NpcComOnJoin#1,"""現在、ダーカーの時限爆弾に対する<br>対応を行っています。<br>各員、協力をお願いします。"""
NpcComOnBegin#2,"""เราได้ตรวจพบระเบิดเวลาที่ถูกติดตั้งโดยพวก D-arker<br>ท่านต้องไปจัดการกับพวกมันก่อนมันจะระเบิด"""
NpcComOnBegin2#2,"""ระเบิดเวลาพวกนี้สามารถหยุดได้หากเรารู้วิธีที่ถูกต้อง<br>ท่านต้องตรวจสอบมันดูก่อนเวลาจะหมดลง"""
NpcComOnSuccess#2,"""ยอดมาก! ระเบิดเวลาทั้งหมดได้ถูกหยุดลงแล้ว<br>ทำได้ดีมาก"""
NpcComOnFailure#2,"""ตรวจพบคลื่นความร้อน!<br>หยุดมันไม่สำเร็จซินะ...!<br>...ท่านเป็นอะไรมากไหม?"""
NpcComOnLastHalf#2,"""ยอดมาก ท่านได้หยุดการทำงานของระเบิดเวลาได้ครึ่งนึงแล้ว<br>ทำมันต่อไปจนกว่าจะครบ"""
NpcComOnLastOne#2,"""เหลืออีกแค่ลูกเดียวเท่านั้น!<br>อย่าพึ่งประมาทจนกว่าทั้งหมดจะถูกปลด"""
NpcComOnCorrect#2,"""ระเบิดเวลาได้สงบลงและไม่มีอันตรายแล้ว<br>ดูเหมือนการปลดชนวนจะสำเร็จ"""
NpcComOnIncorrect#2,"""ดูเหมือนท่านจะทำไม่ถูกวิธี...<br>แต่ท่านยังสามารถลองใหม่ได้อีกครั้งโดยการรอสักครู่"""
NpcComOnRemain30#2,"""มีเวลาอีกแค่ 30 วินาทีก่อนมันจะระเบิด!<br>เริ่มมีควันออกมาแล้ว"""
NpcComOnJoin#2,"""ท่านมาได้จังหวะพอดีเลย เรากำลังจัดการกับระเบิดเวลาของ D-arker<br>พอจะช่วยหน่อยได้ไหม?"""
NpcComOnBegin#3,"""まずいな……ダーカーの時限爆弾が<br>そこかしこに出現しているようだ。<br>爆発前に対処したい、急げ。"""
NpcComOnBegin2#3,"""かの時限爆弾の威力は図抜けているが<br>仕掛けの謎が解れば無力化も可能だ。<br>時間の許す限り、解除に取り組め。"""
NpcComOnSuccess#3,"""よし、全ての時限爆弾の停止を確認。<br>よくやった。"""
NpcComOnFailure#3,"""異常熱量を感知！<br>止められなかったか……！<br>くっ……無事か？"""
NpcComOnLastHalf#3,"""よし、残りの時限爆弾の数は<br>あと半分ほどだ。<br>引き続き、解除を続けろ。"""
NpcComOnLastOne#3,"""時限爆弾、残りはあと一つだ。<br>最後まで気を抜くなよ。"""
NpcComOnCorrect#3,"""時限爆弾の反応が弱まったな。<br>解除に成功したようだ。"""
NpcComOnIncorrect#3,"""解除ミスだな……<br>その様子だと、しばらくは<br>ポイントの再選択ができないな。 """
NpcComOnRemain30#3,"""時限爆弾のタイムリミットまで<br>あと30秒だ。<br>対処を急げ。"""
NpcComOnJoin#3,"""いいところに来たな。<br>現在、ダーカーの時限爆弾の<br>対応を行っている。手伝えるか？"""
NpcComOnBegin#4,"""ระวัง! เราตรวจพบระเบิดเวลาที่ถูกติดตั้งโดยพวก<br>D-arker จำนวนมาก!"""
NpcComOnBegin2#4,"""ท่านไม่ต้องตกใจไป ระเบิดเวลาพวกนี้สามารถหยุดได้หากเรารู้วิธีที่ถูกต้อง<br>ท่านต้องตรวจสอบดูให้ดี และหยุดมันให้ได้ !"""
NpcComOnSuccess#4,"""/face2 เยี่ยม! ระเบิดเวลาทั้งหมดได้ถูกหยุดลงแล้ว<br>ทำได้ดีมาก!"""
NpcComOnFailure#4,"""โอ้โห.....ระเบิดรุนแรงอลังการจริงๆ....<br>เอ็ย ไม่ใช่แบบนั้นซิ!<br>...ท่านเป็นอะไรมากไหม?"""
NpcComOnLastHalf#4,"""ท่านได้หยุดการทำงานของระเบิดเวลาได้ครึ่งนึงแล้ว<br>พยายามต่อไปนะ!"""
NpcComOnLastOne#4,"""เหลืออีกแค่ลูกเดียวเท่านั้น!<br>สุดท้ายต้องตัดสินด้วยชีวิตแล้วล่ะ<br>....อ้าว ไม่ใช่เหรอ?"""
NpcComOnCorrect#4,"""ระเบิดเวลาได้สงบลงและไม่มีอันตรายแล้ว!<br>การปลดชนวนสำเร็จ!"""
NpcComOnIncorrect#4,"""ดูเหมือนท่านจะทำไม่ถูกวิธี<br>คงต้องใช้เวลานานหน่อยกว่าจะลองได้อีกครั้งนะ..."""
NpcComOnRemain30#4,"""มีเวลาอีกแค่ 30 วินาทีก่อนมันจะระเบิด!<br>ถ้าท่านไม่รีบ มันจะระเบิดนะ!"""
NpcComOnJoin#4,"""/face2 ท่านมาได้จังหวะพอดีเลย!<br>เรากำลังจัดการกับระเบิดเวลาของ D-arker<br>ท่านพอจะช่วยหน่อยได้ไหม?"""
NpcComOnBegin#5,"""こ、この反応っ！\u3000警戒、警戒っ！<br>ダーカーの時限爆弾が出現です！<br>しかもすっごくたっくさん！"""
NpcComOnBegin2#5,"""で、でもでも安心して下さい！<br>よく見れば止めるヒントがあるはず！<br>よーく調べて、止めて下さいー！"""
NpcComOnSuccess#5,"""/face2 時限爆弾、ぜーんぶ止まりました！<br>やりましたね！\u3000お疲れ様ですっ！"""
NpcComOnFailure#5,"""あっちゃあー……大爆発……<br>って、そうじゃない！<br>だ、だだっ、大丈夫ですかっ？！"""
NpcComOnLastHalf#5,"""残りはあと半分ですよー！<br>頑張って、頑張ってくださいっ！"""
NpcComOnLastOne#5,"""残り、あと一つです！<br>最後の正念場、ってやつですよ！<br>……あれ、違う？"""
NpcComOnCorrect#5,"""その時限爆弾、止まったようですよ！<br>やりました！\u3000解除大成功ですっ！"""
NpcComOnIncorrect#5,"""うーん、間違えちゃった感じです。<br>再び選択ができるようになるまでは<br>少し時間がかかりそうですねー……"""
NpcComOnRemain30#5,"""あわっ、あわわっ！\u3000時限爆弾<br>あと30秒で爆発しちゃいます！<br>急いで、急いでくださいー！"""
NpcComOnJoin#5,"""/face2 いいところに来てくれました！<br>ダーカーの時限爆弾解除を<br>手伝ってはもらえませんかっ？"""
