Title_DeadMenu#0,"""無法戰鬥狀態菜單"""
FastTravelTerminal_Revival_NoReward_name#0,"""確定返回$(0)的<br>傳送信標麼？"""
Central_Revival#0,"""返回中央都市"""
Central_Revival_NoReward#0,"""確定返回中央都市麼？"""
Emergency_Revival#0,"""原地復活　"""
Emergency_Revival_Count#0,"""$(0)秒後"""
Prologue_Revival_message#0,"""該任務中陷入無法狀態時會自動復活。"""
Non_Text#0,"""沒有文字"""
Menu_Main#0,"""主菜單"""
Menu_Sub#0,"""子菜單"""
Menu_Money#0,"""AC・SG菜單"""
MainMenu_Equip_WeaponAvatar#0,"""<pict ba_camouflage><pict 4space>武器迷彩"""
MainMenu_ACMenu_MyShop#0,"""<pict ba_task><pict 4space>拍賣行"""
MainMenu_World_WorldMap#0,"""<pict ba_worldmap><pict 4space>世界地圖"""
MainMenu_World_MessagePack#0,"""<pict ba_mpack><pict 4space>訊息清單"""
MainMenu_Quest_Rebops#0,"""<pict ba_task><pict 4space>委託"""
MainMenu_Quest_MissionPass#0,"""<pict ba_missionpass><pict 4space>通行證"""
Category_Item#0,"""道具"""
Category_Equip#0,"""裝備/快捷列"""
Category_SubPallet#0,"""快捷列"""
Category_Task#0,"""委託/任務"""
Category_WorldMap#0,"""世界"""
Category_LogOut#0,"""登出"""
Category_Communication#0,"""交流"""
Category_Personal#0,"""個人資料"""
Category_Chat#0,"""聊天"""
Category_Info#0,"""情報"""
Category_System#0,"""系統"""
Category_Scratch#0,"""轉蛋"""
Category_ACShop#0,"""<pict ba_acshop><pict 4space>AC・SG商店<pict 4space><pict Arcscash><pict StarGem>"""
Category_SGShop#0,"""<pict ba_sgshop><pict 4space>SG商店<pict 4space><pict StarGem>"""
Category_MyShop#0,"""個人商店"""
Category_RecycleShop#0,"""<pict ba_recycle><pict 4space>道具回收"""
Category_BuyHistory#0,"""<pict ba_history><pict 4space>購買歷史/有效期限"""
Category_Shop#0,"""商店"""
Popup_ItemPack#0,"""<pict ba_task><pict 4space>道具背包"""
Popup_FriendList#0,"""<pict ba_friend><pict 4space>好友列表"""
Popup_PartyCommand#0,"""<pict ba_partycom><pict 4space>隊伍指令"""
Popup_TeamCommand#0,"""<pict ba_guild><pict 4space>公會指令"""
Popup_Mail#0,"""<pict ba_mail><pict 4space>信件"""
Popup_ArksSearch#0,"""<pict ba_search><pict 4space>搜索ARKS"""
Popup_CommuHistory#0,"""<pict ba_commu><pict 4space>交流歷史記錄"""
Popup_NearCharacter#0,"""<pict ba_surround><pict 4space>周圍的角色"""
Popup_CharacterData#0,"""<pict ba_charainfo><pict 4space>角色情報"""
Popup_Honor#0,"""<pict ba_title><pict 4space>稱號"""
Popup_ArksCard#0,"""<pict ba_card><pict 4space>ARKS名片"""
Popup_Honor_ArksCard#0,"""称号/ARKS名片"""
Popup_PlayLog#0,"""<pict ba_performance><pict 4space>遊戲成就"""
Popup_GroupChat#0,"""<pict ba_gchat><pict 4space>群組聊天設置"""
Popup_ShortcutWord#0,"""<pict ba_shortcut><pict 4space>快捷訊息設置"""
Popup_AutoWord#0,"""<pict ba_autoword><pict 4space>自動訊息設置"""
Popup_SymbolArt#0,"""<pict ba_symbol><pict 4space>塗鴉"""
Popup_Information#0,"""<pict ba_info><pict 4space>信息"""
Popup_Help#0,"""<pict ba_help><pict 4space>幫助"""
Popup_Option#0,"""<pict ba_option><pict 4space>設置"""
Popup_CampaignItem#0,"""<pict ba_get><pict 4space>接受活動獎勵"""
Popup_ItemCode#0,"""<pict ba_code><pict 4space>特典道具碼"""
Popup_ControlSetting#0,"""<pict ba_conf><pict 4space>操作設置"""
Popup_MagMenu#0,"""<pict ba_mag><pict 4space>瑪古"""
Popup_Stamp#0,"""<pict ba_stamp><pict 4space>表情"""
Popup_BuyScratch#0,"""<pict ba_scratch><pict 4space>轉蛋<pict 4space><pict Arcscash>"""
Popup_ScratchStorage#0,"""<pict ba_scwa><pict 4space>轉蛋倉庫"""
Popup_QuestInfo#0,"""<pict ba_questinfo><pict 4space>任務情報"""
Popup_Equip_Weapon#0,"""<pict ba_weapon><pict 4space>武器裝備"""
Popup_Equip_Guard#0,"""<pict ba_unit><pict 4space>防具裝備"""
Popup_Equip_Subpalette#0,"""<pict ba_subp><pict 4space>快捷列"""
Popup_Equip_Fashion#0,"""<pict ba_cos><pict 4space>編輯裝扮"""
Popup_QuestMenue#0,"""任務菜單"""
Operation_MenuCommon#0,"""這是菜單下屬菜單指南的一般設置。"""
MenuEquipmentOpen#0,"""裝備選中的道具"""
MainMenu_Equip_WeaponPosition#0,"""<pict ba_positioning><pict 4space>武器收刀位置調整"""
MainMenu_Loguin_Bonus#0,"""<pict icon_login_bonus><pict 4space>登錄獎勵"""
Menu_Matching_Blockade#0,"""匹配中無法使用。"""
HealTank#0,"""回復自己最大HP的50%。"""
RecoveryMoonAtomizer#0,"""復活周圍無法戰鬥狀態的玩家。"""
HunterWarCry#0,"""<yellow>【主動技能】<c><br>一定時間內吸引四周敵人的仇恨。<br>且更容易被攻擊所命中的敵人瞄準。<br><yellow>※主職業限定<c>"""
HunterIronWill#0,"""受到致命傷害時保留1點HP。<br>發動時會有無敵時間。<br><yellow>※主職業限定<c>"""
HunterMassiveHunter#0,"""<yellow>【主動技能】<c><br>一定時間內，減少受到的傷害，<br>並防止被敵人的攻擊所擊飛。"""
HunterParryingPa#0,"""發動PA後，<br>若在一定時間內受到敵人攻擊，<br>則提升該PA的威力<br><yellow>※獵人(Hu)武器限定<c>"""
HunterSwordGuardCounterPlus#0,"""發動大劍防禦反擊時，<br>進行普通攻擊，<br>會追加發動反擊。"""
HunterSwordNormalAttackPlus#0,"""大劍的普通攻擊段數，<br>增加到最大5段。"""
HunterSwordAttackExtra#0,"""普通攻擊段數增加到最大5段。<br><yellow>※大劍限定<c>"""
HunterWeakHitAdvance#0,"""仮テキスト"""
HunterParryingCritical#0,"""仮テキスト"""
HunterCounterBoost#0,"""仮テキスト"""
HunterJustGuardDownBoost#0,"""仮テキスト"""
HunterSwordGuardCounter#0,"""武器動作成功完美防禦時，<br>會自動發動反擊。<br><yellow>※大劍限定<c>"""
HunterFlashGuard#0,"""減少受到的傷害。"""
HunterAllGuard#0,"""武器動作的防禦變為全方向。<br><yellow>※獵人(Hu)武器限定<c>"""
HunterParryingPPHeal#0,"""發動獵人PA復仇時<br>回復PP。"""
HunterParryingPaJustGuard#0,"""發動PA時敵人的攻擊無效。<br><yellow>※獵人(Hu)武器限定<c>"""
HunterSlowFallCharge#0,"""蓄力PA時下落速度變慢。<br><yellow>※獵人(Hu)武器限定<c>"""
HunterTecArtsSkipAttack#0,"""同一武器連續使用不同PA後，<br>普通攻擊變為第4段。<br>最大段數是3或以下時變為最終段。<br><yellow>※獵人(Hu)武器限定<c>"""
HunterSameArtsSkipAttack#0,"""同一武器連續使用相同PA後，<br>普通攻擊變為第3段。<br><yellow>※獵人(Hu)武器限定<c>"""
HunterPartisanVolgraptor#0,"""長按武器動作鍵，<br>會釋放積蓄了傷害的光子槍。<br>光子槍在經過一定時間或<br>造成一定傷害後會爆炸。<br><yellow>※長槍限定<c>"""
HunterPartisanAssaultCharge#0,"""發動PA後，在特定時機按下武器動作鍵，<br>會發動可以蓄力的突刺攻擊。<br><yellow>※長槍限定<c>"""
HunterPartisanParryingAssaultCharge#0,"""發動獵人PA復仇時，<br>若該PA進行了突進蓄力，<br>則提升其威力。"""
HunterWLanceAttackExtra#0,"""普通攻擊段數增加到最大4段。<br><yellow>※自在槍限定<c>"""
HunterWLanceWAPlus#0,"""發動武器動作時，<br>按下方向鍵動作會發生變化。<br><yellow>※自在槍限定<c>"""
HunterWLanceWAGuardPointPlus#0,"""發動武器動作時，<br>使敵人的攻擊無效。<br><yellow>※自在槍限定<c>"""
RangerGaugeShotGun#0,"""<yellow>【主動技能】<c><br>消耗通過攻擊而積蓄的槽，<br>發射特殊的近距離散彈。<br><yellow>※步槍限定<c>"""
RangerGaugeShotGunAway#0,"""發動擴散射擊時，<br>會有無敵時間。<br>且按下方向鍵時的閃避距離增加。"""
RangerWeakBullet#0,"""<yellow>【主動技能】<c><br>發射增加命中部位所受傷害的子彈。<br><yellow>※主職業/步槍限定<c>"""
RangerWeakBulletParse#0,"""對脆化彈所命中的部位，<br>攻擊一定次數後，<br>提高造成的傷害，<br>並延長技能的效果時間。<br><yellow>※主職業限定<c>"""
RangerWeaponActionAvoid#0,"""發動武器動作時，<br>會有無敵時間。<br><yellow>※步槍限定<c>"""
RangerGrenadeTrap#0,"""長按武器動作鍵，<br>會使用手雷攻擊。<br>同時按下方向鍵會將其投擲，<br>否則將會放置在原地。<br><yellow>※步槍限定<c>"""
RangerRangeBonus#0,"""仮テキスト"""
RangerDownChain#0,"""仮テキスト"""
RangerWeakHitAdvance#0,"""仮テキスト"""
RangerWeakBlastBonus#0,"""仮テキスト"""
RangerFallSlowAttack#0,"""普通攻擊時下落速度變慢。<br><yellow>※遊俠(Ra)武器限定<c>"""
RangerFallSlowCharge#0,"""蓄力PA時下落速度變慢。<br><yellow>※遊俠(Ra)武器限定<c>"""
RangerClusterBombRecastReduce#0,"""發動武器動作後，<br>縮短其冷卻時間。<br><yellow>※大炮限定<c>"""
RangerLauncherChargeConvergence#0,"""蓄力狀態下進行普通攻擊時，<br>按下向前的方向鍵，<br>會提升集彈性能。<br><yellow>※大炮限定<c>"""
RangerConditionBadGuard#0,"""變得難以陷入異常狀態。"""
RangerConditionBadEase#0,"""縮短陷入異常狀態的時間。"""
ForcePhotonFlare#0,"""<yellow>【主動技能】<c><br>一定時間內增加最大PP，<br>提高武器威力。<br><yellow>※主職業/法師(Fo)武器限定<c>"""
ForcePpConvert#0,"""<yellow>【主動技能】<c><br>發動時，以消耗一定比例的最大HP為代價，<br>在一定時間內，增加PP自然回復量。"""
ForcePpConvertReCharge#0,"""PP轉換的備彈數增加。"""
ForceChargePpRevival#0,"""在蓄力法術時，<br>也將可以自然回復PP。<br><yellow>※法師(Fo)武器限定<c>"""
ForceChargeEscape#0,"""在蓄力法術時，即便使出武器動作或滑步，<br>也會維持蓄力狀態，<br>且下次使用同一法術時<br>將不消耗PP，並縮短蓄力時間。<br><yellow>※長杖限定<c>"""
ForceHeal#0,"""使用治療光晶時，<br>同時回復周圍的角色。<br><yellow>※主職業限定<c>"""
ForceOverFlow#0,"""仮テキスト"""
ForcePhotonFlareTecShortCharge#0,"""在光子閃耀發動期間，<br>以降低法術威力為代價，<br>縮短蓄力時間。<br><yellow>※主職業/法師(Fo)武器限定<c>"""
ForcePhotonFlareAfterBurst#0,"""仮テキスト"""
ForcePhotonFlareBoost#0,"""仮テキスト"""
ForceRodCounterTechnic#0,"""武器動作成功防禦，或滑步成功迴避時，<br>使用法術會有無敵時間。<br><yellow>※長杖限定<c>"""
ForcePhotonFlarePpRefrain#0,"""光子閃耀結束時，<br>會根據光子閃耀過程中消耗的PP量<br>回復PP。<br><yellow>※主職業限定<c>"""
ForceNightmare#0,"""在自己的周圍使敵人倒地，<br>或將其擊敗時，<br>回復PP。"""
ForceReflectCounterShot#0,"""武器動作成功防禦後，<br>發動法術時，<br>追加同種屬性的法擊彈攻擊。<br><yellow>※長杖限定<c>"""
ForceRodCounterTecBonus#0,"""裝備了長杖的情況下，<br>滑步成功迴避，或武器動作成功防禦時，<br>使用法術會有無敵時間。"""
ForceRodAbsorption#0,"""發動法術後，<br>若不進行攻擊或迴避，<br>則會回復PP。<br><yellow>※長杖限定<c>"""
ForceTalisConcentrate#0,"""發動PA後展開導具時，<br>以減少展開時間為代價，<br>提升法術威力，<br>並減少PP消耗。"""
ForceTalisQuickMarkShot#0,"""發動武器動作時不按方向鍵，<br>會在一定時間內，<br>對多個敵人進行間斷性攻擊。<br><yellow>※導具限定<c>"""
ForceTalisSetRevok#0,"""長按武器動作鍵，<br>解除導具PA的展開狀態。<br><yellow>※導具限定<c>"""
ForcePpRestorate#0,"""增加PP的自然回復量。"""
ForceSlowFallCharge#0,"""在蓄力法術時下落速度變慢。<br><yellow>※法師(Fo)武器限定<c>"""
ForceBartaBlot#0,"""對敵人命中一定次數的<br>非蓄力冰屬性法術後，<br>結成冰之紋章。<br>此時再次命中蓄力的同屬性法術，<br>則紋章會爆炸，造成追加傷害。"""
ForceZondeClad#0,"""對敵人命中一定次數的<br>非蓄力雷屬性法術後，<br>自身變為帶電狀態。<br>且再次命中蓄力的同屬性法術，<br>則帶電會解除，並強化該法術。"""
FighterLimitBreak#0,"""<yellow>【主動技能】<c><br>一定時間內以增加受到的傷害為代價，<br>提升武器的威力。<br><yellow>※主職業/鬥士(Fi)武器限定<c>"""
FighterLimitBreakPhotonCharge#0,"""極限解放結束時，回復PP。<br><yellow>該技能僅主職業適用。"""
FighterLimitBreakInsurance#0,"""極限解放狀態中，受到致命傷害時，<br>極限解放狀態結束，並保留1點HP。<br>且發動時會有無敵時間。<br><yellow>※主職業限定<c>"""
KnuckleDodgeHeatRevenge#0,"""武器動作成功迴避後的普通攻擊，<br>變為第5段。<br><yellow>※鋼拳限定<c>"""
FighterKnuckleSwayCounterPlus#0,"""發動鋼拳閃身反擊時，<br>使用武器動作可以再追加發動一次反擊。"""
FighterKnuckleNormalAttackPlus#0,"""普通攻擊段數增加到最大5段。<br><yellow>※鋼拳限定<c>"""
FighterPhotonFlood#0,"""仮テキスト"""
FighterUnFlatBonus#0,"""仮テキスト"""
FighterTecArtsJABonus#0,"""仮テキスト"""
FighterPPSlayer#0,"""仮テキスト"""
FighterKnuckleSwayCounter#0,"""武器動作成功迴避時，自動發動反擊。<br><yellow>※鋼拳限定<c>"""
FighterChaseAdvance#0,"""增加對倒地中敵人造成的傷害。"""
FighterChaseAdvancePPRecovery#0,"""增加攻擊倒地中敵人時的PP回復量。"""
FighterTecArtsSkipAttack#0,"""同一武器連續使用不同PA後，<br>普通攻擊變為第4段。<br>最大段數是3或以下時變為最終段。<br><yellow>※鬥士(Fi)武器限定<c>"""
FighterSameArtsSkipAttack#0,"""同一武器連續使用相同PA後，<br>普通攻擊變為第3段。<br><yellow>※鬥士(Fi)武器限定<c>"""
FighterSkipArts#0,"""不按方向鍵使用PA，<br>會從該PA的後半部分開始發動。<br><yellow>※鬥士(Fi)武器限定<c>"""
FighterTDAnotherDerive#0,"""發動PA後，在特定時機按下普通攻擊鍵，<br>會向敵人突進。<br><yellow>※雙小劍限定<c>"""
FighterTDSpinCounter#0,"""武器動作成功防禦時，<br>進行普通攻擊會發動反擊。<br><yellow>※雙小劍限定<c>"""
FighterTDAttackExtra#0,"""普通攻擊段數增加到最大4段。<br><yellow>※雙小劍限定<c>"""
FighterDSDodgeWindCounter#0,"""武器動作成功防禦時，<br>進行普通攻擊會發動反擊。<br><yellow>※雙頭劍限定<c>"""
FighterDSDodgeWindWACounter#0,"""武器動作成功防禦時，<br>使用武器動作會發動特殊反擊。<br><yellow>※雙頭劍限定<c>"""
FighterDSDeadlyArcher#0,"""積蓄了2層風刃的狀態下，<br>長按武器動作鍵，<br>會將所有風刃轉換成能量，<br>向敵人投擲武器。<br><yellow>※雙頭劍限定<c>"""
FighterDSEnhanceAttack#0,"""積蓄了2層風刃的狀態下，<br>長按普通攻擊鍵，<br>會將所有風刃轉換成能量，<br>發動旋風。<br><yellow>※雙頭劍限定<c>"""
GunnerChainTrigger#0,"""發動蓄力PA後，<br>可以通過攻擊增加“連鎖數”，<br>而再次命中蓄力PA後，<br>則會發動強力的“連鎖終結”。<br><yellow>※主職業/雙機槍限定<c>"""
GunnerChainFinish#0,"""發動連鎖終結後，<br>會根據連鎖起射中的連鎖數，<br>縮短其冷卻時間。<br><yellow>該技能僅主職業適用。"""
GunnerChainFinishTimeBonus#0,"""發動連鎖終結後，<br>會根據連鎖數，<br>縮短連鎖起射的冷卻時間。<br><yellow>※主職業限定<c>"""
GunnerSRollArts#0,"""在武器動作發動期間按下PA鍵，<br>會消耗PP進行更高威力的攻擊。<br><yellow>※雙機槍限定<c>"""
GunnerCounterPABurst#0,"""武器動作成功迴避時，<br>會以增加下個PA的PP消耗為代價，<br>提升威力。<br><yellow>※雙機槍限定<c>"""
GunnerChainBoost#0,"""發動連鎖終結後，一定時間內，<br>武器動作過程中的攻擊會發生變化<br>並會根據連鎖數，<br>提升武器的攻擊速度。<br><yellow>※主職業/雙機槍限定<c>"""
GunnerNeutralDeadApproach#0,"""不按方向鍵發動武器動作，<br>會使其變為向前方突進。<br><yellow>※雙機槍限定<c>"""
GunnerPerfectKeeper#0,"""仮テキスト"""
GunnerChainFinishBonus#0,"""仮テキスト"""
GunnerNeoTime#0,"""仮テキスト"""
GunnerNeoTimeBlastBonus#0,"""仮テキスト"""
GunnerNeoTimePPRefresh#0,"""仮テキスト"""
GunnerAirAttackBonus#0,"""仮テキスト"""
GunnerReactionWeak#0,"""仮テキスト"""
GunnerFallSlowAttack#0,"""普通攻擊時下落速度變慢。<br><yellow>※鷹眼(Gu)武器限定<c>"""
GunnerFallSlowCharge#0,"""蓄力PA時下落速度變慢。<br><yellow>※鷹眼(Gu)武器限定<c>"""
GunnerGaugeShotGun#0,"""<yellow>【主動技能】<c><br>消耗通過攻擊而積蓄的槽，<br>發射特殊的近距離散彈。<br><yellow>※步槍限定<c>"""
GunnerGaugeShotGunAway#0,"""發動擴散射擊時，<br>會有無敵時間。<br>且按下方向鍵時的閃避距離增加。"""
GunnerAttackPPRestraint#0,"""增加攻擊時的PP回復量。"""
GunnerOverWhelm#0,"""增加攻擊BOSS以外敵人時的PP回復量。"""
TechterShiftaDeband#0,"""<yellow>【主動技能】<c><br>一定時間內自己和周圍的角色<br>對敵人造成的傷害增加，<br>受到的傷害減少。<br><yellow>※主職業限定<c>"""
TechterPartyAssist#0,"""發動攻擊・防禦結界時，<br>遠距離的隊員也能享受效果。<br><yellow>※主職業限定<c>"""
TechterWandElementChange#0,"""使用蓄力法術後，<br>法擊爆發會變為同樣的屬性。<br><yellow>※短杖限定<c>"""
TechterWandElementDiscard#0,"""長按武器動作鍵後，<br>還原在短杖屬性變換的作用下<br>發生了變化的法擊爆發屬性。<br><yellow>※短杖限定<c>"""
TechterHeal#0,"""增加使用治療光晶時的回復量，<br>同時回復周圍的角色。<br><yellow>※主職業限定<c>"""
TechterWandGuardCounter#0,"""武器動作成功防禦時，<br>進行普通攻擊會發動反擊。<br><yellow>※短杖限定<c>"""
TechterAssistField#0,"""仮テキスト"""
TechterWandLovers#0,"""<yellow>【主動技能】<c><br>一定時間內，普通攻擊可彈開敵人的攻擊，<br>並防止被擊飛。<br><yellow>※短杖限定<c>"""
TechterWandCounterReflection#0,"""武器動作等行為成功防禦時產生法擊爆發。<br><yellow>※短杖限定<c>"""
TechterShiftaStrike#0,"""處於攻擊・防禦結界狀態時，<br>增加對敵人造成的倒地值。<br><yellow>※主職業限定<c>"""
TechterShiftaAdvance#0,"""處於攻擊・防禦結界狀態時，<br>增加對倒地中敵人造成的傷害。<br><yellow>※主職業限定<c>"""
TechterDebandCut#0,"""處於攻擊・防禦結界狀態時，<br>變得難以陷入異常狀態。<br><yellow>※主職業限定<c>"""
TechterDebandPpReStraight#0,"""處於攻擊・防禦結界狀態時，<br>增加PP的自然回復量。<br><yellow>※主職業限定<c>"""
TechterExtendAssist#0,"""延長攻擊・防禦結界效果時間。<br><yellow>※主職業限定<c>"""
TechterElementWeakBonus#0,"""以敵人的弱點屬性進行攻擊時，<br>增加光子爆發槽。"""
TechterAwakeYell#0,"""靠近BOSS時，<br>更容易積蓄光子爆發槽。"""
TechterReverseBonus#0,"""對復活的己方同伴賦予攻擊・防禦結界。<br><yellow>※主職業限定<c>"""
TechterWandGuardCounterEdge#0,"""發動短杖防禦反擊時，<br>產生衝擊波。"""
TechterFallSlowCharge#0,"""蓄力PA和法術時下落速度變慢。<br><yellow>※元素使(Te)武器限定<c>"""
TechterBartaBlot#0,"""對敵人命中一定次數的<br>非蓄力冰屬性法術後，<br>結成冰之紋章。<br>此時再次命中蓄力的同屬性法術，<br>則紋章會爆炸，造成追加傷害。"""
TechterZondeClad#0,"""對敵人命中一定次數的<br>非蓄力雷屬性法術後，<br>自身變為帶電狀態。<br>且再次命中蓄力的同屬性法術，<br>則帶電會解除，並強化該法術。"""
FighterKnuckleAttackExtra#0,"""普通攻擊段數增加到最大5段。<br><yellow>※鋼拳限定<c>"""
ForceTalisTecBurst#0,"""<yellow>【主動技能】<c><br>消耗通過攻擊而積蓄的槽，<br>進行特殊的遠距離攻擊。<br><yellow>※導具限定<c>"""
TechterTalisTecBurst#0,"""<yellow>【主動技能】<c><br>消耗通過攻擊而積蓄的槽，<br>進行特殊的遠距離攻擊。<br><yellow>※導具限定<c>"""
TechterTalisQuickMarkShot#0,"""發動武器動作時不按方向鍵，<br>會在一定時間內，<br>對多個敵人進行間斷性攻擊。<br><yellow>※導具限定<c>"""
TechterTalisSetRevok#0,"""長按武器動作鍵，<br>解除導具PA的展開狀態。<br><yellow>※導具限定<c>"""
BraverGuardRelief#0,"""武器動作進行防禦時，<br>減少受到的傷害與PP消耗量。"""
BraverRestaHealUp#0,"""增加使用治療光晶時的HP回復量。"""
BraverJustReversalCover#0,"""依靠受身抗住了由敵人攻擊造成的擊飛時，<br>回復HP。"""
BraverCombat#0,"""<yellow>【主動技能】<c><br>一定時間內減少PP消耗量，<br>並增加攻擊時的PP回復量。<br>在技能發動期間再次使用，可施放強力的一擊。<br><yellow>※武士(Br)武器限定<c>"""
BraverBraveCombatShortTime#0,"""以減少武勇戰技的效果時間為代價，<br>縮短其冷卻時間。"""
BraverCombatCountAfterBonus#0,"""武勇戰技結束時，<br>根據技能發動期間的攻擊命中數，<br>回復HP與PP。<br><yellow>※主職業/武士(Br)武器限定<c>"""
Katana:LockonChase#0,"""武勇戰技發動期間，<br>在鎖定狀態下的普通攻擊，<br>會向一定範圍內的敵人靠近。<br><yellow>※拔刀限定<c>"""
BraverCompoundbowPaArmor#0,"""武勇戰技中，<br>在發動PA攻擊時的特定時機，<br>防止被敵人的攻擊所擊飛。<br><yellow>※強弓限定<c>"""
BraverKatanaGuardCounter#0,"""武器動作成功完美防禦時，<br>自動發動反擊。<br><yellow>※拔刀限定<c>"""
Katana:CounterEdge#0,"""發動拔刀防禦反擊時，<br>追加施放衝擊波。"""
Katana:ComboCountSkill#0,"""即便使用不同PA<br>也會保持拔刀PA的連擊段數。<br><yellow>※拔刀限定<c>"""
Katana:Ambition#0,"""在發動普通攻擊或PA後的特定時機，<br>使前方敵人的攻擊無效，<br>並發動自動反擊。<br><yellow>※拔刀限定<c>"""
BraverCounterArrow#0,"""武器動作成功迴避時，<br>進行普通攻擊會發動反擊。<br><yellow>※強弓限定<c>"""
BraverCompoundbowHoming#0,"""普通攻擊射出的箭矢，<br>會追蹤敵人。<br><yellow>※強弓限定<c>"""
BraverCompoundbowSlideDodge#0,"""發動PA後，於特定時機<br>在按下方向鍵的同時發動武器動作，<br>會滑行著進行攻擊。<br><yellow>※強弓限定<c>"""
BouncerDownRateUp#0,"""增加對敵人造成的倒地值。"""
BouncerNakedKiller#0,"""根據對單個敵人造成的<br>部位破壞次數，<br>提升造成的傷害，並減少受到的傷害。"""
BouncerDefeatPpGain#0,"""敵人在自己周圍倒地時，回復PP。<br><yellow>※主職業限定<c>"""
BouncerFrailPointUp#0,"""使物理衰弱與屬性衰弱的<br>倒地值層數更容易提升。<br><yellow>※主職業限定<c>"""
BouncerPhysicFrail#0,"""使PA命中的敵人<br>陷入容易被物理倒地的狀態。<br>繼續命中PA，<br>可以最大提升為3層效果。<br><yellow>※主職業/飛翔劍限定<c>"""
BouncerElementFrail#0,"""使PA命中的敵人<br>陷入容易被屬性倒地的狀態。<br>繼續命中PA，<br>可以最大提升為3層效果。<br><yellow>※主職業/魔裝腳限定<c>"""
BouncerPhotonBladeFever#0,"""<yellow>【主動技能】<c><br>一定時間內，以降低光子飛刃的威力為代價，<br>增加發射頻度。<br><yellow>※飛翔劍限定<c>"""
BouncerPhotonBladeFeverUp#0,"""高亢飛刃發動期間，<br>增加光子飛刃的發射數量。<br><yellow>※飛翔劍限定<c>"""
BouncerPhotonBladePpGain#0,"""使用普通攻擊命中<br>身上插有光子飛刃的敵人時，<br>增加PP回復量。<br><yellow>※飛翔劍限定<c>"""
BouncerElementBurst#0,"""<yellow>【主動技能】<c><br>消耗通過攻擊<br>與武器動作迴避而積蓄的槽，<br>施放強力的一擊。<br><yellow>※魔裝腳限定<c>"""
BouncerJetBootsElementChange#0,"""PA命中敵人時，<br>會根據最後使用的法術<br>發動相應屬性的追加攻擊。<br><yellow>※魔裝腳限定<c>"""
BouncerJetBootsAttackExtra#0,"""普通攻擊的段數最大增加為4段<br><yellow>※魔裝腳限定<c>"""
BouncerJetBootsJetAttack#0,"""一定距離內存在敵人時，<br>長按普通攻擊鍵，<br>會發動逐漸提升攻速的連續攻擊。<br><yellow>※魔裝腳限定<c>"""
BouncerJetBootsEnhancePA#0,"""長按PA鍵攻擊會發生變化。<br><yellow>※魔裝腳限定<c>"""
BouncerJetBootsWeaponActionCounter#0,"""武器動作成功迴避時，自動發動反擊。<br>繼續造成普通攻擊後，追加額外的反擊。<br><yellow>※魔裝腳限定<c>"""
BouncerJetBootsBlink#0,"""發動法術後，<br>在特定時機按下普通攻擊鍵，<br>將會向敵人突進。<br><yellow>※魔裝腳限定<c>"""
BouncerBartaBlot#0,"""對敵人命中一定次數的<br>非蓄力冰屬性法術後，<br>結成冰之紋章。<br>此時再次命中蓄力的同屬性法術，<br>則紋章會爆炸，造成追加傷害。"""
