text100#0,"""เกี่ยวกับ [DailyOrder]"""
Npc49_02_020#0,"""มารับทุกวันยิ่งดีนะคะ !<br>ถ้าทำยังงั้นได้ ชั้นจะยิ่งดีใจม้ากมากเลยค่ะ !"""
Npc49_02_010#1,"""デイリーオーダーとは<br>その名の通り、日替わりで内容が<br>変化する依頼のことですよ！"""
Npc49_02_020#1,"""毎日来るといいと思います！<br>そのほうが、わたしもうれしいですし！"""
Npc49_03_010#0,"""DailyOrder ก็คือเควสท์ที่เปลี่ยนไปเรื่อยๆตามแต่<br>ละวันตามชื่อนั่นแหละค่า !"""
Npc49_03_020#0,"""มารับทุกวันยิ่งดีนะคะ !<br>ถ้าทำยังงั้นได้ ชั้นจะยิ่งดีใจม้ากมากเลยค่ะ !"""
Npc49_03_010#1,"""デイリーオーダーとは<br>その名の通り、日替わりで内容が<br>変化する依頼のことですよ！"""
Npc49_03_020#1,"""毎日来るといいと思います！<br>そのほうが、わたしもうれしいですし！"""
Npc49_04_010#0,"""DailyOrder ก็คือเควสท์ที่เปลี่ยนไปเรื่อยๆตามแต่<br>ละวันตามชื่อนั่นแหละค่า !"""
Npc49_04_020#0,"""มารับทุกวันยิ่งดีนะคะ !<br>ถ้าทำยังงั้นได้ ชั้นจะยิ่งดีใจม้ากมากเลยค่ะ !"""
Npc49_04_010#1,"""デイリーオーダーとは<br>その名の通り、日替わりで内容が<br>変化する依頼のことですよ！"""
Npc49_04_020#1,"""毎日来るといいと思います！<br>そのほうが、わたしもうれしいですし！"""
Npc49_05_010#0,"""DailyOrder ก็คือเควสท์ที่เปลี่ยนไปเรื่อยๆตามแต่<br>ละวันตามชื่อนั่นแหละค่า !"""
Npc49_05_020#0,"""มารับทุกวันยิ่งดีนะคะ !<br>ถ้าทำยังงั้นได้ ชั้นจะยิ่งดีใจม้ากมากเลยค่ะ !"""
Npc49_05_010#1,"""デイリーオーダーとは<br>その名の通り、日替わりで内容が<br>変化する依頼のことですよ！"""
Npc49_05_020#1,"""毎日来るといいと思います！<br>そのほうが、わたしもうれしいですし！"""
Npc49_06_010#0,"""DailyOrder ก็คือเควสท์ที่เปลี่ยนไปเรื่อยๆตามแต่<br>ละวันตามชื่อนั่นแหละค่า !"""
Npc49_06_020#0,"""มารับทุกวันยิ่งดีนะคะ !<br>ถ้าทำยังงั้นได้ ชั้นจะยิ่งดีใจม้ากมากเลยค่ะ !"""
Npc49_06_010#1,"""デイリーオーダーとは<br>その名の通り、日替わりで内容が<br>変化する依頼のことですよ！"""
Npc49_06_020#1,"""毎日来るといいと思います！<br>そのほうが、わたしもうれしいですし！"""
Npc49_07_010#0,"""DailyOrder ก็คือเควสท์ที่เปลี่ยนไปเรื่อยๆตามแต่<br>ละวันตามชื่อนั่นแหละค่า !"""
Npc49_07_020#0,"""มารับทุกวันยิ่งดีนะคะ !<br>ถ้าทำยังงั้นได้ ชั้นจะยิ่งดีใจม้ากมากเลยค่ะ !"""
Npc49_07_010#1,"""デイリーオーダーとは<br>その名の通り、日替わりで内容が<br>変化する依頼のことですよ！"""
Npc49_07_020#1,"""毎日来るといいと思います！<br>そのほうが、わたしもうれしいですし！"""
Npc49_08_010#0,"""DailyOrder ก็คือเควสท์ที่เปลี่ยนไปเรื่อยๆตามแต่<br>ละวันตามชื่อนั่นแหละค่า !"""
Npc49_08_020#0,"""มารับทุกวันยิ่งดีนะคะ !<br>ถ้าทำยังงั้นได้ ชั้นจะยิ่งดีใจม้ากมากเลยค่ะ !"""
Npc49_08_010#1,"""デイリーオーダーとは<br>その名の通り、日替わりで内容が<br>変化する依頼のことですよ！"""
Npc49_08_020#1,"""毎日来るといいと思います！<br>そのほうが、わたしもうれしいですし！"""
Npc49_mb9_010#0,"""DailyOrder ก็คือเควสท์ที่เปลี่ยนไปเรื่อยๆตามแต่<br>ละวันตามชื่อนั่นแหละค่า !"""
Npc49_mb9_020#0,"""มารับทุกวันยิ่งดีนะคะ !<br>ถ้าทำยังงั้นได้ ชั้นจะยิ่งดีใจม้ากมากเลยค่ะ !"""
Npc49_mb9_010#1,"""デイリーオーダーとは<br>その名の通り、日替わりで内容が<br>変化する依頼のことですよ！"""
Npc49_mb9_020#1,"""毎日来るといいと思います！<br>そのほうが、わたしもうれしいですし！"""
Npc49_mb10_010#0,"""DailyOrder ก็คือเควสท์ที่เปลี่ยนไปเรื่อยๆตามแต่<br>ละวันตามชื่อนั่นแหละค่า !"""
Npc49_mb10_020#0,"""มารับทุกวันยิ่งดีนะคะ !<br>ถ้าทำยังงั้นได้ ชั้นจะยิ่งดีใจม้ากมากเลยค่ะ !"""
Npc49_mb10_010#1,"""デイリーオーダーとは<br>その名の通り、日替わりで内容が<br>変化する依頼のことですよ！"""
Npc49_mb10_020#1,"""毎日来るといいと思います！<br>そのほうが、わたしもうれしいですし！"""
Npc49_mb11_010#0,"""DailyOrder ก็คือเควสท์ที่เปลี่ยนไปเรื่อยๆตามแต่<br>ละวันตามชื่อนั่นแหละค่า !"""
Npc49_mb11_020#0,"""มารับทุกวันยิ่งดีนะคะ !<br>ถ้าทำยังงั้นได้ ชั้นจะยิ่งดีใจม้ากมากเลยค่ะ !"""
Npc49_mb11_010#1,"""デイリーオーダーとは<br>その名の通り、日替わりで内容が<br>変化する依頼のことですよ！"""
Npc49_mb11_020#1,"""毎日来るといいと思います！<br>そのほうが、わたしもうれしいですし！"""
Npc49_mb12_010#0,"""DailyOrder ก็คือเควสท์ที่เปลี่ยนไปเรื่อยๆตามแต่<br>ละวันตามชื่อนั่นแหละค่า !"""
Npc49_mb12_020#0,"""มารับทุกวันยิ่งดีนะคะ !<br>ถ้าทำยังงั้นได้ ชั้นจะยิ่งดีใจม้ากมากเลยค่ะ !"""
Npc49_mb12_010#1,"""デイリーオーダーとは<br>その名の通り、日替わりで内容が<br>変化する依頼のことですよ！"""
Npc49_mb12_020#1,"""毎日来るといいと思います！<br>そのほうが、わたしもうれしいですし！"""
Npc49_mb13_010#0,"""DailyOrder ก็คือเควสท์ที่เปลี่ยนไปเรื่อยๆตามแต่<br>ละวันตามชื่อนั่นแหละค่า !"""
Npc49_mb13_020#0,"""มารับทุกวันยิ่งดีนะคะ !<br>ถ้าทำยังงั้นได้ ชั้นจะยิ่งดีใจม้ากมากเลยค่ะ !"""
Npc49_mb13_010#1,"""デイリーオーダーとは<br>その名の通り、日替わりで内容が<br>変化する依頼のことですよ！"""
Npc49_mb13_020#1,"""毎日来るといいと思います！<br>そのほうが、わたしもうれしいですし！"""
Npc49_mb14_010#0,"""DailyOrder ก็คือเควสท์ที่เปลี่ยนไปเรื่อยๆตามแต่<br>ละวันตามชื่อนั่นแหละค่า !"""
Npc49_mb14_020#0,"""มารับทุกวันยิ่งดีนะคะ !<br>ถ้าทำยังงั้นได้ ชั้นจะยิ่งดีใจม้ากมากเลยค่ะ !"""
Npc49_mb14_010#1,"""デイリーオーダーとは<br>その名の通り、日替わりで内容が<br>変化する依頼のことですよ！"""
Npc49_mb14_020#1,"""毎日来るといいと思います！<br>そのほうが、わたしもうれしいですし！"""
