text00#0,"""何が知りたいのかな？"""
text01#7,"""ＨＰがゼロになったペットは戦闘不能に<br>なってしまいますが<br>一定時間が経過することで復活し<br>再度戦闘が可能になります。<br><br>ペットを出していなくても一定時間後に<br>復活するので別のペットや武器に切り替えて<br>戦いましょう。<br><br>また復活までの時間はペット毎に異なります。"""
Title#7,"""ペットのレアリティ進化って？"""
text01#8,"""「ペットのレアリティ進化」は<br>レアリティを上げてレベル上限を<br>引き上げる機能です。<br><br>登録済みのペットと同種かつ<br>同レアリティ以上のエッグを用意して<br>ペットラボに行きましょう。<br><br>ペットの名前、レベル、プラス値、<br>キャンディーボックス、属性が引き継がれ<br>性格の変更が行えます。"""
Title#8,"""キャンディーを小さくしたい！"""
text01#9,"""「キャンディー圧縮」は所持している<br>キャンディーを小さくしてたくさんの<br>キャンディーをセット出来るようにする<br>機能です。<br><br>キャンディー圧縮はセット済みの<br>キャンディーと手持ちのキャンディーの<br>両方に対して行えます。"""
Title#9,"""キャンディーボックスにセット出来ない場所がある！"""
text01#10,"""キャンディーボックスには下記のように<br>キャンディーを入れられない場所があります。<br><br>■ゼリーキューブ<br>\u3000ペットのレベルが50に到達することで<br>\u3000自動的に削除されます。<br><br>■キャラメルキューブ<br>\u3000「キャラメルクラッシャー」を使用する<br>\u3000ことで削除することが出来ます。<br><br>■ペーパーキューブ<br>\u3000削除することが出来ません。"""
Title#10,"""ペットの性格って？"""
text01#11,"""ペットは性格によって特性が異なります。<br>性格は以下のようなものがあります。<br><br>・晴れ好き<br>\u3000天候が晴れの時に<br>\u3000与えるダメージが増加。<br><br>・こんじょう<br>\u3000致命傷を稀に防ぎ<br>\u3000数秒間威力上昇＆無敵。<br><br>・おりこうさん<br>\u3000状態異常のエネミーに<br>\u3000与えるダメージが上昇。"""
text02#3,"""・がんばりや<br>\u3000与えるダメージと<br>\u3000ＰＰ消費上昇。<br><br>・てきぱき<br>\u3000攻撃時のＰＰ回復量上昇。<br><br>・やさしい<br>\u3000一定時間使役後、交代先の<br>\u3000ペットのHPを回復。<br><br>「性格」はペットラボの<br>「ペットのレアリティ進化」の際<br>選択したエッグの性格に変更できます。"""
Title#11,"""マロンとメロンの特徴"""
text01#12,"""マロンとメロンは受けた攻撃のヒット数に<br>よって徐々に体が膨らみ、特定のPAの威力を<br>高めていくことができます。<br><br>・威力が上がるPA<br>「マロンストライク」<br>「メロンストライク」<br><br>これらのPAを当てるとペット自身は<br>気絶しますが、敵に大きなダメージを<br>与えることができます。<br>最大まで膨らんだ状態で<br>一定時間が経過すると爆発しプレイヤーに<br>ダメージを与えてしまうので注意が必要です。"""
text02#4,"""マロンとメロンの違いは以下の通りです。<br><br>・マロンストライク<br>\u3000マロンの体が最大になるのに必要な<br>\u3000ヒット数が多いですが<br>\u3000一撃の威力が非常に高いです。<br><br>・メロンストライク<br>\u3000マロンに比べて体が最大になるのに必要な<br>\u3000ヒット数が少ない代わりに威力が劣ります。<br>\u3000但しヒットする直前にPAを<br>\u3000再度使用することで何度も攻撃できます。<br>\u3000メロンの一定時間経過による爆発に<br>\u3000気を付けてご使用ください。"""
Title#12,"""ペットの属性値の上限は？"""
text01#13,"""ペットの属性値はレアリティによって<br>上限が異なります。<br>具体的な値は下記のとおりです。<br><br>・★1～12\u3000 <yellow>上限50<c><br>・★13以上\u3000<yellow>上限60<c><br><br>上限を超えた分の属性値は切り捨てと<br>なりますのでご注意ください。"""
Title#13,"""ヴィオラの特徴"""
text01#14,"""ヴィオラはPA「ヴィオラチェンジ」を<br>使用することで性能を変化させることが<br>できます。<br>ヴィオラチェンジ使用中は以下のような<br>性能になります。<br><br>・PAの威力アップ、防御力アップ<br>・PA発動時のスピードがダウン<br>・PP回復性能ダウン<br><br>もう一度使用することで元に戻ることが<br>できます。<br>相手や状況によって形態を使い分けることで<br>戦闘を有利に進めることができます。"""
Title#14,"""シンクロウの特徴"""
text01#15,"""シンクロウは<yellow>異なるPAを連続して<br>使用する<c>ことで「繋ぎ」が発生し<br>PAの性能を強化させることができます。<br><br>最初のPAを使用後、2回目以降に続けて<br>使用したPAは「繋ぎ」によって<br>強化版となります。<br><br>「シンクロウゲキ」は現在溜まっている<br>「繋ぎ」を消費して威力が上がります。"""
text02#5,"""「繋ぎ」が3段階になると<br>プレイヤーの周囲に印が表示されます。<br>この印を目安に「シンクロウゲキ」を<br>使いましょう。<br><br><red>「繋ぎ」はペットがPA以外の<br>行動を取ることでキャンセルされます。<c><br>積極的にPAを繋げ、戦闘を有利に進めましょう。"""
Title#15,"""レアリティ進化でペットの形態を変える！"""
text01#16,"""一部のペットは特定のエッグを使用して<br>レアリティ進化を行うことで<br>別の形態に変化します。<br><br>形態と共に特定のPAも変化し<br>パラメーターとプラス値の上限が伸びます。<br><br>また、性格やキャンディーボックスの状態<br>ペットのレベルやプラス値は<br>すべてそのまま引き継ぐことが可能です。<br><br><c ff4f3f>※変化後はもとの形態には戻せません。<c>"""
text02#6,"""形態の変化に使用できるエッグは<br>アイテム詳細をご確認ください。"""
Title#16,"""レドランの特徴"""
text01#17,"""レドランの一部PAは敵を捕捉して<br>ホーミング弾で狙い撃つことができます。<br><br>ホーミング弾を撃つPAはそれぞれ下記の<br>特徴を持ちます。<br><br>・レドランレーザー<br>\u3000PAボタンを押す間、敵を捕捉しボタンを<br>\u3000離すことで捕捉箇所にレーザーを放ちます。<br><br>・レドランバースト<br>\u3000敵単体を捕捉し、PAボタンを押している間<br>\u3000発射できる弾数が増えます。"""
text02#7,"""その他にホーミング弾を利用し<br>発動するPAもあります。<br><br>・レドランマイン<br>\u3000レドランレーザー、レドラングラビティ<br>\u3000レドランバーストの<br>\u3000いずれかを当てることで起爆する<br>\u3000弾を放ちます。<br><br>状況に応じてホーミング弾を<br>うまく活用してみましょう。"""
