Param_Value#0,"""$(0)"""
Label_DamageBlur#0,"""ダメージ補正"""
Label_DamageBlur_Under#0,"""ダメージ補正下限"""
Label_DamageBlur_Limit#0,"""ダメージ補正上限"""
Label_AttackSpeed#0,"""攻撃速度"""
Label_AttackRange#0,"""攻撃範囲"""
Label_SetEffect#0,"""セット効果"""
Label_SetEffect_1#0,"""セット効果1"""
Label_SetEffect_2#0,"""セット効果2"""
Label_SetEffect_3#0,"""セット効果3"""
Label_TraceItem#0,"""武器フォーム元"""
Label_MultiWeapon#0,"""マルチウェポン"""
Label_Lowest_ListingAmount#0,"""最低出品額"""
Label_Add_HpPp#0,"""追加HP/PP"""
Label_RaceSex#0,"""種族（性別）"""
Label_CostumeColor#0,"""カラー"""
Label_CostumeGauge#0,"""愛着度"""
Label_SG_Received#0,"""スタージェム入手済み"""
Label_EffectTime#0,"""効果時間"""
Label_ExpirationDate#0,"""有効期限"""
Label_UndecidedExpirationDate#0,"""取得後に決定されます"""
Label_ConsumptionPP#0,"""消費PP"""
Label_Power#0,"""威力"""
Label_CostumeFixityColor#0,"""固定カラー"""
Label_WeaponRise#0,"""武器上昇"""
Labal_Resist_Condition#0,"""状態異常耐性"""
item_RebootAttackUp_1#0,"""威力＋18%"""
item_RebootAttackUp_2#0,"""威力＋20%"""
item_RebootAttackUp_3#0,"""威力＋23%"""
item_RebootAttackUp_4#0,"""威力＋26%"""
item_RebootAttackUp_5#0,"""威力＋29%"""
item_RebootDamageReduction_4#0,"""威力+26%<br>ダメージ耐性+10%"""
item_AtpDam_1#0,"""威力＋18%<br>ダメージ耐性＋10%"""
item_AtpDam_2#0,"""威力＋20%<br>ダメージ耐性＋10%"""
item_AtpDam_3#0,"""威力＋23%<br>ダメージ耐性＋10%"""
item_AtpDam_4#0,"""威力+26%<br>ダメージ耐性+10%"""
item_AtpDam_5#0,"""威力＋29%<br>ダメージ耐性＋10%"""
item_AtpPpRed_1#0,"""威力＋18%<br>PP消費量軽減＋10%"""
item_AtpPpRed_2#0,"""威力＋20%<br>PP消費量軽減＋10%"""
item_AtpPpRed_3#0,"""威力＋23%<br>PP消費量軽減＋10%"""
item_AtpPpRed_4#0,"""威力＋26%<br>PP消費量軽減＋10%"""
item_AtpPpRed_5#0,"""威力＋29%<br>PP消費量軽減＋10%"""
item_SuperArmor_1#0,"""威力＋19%／<br>HP最大時に<br>吹き飛ばし防止"""
item_SuperArmor_2#0,"""威力＋21%／<br>HP最大時に<br>吹き飛ばし防止"""
item_SuperArmor_3#0,"""威力＋24%／<br>HP最大時に<br>吹き飛ばし防止"""
item_SuperArmor_4#0,"""威力＋27%／<br>HP最大時に<br>吹き飛ばし防止"""
item_SuperArmor_5#0,"""威力＋30%／<br>HP最大時に<br>吹き飛ばし防止"""
item_CountPower_1#0,"""威力＋15%／<br>通常攻撃を3回行うことで<br>60秒間威力＋3.0%<br>クリティカル発生率＋15%<br>リキャスト時間30秒"""
item_CountPower_2#0,"""威力＋17%／<br>通常攻撃を3回行うことで<br>60秒間威力＋3.0%<br>クリティカル発生率＋15%<br>リキャスト時間30秒"""
item_CountPower_3#0,"""威力＋20%／<br>通常攻撃を3回行うことで<br>60秒間威力＋3.0%<br>クリティカル発生率＋15%<br>リキャスト時間30秒"""
item_CountPower_4#0,"""威力＋23%／<br>通常攻撃を3回行うことで<br>60秒間威力＋3.0%<br>クリティカル発生率＋15%<br>リキャスト時間30秒"""
item_CountPower_5#0,"""威力＋26%／<br>通常攻撃を3回行うことで<br>60秒間威力＋3.0%<br>クリティカル発生率＋15%<br>リキャスト時間30秒"""
item_PpBoost_1#0,"""威力＋17%／<br>PP30％以下で60秒間<br>PP自然回復速度＋30％<br>リキャスト時間30秒"""
item_PpBoost_2#0,"""威力＋19%／<br>PP30％以下で60秒間<br>PP自然回復速度＋30％<br>リキャスト時間30秒"""
item_PpBoost_3#0,"""威力＋22%／<br>PP30％以下で60秒間<br>PP自然回復速度＋30％<br>リキャスト時間30秒"""
item_PpBoost_4#0,"""威力＋25%／<br>PP30％以下で60秒間<br>PP自然回復速度＋30％<br>リキャスト時間30秒"""
item_PpBoost_5#0,"""威力＋28%／<br>PP30％以下で60秒間<br>PP自然回復速度＋30％<br>リキャスト時間30秒"""
item_PpEfficiency_1#0,"""威力＋18%／<br>攻撃時PP回復量＋10%<br>PP自然回復速度＋10%"""
item_PpEfficiency_2#0,"""威力＋20%／<br>攻撃時PP回復量＋10%<br>PP自然回復速度＋10%"""
item_PpEfficiency_3#0,"""威力＋23%／<br>攻撃時PP回復量＋10%<br>PP自然回復速度＋10%"""
item_PpEfficiency_4#0,"""威力＋24%／<br>攻撃時PP回復量＋15%<br>PP自然回復速度＋15%"""
item_PpEfficiency_5#0,"""威力＋25%／<br>攻撃時PP回復量＋15%<br>PP自然回復速度＋15%"""
item_DamageBarrier_1#0,"""威力＋18%／<br>HP最大時に<br>ダメージ耐性＋40%の<br>バリアが発生"""
item_DamageBarrier_2#0,"""威力＋20%／<br>HP最大時に<br>ダメージ耐性＋40%の<br>バリアが発生"""
item_DamageBarrier_3#0,"""威力＋23%／<br>HP最大時に<br>ダメージ耐性＋40%の<br>バリアが発生"""
item_DamageBarrier_4#0,"""威力＋24%／<br>HP最大時に<br>ダメージ耐性＋50%の<br>バリアが発生"""
item_DamageBarrier_5#0,"""威力＋25%／<br>HP最大時に<br>ダメージ耐性＋50%の<br>バリアが発生"""
item_EscapeCritical_1#0,"""威力＋16%／<br>ステップによる<br>回避成功時30秒間<br>クリティカル発生率＋15%"""
item_EscapeCritical_2#0,"""威力＋18%／<br>ステップによる<br>回避成功時30秒間<br>クリティカル発生率＋15%"""
item_EscapeCritical_3#0,"""威力＋21%／<br>ステップによる<br>回避成功時30秒間<br>クリティカル発生率＋15%"""
item_EscapeCritical_4#0,"""威力＋21%／<br>ステップによる<br>回避成功時30秒間<br>クリティカル発生率＋18%"""
item_EscapeCritical_5#0,"""威力＋21%／<br>ステップによる<br>回避成功時30秒間<br>クリティカル発生率＋20%"""
item_PbGaugeUp_1#0,"""威力＋18%／<br>攻撃時にフォトンブラスト<br>ゲージ増加＋15%"""
item_PbGaugeUp_2#0,"""威力＋20%／<br>攻撃時にフォトンブラスト<br>ゲージ増加＋15%"""
item_PbGaugeUp_3#0,"""威力＋23%／<br>攻撃時にフォトンブラスト<br>ゲージ増加＋15%"""
item_PbGaugeUp_4#0,"""威力＋26%／<br>攻撃時にフォトンブラスト<br>ゲージ増加＋15%"""
item_PbGaugeUp_5#0,"""威力＋29%／<br>攻撃時にフォトンブラスト<br>ゲージ増加＋15%"""
item_DefCritical_1#0,"""威力＋17%／<br>防御力に応じて<br>クリティカル発生率上昇<br>防御力1000で最大＋15%"""
item_DefCritical_2#0,"""威力＋19%／<br>防御力に応じて<br>クリティカル発生率上昇<br>防御力1000で最大＋15%"""
item_DefCritical_3#0,"""威力＋22%／<br>防御力に応じて<br>クリティカル発生率上昇<br>防御力1000で最大＋15%"""
item_DefCritical_4#0,"""威力＋22%／<br>防御力に応じて<br>クリティカル発生率上昇<br>防御力1000で最大＋18%"""
item_DefCritical_5#0,"""威力＋22%／<br>防御力に応じて<br>クリティカル発生率上昇<br>防御力1000で最大＋20%"""
item_AtkCritical_1#0,"""威力＋17%／<br>攻撃力に応じて<br>クリティカル発生率上昇<br>攻撃力2000で最大＋15%"""
item_AtkCritical_2#0,"""威力＋19%／<br>攻撃力に応じて<br>クリティカル発生率上昇<br>攻撃力2000で最大＋15%"""
item_AtkCritical_3#0,"""威力＋22%／<br>攻撃力に応じて<br>クリティカル発生率上昇<br>攻撃力2000で最大＋15%"""
item_AtkCritical_4#0,"""威力＋22%／<br>攻撃力に応じて<br>クリティカル発生率上昇<br>攻撃力2000で最大＋18%"""
item_AtkCritical_5#0,"""威力＋22%／<br>攻撃力に応じて<br>クリティカル発生率上昇<br>攻撃力2000で最大＋20%"""
item_WholeBody_1#0,"""威力＋15%／<br>HP残量が多いほど威力上昇<br>最大＋5.0%"""
item_WholeBody_2#0,"""威力＋17%／<br>HP残量が多いほど威力上昇<br>最大＋5.0%"""
item_WholeBody_3#0,"""威力＋20%／<br>HP残量が多いほど威力上昇<br>最大＋5.0%"""
item_WholeBody_4#0,"""威力＋21%／<br>HP残量が多いほど威力上昇<br>最大＋5.0%"""
item_WholeBody_5#0,"""威力＋22%／<br>HP残量が多いほど威力上昇<br>最大＋5.0%"""
item_StackHeal_1#0,"""威力＋17%／<br>ステップによる回避成功を<br>3回まで蓄積し<br>被ダメージ時にその回数分<br>HPを最大300回復"""
item_StackHeal_2#0,"""威力＋19%／<br>ステップによる回避成功を<br>3回まで蓄積し<br>被ダメージ時にその回数分<br>HPを最大300回復"""
item_StackHeal_3#0,"""威力＋22%／<br>ステップによる回避成功を<br>3回まで蓄積し<br>被ダメージ時にその回数分<br>HPを最大300回復"""
item_StackHeal_4#0,"""威力＋25%／<br>ステップによる回避成功を<br>3回まで蓄積し<br>被ダメージ時にその回数分<br>HPを最大300回復"""
item_StackHeal_5#0,"""威力＋28%／<br>ステップによる回避成功を<br>3回まで蓄積し<br>被ダメージ時にその回数分<br>HPを最大300回復"""
item_LifeGuts_1#0,"""威力＋18%／<br>残りHP以上のダメージを<br>受けたときにHPが1残り<br>無敵時間が発生<br>リキャスト時間600秒<br>装備から10秒後に効果発動"""
item_LifeGuts_2#0,"""威力＋20%／<br>残りHP以上のダメージを<br>受けたときにHPが1残り<br>無敵時間が発生<br>リキャスト時間600秒<br>装備から10秒後に効果発動"""
item_LifeGuts_3#0,"""威力＋23%／<br>残りHP以上のダメージを<br>受けたときにHPが1残り<br>無敵時間が発生<br>リキャスト時間600秒<br>装備から10秒後に効果発動"""
item_LifeGuts_4#0,"""威力＋26%／<br>残りHP以上のダメージを<br>受けたときにHPが1残り<br>無敵時間が発生<br>リキャスト時間600秒<br>装備から10秒後に効果発動"""
item_LifeGuts_5#0,"""威力＋29%／<br>残りHP以上のダメージを<br>受けたときにHPが1残り<br>無敵時間が発生<br>リキャスト時間600秒<br>装備から10秒後に効果発動"""
item_ReactionBonus_1#0,"""威力＋18%<br>全ダウン蓄積値＋20%"""
item_ReactionBonus_2#0,"""威力＋20%<br>全ダウン蓄積値＋20%"""
item_ReactionBonus_3#0,"""威力＋23%<br>全ダウン蓄積値＋20%"""
item_ReactionBonus_4#0,"""威力＋26%<br>全ダウン蓄積値＋20%"""
item_ReactionBonus_5#0,"""威力＋29%<br>全ダウン蓄積値＋20%"""
item_ReactionDown_1#0,"""威力＋18%／<br>全ダウン耐性＋20%"""
item_ReactionDown_2#0,"""威力＋20%／<br>全ダウン耐性＋20%"""
item_ReactionDown_3#0,"""威力＋23%／<br>全ダウン耐性＋20%"""
item_ReactionDown_4#0,"""威力＋26%／<br>全ダウン耐性＋20%"""
item_ReactionDown_5#0,"""威力＋29%／<br>全ダウン耐性＋20%"""
item_ItemReturn_1#0,"""威力＋18%／<br>レスタサイン使用時に<br>20%の確率で消費しない<br>装備から10秒後に効果発動"""
item_ItemReturn_2#0,"""威力＋20%／<br>レスタサイン使用時に<br>20%の確率で消費しない<br>装備から10秒後に効果発動"""
item_ItemReturn_3#0,"""威力＋23%／<br>レスタサイン使用時に<br>20%の確率で消費しない<br>装備から10秒後に効果発動"""
item_ItemReturn_4#0,"""威力＋24%／<br>レスタサイン使用時に<br>20％の確率で消費しない<br>装備から10秒後に効果発動"""
item_ItemReturn_5#0,"""威力＋25%／<br>レスタサイン使用時に<br>20％の確率で消費しない<br>装備から10秒後に効果発動"""
item_ReactionDown2_1#0,"""威力＋18%<br>全ダウン耐性＋10%"""
item_ReactionDown2_2#0,"""威力＋20%<br>全ダウン耐性＋10%"""
item_ReactionDown2_3#0,"""威力＋23%<br>全ダウン耐性＋10%"""
item_ReactionDown2_4#0,"""威力＋24%<br>全ダウン耐性＋20%"""
item_ReactionDown2_5#0,"""威力＋25%<br>全ダウン耐性＋20%"""
item_PbGaugeUp2_1#0,"""威力＋19%／<br>攻撃時にフォトンブラスト<br>ゲージ増加＋20%"""
item_PbGaugeUp2_2#0,"""威力＋21%／<br>攻撃時にフォトンブラスト<br>ゲージ増加＋20%"""
item_PbGaugeUp2_3#0,"""威力＋24%／<br>攻撃時にフォトンブラスト<br>ゲージ増加＋20%"""
item_PbGaugeUp2_4#0,"""威力＋25%／<br>攻撃時にフォトンブラスト<br>ゲージ増加＋20%"""
item_PbGaugeUp2_5#0,"""威力＋26%／<br>攻撃時にフォトンブラスト<br>ゲージ増加＋20%"""
item_ElementPpBonus_1#0,"""威力＋8%／<br>エネミーを攻撃してから<br>10秒後に再度攻撃をすると<br>属性ダウンの追加攻撃が発生<br>リキャスト時間20秒"""
item_ElementPpBonus_2#0,"""威力＋10%／<br>エネミーを攻撃してから<br>10秒後に再度攻撃をすると<br>属性ダウンの追加攻撃が発生<br>リキャスト時間20秒"""
item_ElementPpBonus_3#0,"""威力＋13%／<br>エネミーを攻撃してから<br>10秒後に再度攻撃をすると<br>属性ダウンの追加攻撃が発生<br>リキャスト時間20秒"""
item_ElementPpBonus_4#0,"""威力＋14%／<br>エネミーを攻撃してから<br>10秒後に再度攻撃をすると<br>属性ダウンの追加攻撃が発生<br>リキャスト時間20秒"""
item_ElementPpBonus_5#0,"""威力＋15%／<br>エネミーを攻撃してから<br>10秒後に再度攻撃をすると<br>属性ダウンの追加攻撃が発生<br>リキャスト時間20秒"""
item_AllBonus_1#0,"""威力＋21%／<br>ダメージ耐性－10%"""
item_AllBonus_2#0,"""威力＋23%／<br>ダメージ耐性－10%"""
item_AllBonus_3#0,"""威力＋26%／<br>ダメージ耐性－10%"""
item_AllBonus_4#0,"""威力＋27%／<br>ダメージ耐性－8%"""
item_AllBonus_5#0,"""威力＋28%／<br>ダメージ耐性－8%"""
item_RebootAttackUp_1#1,"""攻の基本型Ⅰ Lv.1"""
item_RebootAttackUp_2#1,"""攻の基本型Ⅰ Lv.2"""
item_RebootAttackUp_3#1,"""攻の基本型Ⅰ Lv.3"""
item_RebootAttackUp_4#1,"""攻の基本型Ⅰ Lv.4"""
item_RebootAttackUp_5#1,"""攻の基本型Ⅰ Lv.5"""
item_RebootDamageReduction_4#1,"""α用被ダメ Lv.4"""
item_AtpDam_1#1,"""攻の基本型Ⅱ Lv.1"""
item_AtpDam_2#1,"""攻の基本型Ⅱ Lv.2"""
item_AtpDam_3#1,"""攻の基本型Ⅱ Lv.3"""
item_AtpDam_4#1,"""攻の基本型Ⅱ Lv.4"""
item_AtpDam_5#1,"""攻の基本型Ⅱ Lv.5"""
item_AtpPpRed_1#1,"""攻の基本型Ⅲ Lv.1"""
item_AtpPpRed_2#1,"""攻の基本型Ⅲ Lv.2"""
item_AtpPpRed_3#1,"""攻の基本型Ⅲ Lv.3"""
item_AtpPpRed_4#1,"""攻の基本型Ⅲ Lv.4"""
item_AtpPpRed_5#1,"""攻の基本型Ⅲ Lv.5"""
item_SuperArmor_1#1,"""堅牢の型 Lv.1"""
item_SuperArmor_2#1,"""堅牢の型 Lv.2"""
item_SuperArmor_3#1,"""堅牢の型 Lv.3"""
item_SuperArmor_4#1,"""堅牢の型 Lv.4"""
item_SuperArmor_5#1,"""堅牢の型 Lv.5"""
item_CountPower_1#1,"""連撃の型 Lv.1"""
item_CountPower_2#1,"""連撃の型 Lv.2"""
item_CountPower_3#1,"""連撃の型 Lv.3"""
item_CountPower_4#1,"""連撃の型 Lv.4"""
item_CountPower_5#1,"""連撃の型 Lv.5"""
item_PpBoost_1#1,"""気精の型 Lv.1"""
item_PpBoost_2#1,"""気精の型 Lv.2"""
item_PpBoost_3#1,"""気精の型 Lv.3"""
item_PpBoost_4#1,"""気精の型 Lv.4"""
item_PpBoost_5#1,"""気精の型 Lv.5"""
item_PpEfficiency_1#1,"""気功の型 Lv.1"""
item_PpEfficiency_2#1,"""気功の型 Lv.2"""
item_PpEfficiency_3#1,"""気功の型 Lv.3"""
item_PpEfficiency_4#1,"""気功の型 Lv.4"""
item_PpEfficiency_5#1,"""気功の型 Lv.5"""
item_DamageBarrier_1#1,"""牙城の型 Lv.1"""
item_DamageBarrier_2#1,"""牙城の型 Lv.2"""
item_DamageBarrier_3#1,"""牙城の型 Lv.3"""
item_DamageBarrier_4#1,"""牙城の型 Lv.4"""
item_DamageBarrier_5#1,"""牙城の型 Lv.5"""
item_EscapeCritical_1#1,"""瞬撃の型 Lv.1"""
item_EscapeCritical_2#1,"""瞬撃の型 Lv.2"""
item_EscapeCritical_3#1,"""瞬撃の型 Lv.3"""
item_EscapeCritical_4#1,"""瞬撃の型 Lv.4"""
item_EscapeCritical_5#1,"""瞬撃の型 Lv.5"""
item_PbGaugeUp_1#1,"""理発の型 Lv.1"""
item_PbGaugeUp_2#1,"""理発の型 Lv.2"""
item_PbGaugeUp_3#1,"""理発の型 Lv.3"""
item_PbGaugeUp_4#1,"""理発の型 Lv.4"""
item_PbGaugeUp_5#1,"""理発の型 Lv.5"""
item_DefCritical_1#1,"""守勢の陣 Lv.1"""
item_DefCritical_2#1,"""守勢の陣 Lv.2"""
item_DefCritical_3#1,"""守勢の陣 Lv.3"""
item_DefCritical_4#1,"""守勢の陣 Lv.4"""
item_DefCritical_5#1,"""守勢の陣 Lv.5"""
item_AtkCritical_1#1,"""攻勢の陣 Lv.1"""
item_AtkCritical_2#1,"""攻勢の陣 Lv.2"""
item_AtkCritical_3#1,"""攻勢の陣 Lv.3"""
item_AtkCritical_4#1,"""攻勢の陣 Lv.4"""
item_AtkCritical_5#1,"""攻勢の陣 Lv.5"""
item_WholeBody_1#1,"""渾身の型 Lv.1"""
item_WholeBody_2#1,"""渾身の型 Lv.2"""
item_WholeBody_3#1,"""渾身の型 Lv.3"""
item_WholeBody_4#1,"""渾身の型 Lv.4"""
item_WholeBody_5#1,"""渾身の型 Lv.5"""
item_StackHeal_1#1,"""利運の型 Lv.1"""
item_StackHeal_2#1,"""利運の型 Lv.2"""
item_StackHeal_3#1,"""利運の型 Lv.3"""
item_StackHeal_4#1,"""利運の型 Lv.4"""
item_StackHeal_5#1,"""利運の型 Lv.5"""
item_LifeGuts_1#1,"""堅忍の型 Lv.1"""
item_LifeGuts_2#1,"""堅忍の型 Lv.2"""
item_LifeGuts_3#1,"""堅忍の型 Lv.3"""
item_LifeGuts_4#1,"""堅忍の型 Lv.4"""
item_LifeGuts_5#1,"""堅忍の型 Lv.5"""
item_ReactionBonus_1#1,"""傾覆の型 Lv.1"""
item_ReactionBonus_2#1,"""傾覆の型 Lv.2"""
item_ReactionBonus_3#1,"""傾覆の型 Lv.3"""
item_ReactionBonus_4#1,"""傾覆の型 Lv.4"""
item_ReactionBonus_5#1,"""傾覆の型 Lv.5"""
item_ReactionDown_1#1,"""不倒の型 Lv.1"""
item_ReactionDown_2#1,"""不倒の型 Lv.2"""
item_ReactionDown_3#1,"""不倒の型 Lv.3"""
item_ReactionDown_4#1,"""不倒の型 Lv.4"""
item_ReactionDown_5#1,"""不倒の型 Lv.5"""
item_ItemReturn_1#1,"""節制の型 Lv.1"""
item_ItemReturn_2#1,"""節制の型 Lv.2"""
item_ItemReturn_3#1,"""節制の型 Lv.3"""
item_ItemReturn_4#1,"""節制の型 Lv.4"""
item_ItemReturn_5#1,"""節制の型 Lv.5"""
item_ReactionDown2_1#1,"""不屈の型 Lv.1"""
item_ReactionDown2_2#1,"""不屈の型 Lv.2"""
item_ReactionDown2_3#1,"""不屈の型 Lv.3"""
item_ReactionDown2_4#1,"""不屈の型 Lv.4"""
item_ReactionDown2_5#1,"""不屈の型 Lv.5"""
item_PbGaugeUp2_1#1,"""理放の型 Lv.1"""
item_PbGaugeUp2_2#1,"""理放の型 Lv.2"""
item_PbGaugeUp2_3#1,"""理放の型 Lv.3"""
item_PbGaugeUp2_4#1,"""理放の型 Lv.4"""
item_PbGaugeUp2_5#1,"""理放の型 Lv.5"""
item_ElementPpBonus_1#1,"""勇猛の型 Lv.1"""
item_ElementPpBonus_2#1,"""勇猛の型 Lv.2"""
item_ElementPpBonus_3#1,"""勇猛の型 Lv.3"""
item_ElementPpBonus_4#1,"""勇猛の型 Lv.4"""
item_ElementPpBonus_5#1,"""勇猛の型 Lv.5"""
item_AllBonus_1#1,"""猛滅の型 Lv.1"""
item_AllBonus_2#1,"""猛滅の型 Lv.2"""
item_AllBonus_3#1,"""猛滅の型 Lv.3"""
item_AllBonus_4#1,"""猛滅の型 Lv.4"""
item_AllBonus_5#1,"""猛滅の型 Lv.5"""
Explanation1#0,"""強化したい武器、または防具を選んでください。<c f0df60>強化の限界値に達していると選択できません。<c>"""
Explanation2#0,"""素材にする武器、または防具を選んでください。素材に選んだアイテムは、<scarlet>強化後に消滅<c>します。"""
Explanation3#0,"""アイテム強化の最終確認です。内容をよく確認して、問題なければ「はい」を選んでください。"""
ConfirmationElementTitle#0,"""強化詳細"""
ConfirmationTitle#0,"""アイテム強化"""
CompareTitle#0,"""強化詳細"""
CompareNum1#0,"""大成功確率"""
CompareNum2#0,"""強化値"""
CompareNum3#0,"""強化上限値"""
CompareNum4#0,"""攻撃力"""
CompareNum5#0,"""防御力"""
CompareNum6#0,"""特殊能力スロット"""
BaseTitle#0,"""ベースアイテム選択"""
MaterialTitle#0,"""素材アイテム選択"""
ResultMessage1#0,"""$(2)の強化が<green>成功<c>しました。<br>強化値が$(1)から$(0)になりました。"""
ResultMessage2#0,"""$(2)の強化が<c ff007f>大成功<c>しました<br>強化値が$(1)から$(0)になりました。"""
ResultMessage3#0,"""$(3)の強化が<green>成功<c>しました。<br>強化値が$(2)から$(1)になりました。<br><br><br>強化値が$(0)を超えたことで、<br>特殊能力スロットが$(5)から$(4)に増えました。"""
ResultMessage4#0,"""$(3)の強化が<c ff007f>大成功<c>しました。<br>強化値が$(2)から$(1)になりました。<br><br><br>強化値が$(0)を超えたことで、<br>特殊能力スロットが$(5)から$(4)に増えました。"""
ConfirmationAttentionMessage#0,"""下記のいずれかに該当するアイテムです<br>本当によろしいでしょうか？<br><br><br>・レアリティが★$(0)以上<br>・強化上限値に達している"""
ConfirmationMessage#0,"""強化を開始します。よろしいですか？<br><br>※補助アイテムを使用することで、<br>\u3000<c ff007f>大成功<c>確率を上げることができます。<br>※獲得した強化EXPが上限を超える場合、<br>\u3000その分は切り捨てとなります。"""
Title#0,"""アイテムラボ"""
LaboListTitle#0,"""ラボメニュー"""
Explanation1#1,"""武器や防具の強化、潜在能力解放、特殊能力追加などが行えます。"""
Grind#0,"""武器・防具の強化"""
Grind_Title#0,"""アイテム強化"""
ElementCompose#0,"""特殊能力の追加"""
ElementCompose_Title#0,"""特殊能力追加"""
LimitBreak#0,"""限界突破"""
ReleasePotential#0,"""潜在能力解放"""
ElementSupplement#0,"""特殊能力カプセル追加"""
ChangeColor#0,"""フォトンカラー変更"""
Exit#0,"""戻る"""
LaboElementInherit#0,"""特殊能力移植"""
LaboMulti#0,"""マルチウェポン"""
LaboCapsuleTrade#0,"""特殊能力カプセル交換"""
ManagementTitle#0,"""期間限定ブースト"""
ManagementGrind#0,"""大成功確率+$(0)%"""
ManagementElement#0,"""特殊能力追加成功確率+$(0)"""
ManagementMaterial#0,"""必要素材半減"""
MaterialListTitle#0,"""アイテム情報"""
MaterialListNum1#0,"""アイテム名"""
MaterialListNum2#0,"""必要数"""
MaterialListNum3#0,"""所持数"""
ErrorMessage#0,"""通信に問題が発生しました。<br>ラボ選択画面まで戻ります。"""
ErrorMessage2#0,"""アイテムラボではこの倉庫を使用することはできません。"""
Title#1,"""潜在能力アイテム選択"""
Explanation1#2,"""潜在能力を解放・切り替えしたいアイテムを選んでください。潜在能力の内容はアイテムによって異なります。"""
Explanation2#1,"""潜在能力の解放・切り替えの最終確認です。内容をよく確認して、問題なければ「はい」を選んでください。"""
MaterialTitle#1,"""アイテム一覧"""
PotentialTitle#0,"""設定可能な潜在能力"""
PotentialSet#0,"""現在設定されている潜在能力"""
PotentialSelect#0,"""変更可能な潜在能力"""
PotentialNone#0,"""変更可能な潜在能力がありません"""
PotentialSetNone#0,"""現在設定されていません。"""
PotentialConfirmation#0,"""潜在能力の確認"""
PotentialSupport#0,"""潜在能力補助アイテム"""
CompareTitle#1,"""潜在能力実行詳細"""
PotentialResult#0,"""$(0)の潜在能力が、「$(1)」になりました"""
CompareNum1#1,"""潜在能力名"""
CompareNum2#1,"""新しい潜在能力の詳細"""
CompareNum3#1,"""Lv.$(0)"""
ConfirmationMessage#1,"""潜在能力解放を開始します。<br>よろしいですか？"""
ConfirmationMessage_Select#0,"""潜在能力の解放・切り替えを開始します。<br>よろしいですか？<br><br>※補助アイテムを使用することで、<br>\u3000<yellow>必要素材を消費せずに実行できます。<c><br>\u3000ただし、メセタは必ず必要になります。"""
title#0,"""フードスタンド"""
Explanation1#3,"""素材を選択してください。<c f0df60>素材に選んだアイテムは、<c><red>実行後に消滅<c><c f0df60>します。<c>"""
Explanation2#2,"""フードの最終確認です。内容をよく確認して、問題なければ「はい」を選んでください。"""
Explanation3#1,"""使用するレシピを選択してください。"""
ChoiceMenu#0,"""アイテムを選択して作る"""
ChoiceMenu2#0,"""マイレシピから作る"""
MaterialListTitle#1,"""アイテム一覧"""
BoostListTitle#0,"""ブースト効果"""
NotingBoost#0,"""ブースト効果はありません。"""
UseItemListTitle#0,"""使用するアイテム"""
NotingItem#0,"""アイテムがありません。"""
UseItemNum#0,"""使用するアイテムの数"""
ConfirmationTitle#1,"""フード内容の確認"""
ConfirmationAttentionMessage#1,"""この内容でフードを作成します。<br>よろしいですか？<br><br><yellow>※すでに「フード」によるブーストが発生している場合、<br>\u3000ブースト効果は上書きされます。<c>"""
ResultTitle#0,"""ブースト効果"""
