DEPARTURE_FAV4#0,"""วางใจได้เลยค่ะ มาสเตอร์"""
DEPARTURE_FAV3#10,"""ค่ะ เข้าใจแล้วค่ะ ฉันจะพยายามเต็มที่ค่ะ"""
DEPARTURE_FAV2#10,"""รับทราบแล้วค่ะ ถ้างั้นฉันไปก่อนนะคะ"""
DEPARTURE_FAV1#10,"""DEPARTURE_FAV1<br>Debug_Error"""
DEPARTURE_FAV0#10,"""DEPARTURE_FAV0<br>Debug_Error"""
DEPARTURE_FAV4#11,"""私に任せて下さい。<br>貴方の力に、なりたいんです"""
DEPARTURE_FAV3#11,"""はい、わかりました。<br>全力を尽くしますね"""
DEPARTURE_FAV2#11,"""承りました。<br>それでは、行ってきます"""
DEPARTURE_FAV1#11,"""DEPARTURE_FAV1<br>Debug_Error"""
DEPARTURE_FAV0#11,"""DEPARTURE_FAV0<br>Debug_Error"""
DEPARTURE_FAV4#12,"""วางใจฉันเถอะ!<br>ฉันจะพยายามเพื่อนายนะ!"""
DEPARTURE_FAV3#12,"""ดีล่ะ จะลุยล่ะน้า!"""
DEPARTURE_FAV2#12,"""จ้าๆ รับทราบ!"""
DEPARTURE_FAV1#12,"""DEPARTURE_FAV1<br>Debug_Error"""
DEPARTURE_FAV0#12,"""DEPARTURE_FAV0<br>Debug_Error"""
DEPARTURE_FAV4#13,"""あたしにお任せ！<br>あなたのために、頑張っちゃうよー！"""
DEPARTURE_FAV3#13,"""よーし、がんばっちゃうぞー！"""
DEPARTURE_FAV2#13,"""はいはいっ、りょーかい！"""
DEPARTURE_FAV1#13,"""DEPARTURE_FAV1<br>Debug_Error"""
DEPARTURE_FAV0#13,"""DEPARTURE_FAV0<br>Debug_Error"""
DEPARTURE_FAV4#14,"""...ก็ไม่มีอะไรหรอก <br>เห็นว่านายขอร้องนะ จะลองดูละกัน<br>วางใจฉันเถอะ"""
DEPARTURE_FAV3#14,"""...วางใจฉันเถอะ ฉันเต็มที่อยู่แล้วล่ะ"""
DEPARTURE_FAV2#14,"""...เข้าใจแล้ว จะออกปฏิบัติการเดี๋ยวนี้"""
DEPARTURE_FAV1#14,"""DEPARTURE_FAV1<br>Debug_Error"""
DEPARTURE_FAV0#14,"""DEPARTURE_FAV0<br>Debug_Error"""
DEPARTURE_FAV4#15,"""……他ならない<br>お前の頼みだ、やってやる。<br>わたしに、任せておけ"""
DEPARTURE_FAV3#15,"""……任せとけ。<br>やるからには全力だ"""
DEPARTURE_FAV2#15,"""……了解した。<br>これから出撃する"""
DEPARTURE_FAV1#15,"""DEPARTURE_FAV1<br>Debug_Error"""
DEPARTURE_FAV0#15,"""DEPARTURE_FAV0<br>Debug_Error"""
DEPARTURE_FAV4#16,"""ถ้าเพื่อนายแล้วล่ะก็...<br>ฉันจะทำให้ได้ทุกอย่างเลยล่ะ!"""
DEPARTURE_FAV3#16,"""เข้าใจแล้ว ฉันจะพยายามนะ!"""
DEPARTURE_FAV2#16,"""อืม เข้าใจแล้วล่ะ งั้นไปก่อนล่ะนะ"""
DEPARTURE_FAV1#16,"""DEPARTURE_FAV1<br>Debug_Error"""
DEPARTURE_FAV0#16,"""DEPARTURE_FAV0<br>Debug_Error"""
DEPARTURE_FAV4#17,"""きみのためになるなら……<br>ボク、なんだってやってみせるよ！"""
DEPARTURE_FAV3#17,"""わかった。<br>ボク、がんばる！"""
DEPARTURE_FAV2#17,"""うん、了解したよ。<br>それじゃ、行ってくるね"""
DEPARTURE_FAV1#17,"""DEPARTURE_FAV1<br>Debug_Error"""
DEPARTURE_FAV0#17,"""DEPARTURE_FAV0<br>Debug_Error"""
