Cancel#0,"""ยกเลิกแล้วออก"""
Result_5#1,"""所持品の編集情報に問題が発生しました。<br><br>エラーコード[2002]"""
Result_6#1,"""該当アイテムを所持していません。<br>もう一度ご確認ください。"""
Result_7#1,"""購入に失敗しました。<br>ACが不足している可能性がありますので、<br>ご確認ください。"""
Result_8#1,"""購入に失敗しました。<br>システムエラーの可能性があります。<br>時間をおいてお試しください。<br><br>エラーコード[2003]"""
Title_SPCreate#1,"""サポートパートナーキャラクタークリエイト"""
Title_SPEdit#1,"""サポートパートナーエステ"""
Result_SPCreate_ParamError#1,"""正しいデータで作成されませんでした。"""
Result_SPCreate_MaxError#1,"""サポートパートナーを<br>これ以上追加することはできません。"""
Result_SPCreate_ChargeError#1,"""作成に失敗しました。<br>ACが不足している可能性がありますので、<br>ご確認ください。"""
Result_SPCreate_SystemError#1,"""システムエラーが発生しました。<br>時間をおいてお試しください。"""
Result_SPRemake_NoPartner#1,"""正しいデータで作成されませんでした。"""
Result_SPRemake_EquipError#1,"""アイテムパックに空きがありません。"""
Result_SPRemake_ChargeError#1,"""作成に失敗しました。<br>ACが不足している可能性がありますので、<br>ご確認ください。"""
Result_SPRemake_SystemError#1,"""システムエラーが発生しました。<br>時間をおいてお試しください。"""
Title#4,"""Salon"""
Message_1#0,"""เนื่องจากยังอยู่ช่วงเวลาที่เปิดให้ปรับแต่งได้อีกครั้ง<br>จึงไม่จำเป็นต้องเสีย [Salon Pass]<br>เพื่อทำการปรับแต่งค่ะ"""
Title_SPCreate#2,"""ปรับแต่ง Support Partner"""
Title_SPEdit#2,"""Support Partner Salon"""
Title#5,"""エステ"""
Message_1#1,"""再編集可能期間中のため、<br>「エステ利用パス」を消費せずに<br>編集が可能です。"""
Title_SPCreate#3,"""サポートパートナーキャラクタークリエイト"""
Title_SPEdit#3,"""サポートパートナーエステ"""
Registered#0,"""สมัคร Owner <%Owner_icon> ไว้แล้ว"""
Unregistered#0,"""ยังไม่ได้สมัคร Owner"""
Registered#1,"""<%Owner_icon>オーナー登録済み"""
Unregistered#1,"""オーナー登録必要"""
