0#0,"""力量I"""
160#1,"""アビリティＥＸⅤ"""
161#1,"""スタミナＥＸⅠ"""
162#1,"""スタミナＥＸⅡ"""
163#1,"""スタミナＥＸⅢ"""
164#1,"""スタミナＥＸⅣ"""
165#1,"""スタミナＥＸⅤ"""
0#2,"""燃燒I"""
1#2,"""燃燒II"""
2#2,"""燃燒III"""
3#2,"""燃燒IV"""
4#2,"""燃燒V"""
5#2,"""凍結I"""
6#2,"""凍結II"""
7#2,"""凍結III"""
8#2,"""凍結IV"""
9#2,"""凍結V"""
10#2,"""麻痺I"""
11#2,"""麻痺II"""
12#2,"""麻痺III"""
13#2,"""麻痺IV"""
14#2,"""麻痺V"""
15#2,"""幻覺I"""
16#2,"""幻覺II"""
17#2,"""幻覺III"""
18#2,"""幻覺IV"""
19#2,"""幻覺V"""
20#2,"""中毒I"""
21#2,"""中毒II"""
22#2,"""中毒III"""
23#2,"""中毒IV"""
24#2,"""中毒V"""
25#2,"""混亂I"""
26#2,"""混亂II"""
27#2,"""混亂III"""
28#2,"""混亂IV"""
29#2,"""混亂V"""
30#2,"""ENT_ABN虛擬30"""
31#2,"""ENT_ABN虛擬31"""
32#2,"""ENT_ABN虛擬32"""
33#2,"""ENT_ABN虛擬33"""
34#2,"""ENT_ABN虛擬34"""
35#2,"""ENT_ABN虛擬35"""
36#2,"""ENT_ABN虛擬36"""
37#2,"""ENT_ABN虛擬37"""
38#2,"""ENT_ABN虛擬38"""
39#2,"""ENT_ABN虛擬39"""
40#2,"""ENT_ABN虛擬40"""
41#2,"""ENT_ABN虛擬41"""
42#2,"""ENT_ABN虛擬42"""
43#2,"""ENT_ABN虛擬43"""
44#2,"""ENT_ABN虛擬44"""
45#2,"""ENT_ABN虛擬45"""
46#2,"""ENT_ABN虛擬46"""
47#2,"""ENT_ABN虛擬47"""
48#2,"""ENT_ABN虛擬48"""
49#2,"""ENT_ABN虛擬49"""
50#2,"""ENT_ABN虛擬50"""
51#2,"""ENT_ABN虛擬51"""
52#2,"""ENT_ABN虛擬52"""
53#2,"""ENT_ABN虛擬53"""
54#2,"""ENT_ABN虛擬54"""
0#3,"""バーンⅠ"""
1#3,"""バーンⅡ"""
2#3,"""バーンⅢ"""
3#3,"""バーンⅣ"""
4#3,"""バーンⅤ"""
5#3,"""フリーズⅠ"""
6#3,"""フリーズⅡ"""
7#3,"""フリーズⅢ"""
8#3,"""フリーズⅣ"""
9#3,"""フリーズⅤ"""
10#3,"""ショックⅠ"""
11#3,"""ショックⅡ"""
12#3,"""ショックⅢ"""
13#3,"""ショックⅣ"""
14#3,"""ショックⅤ"""
15#3,"""ミラージュⅠ"""
16#3,"""ミラージュⅡ"""
17#3,"""ミラージュⅢ"""
18#3,"""ミラージュⅣ"""
19#3,"""ミラージュⅤ"""
20#3,"""ポイズンⅠ"""
21#3,"""ポイズンⅡ"""
22#3,"""ポイズンⅢ"""
23#3,"""ポイズンⅣ"""
24#3,"""ポイズンⅤ"""
25#3,"""パニックⅠ"""
26#3,"""パニックⅡ"""
27#3,"""パニックⅢ"""
28#3,"""パニックⅣ"""
29#3,"""パニックⅤ"""
30#3,"""ENT_ABNダミー30"""
31#3,"""ENT_ABNダミー31"""
32#3,"""ENT_ABNダミー32"""
33#3,"""ENT_ABNダミー33"""
34#3,"""ENT_ABNダミー34"""
35#3,"""ENT_ABNダミー35"""
36#3,"""ENT_ABNダミー36"""
37#3,"""ENT_ABNダミー37"""
38#3,"""ENT_ABNダミー38"""
39#3,"""ENT_ABNダミー39"""
40#3,"""ENT_ABNダミー40"""
41#3,"""ENT_ABNダミー41"""
42#3,"""ENT_ABNダミー42"""
43#3,"""ENT_ABNダミー43"""
44#3,"""ENT_ABNダミー44"""
45#3,"""ENT_ABNダミー45"""
46#3,"""ENT_ABNダミー46"""
47#3,"""ENT_ABNダミー47"""
48#3,"""ENT_ABNダミー48"""
49#3,"""ENT_ABNダミー49"""
50#3,"""ENT_ABNダミー50"""
51#3,"""ENT_ABNダミー51"""
52#3,"""ENT_ABNダミー52"""
53#3,"""ENT_ABNダミー53"""
54#3,"""ENT_ABNダミー54"""
0#4,"""攻擊抗性I"""
1#4,"""攻擊抗性II"""
2#4,"""攻擊抗性III"""
3#4,"""攻擊抗性IV"""
4#4,"""攻擊抗性V"""
5#4,"""射擊抗性I"""
6#4,"""射擊抗性II"""
7#4,"""射擊抗性III"""
8#4,"""射擊抗性IV"""
9#4,"""射擊抗性V"""
10#4,"""法擊抗性I"""
11#4,"""法擊抗性II"""
12#4,"""法擊抗性III"""
13#4,"""法擊抗性IV"""
14#4,"""法擊抗性V"""
15#4,"""炎抗性I"""
16#4,"""炎抗性II"""
17#4,"""炎抗性III"""
18#4,"""炎抗性IV"""
19#4,"""炎抗性V"""
20#4,"""冰抗性I"""
21#4,"""冰抗性II"""
22#4,"""冰抗性III"""
23#4,"""冰抗性IV"""
24#4,"""冰抗性V"""
25#4,"""雷抗性I"""
26#4,"""雷抗性II"""
27#4,"""雷抗性III"""
28#4,"""雷抗性IV"""
29#4,"""雷抗性V"""
30#4,"""風抗性I"""
31#4,"""風抗性II"""
32#4,"""風抗性III"""
33#4,"""風抗性IV"""
34#4,"""風抗性V"""
35#4,"""光抗性I"""
36#4,"""光抗性II"""
37#4,"""光抗性III"""
38#4,"""光抗性IV"""
39#4,"""光抗性V"""
40#4,"""闇抗性I"""
41#4,"""闇抗性II"""
42#4,"""闇抗性III"""
43#4,"""闇抗性IV"""
44#4,"""闇抗性V"""
45#4,"""全屬性抗性I"""
46#4,"""全屬性抗性II"""
47#4,"""全屬性抗性III"""
48#4,"""全屬性抗性IV"""
49#4,"""全屬性抗性V"""
50#4,"""攻擊抗性EX I"""
51#4,"""攻擊抗性EX II"""
52#4,"""攻擊抗性EX III"""
53#4,"""攻擊抗性EX IV"""
54#4,"""攻擊抗性EX V"""
55#2,"""射擊抗性EX I"""
56#2,"""射擊抗性EX II"""
57#2,"""射擊抗性EX III"""
58#2,"""射擊抗性EX IV"""
59#2,"""射擊抗性EX V"""
60#2,"""法擊抗性EX I"""
61#2,"""法擊抗性EX II"""
62#2,"""法擊抗性EX III"""
63#2,"""法擊抗性EX IV"""
64#2,"""法擊抗性EX V"""
65#2,"""全屬性抗性EX I"""
66#2,"""全屬性抗性EX II"""
67#2,"""全屬性抗性EX III"""
68#2,"""全屬性抗性EX IV"""
69#2,"""全屬性抗性EX V"""
0#5,"""ブロウレジストⅠ"""
1#5,"""ブロウレジストⅡ"""
2#5,"""ブロウレジストⅢ"""
3#5,"""ブロウレジストⅣ"""
4#5,"""ブロウレジストⅤ"""
5#5,"""ショットレジストⅠ"""
6#5,"""ショットレジストⅡ"""
7#5,"""ショットレジストⅢ"""
8#5,"""ショットレジストⅣ"""
9#5,"""ショットレジストⅤ"""
10#5,"""マインドレジストⅠ"""
11#5,"""マインドレジストⅡ"""
12#5,"""マインドレジストⅢ"""
13#5,"""マインドレジストⅣ"""
14#5,"""マインドレジストⅤ"""
15#5,"""フレイムレジストⅠ"""
16#5,"""フレイムレジストⅡ"""
17#5,"""フレイムレジストⅢ"""
18#5,"""フレイムレジストⅣ"""
19#5,"""フレイムレジストⅤ"""
20#5,"""アイスレジストⅠ"""
21#5,"""アイスレジストⅡ"""
22#5,"""アイスレジストⅢ"""
23#5,"""アイスレジストⅣ"""
24#5,"""アイスレジストⅤ"""
25#5,"""ショックレジストⅠ"""
26#5,"""ショックレジストⅡ"""
27#5,"""ショックレジストⅢ"""
28#5,"""ショックレジストⅣ"""
29#5,"""ショックレジストⅤ"""
30#5,"""ウィンドレジストⅠ"""
31#5,"""ウィンドレジストⅡ"""
32#5,"""ウィンドレジストⅢ"""
33#5,"""ウィンドレジストⅣ"""
34#5,"""ウィンドレジストⅤ"""
35#5,"""ライトレジストⅠ"""
36#5,"""ライトレジストⅡ"""
37#5,"""ライトレジストⅢ"""
38#5,"""ライトレジストⅣ"""
39#5,"""ライトレジストⅤ"""
40#5,"""グルームレジストⅠ"""
41#5,"""グルームレジストⅡ"""
42#5,"""グルームレジストⅢ"""
43#5,"""グルームレジストⅣ"""
44#5,"""グルームレジストⅤ"""
45#5,"""オールレジストⅠ"""
46#5,"""オールレジストⅡ"""
47#5,"""オールレジストⅢ"""
48#5,"""オールレジストⅣ"""
49#5,"""オールレジストⅤ"""
50#5,"""ブロウレジストＥＸⅠ"""
51#5,"""ブロウレジストＥＸⅡ"""
52#5,"""ブロウレジストＥＸⅢ"""
53#5,"""ブロウレジストＥＸⅣ"""
54#5,"""ブロウレジストＥＸⅤ"""
55#3,"""ショットレジストＥＸⅠ"""
56#3,"""ショットレジストＥＸⅡ"""
57#3,"""ショットレジストＥＸⅢ"""
58#3,"""ショットレジストＥＸⅣ"""
59#3,"""ショットレジストＥＸⅤ"""
60#3,"""マインドレジストＥＸⅠ"""
61#3,"""マインドレジストＥＸⅡ"""
62#3,"""マインドレジストＥＸⅢ"""
63#3,"""マインドレジストＥＸⅣ"""
64#3,"""マインドレジストＥＸⅤ"""
65#3,"""オールレジストＥＸⅠ"""
66#3,"""オールレジストＥＸⅡ"""
67#3,"""オールレジストＥＸⅢ"""
68#3,"""オールレジストＥＸⅣ"""
69#3,"""オールレジストＥＸⅤ"""
0#6,"""ENT_SP虛擬0"""
1#6,"""ENT_SP虛擬1"""
2#6,"""ENT_SP虛擬2"""
3#6,"""ENT_SP虛擬3"""
4#6,"""ENT_SP虛擬4"""
5#6,"""ENT_SP虛擬5"""
6#6,"""ENT_SP虛擬6"""
7#6,"""ENT_SP虛擬7"""
8#6,"""ENT_SP虛擬8"""
9#6,"""ENT_SP虛擬9"""
10#6,"""ENT_SP虛擬10"""
11#6,"""ENT_SP虛擬11"""
12#6,"""ENT_SP虛擬12"""
13#6,"""ENT_SP虛擬13"""
14#6,"""ENT_SP虛擬14"""
15#6,"""ENT_SP虛擬15"""
16#6,"""ENT_SP虛擬16"""
17#6,"""ENT_SP虛擬17"""
18#6,"""ENT_SP虛擬18"""
19#6,"""ENT_SP虛擬19"""
20#6,"""ENT_SP虛擬20"""
21#6,"""ENT_SP虛擬21"""
22#6,"""ENT_SP虛擬22"""
23#6,"""ENT_SP虛擬23"""
24#6,"""ENT_SP虛擬24"""
25#6,"""ENT_SP虛擬25"""
26#6,"""ENT_SP虛擬26"""
27#6,"""ENT_SP虛擬27"""
28#6,"""ENT_SP虛擬28"""
29#6,"""ENT_SP虛擬29"""
30#6,"""ENT_SP虛擬30"""
31#6,"""ENT_SP虛擬31"""
32#6,"""ENT_SP虛擬32"""
33#6,"""ENT_SP虛擬33"""
34#6,"""ENT_SP虛擬34"""
35#6,"""ENT_SP虛擬35"""
36#6,"""ENT_SP虛擬36"""
37#6,"""ENT_SP虛擬37"""
38#6,"""ENT_SP虛擬38"""
39#6,"""ENT_SP虛擬39"""
40#6,"""ENT_SP虛擬40"""
41#6,"""ENT_SP虛擬41"""
42#6,"""ENT_SP虛擬42"""
43#6,"""ENT_SP虛擬43"""
44#6,"""ENT_SP虛擬44"""
45#6,"""ENT_SP虛擬45"""
46#6,"""ENT_SP虛擬46"""
47#6,"""ENT_SP虛擬47"""
48#6,"""ENT_SP虛擬48"""
49#6,"""ENT_SP虛擬49"""
50#6,"""ENT_SP虛擬50"""
51#6,"""ENT_SP虛擬51"""
52#6,"""ENT_SP虛擬52"""
53#6,"""ENT_SP虛擬53"""
54#6,"""ENT_SP虛擬54"""
55#4,"""ENT_SP虛擬55"""
56#4,"""ENT_SP虛擬56"""
57#4,"""ENT_SP虛擬57"""
58#4,"""ENT_SP虛擬58"""
59#4,"""ENT_SP虛擬59"""
60#4,"""ENT_SP虛擬60"""
61#4,"""ENT_SP虛擬61"""
62#4,"""ENT_SP虛擬62"""
63#4,"""ENT_SP虛擬63"""
64#4,"""ENT_SP虛擬64"""
65#4,"""ENT_SP虛擬65"""
66#4,"""ENT_SP虛擬66"""
67#4,"""ENT_SP虛擬67"""
68#4,"""ENT_SP虛擬68"""
69#4,"""ENT_SP虛擬69"""
70#2,"""ENT_SP虛擬70"""
71#2,"""ENT_SP虛擬71"""
72#2,"""ENT_SP虛擬72"""
73#2,"""ENT_SP虛擬73"""
74#2,"""ENT_SP虛擬74"""
75#2,"""ENT_SP虛擬75"""
76#2,"""ENT_SP虛擬76"""
77#2,"""ENT_SP虛擬77"""
78#2,"""ENT_SP虛擬78"""
79#2,"""ENT_SP虛擬79"""
80#2,"""ENT_SP虛擬80"""
81#2,"""ENT_SP虛擬81"""
82#2,"""ENT_SP虛擬82"""
83#2,"""ENT_SP虛擬83"""
84#2,"""ENT_SP虛擬84"""
85#2,"""ENT_SP虛擬85"""
86#2,"""美賽達狂熱I"""
87#2,"""美賽達狂熱II"""
88#2,"""ENT_SP虛擬88"""
89#2,"""ENT_SP虛擬89"""
90#2,"""ENT_SP虛擬90"""
91#2,"""EXP加成I"""
92#2,"""外傳"""
93#2,"""ENT_SP虛擬93"""
94#2,"""ENT_SP虛擬94"""
95#2,"""ENT_SP虛擬95"""
96#2,"""掉寶率提升I"""
97#2,"""誘惑"""
98#2,"""ENT_SP虛擬98"""
99#2,"""ENT_SP虛擬99"""
100#2,"""ENT_SP虛擬100"""
101#2,"""ENT_SP虛擬101"""
102#2,"""ENT_SP虛擬102"""
103#2,"""ENT_SP虛擬103"""
104#2,"""ENT_SP虛擬104"""
105#2,"""ENT_SP虛擬105"""
106#2,"""ENT_SP虛擬106"""
107#2,"""ENT_SP虛擬107"""
108#2,"""ENT_SP虛擬108"""
109#2,"""ENT_SP虛擬109"""
110#2,"""ENT_SP虛擬110"""
111#2,"""ENT_SP虛擬111"""
112#2,"""ENT_SP虛擬112"""
113#2,"""ENT_SP虛擬113"""
114#2,"""ENT_SP虛擬114"""
115#2,"""ENT_SP虛擬115"""
116#2,"""ENT_SP虛擬116"""
117#2,"""ENT_SP虛擬117"""
118#2,"""ENT_SP虛擬118"""
119#2,"""ENT_SP虛擬119"""
120#2,"""ENT_SP虛擬120"""
121#2,"""ENT_SP虛擬121"""
122#2,"""ENT_SP虛擬122"""
123#2,"""ENT_SP虛擬123"""
124#2,"""ENT_SP虛擬124"""
125#2,"""ENT_SP虛擬125"""
126#2,"""ENT_SP虛擬126"""
127#2,"""ENT_SP虛擬127"""
128#2,"""ENT_SP虛擬128"""
129#2,"""ENT_SP虛擬129"""
130#2,"""ENT_SP虛擬130"""
131#2,"""ENT_SP虛擬131"""
132#2,"""ENT_SP虛擬132"""
133#2,"""ENT_SP虛擬133"""
134#2,"""EXP加成I"""
135#2,"""稀有道具掉落UP+100"""
136#2,"""稀有道具掉落UP+150"""
137#2,"""稀有道具掉落UP+200"""
138#2,"""稀有道具掉落UP+250"""
139#2,"""稀有道具掉落UP+300"""
0#7,"""ENT_SPダミー0"""
1#7,"""ENT_SPダミー1"""
2#7,"""ENT_SPダミー2"""
3#7,"""ENT_SPダミー3"""
4#7,"""ENT_SPダミー4"""
5#7,"""ENT_SPダミー5"""
6#7,"""ENT_SPダミー6"""
7#7,"""ENT_SPダミー7"""
8#7,"""ENT_SPダミー8"""
9#7,"""ENT_SPダミー9"""
10#7,"""ENT_SPダミー10"""
11#7,"""ENT_SPダミー11"""
12#7,"""ENT_SPダミー12"""
13#7,"""ENT_SPダミー13"""
14#7,"""ENT_SPダミー14"""
15#7,"""ENT_SPダミー15"""
16#7,"""ENT_SPダミー16"""
17#7,"""ENT_SPダミー17"""
18#7,"""ENT_SPダミー18"""
19#7,"""ENT_SPダミー19"""
20#7,"""ENT_SPダミー20"""
21#7,"""ENT_SPダミー21"""
22#7,"""ENT_SPダミー22"""
23#7,"""ENT_SPダミー23"""
24#7,"""ENT_SPダミー24"""
25#7,"""ENT_SPダミー25"""
26#7,"""ENT_SPダミー26"""
27#7,"""ENT_SPダミー27"""
28#7,"""ENT_SPダミー28"""
29#7,"""ENT_SPダミー29"""
30#7,"""ENT_SPダミー30"""
31#7,"""ENT_SPダミー31"""
32#7,"""ENT_SPダミー32"""
33#7,"""ENT_SPダミー33"""
34#7,"""ENT_SPダミー34"""
35#7,"""ENT_SPダミー35"""
36#7,"""ENT_SPダミー36"""
37#7,"""ENT_SPダミー37"""
38#7,"""ENT_SPダミー38"""
39#7,"""ENT_SPダミー39"""
40#7,"""ENT_SPダミー40"""
41#7,"""ENT_SPダミー41"""
42#7,"""ENT_SPダミー42"""
43#7,"""ENT_SPダミー43"""
44#7,"""ENT_SPダミー44"""
45#7,"""ENT_SPダミー45"""
46#7,"""ENT_SPダミー46"""
47#7,"""ENT_SPダミー47"""
48#7,"""ENT_SPダミー48"""
49#7,"""ENT_SPダミー49"""
50#7,"""ENT_SPダミー50"""
51#7,"""ENT_SPダミー51"""
52#7,"""ENT_SPダミー52"""
53#7,"""ENT_SPダミー53"""
54#7,"""ENT_SPダミー54"""
55#5,"""ENT_SPダミー55"""
56#5,"""ENT_SPダミー56"""
57#5,"""ENT_SPダミー57"""
58#5,"""ENT_SPダミー58"""
59#5,"""ENT_SPダミー59"""
60#5,"""ENT_SPダミー60"""
61#5,"""ENT_SPダミー61"""
62#5,"""ENT_SPダミー62"""
63#5,"""ENT_SPダミー63"""
64#5,"""ENT_SPダミー64"""
65#5,"""ENT_SPダミー65"""
66#5,"""ENT_SPダミー66"""
67#5,"""ENT_SPダミー67"""
68#5,"""ENT_SPダミー68"""
69#5,"""ENT_SPダミー69"""
70#3,"""ENT_SPダミー70"""
71#3,"""ENT_SPダミー71"""
72#3,"""ENT_SPダミー72"""
73#3,"""ENT_SPダミー73"""
74#3,"""ENT_SPダミー74"""
75#3,"""ENT_SPダミー75"""
76#3,"""ENT_SPダミー76"""
77#3,"""ENT_SPダミー77"""
78#3,"""ENT_SPダミー78"""
79#3,"""ENT_SPダミー79"""
80#3,"""ENT_SPダミー80"""
