MySpaceCommonLabel_EditMode#0,"""編集モード"""
MySpaceDirectPurchaseListTitle#0,"""ビルドパーツの購入確認"""
MySpaceDirectPurchaseListText1#0,"""この設計図に含まれる、以下の未登録のビルドパーツを購入しますか？"""
MySpaceDirectPurchaseListText2#0,"""ビルドパーツを購入しなくても設計図は利用できますが、<br>未登録のビルドパーツは配置されません。"""
MySpaceDirectPurchaseListText_NotBuy#0,"""<yellow>※設計図には、ジェネシスポイントもしくは<br>\u3000スタージェムで購入できないビルドパーツが含まれています。<c>"""
MySpaceDirectPurchaseListText_NeedGp#0,"""必要ジェネシスポイント:$(0)<pict 4space><pict myspace_point><pict 4space>(所持GP:$(1)<pict 4space><pict myspace_point><pict 4space>)"""
MySpaceDirectPurchaseListText_NeedSg#0,"""必要スタージェム:$(0)<pict 4space><pict StarGem><pict 4space>(所持SG:$(1)<pict 4space><pict StarGem><pict 4space>)"""
MySpaceDirectPurchaseListText_ButtonYes#0,"""ビルドパーツの購入"""
MySpaceDirectPurchaseListText_ButtonNo#0,"""購入しない"""
MySpaceBuildPartsPurchaseListTitle#0,"""ビルドパーツの購入"""
MySpaceBuildPartsPurchaseListText_Gp#0,"""アイテムを$(0)GPで購入します。<br>よろしいですか？"""
MySpaceBuildPartsPurchaseListText_Sg#0,"""アイテムを$(0)SGで購入します。<br>よろしいですか？"""
MySpaceBuildPartsPurchaseListText_ButtonYes#0,"""はい"""
MySpaceBuildPartsPurchaseListText_ButtonNo#0,"""いいえ"""
MySpaceBuildPartsPurchaseListText_ButtonScc#0,"""特定取引に関する法律に基づく表示"""
MySpaceConnect_Busy#0,"""コネクトの送受信量が過剰です。配置数や設定を見直してください。"""
MySpaceOfficialNotice#0,"""ここで使用されている一部のビルドパーツは、<br>$(0)の定期メンテナンス終了後に配信予定です。"""
MyspaceInfoText_BuildParts_DeploymentInitialization#0,"""ビルドパーツの配置が初期状態に戻されました。"""
MyspaceInfoText_Terrain_Initialization#0,"""地形の配置が初期状態に戻されました。"""
CraftMenu_BuildCommand#0,"""ビルドコマンド"""
CraftMenu_BuildParts#0,"""ビルドパーツ"""
CraftMenu_BuildParts_OthersSpace#0,"""$(0)のビルドパーツ"""
CraftMenu_DeleteObject#0,"""削除"""
CraftMenu_MoveObject#0,"""移動"""
CraftMenu_ObjectConfig#0,"""設定"""
CraftMenu_ObjectColor#0,"""カラー変更"""
CraftMenu_EditTerrain#0,"""地形のアップ/ダウン"""
CraftMenu_LandLeveling#0,"""地形の整地"""
CraftMenu_FloatingOnAir#0,"""空中浮遊"""
CraftMenu_QuitEditMode#0,"""編集モードを終了"""
CraftMenu_Sort_Normal#0,"""標準ソート"""
CraftMenu_NoItem#0,"""アイテムがありません"""
CraftMenu_NoRecord#0,"""履歴がありません"""
MySpaceCraftPaletteFormTitle#0,"""ビルドパレット"""
MySpaceCraftPalette_DeleteTitle#0,"""メッセージ"""
MySpaceCraftPalette_ConfirmDeletePalette#0,"""ビルドパレットに登録した<br>ビルドコマンドもしくはビルドパーツを削除しますか？"""
CraftMenu_Sort_Category#0,"""種類順"""
CraftMenu_Sort_Name#0,"""名前順"""
CraftMenu_Sort_Rarity#0,"""レアリティ"""
BuildMenuFullSizeTitle#0,"""ビルドメニュー"""
BuildMenuTwolineGuide#0,"""ビルドコマンドの実行や、設置するビルドパーツが選択できます。"""
BuildPaletteGuide_Inactive#0,"""パレットに登録/パレットの編集：<%Function>"""
BuildPaletteGuide_Active#0,"""登録：<%Decide>\u3000\u3000キャンセル：<%Cancel>\u3000\u3000削除：<%Exception>"""
BuildPaletteButton_Initialize#0,"""パレットを初期化"""
BuildPaletteInitialize_Title#0,"""初期化確認"""
BuildPaletteInitialize_Text#0,"""ビルドパレットを初期状態に戻しますか？"""
Guide_BuildMenu#0,"""決定：<%Decide>\u3000\u3000キャンセル：<%Cancel>\u3000\u3000操作項目の移動：<%NextWidget>"""
Guide_BuildMenu_Blueprint#0,"""決定：<%Decide>\u3000\u3000キャンセル：<%Cancel>\u3000\u3000操作項目の移動：<%NextWidget>\u3000\u3000操作ウィンドウ切り替え：<%ChangeCtrlWindowForward>\u3000\u3000未登録ビルドパーツの登録：<%MultiSelect>\u3000\u3000削除：<%Exception>"""
Blueprint_RegistMSG_Text1#0,"""この設計図のビルドパーツは、現在のクリエイティブスペースですべて使用可能です。"""
Blueprint_RegistMSG_Text2#0,"""このクリエイティブスペースでは、ビルドパーツの登録はできません。"""
BuildParts_Positioning_WindowTitle#0,"""ビルドパーツ設置微調整"""
BuildParts_Positioning_Position#0,"""移動"""
BuildParts_Positioning_Rotate#0,"""回転"""
BuildParts_Positioning_Size#0,"""スケール"""
BuildParts_Positioning_SizeSyncMove#0,"""スケール一括変更"""
BuildParts_Positioning_X#0,"""X"""
BuildParts_Positioning_Y#0,"""Y"""
BuildParts_Positioning_Z#0,"""Z"""
BuildParts_Positioning_Coordinate_Rotate#0,"""（X,Y,Z：$(0),$(1),$(2)）"""
BuildParts_Positioning_Coordinate_Size#0,"""（X,Y,Z：$(0),$(1),$(2)）"""
BuildParts_Positioning_Decision#0,"""決定"""
BuildParts_Positioning_Cancel#0,"""変更した内容を反映せずに終了します。<br>よろしいですか？"""
MySpaceOptionMenuFormTitle#0,"""ビルドオプション"""
MySpaceOptionMenuTitle_GridTerrain#0,"""地形のグリッド表示"""
MySpaceOptionMenuTitle_GridTerrain_exp#0,"""ビルドパーツを設置したり地形を編集する時に、<br>地面にグリッドを表示する機能を<br>使用するかを設定します。"""
MySpaceOptionMenuTitle_GridSnap#0,"""グリッドへのスナップ"""
MySpaceOptionMenuTitle_GridSnap_exp#0,"""ビルドパーツの設置時に、<br>グリッドに合わせる機能を<br>使用するかを設定します。<br><br><yellow>※“使用しない”を選ぶと、<br>\u3000ビルドパーツを自由な座標に配置できます。<c>"""
MySpaceOptionMenuTitle_HitCollision#0,"""設置済みのビルドパーツとの干渉"""
MySpaceOptionMenuTitle_HitCollision_exp#0,"""ビルドパーツの設置時に、<br>設置済みのビルドパーツと、<br>干渉するようにするかを設定します。"""
MySpaceOptionMenuTitle_Rotate#0,"""ビルドパーツの回転角度"""
MySpaceOptionMenuTitle_Rotate_exp#0,"""ビルドパーツの回転角度を、<br>45度ごとに固定する機能を<br>使用するかを設定します。"""
MySpaceOptionMenuTitle_Scaling#0,"""ビルドパーツの拡縮率"""
MySpaceOptionMenuTitle_Scaling_exp#0,"""ビルドパーツの拡縮率を、<br>25%ごとに固定する機能を<br>使用するかを設定します。"""
MySpaceOptionMenuTitle_Distance#0,"""ビルドパーツの設置最大距離"""
MySpaceOptionMenuTitle_Distance_exp#0,"""ビルドパーツの設置最大距離の変動幅を、<br>一定の距離ごとに固定する機能を<br>使用するかを設定します。<br><br><yellow>“グリッドへのスナップ”が有効な場合、<br>\u3000“使用しない”を選んでも<br>\u3000一定の距離ごとに固定されます。<c>"""
MySpaceOptionMenuTitle_Assistance#0,"""ビルドパーツ設置時のガイドシルエット表示"""
MySpaceOptionMenuTitle_Assistance_exp#0,"""ビルドパーツの設置時に、<br>設置面に映るガイドシルエットを<br>表示するかを設定します。"""
MySpaceOptionMenuTitle_TerrainAdjustment#0,"""地形のアップ/ダウンの変動幅"""
MySpaceOptionMenuTitle_TerrainAdjustment_exp#0,"""地形操作時に、<br>一度にどの程度の高さを<br>変化させるかを設定します。"""
MySpaceOptionMenuTitle_TranslucentPlayer#0,"""キャラクターの半透明化"""
MySpaceOptionMenuTitle_TranslucentPlayer_exp#0,"""自分の操作キャラクターを<br>半透明で表示するかを設定します。<br><br><yellow>※一部のファッションやマグには、<br>\u3000適用されません。<c>"""
MySpaceOptionMenuItemText_On#0,"""使用する"""
MySpaceOptionMenuItemText_Off#0,"""使用しない"""
MySpaceOptionMenuItemText_onefourth#0,"""1/4マスごと"""
MySpaceOptionMenuItemText_onehalf#0,"""1/2マスごと"""
MySpaceOptionMenuItemText_one#0,"""1マスごと"""
MySpaceMenuFormTitle#0,"""Ｃスペースメニュー"""
MySpaceMenuHeadLine_AddObject#0,"""ビルドパーツの追加"""
MySpaceMenuTitle_ObjectExchange#0,"""ビルドパーツの購入"""
MySpaceMenuTitle_ObjectRegister#0,"""ビルドパーツの登録"""
MySpaceMenuHeadLine_Setting#0,"""クリエイティブスペースの設定"""
MySpaceMenuTitle_BgmSetting#0,"""BGMの変更"""
MySpaceMenuTitle_TimeControl#0,"""時間の変更"""
IntroductionFormTitle#0,"""公開情報の設定"""
MySpaceMenuTitle_TeamMag#0,"""チームマグ"""
MySpaceMenuHeadLine_Init#0,"""クリエイティブスペースの状態"""
MySpaceMenuTitle_SettingInit#0,"""ビルドパーツの配置の初期化"""
MySpaceMenuTitle_TerrainInit#0,"""地形の初期化"""
MySpaceMenuHeadLine_EditPermission#0,"""編集権限の管理"""
MySpaceMenuTitle_EditPermission#0,"""他プレイヤーの編集権限の設定"""
TeamSpaceMenuTitle_EditPermission#0,"""チームメンバーの編集権限の設定"""
TeamSpaceMenuTitle_EditPermission_Title#0,"""編集権限の設定"""
MySpaceMenuHeadLine_ObjectSetting#0,"""ビルドパーツの状態"""
MySpaceMenuTitle_ObjectSetting#0,"""ギミックを設定時の状態に戻す"""
MySpaceMenuText_NoEditAuth1#0,"""編集権限がないため、メニューを開けません。"""
TeamSpaceMenuText_NoEditAuth1#0,"""選択したメニューは、このチームスペースのチームマスターとマネージャーのみが操作できます。"""
MySpace_Notice_SwitchMode_Editing#0,"""編集モードに変更しました。"""
MySpace_Notice_SwitchMode_Normal#0,"""編集モードを終了します。"""
MySpaceShopTitle_Guide#0,"""獲得したジェネシスポイントで、ビルドパーツが購入できます。"""
MySpaceSgShopTitle_Guide#0,"""スタージェムで、ビルドパーツが購入できます。"""
MySpaceGPShop_VolumeSelectTitle#0,"""ストレージ選択"""
MySpaceSGShop_VolumeSelectTitle#0,"""ストレージ選択"""
MySpaceShop_Volume#0,"""ストレージ$(0)"""
MySpaceShopCheckBoxTitle#0,"""未登録アイテムのみ表示"""
MySpaceRegisterText_Register#0,"""$(0) を使用して、<br>新しいビルドパーツを登録します。<br>よろしいですか？"""
MySpaceRegisterText_Registered#0,"""ビルドパーツを登録しました。"""
MySpaceBaseChangeTitle#0,"""テーマの変更・解放"""
MySpaceBaseChangeName#0,"""テーマ名"""
MySpaceBaseUnlocked#0,"""解放済み"""
MySpaceBaseChangeAelio#0,"""エアリオテーマ"""
MySpaceBaseChangeRetem#0,"""リテムテーマ"""
MySpaceBaseChangeKvaris#0,"""クヴァリステーマ"""
MySpaceBaseChangeStia#0,"""スティアベース"""
MySpaceBaseChangeUnkaiSakura#0,"""ファーイースタンテーマ"""
MySpaceBaseChangeScene#0,"""テーマの風景イメージ"""
MySpaceBaseApply_Title#0,"""メッセージ"""
MySpaceBaseApply_Confirm1#0,"""”$(0)”をこのスペースに適用しますか？<br><br>テーマを変更すると、配置しているビルドパーツ<br>および地形が初期化されます。<br><yellow>※適用時にスペース内いる他プレイヤーも、<br>\u3000自動的に変更後のスペースに移動します。<c>"""
MySpaceBaseApply_Confirm2#0,"""テーマを変更すると、<br>ビルドパーツや地形が初期状態に戻ります。<br>変更後は、元の状態に戻せません。<br>本当によろしいですか？"""
MySpaceBaseApply_Confirm2_Blueprint#0,"""テーマを変更すると、<br>ビルドパーツや地形が初期状態に戻ります。<br>変更後は、元の状態に戻せません。<br>本当によろしいですか？<br><br><yellow>※テーマを変更すると、<br>\u3000設置した設計図の公開も中止されます。<c>"""
MySpaceBaseChangeBuyData#0,"""購入情報"""
MySpaceBaseChangePossessionPoint#0,"""所持ポイント"""
MySpaceBaseChangeRequiredPoint#0,"""必要ポイント"""
MySpaceBaseChangeSettlement#0,"""決済後"""
MySpaceBaseChangeBuyTitle#0,"""テーマ購入"""
MySpaceBaseChangeBuyConfirm#0,"""テーマを$(0)GPで購入します。<br>よろしいですか？"""
MySpaceBaseChangeBuySuccess#0,"""テーマを購入しました。"""
MySpaceBaseChangeBuyFailure#0,"""ジェネシスポイントが不足しています。"""
MySpaceBgmText_Note#0,"""マグジュークボックスで<br>BGMを設定しているときは、<br>そちらが優先されます。<br><br>また、『PSO2』の一部楽曲は、<br>プレイ環境によって<br>再生されない場合があります。"""
MySpaceBgmText_Notice#0,"""“マグジュークボックス”でBGMを再生しているため、使用できません。"""
TimeControl_Title#0,"""時間の変更"""
TimeControll_TimePasses#0,"""Ｃスペース内で時間が経過する"""
TimeControll_TimePasses_TeamSpace#0,"""Ｔスペース内で時間が経過する"""
DefaultMySpaceName#0,"""クリエイティブスペース"""
DefaultTeamSpaceName#0,"""チームスペース"""
DefaultMySpaceComment#0,"""<pict 4space>"""
If_All_OK#0,"""だれでも可能（検索の対象に含む）"""
If_Friend_Guild_Member#0,"""フレンドとチームメンバーのみ可能"""
If_Guild_Member#0,"""チームメンバーのみ可能"""
If_Friend_Member#0,"""フレンドのみ可能"""
If_All_Not#0,"""非公開（自分のみ入室可能）"""
CancelMessageTitle#0,"""メッセージ"""
CancelMessage#0,"""変更した内容を反映せずに終了します。<br>よろしいですか？"""
IntroductionSaveSameTag#0,"""同じ検索用タグは、複数登録できません。<br>重複したタグを削除します。"""
IntroductionSaveFailed#0,"""公開情報の設定に失敗しました。"""
MySpaceMenuText_InitTitle#0,"""初期化の確認"""
MySpaceMenuText_ConfirmSettingInit#0,"""すべてのビルドパーツを<br>配置前の状態に戻します。<br>よろしいですか？"""
MySpaceMenuText_ReconfirmSettingInit#0,"""すべてのビルドパーツを配置前の状態に戻します。<br>初期化すると元に戻せません。<br>本当によろしいですか？<br><br><yellow>※初期化すると、設置した設計図の公開も中止されます。<c>"""
MySpaceMenuText_SettingInit#0,"""ビルドパーツの配置を初期状態に戻しました。"""
MySpaceMenuText_ConfirmTerrainInit#0,"""変更したすべての地形を<br>初期状態に戻します。<br>よろしいですか？"""
MySpaceMenuText_ReconfirmTerrainInit#0,"""初期化すると、元の状態には戻せません。<br>本当によろしいですか？"""
MySpaceMenuText_TerrainInit#0,"""クリエイティブスペースの地形を初期状態に戻しました。"""
TeamSpaceMenuText_TerrainInit#0,"""チームスペースの地形を初期状態に戻しました。"""
PermissionList_Title#0,"""編集権限の設定"""
PermissionList_Editors#0,"""編集権限のあるプレイヤー"""
PermissionList_Authorize#0,"""編集権限付与の確認"""
PermissionList_Reject#0,"""編集権限無効化の確認"""
PermissionList_IdName#0,"""$(0)"""
PermissionList_Names#0,"""$(0) $(1)"""
PermissionList_AuthorizeConfirm#0,"""$(0)に編集権限を付与しますか？<br>$(1)の<br>すべてのキャラクターに対して<br>編集権限が付与されます。"""
PermissionList_RejectConfirm#0,"""$(0)の編集権限を無効化しますか？<br>$(1)の<br>すべてのキャラクターに対して<br>編集権限が無効化されます。"""
PermissionList_EditorsNumberMax#0,"""編集権限を付与できる人数が、上限に達しています。"""
TeamSpaceMenuText_Editpermission_Guide#0,"""チームマスターとマネージャー以外の役職に、<br>編集権限を付与するかを設定をします。<br>権限を付与すると、<br>チームスペースの以下の機能が<br>使用可能になります。<br><br>・編集モード<br>・ビルドパーツの購入と登録<br>・時間の変更<br>・ギミックを設定時の状態に戻す"""
TeamSpaceMenuText_Editpermission_PositionTitle#0,"""編集権限を付与する役職"""
TeamSpaceMenuText_Editpermission_NoAuthority#0,"""権限付与対象を変更しない"""
TeamSpaceMenuText_Editpermission_Commonmember#0,"""コモンメンバー"""
TeamSpaceMenuText_Editpermission_Common_Visitormember#0,"""コモンメンバーとビジター"""
TeamSpaceMenuText_Editpermission_Position_Decision#0,"""チームメンバーの編集権限の設定を変更しました。"""
TeamSpaceMenuText_Editpermission_Position_Decision_Fail#0,"""チームメンバーの編集権限の変更に失敗しました。"""
ObjectReset_Title#0,"""初期化の確認"""
ObjectReset_Confirm#0,"""可動するすべてのビルドパーツを、<br>設定した初期状態に戻します。<br>よろしいですか？"""
ObjectReset_Complete#0,"""ビルドパーツのギミックを実行前の状態に戻しました。"""
TeamSpaceMenuFormTitle#0,"""Ｔスペースメニュー"""
TeamSpaceMenuHeadLine_Setting#0,"""チームスペースの設定"""
TeamSpaceMenuHeadLine_Init#0,"""チームスペースの状態"""
TeamSpaceMenuHeadLine_EditPermission#0,"""編集権限の管理"""
TeamSpaceBgmText_NotPlay#0,"""“マグジュークボックス”でBGMを再生しているため、使用できません。"""
TeamSpaceBgmText_Download#0,"""再生できないBGMが設定されています。<br>BGMを再生する場合は、<br>『PSO2』のデータをダウンロードしてください。"""
MySpaceBase_ErrorMessage#0,"""テーマの変更に失敗しました。時間をおいて再度実行してください。"""
MySpace_Notice_ReachGaugeLimit#0,"""設置容量を超えるため、これ以上は設置できません。"""
MySpace_Notice_ReachCreateLimit#0,"""設置数上限を超えるため、これ以上は設置できません。"""
MySpace_Notice_ReachUnregisteredParts#0,"""未登録のビルドパーツが含まれています。該当するビルドパーツは設置されませんでした。"""
MySpace_Notice_ReachPartsNumberLimit#0,"""設置数上限を超えるビルドパーツがあります。該当するビルドパーツは設置されませんでした。"""
MySpaceColorChangeTitle#0,"""カラー設定"""
MySpaceColorChangePattern1#0,"""カラー１"""
MySpaceColorChangePattern2#0,"""カラー２"""
MySpaceColorPaletteTitle#0,"""カラーパレット"""
DefaultColorButton#0,"""デフォルトカラーに戻す"""
MySpaceConfigGude#0,"""<%MultiSelect>で更新情報を表示"""
MySpaceUpdateInfo_Title#0,"""更新情報"""
MySpaceUpdateInfo_Label#0,"""最後に更新したプレイヤーIDネーム"""
MySpaceUpdateInfo_PlayerIDName#0,"""$(0)"""
MySpace_Label_DisallowChangeConfig#0,"""このビルドパーツの設定は変更できません。"""
MySpace_Notice_DisallowChangeColor#0,"""カラーの変更ができないビルドパーツです。"""
MySpace_Notice_NoGeoChangePlace#0,"""地形を変更できない場所です。"""
MySpace_Notice_GeoUpperLimit#0,"""これ以上は地形を変更できません。"""
MySpace_Notice_GeoLowerLimit#0,"""これ以上は地形を変更できません。"""
MySpace_SwitchInstallation_Title#0,"""ビルドパーツ設置"""
MySpace_SwitchEditBuildPart_Title#0,"""ビルドパーツ編集"""
MySpace_SwitchEditTerrain_Title#0,"""地形編集"""
MySpace_SwitchInstallation_RotateGuide#0,"""回転：<swguidetype ActionLStick>\u3000\u3000回転軸の変更：<swguidetype ActionUpDown>\u3000\u3000回転のリセット：<%Jump>"""
MySpace_SwitchInstallation_RotateGuide_Key#0,"""回転：<swguidetype ActionLStick>\u3000\u3000回転軸の変更：<swguidetype ActionUpDownKey>\u3000\u3000回転のリセット：<%Jump>"""
MySpace_SwitchInstallation_ScaleGuide#0,"""拡縮：<swguidetype ActionLStick>\u3000\u3000拡縮軸の変更：<swguidetype ActionUpDown>\u3000\u3000拡縮のリセット：<%Jump>"""
MySpace_SwitchInstallation_ScaleGuide_Key#0,"""拡縮：<swguidetype ActionLStick>\u3000\u3000拡縮軸の変更：<swguidetype ActionUpDownKey>\u3000\u3000拡縮のリセット：<%Jump>"""
MySpace_SwitchInstallation_DistanceGuide#0,"""最長設置距離の変更：<swguidetype ActionLStick>\u3000\u3000設置距離変更のリセット：<%Jump>"""
MySpace_SwitchEditBuildPart_Guide_Hold#0,"""編集項目の決定：<%WeaponAction_2>を離す"""
MySpace_SwitchEditBuildPart_Guide_OnePush#0,"""編集項目の決定：<%WeaponAction_2>"""
MySpace_SwitchEditTerrain_Guide_Hold#0,"""範囲の拡縮：<swguidetype ActionUpDown>\u3000\u3000編集項目の決定：<%WeaponAction_2>を離す"""
MySpace_SwitchEditTerrain_Guide_Hold_Key#0,"""範囲の拡縮：<swguidetype ActionUpDownKey>\u3000\u3000編集項目の決定：<%WeaponAction_2>を離す"""
MySpace_SwitchEditTerrain_Guide_OnePush#0,"""範囲の拡縮：<swguidetype ActionUpDown>\u3000\u3000編集項目の決定：<%WeaponAction_2>"""
MySpace_SwitchEditTerrain_Guide_OnePush_Key#0,"""範囲の拡縮：<swguidetype ActionUpDownKey>\u3000\u3000編集項目の決定：<%WeaponAction_2>"""
MySpace_Switch_Right#0,"""<swguidetype ActionRight>"""
MySpace_Switch_Right_Key#0,"""<swguidetype ActionRightKey>"""
MySpace_Switch_Left#0,"""<swguidetype ActionLeft>"""
MySpace_Switch_Left_Key#0,"""<swguidetype ActionLeftKey>"""
MySpaceJournalInstallation#0,"""設置"""
MySpaceJournalInstallationInformation#0,"""ビルドパーツ設置情報"""
MySpaceJournalBuildPartsInformation#0,"""ビルドパーツ情報"""
MySpaceJournalEditTerrainInformation#0,"""地形情報"""
MySpaceJournalRotate#0,"""回転"""
MySpaceJournalXAxis#0,"""X軸"""
MySpaceJournalYAxis#0,"""Y軸"""
MySpaceJournalZAxis#0,"""Z軸"""
MySpaceJournalXYZAxis#0,"""全体"""
MySpaceJournalScale#0,"""スケール"""
MySpaceJournalMaxDistance#0,"""最長設置距離"""
MySpaceJournalTerrainScope#0,"""適用範囲"""
MySpaceJournalOperation#0,"""操作方法"""
MySpaceJournalInst_Icon_Action1#0,"""<%NormalAttack>"""
MySpaceJournalInst_Icon_Action2#0,"""<%PhotonArts>"""
MySpaceJournalInst_Icon_Action3#0,"""<%MainPaletteC>"""
MySpaceJournalInst_Icon_Action1or2#0,"""<%NormalAttack>/<%PhotonArts>"""
MySpaceJournalInst_Icon_BP#0,"""<%WeaponAction_2>"""
MySpaceJournalInst_Icon_Space#0,"""<pict 4space>"""
MySpaceJournalTextInst_MoveObject_Move#0,"""移動"""
MySpaceJournalTextInst_MoveObject_MoveAdjustment#0,"""設置微調整"""
MySpaceJournalTextInst_ObjectConfig_Config#0,"""設定"""
MySpaceJournalTextInst_ObjectColor_ColorChange#0,"""色を選択して反映"""
MySpaceJournalTextInst_ObjectColor_ColorApply#0,"""選択中の色を反映"""
MySpaceJournalTextInst_DeleteObject_Delete#0,"""削除"""
MySpaceJournalTextInst_EditTerrain_Uplift#0,"""地形のアップ"""
MySpaceJournalTextInst_EditTerrain_Downlift#0,"""地形のダウン"""
MySpaceJournalTextInst_EditTerrain_LandLeveling#0,"""地形の整地"""
MySpaceJournalTextInst_Installation#0,"""設置"""
MySpaceJournalTextInst_Sub_SwitchingFunction#0,"""ビルドパーツ編集メニュー"""
MySpaceJournalTextInst_Sub_SwitchingGeneralControl#0,"""\u3000編集モードを終了"""
MySpaceJournalTextInst_Sub_SwitchingAux#0,"""ビルドパーツ設置メニュー"""
MySpaceJournalTextInst_Sub_ExitInstallation#0,"""キャンセル"""
MySpaceJournalTextInst_Sub_ExitInstallation_Space#0,"""\u3000ビルドパーツ設置を終了"""
MySpaceJournalTextInst_Sub_CraftMenu#0,"""ビルドメニュー"""
MySpaceJournalTextInst_Sub_SwitchingEditTerrainFunction#0,"""地形編集メニュー"""
MySpaceJournalTextInst_Sub_ExitEditTerrain#0,"""\u3000地形編集を終了"""
MySpaceJournalTextInst_Sub_InstConfig#0,"""\u3000ビルドオプション"""
MySpaceJournalTextInst_Sub_CreativeSpaceMenu#0,"""\u3000Ｃスペースメニュー"""
TeamSpaceJournalTextInst_Sub_CreativeSpaceMenu#0,"""\u3000チームスペースメニュー"""
MySpaceJournalTextInst_SubTitle_Aux#0,"""<%WeaponAction_2>でメニュー表示中に"""
MySpaceJournalTextInst_SubTitle_Function#0,"""<%WeaponAction_2>でメニュー表示中に"""
MySpaceJournalTextInst_SubTitle_TerrainFunction#0,"""<%WeaponAction_2>でメニュー表示中に"""
InstallationNumber#0,"""連動するテレポーター番号"""
Active#0,"""使用する"""
Inactive#0,"""使用しない"""
Collision_Active#0,"""接触する"""
Collision_Inactive#0,"""接触しない"""
Connect_Active#0,"""送受信する"""
Connect_Inactive#0,"""送受信しない"""
Appear#0,"""表示する"""
Disappear#0,"""表示しない"""
OpenDoor#0,"""開ける"""
CloseDoor#0,"""閉める"""
On#0,"""オンにする"""
Off#0,"""オフにする"""
Graphics#0,"""ビルドパーツの表示"""
Collision#0,"""ビルドパーツの接触判定"""
Access#0,"""ビルドパーツのアクセス機能"""
TransLock#0,"""コネクトの送受信"""
SendContainerBreak#0,"""破壊する"""
SendSwitchOn#0,"""オンにする"""
SendSwitchOff#0,"""オフにする"""
SendDoorOpen#0,"""開ける"""
SendDoorClose#0,"""閉める"""
SendSit#0,"""座る"""
SendGet#0,"""とる"""
SendTakeShower#0,"""シャワーを浴びる"""
SendTouch#0,"""接触する"""
SendLeave#0,"""接触後にビルドパーツから離れる"""
SendLiedown#0,"""横になる"""
SendTakeBath#0,"""入浴する"""
SendAccess#0,"""アクセスする"""
SendTeleport#0,"""テレポートする"""
SendTouchFence#0,"""接触する"""
SendUpDrift#0,"""アップドラフターに乗る"""
SendAfterDelay#0,"""設定した時間が経過する"""
SendTimerOverValue#0,"""タイマーの設定時間以上になる"""
SendTimerUnderValue#0,"""タイマーが0になる"""
SendRandam1#0,"""ランダム送信する送信先のコネクトIDの指定1"""
SendRandam2#0,"""ランダム送信する送信先のコネクトIDの指定2"""
SendRandam3#0,"""ランダム送信する送信先のコネクトIDの指定3"""
SendRandam4#0,"""ランダム送信する送信先のコネクトIDの指定4"""
SendRandam5#0,"""ランダム送信する送信先のコネクトIDの指定5"""
