MesetaDenomination#0,"""<pict reb_meseta>メセタ"""
MenuEnd#0,"""ショップを出る"""
SgShopTitle#0,"""スタージェムで買う"""
SgShopGuide#0,"""<c f0df60>購入するアイテムを選択してください。「リストの手動更新<c><pict StarGem><c f0df60>」で、すぐに商品リストを更新できます。<c>"""
SgShopGuide_v#0,"""<c f0df60>購入するアイテムを選択してください。「リストの手動更新<c><pict StarGem><c f0df60>」で、すぐに商品リストを更新できます。<c>"""
MesetaShopTitle#0,"""メセタで買う"""
MesetaShopGuide#0,"""<c f0df60>購入するアイテムを選択してください。「リストの手動更新<c><pict StarGem><c f0df60>」で、すぐに商品リストを更新できます。<c>"""
MesetaShopGuide_v#0,"""<c f0df60>購入するアイテムを選択してください。「リストの手動更新<c><pict StarGem><c f0df60>」で、すぐに商品リストを更新できます。<c>"""
ShopListTitle#0,"""商品リスト"""
ShopListResetTime#0,"""次回更新：$(0)"""
ShopListReset_N_Time#0,"""次回更新まで：あと$(0)"""
ShopListReset_N_UpdateTime#0,"""ショップを開き直すと商品更新"""
ShopListResetButton#0,"""<yellow>リストの手動更新<c><pict StarGem>"""
ShopListResetButton_N_Free#0,"""商品の更新（毎日1回無料）"""
ShopListResetButton_N_Premium#0,"""商品の更新（プレミアム）"""
ShopListResetButton_N_SG#0,"""商品の更新<pict 4space><pict StarGem>"""
ShopListResetTime_wait#0,"""情報取得中"""
RenewConfirmTitle#0,"""リストの手動更新"""
RenewConfirmTitle_N#0,"""商品の更新"""
RenewConfirmMessage#0,"""<pict StarGem><c 1dedd7>SG消費コンテンツ<c><br><br>「$(0)」を購入し、<br>商品リストをすぐに更新することができます。<br>購入確認画面に進みますか？<br><br><yellow>※商品はランダムのため<br>\u3000同じ商品が選ばれる場合があります。<c><br><br>（所持SG:$(1)）"""
RenewConfirmMessage_N_Free#0,"""“$(1)”の商品リストを<br>無料ですぐに更新できます。<br>更新しますか？<br><br><yellow>※商品リストはランダムのため、<br>\u3000同じ商品が陳列される場合があります。<br>※毎日1回無料で更新できます。<br>\u3000“プレミアムセット”の有効期間中は、<br>\u3000さらに1回無料で更新できます。<c><br><br>無料の商品更新：あと <yellow>$(0)回<c>"""
RenewConfirmMessage_N_Premium#0,"""<yellow>“プレミアムセット”ボーナス<c><br><br>“プレミアムセット”有効期間中のため、<br>“$(1)”の商品リストを<br>さらに1回、無料ですぐに更新します。<br>よろしいですか？<br><br><yellow>※商品リストはランダムのため、<br>\u3000同じ商品が陳列される場合があります。<c><br><br>無料の商品更新：あと <yellow>$(0)回<c>"""
RenewBuyTitle#0,"""リストの手動更新"""
RenewBuyMessage#0,"""以下のアイテムを$(0)SG（通常$(1)SG）で購入し、<br>今すぐに商品リストを更新します。<br>よろしいですか？<br><br><yellow>※連続購入時、購入１回目～９回目までは<br>\u3000価格が割引されますが、回数が増えると<br>\u3000割引率が下がります。<c><br>※購入回数は、毎日<utc>20:00</utc>にリセットされます。<br>（所持SG:$(2)）"""
RenewBuyMessage_N_SG#0,"""<pict StarGem><c 1dedd7>SG消費コンテンツ<c><br><br>“$(1)”の商品リストを<br><pict StarGem><yellow>10SGを消費<c>してすぐに更新します。<br>よろしいですか？<br><br><yellow>※商品リストはランダムのため、<br>\u3000同じ商品が陳列される場合があります。<c><br><br>手動で更新：あと <yellow>$(0)回<c><br><pict StarGem>所持SG：$(2)"""
RenewResultTitle#0,"""商品リスト更新結果"""
RenewResultMessage#0,"""商品リスト更新に成功しました。"""
RenewResultError#0,"""商品リスト更新に失敗しました。"""
RenewResultError2#0,"""スタージェムが不足しています。"""
RenewResultError3#0,"""すでに自動更新による商品リスト更新が行われました。"""
RenewResultError4#0,"""サーバーとの通信に失敗しました。<br><br>時間をおいて再度お試しください。"""
RenewResultError5#0,"""予期せぬ問題が発生しました。<br><br>時間をおいて再度お試しください。"""
RenewResultError6#0,"""データベースのアクセスに失敗しました。<br><br>時間をおいて再度お試しください。"""
RenewSgShop#0,"""ＳＧトレジャーショップ更新"""
RenewSgShop01#0,"""ＳＧトレジャーショップ更新（１回目）"""
RenewSgShop02#0,"""ＳＧトレジャーショップ更新（２回目）"""
RenewSgShop03#0,"""ＳＧトレジャーショップ更新（３回目）"""
RenewSgShop04#0,"""ＳＧトレジャーショップ更新（４回目）"""
RenewSgShop05#0,"""ＳＧトレジャーショップ更新（５回目）"""
RenewSgShop06#0,"""ＳＧトレジャーショップ更新（６回目）"""
RenewSgShop07#0,"""ＳＧトレジャーショップ更新（７回目）"""
RenewSgShop08#0,"""ＳＧトレジャーショップ更新（８回目）"""
RenewSgShop09#0,"""ＳＧトレジャーショップ更新（９回目）"""
RenewSgShop10#0,"""ＳＧトレジャーショップ更新（１０回目以上）"""
RenewSgShop_N_Free#0,"""トレジャーショップ（SG）更新（無料）"""
RenewSgShop_N_Premium#0,"""トレジャーショップ（SG）更新（プレミアム）"""
RenewSgShop_N_SG#0,"""トレジャーショップ（SG）更新（<pict StarGem>10SG）"""
RenewMesetaShop#0,"""メセタトレジャーショップ更新"""
RenewMesetaShop01#0,"""メセタトレジャーショップ更新（１回目）"""
RenewMesetaShop02#0,"""メセタトレジャーショップ更新（２回目）"""
RenewMesetaShop03#0,"""メセタトレジャーショップ更新（３回目）"""
RenewMesetaShop04#0,"""メセタトレジャーショップ更新（４回目）"""
RenewMesetaShop05#0,"""メセタトレジャーショップ更新（５回目）"""
RenewMesetaShop06#0,"""メセタトレジャーショップ更新（６回目）"""
RenewMesetaShop07#0,"""メセタトレジャーショップ更新（７回目）"""
RenewMesetaShop08#0,"""メセタトレジャーショップ更新（８回目）"""
RenewMesetaShop09#0,"""メセタトレジャーショップ更新（９回目）"""
RenewMesetaShop10#0,"""メセタトレジャーショップ更新（１０回目以上）"""
RenewMesetaShop_N_Free#0,"""トレジャーショップ（N-メセタ）更新（無料）"""
RenewMesetaShop_N_Premium#0,"""トレジャーショップ（N-メセタ）更新（プレミアム）"""
RenewMesetaShop_N_SG#0,"""トレジャーショップ（N-メセタ）更新（<pict StarGem>10SG）"""
InfoError_None#0,"""FailureReason_None<br>成功"""
InfoError_Error#0,"""商品リストの情報を取得できませんでした。<br>しばらくしてから、再度アクセスしてください。"""
InfoError_NotFound#0,"""商品リストの情報を取得できませんでした。<br>しばらくしてから、再度アクセスしてください。"""
InfoError_NoMoney#0,"""所持金が不足しています。"""
InfoError_N_Premium#0,"""“プレミアムセット”の有効期限が切れたため、<br>“$(0)”を<br>利用できません。"""
InfoError_N_TimeOut#0,"""日替わりの商品更新時刻を過ぎました。<br>手動の更新を行う前に、ショップを開き直して<br>商品リストを更新してください。"""
BuyError_OK#0,"""BlackMarketBuyAns_OK<br>交換成功"""
BuyError_LowPoint#0,"""スタージェムが不足しています。"""
BuyError_IllegalParam#0,"""購入することができませんでした。<br>しばらくしてから、再度アクセスしてください。"""
BuyError_NoSpace#0,"""アイテムパックの空き容量不足、<br>または所持数の限界を超えているため、<br>購入できません。"""
BuyError_ExchangeLimit#0,"""購入可能数を超えているため<br>購入することができませんでした。"""
BuyError_Other#0,"""購入することができませんでした。<br>しばらくしてから、再度アクセスしてください。"""
BuyError_N_BuyPremium#0,"""<pict Arcscash><scarlet>AC消費コンテンツ<c><br><yellow>“プレミアムセット”<c>の有効期限が切れているため、<br>購入できない商品があります。<br><br>“プレミアムセット”を有効にすることで、<br>購入できます。<br>“プレミアムセット”の購入画面に進みますか？"""
BuyError_N_UsePremium#0,"""<pict Arcscash><c 5fdf00>購入済みアイテムの使用<c><br>“プレミアムセット”の有効期限が切れているため、<br>購入できない商品があります。<br><br>所持している<yellow>“プレミアムセット”<c>を使用して<br>購入できるようにしますか？<br><br><yellow>※“プレミアムセット”を複数種類所持している場合は、<br>\u3000有効期限が長いものから優先して使用します。<c>"""
Mark_Premium#0,"""プレミアム"""
Open_SgShop#0,"""SGショップで期間限定商品販売中！"""
ShopTitleText#0,"""バトルコイン交換ショップ"""
NormalShopGuideText#0,"""<c f0df60>バトルコインを消費して、アイテムと交換できます。交換するアイテムを選択してください。<c>"""
LimitedShopGuideText#0,"""<c f0df60>交換するアイテムを選択してください(交換数には週制限があり、毎週<utcdow>水曜日4:00</utcdow>にリセットされます)。<c>"""
ShopListTitle#1,"""ショップメニュー"""
PluralityMenuGuide#0,"""<c f0df60>ショップを選んでください。<c>"""
Exit#0,"""ショップを出る"""
Buy#0,"""購入"""
NameNumber#0,"""$(0)×$(1)"""
BuyTitle#0,"""購入確認"""
BuyCheck#0,"""以下のアイテムを$(1)$(0)で購入します。<br>よろしいですか？"""
BCDenomination#0,"""BC"""
BuyResultMessage1#0,"""アイテムを購入しました。"""
BuyErrorMessage2#0,"""アイテムパックの空き容量不足、<br>または所持数の限界を超えているため、<br>購入できません。"""
BCInsufficient#0,"""所持BCが不足しています。"""
BuyResultMessage2#0,"""アイテムを購入できませんでした。"""
BuyResultTitle#0,"""アイテム購入"""
CancelTitle#0,"""購入キャンセル確認"""
CancelMessage#0,"""購入をキャンセルします。<br>よろしいですか？"""
SelectItemInputVita#0,"""個数を入力してください"""
MenuErrorTitle#0,"""メッセージ"""
MenuErrorMessage#0,"""「BC交換ショップ」選択エラーメッセージ"""
