11_voice_NPC_5313_104#0,"""あ、<%me>！<br>……え？\u3000新人を上手に育成する<br>指導方法を聞きたいの？"""
11_voice_NPC_5313_100#5,"""情報部をかばうわけじゃないけど<br>隠してるってわけじゃないんだよね。"""
st01_020#2,"""確信が取れてないのとか<br>順を追って出したほうがいいのとか<br>そういうの分けてるのよね。"""
st01_030#1,"""まー、そこにあの陰険メガネの<br>意向が大いに絡んでいるぶん<br>信用ならないってのは仕方がないか。"""
11_voice_NPC_5313_100#6,"""アイカは地球で暫く生活してたから<br>やっぱり思い入れは強いみたい。"""
st01_020#3,"""学校とかも行ってたみたいだし<br>友達、みたいな人もいるんじゃない？"""
st01_010#0,"""そういえば、あなたはまだマトイさんに<br>会えてないんだよね。<br>情報部次席として、それ、謝りたくて。"""
st01_020#4,"""あなたより先に起きていたんだけど<br>陰険メガネの暗躍と、アイカの無理の<br>せいで、また無茶させちゃって……"""
st01_030#2,"""半年前から、再度コールドスリープに<br>逆戻り、ってことになっちゃってたの。<br>……本当にごめんなさい。"""
11_voice_NPC_5313_104#2,"""人が相手になると、とたんに<br>考えなきゃいけないことが増えるから<br>情報部としても大変よ。"""
st01_020#5,"""あっちこっちに下調べや根回し<br>その他諸々でみんなてんてこ舞い。"""
st01_030#3,"""でも、ダーカー相手の戦いに<br>慣れすぎてたのが、一番大きい。<br>勝手が違いすぎるのよね。"""
st01_040#0,"""まあ、あの陰険メガネはその陰険さを<br>いかんなく発揮して先回りの情報収集を<br>ガンガン進めてるみたいだけどさ。"""
st01_010#1,"""今回の侵入は、隙をつかれたって<br>感じだったみたいだね。"""
st01_020#6,"""あの陰険メガネも<br>流石に表情を曇らせてたわ。"""
st01_030#4,"""ま、次の瞬間には、リミッター解除の<br>申請手続きや、例外処理の策定に<br>動いてるから、かわいげないけどさ。"""
11_voice_NPC_5313_102#0,"""ダーカーを真似した幻創種って<br>よりにもよってそれを真似るかって<br>感じだよね。"""
st01_020#7,"""ダークファルスの力を取り込んだって<br>いうなら、わからなくもないけど……<br>……ダークファルス、かあ。"""
st01_030#5,"""……本当に、あのアル君が<br>ダークファルスだったなんて<br>にわかには信じがたいよね。"""
st01_010#2,"""ぐぬぬ……アースガイドの指導者め！<br>どこぞの情報部司令に勝るとも劣らぬ<br>腹黒だったか！"""
11_voice_NPC_5313_102#1,"""せっかく、一件落着で<br>あたしの新曲も披露できると思ったのに<br>もうしばらくお預けかな、こりゃ。"""
st01_030#6,"""放ってなんておけないもんね。<br>これは地球の問題でもあるけど<br>アークスも、関係あるんだから。"""
11_voice_NPC_5313_104#3,"""どうだった、あたしのライブ？<br>みんなのために、張り切って<br>新曲作ったんだからね。"""
st01_020#8,"""今回の事件で、あたしたちアークスも<br>いろいろ勉強させてもらったし<br>新しい友達も出来たからさ。"""
11_voice_NPC_5313_100#7,"""そのへんの思い、全部ありったけ<br>詰め込んで作った歌なんだ。<br>みんな喜んでくれてるといいな。"""
sq00_010#0,"""今回の任務は、あたしは留守番。<br>というか、陽動作戦とかは<br>あたし一番向いてないしね。"""
11_voice_NPC_5313_100#8,"""参加できないぶん、みんなを鼓舞する<br>役回りを頑張るからね！"""
sq01_010#0,"""おかえり！\u3000あたしは情報部だから<br>あなたの状況については逐一報告を<br>受けてたし、心配してなかったよ。"""
sq01_020#0,"""……いや、心配してなかったってのは<br>ちょっと嘘かな。ライブやれるような<br>心境じゃなかったし。"""
11_voice_NPC_5313_101#1,"""でも、こうして戻ってきてくれたから<br>気力再充填！\u3000またどかんと<br>ゲリラライブでもやっちゃおうかな！"""
11_voice_NPC_5313_104#4,"""なーんかねー、嵐の前の静けさって<br>感じが拭えないんだよね、あたし。"""
sq02_020#0,"""だって、なにもかも上手くいったなら<br>シャオがみんなに連絡するでしょ？<br>それなのに、返答はいまだ調査中。"""
sq02_030#0,"""まだ不安があるからこそ<br>調査に時間をかけてるって見るけど<br>……どうかな？\u3000合ってる？"""
sq13_010#0,"""……今、情報部は総動員で<br>過去記録を漁ってる。<br>終の女神の情報について、ね。"""
sq13_020#0,"""あんまり期待できないけど<br>ウォパルに残されたルーサーの<br>残存記録なんかも洗い直し中。"""
sq13_030#0,"""なにか打倒のヒントが<br>見つかるといいんだけど……"""
ep6_sq00_01#0,"""なんとか、情報部の総力を挙げて<br>過去の記録を一通り調べ尽くしたけど<br>対策につなげられるものはなかった……"""
ep6_sq00_02#0,"""彼女はおそらくフォトナーだろうけど<br>それだけじゃ、その異常な力について<br>説明がつかないことが多いんだよね……"""
11_voice_NPC_5313_108#0,"""あの陰険メガネが言ってたけど……<br>シバと対面した当事者たちに情報を<br>隠してる人がいるかもって、まさかね。"""
ep6_sq01_01#0,"""残された希望が、アムドゥスキア……<br>シャオと龍族にしか知りえないことが<br>あるとしたら、それって……"""
ep6_sq01_02#0,"""まさか、虚空機関のような行いが<br>フォトナー時代にも……いずれにしても<br>早く確かめに行かないとね。"""
ep6_sq02_01#0,"""あっ、お疲れさま！<br>おかげでなんとかなったね。"""
ep6_sq02_02#0,"""まさかの展開で予想もできなかったけど<br>終わりよければすべてよし！"""
11_voice_NPC_5313_100#9,"""本番はこれからだけどね。<br>でも、みんなの士気も上がってるから<br>きっと大丈夫！\u3000がんばろ！"""
11_voice_NPC_5313_106#0,"""あ、<%me>！<br>怪我したって聞いたけど<br>大丈夫なの？"""
ep6_sq03_02_01_02#0,"""守護輝士だからって<br>不死身じゃないんだから<br>無茶はしちゃダメだよ？"""
11_voice_NPC_5313_108#1,"""まあ、そんなこと言ったって<br>あなたは無茶するんだろうけど……<br>休めるときには、休むこと！"""
ep6_sq04_01_01#0,"""聞いてるよ。<br>シバを倒せるかもしれないヒントが<br>見つかったんだってね。"""
ep6_sq04_01_02#0,"""これからが本当の正念場だね。<br>でも、今まで通りみんなで頑張れば<br>きっと上手くいくよ！"""
11_voice_NPC_5313_101#2,"""さて！\u3000あたしも<br>歌でみんなを元気づけに<br>行くとしますか！"""
