st_058160_0010#0,"""馬鹿な……僕が……敗れる……？"""
st_058160_0640#0,"""神の具現という無茶は<br>今回ばかりのズル、ですから。"""
st_058160_0650#0,"""じゃ、じゃあ、結局ハリエットは<br>ここから消えちゃうってこと！？<br>そんなのアタシ、嫌なんだけど！"""
st_058160_0660#0,"""いえ、消えるのではありません。<br>私は世界と一つになり<br>皆を支える存在となるのです。"""
st_058160_0670#0,"""もとは空虚より出でた私が<br>皆を支えるための土台となれる。<br>……こんなに嬉しいことはありません。"""
st_058160_0680#0,"""ハリエットぉ……"""
st_058160_0690#0,"""悲しまないでください<br>マルガレータ。"""
st_058160_0700#0,"""大丈夫、私が慣れてくれば<br>神王である貴方とは<br>いつでも会えるはずですから。"""
st_058160_0710#0,"""それまで、その……<br>神聖エピクエント魔道国、でしたっけ？<br>よろしくお願いいたしますね。"""
st_058160_0720#0,"""って、妖精！守護輝士！<br>なんかアンタたちの身体からも<br>変なの出てきてるけど！？"""
st_058160_0730#0,"""救世は果たされた。<br>……そういうこと、なんですね。"""
st_058160_0740#0,"""……守護輝士。<br>もはや、感謝は伝え尽くしました。<br>ですから、私からはただ一言だけ。"""
st_058160_0750#0,"""またお会いできる時を<br>心より、願っております。"""
st_058160_0760#0,"""さようなら、守護輝士。<br>私はいつも、貴方たちと共に。"""
name01#0,"""初代クラリスクレイス"""
name02#0,"""？？？"""
