CHOICE_INNOCENT#0,"""บริสุทธิ์"""
CHANGE_ASK#8,"""แต่บางครั้งฉันก็คิดว่า <br>เป็นแบบนี้ตลอดไปมันจะดีแน่เหรอ <br>นี่ เธอคิดว่าฉันควรทำไงดีล่ะ?"""
CHANGE_OK#8,"""โอ้ อย่างนี้นี่เอง<br>เข้าใจแล้ว จะลองทำแบบนั้นดูละกัน"""
CHANGE_HOLD#8,"""แหะๆ โอเคๆ<br>งั้นก็เอาแบบนี้แหละนะ <br>จากนี้ไปก็ฝากตัวด้วยนะ"""
CHANGE_START#9,"""なー、ちょっと聞いていいか？<br>オレの性格について、あんたがどう<br>考えてるのか、聞かせてくれよ！"""
CHANGE_PERSONAL#9,"""あんたがわんぱくでもいい<br>たくましく育ってほしいって<br>願ったから、オレもそうしてる！"""
CHANGE_ASK#9,"""でも、いつまでもこのままで<br>いいのかなって、たまに思うんだ。<br>なあ、オレ、どうするべきだと思う？"""
CHANGE_OK#9,"""おー、なるほどなー！<br>わかった、そういう風にしよう！"""
CHANGE_HOLD#9,"""へへっ、オッケーオッケー！<br>んじゃこんな感じで、これからも<br>よろしくなっ！"""
CHANGE_START#10,"""ขอโทษนะคะ ขอถามหน่อยได้มั้ย<br>คือฉันอยากทราบความคิดเห็นของคุณน่ะ"""
CHANGE_PERSONAL#10,"""ฉันคิดว่าตัวเองค่อนข้างเงียบ...<br>ไม่ใช่คนที่ชอบมีปากเสียงอะไร<br>แบบนี้ดีแล้วรึเปล่าคะ"""
CHANGE_ASK#10,"""ฉันเป็นแบบนี้คุณพอใจรึเปล่าคะ?<br>คุณอยากให้ฉันทำตัวแบบไหนคะ?"""
CHANGE_OK#10,"""เข้าใจแล้วค่ะ<br>งั้นจากนี้ไปฉันจะทำแบบที่คุณบอก"""
CHANGE_HOLD#10,"""เป็นแบบนี้ดีแล้ว...เหรอคะ<br>...หึๆ เข้าใจแล้วค่ะ <br>งั้นทำตัวอย่างเดิมนะคะ"""
CHANGE_START#11,"""すみません、少しよろしいでしょうか。<br>実は、貴方の趣向を<br>教えていただきたく……"""
CHANGE_PERSONAL#11,"""私、すこしおっとりというか……<br>活発な方ではないと思うのですが<br>それでいいのかな、と……"""
CHANGE_ASK#11,"""私の振る舞いに不満はありませんか？<br>貴方は、どのような私を<br>求めているのでしょうか。"""
CHANGE_OK#11,"""かしこまりました。<br>では、以後はつとめてそのように。"""
CHANGE_HOLD#11,"""このままでいい、ですか。<br>……ふふっ、かしこまりました。<br>おおせのままに。"""
CHANGE_START#12,"""นี่ ขอถามหน่อยสิ <br>เอาตรงๆ นะ นายคิดว่าฉันนิสัยเป็นยังไงเหรอ บอกหน่อย!"""
CHANGE_PERSONAL#12,"""จะว่าปากมากก็ได้นะ <br>แต่ฉันพูดตรงๆ แบบนี้ดีมั้ย? <br>น่ารักมั้ย? หรือไม่ใช่สเปก?"""
CHANGE_ASK#12,"""ต้องการอะไรนอกจากนี้รึเปล่า?<br>นายอยากให้ฉันทำตัวแบบไหนเหรอ?"""
CHANGE_OK#12,"""อ้อ เข้าใจแล้ว ได้เลย!<br>ฉันจะลองทำแบบนั้นดูละกัน!"""
CHANGE_HOLD#12,"""อ๋อ เป็นแบบนี้ดีแล้วงั้นเหรอ<br>งั้นก็ขอเป็นอย่างเดิมต่อไปนะ <br>ฝากตัวด้วยนะ!"""
CHANGE_START#13,"""ねー、ちょっと質問なんだけど<br>正直、あたしの性格について<br>あなたの考えを、聞かせて！"""
CHANGE_PERSONAL#13,"""無邪気って言えば聞こえは<br>いいけどさ、ぶっちゃけどうかな？<br>かわいい？\u3000好みじゃない？"""
CHANGE_ASK#13,"""何か希望とかある？<br>あなたはあたしに<br>どんな風になってほしいのかな？"""
CHANGE_OK#13,"""おー、なるほどー、了解っ！<br>じゃあ、そういう感じになってみる！"""
CHANGE_HOLD#13,"""おおっ、このままでいいと！<br>それじゃ、これからもこんな感じで<br>よろしくねっ！"""
CHANGE_START#14,"""...นี่ ถามหน่อยได้มั้ย?<br>คือว่า...นายคิดว่าฉันนิสัยเป็นยังไงเหรอ?"""
CHANGE_PERSONAL#14,"""ฉันเนี่ย ไม่ได้เรื่องเลย...<br>คือ...แม้แต่ตัวเองยังรู้สึกเลยว่าปากไม่ค่อยตรงกับใจ"""
CHANGE_ASK#14,"""เอ่อ...สรุปคือ...<br>ฉันถามว่านายอยากให้ฉันทำตัวแบบไหนไงเล่า!"""
CHANGE_OK#14,"""หืม..อย่างนี้เอง ชอบแบบนั้นงั้นเหรอ <br>เข้าใจแล้ว จะลองดูนะ"""
CHANGE_HOLD#14,"""...เอ๊ะ เป็นแบบนี้ดีแล้วเหรอ?<br>งะ...งั้นก็ช่วยไม่ได้นะ <br>ฉันจะทำตัวแบบเดิมต่อไปละกัน"""
CHANGE_START#15,"""……なあ、ちょっといいか？<br>その……お前はさ、わたしのこの<br>性格について、どう思ってる？"""
CHANGE_PERSONAL#15,"""わたしはさ、不器用というか……<br>その……自分でもちょっとだけ<br>素直じゃないなとは思ってるんだ。"""
CHANGE_ASK#15,"""ええと……つまりだな……<br>わたしに、どうなって欲しいかって<br>聞いてるんだよ！"""
CHANGE_OK#15,"""ふうん……なるほど<br>そういうのが、いいのか。<br>わかった、そうしてみる。"""
CHANGE_HOLD#15,"""……え、このままで、いいのか？<br>……し、仕方がないな。<br>じゃあこのままの感じで、いく。"""
CHANGE_START#16,"""อ๊ะ เอ่อ ขอเวลาหน่อยได้มั้ย?<br>ฉันมีเรื่องอยากจะถามนายน่ะ <br>คือว่า... เกี่ยวกับนิสัยของฉัน..."""
CHANGE_PERSONAL#16,"""คือฉันก็ห้าวๆ น่ะนะ <br>นิสัยไม่ค่อยเหมือนผู้หญิงเท่าไหร่ <br>ฉันเป็นแบบนี้...นายโอเครึเปล่า?"""
CHANGE_ASK#16,"""ขอร้องล่ะ! พูดออกมาตรงๆ เลยเถอะ!<br>จริงๆ แล้วนายอยากให้ฉันทำตัวแบบไหนงั้นเหรอ?"""
CHANGE_OK#16,"""อย่างนี้นี่เอง... <br>นายชอบแบบนั้นสินะ <br>อืม เข้าใจแล้ว ขอบใจนะ!"""
CHANGE_HOLD#16,"""ฉันเป็นอย่างนี้ดีอยู่แล้วงั้นเหรอ?<br>...หึๆ เข้าใจแล้ว <br>งั้นจะพยายามแบบนี้ต่อไปนะ!"""
CHANGE_START#17,"""あ、えっと、ちょっといい？<br>きみに聞きたいことがあるんだけど<br>その……ボクの性格について……"""
CHANGE_PERSONAL#17,"""ボクさ、ボーイッシュっていうか<br>あんまり女の子らしくないでしょ。<br>今のままで……いいのかな？"""
CHANGE_ASK#17,"""お願い！\u3000率直なところを聞かせて！<br>きみは、ボクに、どんな風に<br>なってほしいと思ってるの？"""
CHANGE_OK#17,"""なるほど……<br>そういう感じがいいんだね。<br>うん、わかった、ありがとう！"""
CHANGE_HOLD#17,"""ボクは、ボクのままがいいの？<br>……ふふっ、わかった。<br>それじゃ、このままでがんばるね！"""
