ProgressCount#0,"""$(0)/$(1)"""
MCancelReason_EnterNew_ButExist#0,"""他のプレイヤーがマッチングを開始したため実行できません。"""
MCancelReason_EnterExist_ButNotFound#0,"""マッチングの受付時間が終了しました。"""
MCancelReason_HostChanged#0,"""ホストプレイヤーがマッチングをキャンセルしました。"""
MCancelReason_MemberExit#0,"""$(0)から離脱しました。"""
MCancelReason_Exclusion#0,"""別のフィールドレースに参加中"""
MNotice_HostChanged#0,"""$(0)がホストプレイヤーになりました。"""
MNotice_RecruitToast#0,"""近くの端末で、フィールドレースの参加受付が開始されました。"""
MCourse_SAerio#0,"""南エアリオ走破（Stage.1）"""
MCourse_WAerio#0,"""西エアリオ走破（Stage.1）"""
MCourse_WRitem#0,"""西リテム走破（Stage.1）"""
MCourse_CKuvaris#0,"""中央クヴァリス走破（Stage.1）"""
MCourse_SKuvaris#0,"""南クヴァリス走破（Stage.1）"""
MCourse_CAerio#0,"""中央エアリオ板操（Stage.1）"""
MCourse_CRitem#0,"""中央リテム板操（Stage.1）"""
MCourse_WKuvaris#0,"""西クヴァリス走破（Stage.1）"""
MCourse_SRitem#0,"""南リテム走破（Stage.1）"""
MCourse_NAerio#0,"""北エアリオ板操（Stage.1）"""
MCourse_NRitem#0,"""北リテム板操（Stage.1）"""
MRetryMenu_Guide#0,"""長押しで途中離脱"""
MRetryMenu_Guide_AfterPlaying#0,"""長押しでレーシングコンソール前に戻る"""
MRetryMenu_GuideTail#0,"""＊＊<br>リトライ長押しメニュー"""
MRetryMenu_GuideRemain#0,"""受付時間：残り $(0):$(1).$(2)"""
MRetryMenu_Title#0,"""フィールドレースからの途中離脱"""
MRetryMenu_Message#0,"""参加しているフィールドレースから離脱しますか？<br><br>途中で離脱すると<yellow>“自分だけ”<c>が<br>レーシングコンソール前に戻ります。"""
MRetryMenu_Title_AfterPlaying#0,"""レーシングコンソール前への移動"""
MRetryMenu_Message_AfterPlaying#0,"""$(0)の<br>レーシングコンソール前に戻りますか？"""
MRetryMenu_Yes#0,"""はい"""
MRetryMenu_No#0,"""いいえ"""
MCourse_StiaB#0,"""ドライゼンプラント板操（Stage.1）"""
MCourse_StiaA#0,"""スティア外縁部走破（Stage.1）"""
MCourse_HLake#0,"""ハルフィリア湖板操（Stage.1）"""
MCourse_StiaC#0,"""メディオラ外郭第２区板操（Stage.1）"""
ExRewardToast_050#0,"""/atime5 エネミーHP：残り50%<br><yellow>報酬グレードアップ<c>"""
ExRewardToast_100#0,"""/atime5 エネミーHP：残り100%<br><yellow>報酬グレードアップ<c>"""
ExRewardToast_090#0,"""/atime5 エネミーHP：残り90%<br><yellow>報酬グレードアップ<c>"""
ExRewardToast_080#0,"""/atime5 エネミーHP：残り80%<br><yellow>報酬グレードアップ<c>"""
ExRewardToast_070#0,"""/atime5 エネミーHP：残り70%<br><yellow>報酬グレードアップ<c>"""
ExRewardToast_060#0,"""/atime5 エネミーHP：残り60%<br><yellow>報酬グレードアップ<c>"""
ExRewardToast_040#0,"""/atime5 エネミーHP：残り40%<br><yellow>報酬グレードアップ<c>"""
ExRewardToast_030#0,"""/atime5 エネミーHP：残り30%<br><yellow>報酬グレードアップ<c>"""
ExRewardToast_020#0,"""/atime5 エネミーHP：残り20%<br><yellow>報酬グレードアップ<c>"""
ExRewardToast_010#0,"""/atime5 エネミーHP：残り10%<br><yellow>報酬グレードアップ<c>"""
ExRewardToast_000#0,"""エネミー撃破！<br><yellow>報酬グレードアップ<c>"""
Toast_AddTimeLimitSummary#0,"""対象エネミーの撃破により、制限時間が<yellow>$(0)秒<c>増加しました。"""
ExRewardToast_075#0,"""/atime5 エネミーHP：残り75%<br><yellow>報酬グレードアップ<c>"""
ExRewardToast_025#0,"""/atime5 エネミーHP：残り25%<br><yellow>報酬グレードアップ<c>"""
ExRewardTitle#0,"""累計ダメージに応じて報酬グレードアップ"""
TrialSuccessByTimeOver#0,"""エネミー撤退！"""
TrialSuccessByannihilation#0,"""エネミー殲滅完了！"""
