Title_Partyselect#0,"""パーティー選択"""
Title_Subjugationtarget#0,"""討伐目標エネミー"""
Title_Recommendeditems#0,"""おすすめドロップアイテム"""
Title_Subjugationtarget_Buff#0,"""討伐目標エネミー/エネミー能力強化"""
Title_BuffList#0,"""プレイヤー能力強化"""
Title_BuffList_Etc#0,"""<pict 4space>"""
Title_Quest_Tendency#0,"""クエスト構成"""
Title_Quest_Tendency_Area#0,"""出現率の高いリージョン"""
Title_Quest_Tendency_Enemy#0,"""出現率の高いエネミー"""
Title_Quest_Tendency_Etc#0,"""その他"""
Title_Bestscore_GrowUp#0,"""個人記録"""
Title_Bestscore_GrowUp_Score#0,"""ベストスコア"""
Bestscore_GrowUp_Score#0,"""$(0)Pt"""
Title_Bestscore_GrowUp_Buff#0,"""能力強化最大獲得数"""
Bestscore_GrowUp_Buff#0,"""$(0)個"""
Reward_Exp#0,"""$(0)<pict 4space><pict exp_boost_icon>"""
Reward_Meseta#0,"""$(0)<pict 4space><pict reb_meseta>"""
Reward_SeasonPoint#0,"""$(0)<pict 4space><pict event_point>"""
Reward_quantity#0,"""×$(0)"""
Reward_quantity2#0,"""+$(0)"""
Reward_Skillpt#0,"""スキルポイント"""
Reward_GenesisPoint#0,"""$(0)<pict 4space><pict myspace_point>"""
Reward_N-TeamPoint#0,"""$(0)<pict 4space><pict reb_team>"""
Bestscore_time#0,"""$(1):$(2).$(0)"""
Bestscore_score#0,"""$(0)Pt"""
Bestscore_score_bonus1#0,"""<yellow>スコア倍率<c>"""
Bestscore_score_bonus2#0,"""<yellow>+$(0)%<c>"""
Bestscore_score_bonus2_Minus#0,"""<yellow>－$(0)%<c>"""
Bestscore_score_bonus3#0,"""<yellow>クリア難度倍率：<c>"""
Bestscore_score_bonus4#0,"""<yellow>$(0)<c>"""
Bestscore_score_bonus4_Minus#0,"""<yellow>$(0)%<c>"""
Trigger_Reward#0,"""<yellow>報酬受け取り可能<c>"""
Trigger_NoReward#0,"""<vivid_red>報酬受取済み 次回報酬：【日時】<c>"""
HighLevelQuestName#0,"""<yellow>緊急クエスト<c>"""
CreateNewRoom#0,"""クエストを受注する"""
InRoom#0,"""クエスト中のパーティーに参加"""
OrdersOption#0,"""受注設定を変更する"""
Exit_QuestCounter#0,"""クエスト受注メニューを出る"""
SelectPartyList#0,"""現在のブロックのパーティーへ参加"""
SearchPartyList#0,"""クエストを検索して参加"""
QuestSelectTitle#0,"""クエスト選択"""
EventQuestName#0,"""期間限定クエスト"""
BonusQuestName#0,"""ボーナスクエスト"""
TriggerQuestName#0,"""トリガークエスト"""
StoryQuestName#0,"""ストーリー回想"""
Title_Quest_Order2#0,"""解放条件"""
Must_Quest_Recommended#0,"""必要戦闘力"""
PtMakingTitle#0,"""パーティー情報入力メニュー"""
AdmissionOption#0,"""参加設定"""
AdmissionWelcome#0,"""参加歓迎"""
PartnerCardOn#0,"""フレンド限定"""
GuildMemberOn#0,"""チームメンバー限定"""
PasswordOption#0,"""パスワード設定"""
PasswordWrite#0,"""参加パスワード"""
PTPledge1#0,"""パーティーへの参加のみ制限"""
PTPledge2#0,"""他パーティーとのマルチプレイも制限"""
OrdersOptionBlock1#0,"""クエストを受注する"""
OrdersOptionBlock2#0,"""現在のブロックで受注する"""
StoryInfo#0,"""ストーリー情報"""
NoMust_Quest_Recommended#0,"""---"""
StoryQuestGuide#0,"""一度クリアしたメインクエストをもう一度遊ぶことが出来ます。"""
QuestTypeSelectTitle#0,"""クエストタイプ選択"""
QuestSelectCheckTitle#0,"""クエスト受注確認"""
QuestSelectCheck#0,"""このクエストを受注してもよろしいですか？"""
BattlePointNum#0,"""$(0)～"""
Title_Quest_Reward_3#0,"""クエスト報酬"""
AttentionNewRoom#0,"""クエストのマッチング中に、<br>別のクエストは受注できません。<br><br>現在のマッチングをキャンセルしても、<br>よろしいですか？"""
OrdersOptionBlock3#0,"""マッチングを開始する"""
NoMust_Quest_Conditions#0,"""なし"""
Title_TargetEnemy_Unknown#0,"""？？？"""
BattlePoint_Limit#0,"""戦闘力$(0)以上"""
level#0,"""Lv."""
Title_Quest_Clear_Failure_dot#0,"""クリア条件：$(0)<br>失敗条件：$(1)"""
BattlePoint_Limit_Red#0,"""<yellow>戦闘力$(0)以上<c>"""
Level_Limit#0,"""メインクラス Lv.$(0)以上"""
Level_Limit_Red#0,"""<yellow>メインクラス Lv.$(0)以上<c>"""
Must_Parem_Text_Red#0,"""<yellow>推奨能力値以上<c>"""
Must_Parem_Text#0,"""推奨能力値以上"""
Btn_Quest_Order_Leader#0,"""クエストを開始する"""
Btn_Quest_Order_Member#0,"""ひとりでクエストを開始する"""
Btn_Quest_Order_Password#0,"""マッチング設定をして開始する"""
Btn_Quest_Party_Setting#0,"""メンバーを募集して開始する"""
EnemyLvTitle#0,"""出現エネミーLv."""
EnemyLv#0,"""Lv.$(0)"""
EnemyLvWarning#0,"""<yellow>Lv.$(0)<c>"""
EnemyLvATTENTIONTitle#0,"""クエスト受注の確認"""
EnemyLvATTENTION#0,"""クエスト中に出現するエネミーよりも、<br>レベルが５以上低いメンバーがいます。<br><br>クエストを開始してもよろしいですか？<br><br><yellow>※エネミーレベルよりも<br>\u3000プレイヤーレベルが５以上低い場合は、<br>\u3000与えるダメージが大きく減少します。<c>"""
EnemyLvATTENTION2#0,"""クエスト中に出現するエネミーに対して、<br>与えるダメージが減少するメンバーがいます。<br>クエストを開始してもよろしいですか？<br><br><yellow>※エネミーレベルよりも、<br>\u3000プレイヤーのレベルが$(0)以上低く、<br>\u3000かつ戦闘力が一定値以下の場合、<br>\u3000与えるダメージが大きく減少します。<c>"""
BoostInfo_Title#0,"""対象クエスト中の効果"""
CampaignBoost_Experience#0,"""<pict exp_icon><pict 4space>獲得経験値＋$(0)％"""
CampaignBoost_MesetaDrop#0,"""<pict meseta_icon2><pict 4space>獲得メセタ＋$(0)％"""
CampaignBoost_RareDrop#0,"""<pict rare_drop_icon><pict 4space>レアドロップ倍率＋$(0)％"""
CampaignBoost_TriggerQuantity#0,"""<pict boost_campaign><pict 4space>バトルトリガー必要数変動"""
CampaignBoost_Stackitemdropup#0,"""<pict boost_campaign><pict 4space>特定アイテムのドロップ数増加"""
CampaignBoost_SeasonalPoint#0,"""<pict eventpoint_boost><pict 4space>獲得シーズナルポイント＋$(0)%"""
CampaignBoost_GenesisPointRate#0,"""<pict myspace_point_b><pict 4space>獲得ジェネシスポイント＋$(0)%"""
CampaignBoost_PresetSkill#0,"""<pict preset_boost><pict 4space>プリセット能力付与倍率＋$(0)％"""
Quest_Conditions_Possible#0,"""$(0)"""
BoostInfo_SubTitleEnemy#0,"""<pict boost_campaign><pict 4space>エネミーの追加効果"""
BoostInfo_SubTitlePlayer#0,"""<pict boost_campaign><pict 4space>プレイヤーの追加効果"""
BoostInfo_SubTitleItemDrop#0,"""<pict boost_camp_drop><pict 4space>アイテムの追加ドロップ"""
BoostInfo_SubTitleQuest#0,"""キャンペーンブースト"""
BoostInfo_SubTitleSection#0,"""セクション内の追加効果"""
BoostInfo_SubTitleArksRecordBoost#0,"""アークスレコードブースト"""
Quest_Conditions_Impossible#0,"""<yellow>$(0)<c>"""
Quest_Conditions_None#0,"""---"""
Quest_Conditions_Param#0,"""推奨能力値以上"""
Quest_Conditions_Regions#0,"""当該リージョン限定"""
Quest_Conditions_Sequence#0,"""メインタスクの進行"""
Submission_Trinites#0,"""フロアごとに異なる"""
Quest_Level_Player#0,"""Lv.$(0)以上"""
HistoryQuest_Noreward#0,"""ストーリークエストでは、<br>報酬やドロップアイテムなどを獲得できません。"""
WeeklyRanking_Open#0,"""<yellow>アークスレコード開催中！\u3000終了まで$(0)<c>"""
WeeklyRanking_Close_Soon#0,"""<yellow>アークスレコード開催中！\u3000まもなく終了します。<c>"""
WeeklyRanking_EndTime#0,"""あと$(0)"""
WeeklyRanking_EndTime_Soon#0,"""まもなく終了します。"""
WeeklyRanking_Notice#0,"""<yellow>アークスレコード開催予定！<c>"""
WeeklyRanking_Close#0,"""直近のアークスレコード開催予定はありません"""
WeeklyRanking_Message_Open#0,"""参加するとこの報酬を獲得できます。<br>※詳しくは“アークスレコード”をご確認ください。"""
WeeklyRanking_Message_Notice#0,"""あと$(0)後に開催されます。<br>※詳しくは“アークスレコード”をご確認ください。"""
WeeklyRanking_Message_Notice_Soon#0,"""まもなく開催されます。<br>※詳しくは“アークスレコード”をご確認ください。"""
SeasonQuest_Detail_Description#0,"""以下の目標達成により、クエストポイントにボーナスが付与されます。<br>また、クリア時のプレイヤー順位に応じて、追加報酬が獲得できます。"""
SeasonQuest_Detail_Label1#0,"""クエストクリアランキング報酬"""
SeasonQuest_Detail_Label2#0,"""クエストポイントボーナス"""
SeasonQuest_Rank_1_3#0,"""$(0)位"""
SeasonQuest_Rank_4#0,"""4位以下"""
SeasonQuest_SeasonalPoint#0,"""+$(0)"""
SeasonQuest_AddScore#0,"""+$(0)Pt"""
WeeklyRanking_Close_Rank_Notcovered#0,"""このクエストランクは対象外です。<br>※詳しくは“アークスレコード”をご確認ください。"""
None#0,"""不明なエラーです。<br><br>[No.3000]"""
NotReceptQuestPartyGuest#0,"""あなたはパーティーリーダーではないため<br>クエストを受注できません。"""
NotReceptQuestAlreadyQuest#0,"""あなたはパーティーリーダーではないため<br>クエストを受注できません。<br>（すでにクエストが始まっています。<br>出発ゲートに向かうことをおすすめします）"""
NotFoundQuestSearch#0,"""条件に当てはまるクエストが<br>見つかりませんでした。"""
NotFoundRoomSearch#0,"""条件に当てはまるルームが<br>見つかりませんでした。"""
NotFoundPartyList#0,"""パーティーが見つかりませんでした。"""
NotFoundQuestType#0,"""受注可能なクエストがありません。"""
NotFoundQuestList#0,"""受注可能なクエストがありません。"""
CantStartQuestNotFoundRoom#0,"""対象ルームが見つからなかったため<br>クエストを開始できません。"""
CantStartQuestCapacityOverRoom#0,"""ルームの人数オーバーのため参加できません。"""
CantStartQuestCapacityOverRoom2#0,"""\u3000ルームの人数オーバーのため参加できません。<br>\u3000人数にはルームに参加予定のプレイヤーも含んでおり、<br>\u3000参加人数に反映されていない場合があります。<br>\u3000<br>\u3000<yellow>※参加予定の有効期限は1分ですので、<br>\u3000\u3000時間を置いて再度お試しいただくことで、<br>\u3000\u3000参加可能となる場合もあります。<c>"""
CantStartQuestNewRaidQuest#0,"""パーティーメンバーが<br>参加条件であるエネミーを倒していないため、<br>クエストを受注できません。"""
CantStartQuestNotNotFoundParty#0,"""対象パーティーが見つからなかったため、<br>クエストを開始できません。"""
CantStartQuestCapacityOverParty#0,"""パーティーの人数オーバーのため参加できません。"""
CantStartQuestDifferencePasswordParty#0,"""パスワードが間違っているため参加できません。"""
CantStartQuestAlreadyFinished#0,"""このパーティーは<br>すでにクエストを終了しているため、<br>参加できません。"""
CautionNotSoloParty#0,"""現在パーティーを組んでいるため<br>他のブロックに移動することはできません。"""
CantStartQuestDifferenceCondition#0,"""このパーティーの参加条件を満たしていないため、<br>参加できません。"""
CantStartQuestDifferenceConditionLine1#0,"""以下の理由により、パーティーへの参加、<br>またはクエストの受注ができません。<br><br>・$(0)"""
CantStartQuestDifferenceConditionLine2#0,"""以下の理由により、パーティーへの参加、<br>またはクエストの受注ができません。<br><br>・$(0)<br>・$(1)"""
CantStartQuestDifferenceConditionLine3#0,"""以下の理由により、パーティーへの参加、<br>またはクエストの受注ができません。<br><br>・$(0)<br>・$(1)<br>・$(2)"""
CantStartQuestDifferenceConditionLine4#0,"""以下の理由により、パーティーへの参加、<br>またはクエストの受注ができません。<br><br>・$(0)<br>・$(1)<br>・$(2)<br>・$(3)"""
CantStartQuestDifferenceConditionLine5#0,"""以下の理由により、パーティーへの参加、<br>またはクエストの受注ができません。<br><br>・$(0)<br>・$(1)<br>・$(2)<br>・$(3)<br>・$(4)"""
CantStartQuestDifferenceConditionLine6#0,"""以下の理由により、パーティーへの参加、<br>またはクエストの受注ができません。<br><br>・$(0)<br>・$(1)<br>・$(2)<br>・$(3)<br>・$(4)<br>・$(5)"""
CantStartQuestDifferenceConditionLine7#0,"""以下の理由により、パーティーへの参加、<br>またはクエストの受注ができません。<br><br>・$(0)<br>・$(1)<br>・$(2)<br>・$(3)<br>・$(4)<br>・$(5)<br>・$(6)"""
CantStartQuestDifferenceConditionLine8#0,"""以下の理由により、パーティーへの参加、<br>またはクエストの受注ができません。<br><br>・$(0)<br>・$(1)<br>・$(2)<br>・$(3)<br>・$(4)<br>・$(5)<br>・$(6)<br>・$(7)"""
QuestLevel#0,"""<pict mainclass_icon>Lv.$(0)～"""
PartyLevel#0,"""パーティー参加条件レベル/Lv.$(1)～$(0)"""
FriendOnly#0,"""フレンド限定"""
GuildOnly#0,"""チームメンバー限定"""
PasswordNG#0,"""パスワードが間違っている"""
BurstIntoNG#0,"""クエストにより途中参加が制限されている"""
ReasonEventFlag#0,"""特殊な受注条件"""
RareAreaNG#0,"""パーティーが特別なエリアにいる"""
CantStartQuestTimeLimitOver#0,"""クエストの受注可能期間が過ぎています。"""
CapacityOverParty#0,"""パーティーの人数制限"""
PlatformError#0,"""プラットフォーム制限"""
RaidQuestDisable#0,"""参加条件であるエネミーを倒していない"""
NotFoundPartyListtInBasnet#0,"""パーティーが見つかりませんでした。"""
CantStartQuestClearCountLimit#0,"""パーティーメンバーが<br>クエストのクリア回数制限を超えているため、<br>参加できません。"""
QuestSubLevel#0,"""<pict subclass_icon>Lv.$(0)～"""
ClearCountLimit#0,"""クエストのクリア回数制限を超えている"""
CantStartQuestIgnoreQuest#0,"""このクエストは現在、受注できません。 <br>詳しくはプレイヤーズサイトをご確認ください。"""
IgnoreQuest#0,"""このクエストは現在、受注できません。 <br>詳しくはプレイヤーズサイトをご確認ください。"""
QuestDropPenalty#0,"""「破棄ペナルティー」を受けているメンバーがいます。"""
CantStartQuestDropPenalty#0,"""以下の理由により、パーティーへの参加、<br>またはクエストの受注ができません。<br><br>・「破棄ペナルティー」を受けているメンバーがいます。"""
CantStartProhibitQuestDropTitleCnt#0,"""クエスト受注メニュー端末"""
CantStartProhibitQuestDropTitleTlp#0,"""テレポーター"""
CantStartProhibitQuestDropForStart#0,"""現在使用することができません。"""
TitleConfirmForQuest#0,"""クエスト受注確認"""
CautionNon#0,"""不明なエラー"""
CautionQuestLimitTimeOver#0,"""クエストの受注可能期間が過ぎています。"""
CautionQuestLevelNG#0,"""クエスト受注条件を満たしていません。"""
CautionQuestLevelNG2#0,"""パーティーメンバー全員が<br>以下の条件を満たしていないため<br>このクエストは受注できません。<br><br>・Lv.$(0)～"""
CautionQuestPartyMemberMax#0,"""パーティーメンバーが$(0)人以上いるため<br>このクエストは受注できません。"""
CautionQuestPartyMemberJoinMax#0,"""参加可能人数が$(0)人以内の<br>クエストを受注中のため<br>このパーティーに参加できません。"""
CautionQuestPlatform#0,"""パーティーメンバー全員が<br>以下の受注条件を満たしていないため<br>このクエストは受注できません。<br><br>・$(0)"""
CautionQuestRaidQuest#0,"""クエスト条件を満たしていないため、<br>受注できません。"""
CautionMultiConditionLine1#0,"""パーティーメンバー全員が<br>以下の条件を満たしていないため<br>このクエストは受注できません。<br><br>・$(0)"""
CautionMultiConditionLine2#0,"""パーティーメンバー全員が<br>以下の条件を満たしていないため<br>このクエストは受注できません。<br><br>・$(0)<br>・$(1)"""
CautionMultiConditionLine3#0,"""パーティーメンバー全員が<br>以下の条件を満たしていないため<br>このクエストは受注できません。<br><br>・$(0)<br>・$(1)<br>・$(2)"""
CautionMultiConditionLine4#0,"""パーティーメンバー全員が<br>以下の条件を満たしていないため<br>このクエストは受注できません。<br><br>・$(0)<br>・$(1)<br>・$(2)<br>・$(3)"""
CautionMultiConditionLine5#0,"""パーティーメンバー全員が<br>以下の条件を満たしていないため<br>このクエストは受注できません。<br><br>・$(0)<br>・$(1)<br>・$(2)<br>・$(3)<br>・$(4)"""
CautionQuestClearCountLimit#0,"""クエストのクリア回数制限を超えているため、<br>このクエストは受注できません。"""
CautionNothingQuest#0,"""このクエストタイプのクエストは現在１つもありません。"""
NotFoundQuestRecord#0,"""クエストレコードが存在しません。"""
CantStartQuestNewNetCafeQuest#0,"""パーティーメンバーが<br>ネットカフェプレミアムではないため、<br>クエストを受注できません。"""
CantStartQuestOutExtraQuest#0,"""このクエストのキャンペーン対象期間は終了しました。<br>クエストを再受注してください。"""
CantStartQuestInExtraQuest#0,"""このクエストがキャンペーン対象期間になりました。<br>クエストを再受注してください。"""
CantStartCapacityOverInTraning#0,"""練習クエストを開始できませんでした。<br>移動先のブロックが混雑している場合は<br>しばらく時間をあけてからお試しください。<br><br>※練習クエストは所属シップの<br>\u3000\u3000チャレンジブロックで行われます。"""
Window_Main_Title#0,"""チャレンジ設定"""
Window_List_Title#0,"""チャレンジ項目リスト"""
Challenge_Buff_Bonus1#0,"""<c 76d1ff>スコア倍率<c>"""
Challenge_Buff_Bonus2#0,"""<yellow>＋$(0)%<c>"""
Challenge_Buff_Bonus2_Minus#0,"""<yellow>－$(0)%<c>"""
Challenge_Buff_Bonus3#0,"""<c 76d1ff>クリア難度倍率：<c>"""
Challenge_Buff_Bonus4#0,"""<yellow>$(0)％<c>"""
Challenge_Buff_Bonus4_Minus#0,"""<yellow>$(0)％<c>"""
Challenge_Buff_TotalBonus1#0,"""<yellow>スコア倍率<c>"""
Challenge_Buff_TotalBonus2#0,"""<yellow>＋$(0)%<c>"""
Challenge_Buff_TotalBonus2_Minus#0,"""<yellow>－$(0)%<c>"""
Challenge_Buff_TotalBonus3#0,"""<yellow>合計クリア難度倍率：<c>"""
Challenge_Buff_TotalBonus4#0,"""<yellow>$(0)％<c>"""
Challenge_Buff_TotalBonus4_Minus#0,"""<yellow>$(0)％<c>"""
Challenge_Buff_Attainable_Rank1#0,"""<yellow>到達可能クエストクリアランク：<c>"""
Challenge_Buff_Attainable_Rank2#0,"""<yellow>$(0)<c>"""
Challenge_Buff_Attainable_Rank_S#0,"""Ｓ"""
Challenge_Buff_Attainable_Rank_A#0,"""Ａ"""
Challenge_Buff_Attainable_Rank_B#0,"""Ｂ"""
Challenge_Buff_Attainable_Rank_C#0,"""Ｃ"""
Window_Main_Button_Add1#0,"""チャレンジを追加する"""
Window_Main_Button_Add2#0,"""（あと$(0)枠追加可能）"""
Window_Main_Button_Clear#0,"""設定を初期化する"""
Window_Main_Button_Load#0,"""以前の設定を読み込む"""
Dialog_Reset_Title#0,"""設定のリセット確認"""
Dialog_Reset_Message#0,"""編集中のチャレンジ設定をリセットします。<br>よろしいですか？"""
Window_Load_Menu1#0,"""前回の設定を読み込む"""
Window_Load_Menu2#0,"""ハイスコア(ソロ)達成時の設定を読み込む"""
Window_Load_Menu3#0,"""ハイスコア(パーティー)達成時の設定を読み込む"""
Dialog_Load_Title#0,"""設定の読み込み確認"""
Dialog_Load_Message#0,"""編集中の設定が上書きされます。<br>よろしいですか？"""
Challenge_Buff_Error1#0,"""類似のチャレンジ項目は重複して選択できません。"""
Challenge_Buff_Error2#0,"""効果が合計で$(0)個を超えるため、選択できません。"""
Window_Guide_Message#0,"""エネミーやプレイヤーの<br>能力値を変動させることで、<br>クエストの難度を変更できます。<br><br><yellow>難度を上げるほど、<br>スコアにかかる倍率も上昇します。<br><br>スコアはクエストクリア時の<br>ランクに影響し、報酬が変動します。<c>"""
Window_Guide_Message2#0,"""エネミーやプレイヤーの<br>能力値を変動させることで、<br>クエストの難度を変更できます。"""
Window_List_Tab_Popup_All#0,"""すべてのチャレンジ"""
Window_List_Tab_Popup_1#0,"""エネミーHP"""
Window_List_Tab_Popup_2#0,"""エネミー攻撃力"""
Window_List_Tab_Popup_3#0,"""プレイヤー能力"""
Window_List_Tab_Popup_4#0,"""その他"""
Window_List_Tab_Popup_5#0,"""プレイヤー能力アップ"""
Window_Titletelop#1,"""クエストカウンター"""
Window_TwolineGuide#1,"""受注したいクエストを選んでください。"""
Window_Main_Title#1,"""クエストメニュー"""
Exit_NpcCounter#0,"""クエストカウンターを出る"""
NpcCounter_Category1#0,"""期間限定クエスト"""
NpcCounter_Category2#0,"""アークスヒストリー：メインストーリー"""
NpcCounter_Category3#0,"""常設クエスト"""
NpcCounter_Category4#0,"""アークスヒストリー：その他"""
NpcCounter_Category_0#0,"""期間限定クエスト"""
NpcCounter_Category_1#0,"""トリガークエスト"""
NpcCounter_Category_2#0,"""アークスヒストリー：メインストーリー"""
NpcCounter_Category_3#0,"""アークスヒストリー：その他"""
NpcCounter_Category_4#0,"""デュエルクエスト"""
NpcCounter_Category_5#0,"""ルシエル探索"""
NpcCounter_Error1#0,"""受注可能なクエストはありません。"""
Arkshistory_TwolineGuide#0,"""クリアしたストーリークエストを再度プレイすることができます。"""
Window_QuestSelect_Title#0,"""クエスト選択"""
Window_QuestSelect_Chapter#0,"""$(0)章"""
Window_QuestSelect_FirstChapter#0,"""序章"""
Window_QuestSelect_FilterMenu#0,"""$(1).$(0)"""
Filter_Category_All#0,"""すべて表示"""
Filter_Category_1#0,"""ストーリークエスト"""
Filter_Category_2#0,"""サイドストーリー"""
Filter_Category_3#0,"""シーン再生"""
Filter_Category_4#0,"""シーズナルクエスト"""
Filter_Category_5#0,"""期間限定トリガークエスト"""
Filter_Category_6#0,"""トリガークエスト"""
Filter_Category_7#0,"""緊急クエスト"""
Filter_Category_8#0,"""トレイニア"""
Filter_Category_9#0,"""通常クエスト"""
Filter_Trigger_Category_Prize#0,"""バトルディア：イエロー"""
Filter_Trigger_Category_Colosseo#0,"""バトルディア：パープル"""
Filter_Trigger_Category_Region_111#0,"""想定演習：エアリオ"""
Filter_Trigger_Category_Region_112#0,"""想定演習：リテム"""
Filter_Trigger_Category_Region_113#0,"""想定演習：クヴァリス"""
Filter_Trigger_Category_Region_114#0,"""想定演習：スティア"""
Dialog_Play_Scene_Title#0,"""シーン再生確認"""
Dialog_Play_Scene_Text#0,"""シーンを再生します。<br>よろしいですか？"""
Category_AddText#0,"""ショートエピソード"""
Category_Misc#0,"""その他"""
NpcCounter_BoostOccurrence#0,"""ブースト効果あり"""
