luck1#0,"""大運"""
result6#2,"""{red}〇友情\u3000[No.６-C]<br>{def}窮地の仲間は救うべし。<br>さすれば絆は深まり、運気も上がる。"""
result7#2,"""{red}〇冒険\u3000[No.７-C]<br>{def}どこでもさわりなし。<br>己を信じて冒険に進むべし。"""
result8#2,"""{red}〇待人\u3000[No.８-C]<br>{def}来るが遅く、音信はなし。<br>信じて待て、急いてはならぬ。"""
result9#2,"""{red}〇戦闘 [No.９-C]<br>{def}勝利は得られるが苦労する。<br>慎重に進むと吉。"""
result10#2,"""{red}〇金運 [No.１０-C]<br>{def}メセタ得られど少量なり。<br>地道に集めるが吉。"""
result11#2,"""{red}〇商売 [No.１１-C]<br>{def}他者の動きに惑わされると損をする。<br>自己の損得を予め算定しておくように。"""
result12#2,"""{red}〇行先 [No.１２-C]<br>{def}行き先にさわりなし。<br>己を信じて進んでよし。"""
result13#2,"""{red}〇研究 [No.１３-C]<br>{def}雑念が多く、努力は実りにくい。<br>結果にとらわれず、前向きに。"""
result14#2,"""{red}〇クラフト [No.１４-C]<br>{def}失敗せずとも安定しづらい。<br>心あせらず辛抱づよく続けるが吉。"""
result15#2,"""{red}〇技芸 [No.１５-C]<br>{def}コンボが華麗に決まる兆しあり。<br>しかし調子に乗るべからず。"""
result1#3,"""{red}〇願望\u3000[No.１-D]<br>{def}叶うまでの道のり遠し。<br>辛苦に耐えれば前進あり。"""
result2#3,"""{red}〇健康\u3000[No.２-D]<br>{def}準備を怠ることなかれ。<br>さすれば万全となり憂いなし。"""
result3#3,"""{red}〇服装\u3000[No.３-D]<br>{def}新たな服を増やすのもあり。<br>買って満足せぬよう留意せよ。"""
result4#3,"""{red}〇娯楽\u3000[No.４-D]<br>{def}大損せぬように注意。<br>止め時を心得、急いてはならぬ。"""
result5#3,"""{red}〇生活\u3000[No.５-D]<br>{def}心機一転、模様替えすることよし。<br>さすれば運気は上昇する。"""
result6#3,"""{red}〇友情\u3000[No.６-D]<br>{def}謙虚な姿勢を心がけ言葉を慎しむべし。<br>善行重ねれば、運気は上がる。"""
result7#3,"""{red}〇冒険\u3000[No.７-D]<br>{def}己で決めると見誤る可能性高し。<br>相談し進めるが吉。"""
result8#3,"""{red}〇待人\u3000[No.８-D]<br>{def}来たらず、音信もなし。<br>待たずに己が手で探すがよし。"""
result9#3,"""{red}〇戦闘 [No.９-D]<br>{def}最後まで気を抜くべからず。<br>功をあせらず慎重に。"""
result10#3,"""{red}〇金運 [No.１０-D]<br>{def}運気は低く、メセタ集まりづらし。<br>探すのもまた、苦労する。"""
result11#3,"""{red}〇商売 [No.１１-D]<br>{def}礼儀を重んじ、欲を捨てねば凶となる。<br>思いがけぬ損に注意。"""
result12#3,"""{red}〇行先 [No.１２-D]<br>{def}いずれに出ても、不吉な兆しあり。<br>油断せず注意を怠るな。"""
result13#3,"""{red}〇研究 [No.１３-D]<br>{def}結果が芳しくなくても落ち込まず<br>心を安らかに持て。"""
result14#3,"""{red}〇クラフト [No.１４-D]<br>{def}材料の残数に注意。<br>クラフトを行う前によく確認せよ。"""
result15#3,"""{red}〇技芸 [No.１５-D]<br>{def}ＰＡやテクニックの間合いに注意。<br>あわてれば失敗する兆しあり。"""
FullSize_Help#0,"""<c f0df60>運をためす事ができる不思議な祠です。<c>"""
Child_Menu1#0,"""運をためす"""
Child_Menu2#0,"""戻る"""
