text00#0,"""バトルアリーナ管理官、ラベルナだ。<br>質問は手短に頼む。"""
text0004#0,"""【VRアリーナ（東京）】<br><br>惑星地球の東京エリアを模したマップで<br>上層と下層に分かれた立体的な地形構造と<br>至るところに存在する障害物が特色です。<br><br>上層では激しい遠距離攻撃が飛びかい<br>下層では小規模な遭遇戦がおこなわれます。<br><br>見通しが非常に悪く、戦略を把握しづらいため<br>個人の判断力とプレイヤースキルが<br>多く求められるマップです。"""
text00#11,"""『武器の詳細』について"""
text0001#4,"""エンブレム争奪戦では<br>下記の武器のいずれかを使用して<br>戦闘訓練をおこないます。<br><c 00b0f0>\u3000・ソード<br>\u3000・ライフル<br>\u3000・ロッド<c><br><br>※戦闘中、一定時間の経過でHPが回復します。"""
text0002#4,"""【ソード】<br>高いHPと攻撃力が特徴の<br>近接戦闘に特化した武器です。<br><br>下記のPAのいずれかを使用できます。<br><c 00b0f0>\u3000・ライジングエッジ<c><br>\u3000\u3000\u3000前方を斬り上げて攻撃します。<br>\u3000\u3000\u3000高威力ですが横方向の攻撃範囲は<br>\u3000\u3000\u3000狭くなっています。<br><c 00b0f0>\u3000・ノヴァストライク<c><br>\u3000\u3000\u3000周囲に対して回転斬撃を行います。<br>\u3000\u3000\u3000やや威力は劣りますが<br>\u3000\u3000\u3000隙の少ない攻撃を繰り出します。"""
text0003#3,"""【ライフル】<br>扱い易い射程範囲と制圧力の高さが特徴の<br>中距離戦闘に特化した武器です。<br><br>下記のPAのいずれかを使用できます。<br><c 00b0f0>\u3000・ワンポイント<c><br>\u3000\u3000\u3000連続射撃を行います。<br>\u3000\u3000\u3000扱い易い性能をもっていますが<br>\u3000\u3000\u3000威力や射程は他PAなどに劣ります。<br><c 00b0f0>\u3000・ピアッシングシェル<c><br>\u3000\u3000\u3000一点集中の射撃を行います。<br>\u3000\u3000\u3000命中した敵にインジュリーの状態異常を<br>\u3000\u3000\u3000与えますが、命中率は高くありません。"""
text0004#1,"""【ロッド】<br>長い射程とトリッキーさが特徴的な<br>遠距離戦闘に特化した武器です。<br><br>下記のテクニックのいずれかを使用できます。<br><c 00b0f0>\u3000・フォイエ<c><br>\u3000\u3000\u3000炎球を射出します。軌道は単調ですが<br>\u3000\u3000\u3000非常に長い射程をほこります。<br><c 00b0f0>\u3000・ゾンデ<c><br>\u3000\u3000\u3000上空に落雷を発生させます。<br>\u3000\u3000\u3000トリッキーな攻撃で敵を翻弄します。<br><c 00b0f0>\u3000・メギド<c><br>\u3000\u3000\u3000追尾弾で攻撃します。高い追尾性能が<br>\u3000\u3000\u3000特徴ですが、攻撃速度は遅めです。"""
text00#12,"""『共通シップ』について"""
text0001#5,"""『共通シップ』について説明します。<br><br>共通シップは各シップの垣根を越えて<br>交流することが出来るシップとなります。<br>このシップ内に限り、別シップのプレイヤーと<br>チャレンジクエストやバトルアリーナを<br>プレイする事が可能です。<br><br>テレポーターから<br>「共通シップのチャレンジロビーへ移動」か<br>「共通シップのバトルロビーへ移動」を<br>選択することでそれぞれのロビーに<br>移動が可能です。"""
text00#13,"""『ユニオン』について"""
text0001#6,"""マッチングしたプレイヤーは<br><c ffff00>青か赤のいずれかのユニオンに<br>グループ分けされます。<c><br>その際、以下のような変更が発生します。<br><br>\u3000<c ffff00>・味方ユニオンのみチャット可能<br>\u3000・敵対ユニオンのキャラクターのみ<br>\u3000\u3000専用エフェクトを表示<c><br>\u3000・敵対ユニオンのキャラクター名は<br>\u3000\u3000すべて「ARKS(番号)」に変更<br><br>※また「キャラクター頭上表示切り替え」の<br>\u3000いくつかの設定は使用できなくなり<br>\u3000「キャラクター名/HPバー」で表示されます"""
