TALK_OTHER_FAV4#0,"""與其他人的對話<br>純真無瑕<br>好感度4"""
TALK_OTHER_FAV1#12,"""與其他人的對話<br>呆瓜<br>好感度1"""
TALK_OTHER_FAV0#12,"""與其他人的對話<br>呆瓜<br>好感度0"""
TALK_OTHER_FAV4#13,"""他者との会話<br>バカ<br>好感度４"""
TALK_OTHER_FAV3#13,"""他者との会話<br>バカ<br>好感度３"""
TALK_OTHER_FAV2#13,"""他者との会話<br>バカ<br>好感度２"""
TALK_OTHER_FAV1#13,"""他者との会話<br>バカ<br>好感度１"""
TALK_OTHER_FAV0#13,"""他者との会話<br>バカ<br>好感度０"""
TALK_OTHER_FAV4#14,"""與其他人的對話<br>辛辣、毒舌<br>好感度4"""
TALK_OTHER_FAV3#14,"""與其他人的對話<br>辛辣、毒舌<br>好感度3"""
TALK_OTHER_FAV2#14,"""與其他人的對話<br>辛辣、毒舌<br>好感度2"""
TALK_OTHER_FAV1#14,"""與其他人的對話<br>辛辣、毒舌<br>好感度1"""
TALK_OTHER_FAV0#14,"""與其他人的對話<br>辛辣、毒舌<br>好感度0"""
TALK_OTHER_FAV4#15,"""他者との会話<br>辛辣・毒舌<br>好感度４"""
TALK_OTHER_FAV3#15,"""他者との会話<br>辛辣・毒舌<br>好感度３"""
TALK_OTHER_FAV2#15,"""他者との会話<br>辛辣・毒舌<br>好感度２"""
TALK_OTHER_FAV1#15,"""他者との会話<br>辛辣・毒舌<br>好感度１"""
TALK_OTHER_FAV0#15,"""他者との会話<br>辛辣・毒舌<br>好感度０"""
TALK_OTHER_FAV4#16,"""歡迎來到我主人的個人小屋。<br>請自便。"""
TALK_OTHER_FAV3#16,"""與其他人的對話<br>男性化<br>好感度3"""
TALK_OTHER_FAV2#16,"""與其他人的對話<br>男性化<br>好感度2"""
TALK_OTHER_FAV1#16,"""與其他人的對話<br>男性化<br>好感度1"""
TALK_OTHER_FAV0#16,"""與其他人的對話<br>男性化<br>好感度0"""
TALK_OTHER_FAV4#17,"""ようこそ僕のマスターのマイルームへ。<br>ごゆっくりどうぞ。"""
TALK_OTHER_FAV3#17,"""他者との会話<br>ボーイッシュ<br>好感度３"""
TALK_OTHER_FAV2#17,"""他者との会話<br>ボーイッシュ<br>好感度２"""
TALK_OTHER_FAV1#17,"""他者との会話<br>ボーイッシュ<br>好感度１"""
TALK_OTHER_FAV0#17,"""他者との会話<br>ボーイッシュ<br>好感度０"""
