extra_assign#0,"""exq_$(0)"""
exq_EnemyHpUp_90#0,"""HP提升90%"""
exq_EnemyHpUp_100#0,"""HP提升100%"""
exq_EnemyHpUp_200#0,"""HP提升200%"""
exq_EnemyHpUp_300#0,"""HP提升300%"""
exq_EnemyHpUp_400#0,"""HP提升400%"""
exq_EnemyHpUp_500#0,"""HP提升500%"""
exq_EnemyHpDown_10#0,"""HP降低10%"""
exq_EnemyHpDown_20#0,"""HP降低20%"""
exq_EnemyHpDown_30#0,"""HP降低30%"""
exq_EnemyHpDown_40#0,"""HP降低40%"""
exq_EnemyHpDown_50#0,"""HP降低50%"""
exq_EnemyHpDown_60#0,"""HP降低60%"""
exq_EnemyHpDown_70#0,"""HP降低70%"""
exq_EnemyHpDown_80#0,"""HP降低80%"""
exq_EnemyHpDown_90#0,"""HP降低90%"""
exq_ResistAll20%#0,"""全體抗性提升20%"""
exq_ResistAll20%Down#0,"""全體抗性降低20%"""
exq_ResistAll40%#0,"""全體抗性提升40%"""
exq_ResistAll40%Down#0,"""全體抗性降低40%"""
exq_ResistAll60%#0,"""全體抗性提升60%"""
exq_ResistAll60%Down#0,"""全體抗性降低60%"""
exq_ResistAll80%#0,"""全體抗性提升80%"""
exq_ResistAll80%Down#0,"""全體抗性降低80%"""
exq_ResistDarkDown#0,"""暗抗性大幅降低"""
exq_ResistDarkDown_low#0,"""暗抗性小幅降低"""
exq_ResistDarkUp#0,"""暗抗性大幅提升"""
exq_ResistDarkUp_low#0,"""暗抗性小幅提升"""
exq_ResistFirearm20%#0,"""射擊抗性提升20%"""
exq_ResistFirearm20%Down#0,"""射擊抗性降低20%"""
exq_ResistFirearm40%#0,"""射擊抗性提升40%"""
exq_ResistFirearm40%Down#0,"""射擊抗性降低40%"""
exq_ResistFirearm60%#0,"""射擊抗性提升60%"""
exq_ResistFirearm60%Down#0,"""射擊抗性降低60%"""
exq_ResistFirearm80%#0,"""射擊抗性提升80%"""
exq_ResistFirearm80%Down#0,"""射擊抗性降低80%"""
exq_ResistFireDown#0,"""炎抗性大幅降低"""
exq_ResistFireDown_low#0,"""炎抗性小幅降低"""
exq_ResistFireUp#0,"""炎抗性大幅提升"""
exq_ResistFireUp_low#0,"""炎抗性小幅提升"""
exq_ResistIceDown#0,"""冰抗性大幅降低"""
exq_ResistIceDown_low#0,"""冰抗性小幅降低"""
exq_ResistIceUp#0,"""冰抗性大幅提升"""
exq_ResistIceUp_low#0,"""冰抗性小幅提升"""
exq_ResistLightDown#0,"""光抗性大幅降低"""
exq_ResistLightDown_low#0,"""光抗性小幅降低"""
exq_ResistLightUp#0,"""光抗性大幅提升"""
exq_ResistLightUp_low#0,"""光抗性小幅提升"""
exq_ResistStrike20%#0,"""打擊抗性提升20%"""
exq_ResistStrike20%Down#0,"""打擊抗性降低20%"""
exq_ResistStrike40%#0,"""打擊抗性提升40%"""
exq_ResistStrike40%Down#0,"""打擊抗性降低40%"""
exq_ResistStrike60%#0,"""打擊抗性提升60%"""
exq_ResistStrike60%Down#0,"""打擊抗性降低60%"""
exq_ResistStrike80%#0,"""打擊抗性提升80%"""
exq_ResistStrike80%Down#0,"""打擊抗性降低80%"""
exq_ResistTechnic20%#0,"""法擊抗性提升20%"""
exq_ResistTechnic20%Down#0,"""法擊抗性降低20%"""
exq_ResistTechnic40%#0,"""法擊抗性提升40%"""
exq_ResistTechnic40%Down#0,"""法擊抗性降低40%"""
exq_ResistTechnic60%#0,"""法擊抗性提升60%"""
exq_ResistTechnic60%Down#0,"""法擊抗性降低60%"""
exq_ResistTechnic80%#0,"""法擊抗性提升80%"""
exq_ResistTechnic80%Down#0,"""法擊抗性降低80%"""
exq_ResistThunderDown#0,"""雷抗性大幅降低"""
exq_ResistThunderDown_low#0,"""雷抗性小幅降低"""
exq_ResistThunderUp#0,"""雷抗性大幅提升"""
exq_ResistThunderUp_low#0,"""雷抗性小幅提升"""
exq_ResistWindDown#0,"""風抗性大幅降低"""
exq_ResistWindDown_low#0,"""風抗性小幅降低"""
exq_ResistWindUp#0,"""風抗性大幅提升"""
exq_ResistWindUp_low#0,"""風抗性小幅提升"""
exq_PPRegenerateUp10#0,"""PP回復速度提升10%"""
exq_PPRegenerateUp20#0,"""PP回復速度提升20%"""
exq_PPRegenerateUp30#0,"""PP回復速度提升30%"""
exq_PPRegenerateUp40#0,"""PP回復速度提升40%"""
exq_PPRegenerateUp50#0,"""PP回復速度提升50%"""
exq_PPRegenerateUp60#0,"""PP回復速度提升60%"""
exq_PPRegenerateUp70#0,"""PP回復速度提升70%"""
exq_PPRegenerateUp80#0,"""PP回復速度提升80%"""
exq_PPRegenerateUp90#0,"""PP回復速度提升90%"""
exq_PPRegenerateUp100#0,"""PP回復速度提升100%"""
exq_PPRegenerateUp200#0,"""PP回復速度提升200%"""
exq_PPRegenerateUp300#0,"""PP回復速度提升300%"""
exq_PPRegenerateUp400#0,"""PP回復速度提升400%"""
exq_PPRegenerateUp500#0,"""PP回復速度提升500%"""
exq_PPRegenerateDown10#0,"""PP回復速度降低10%"""
exq_PPRegenerateDown20#0,"""PP回復速度降低20%"""
exq_PPRegenerateDown30#0,"""PP回復速度降低30%"""
exq_PPRegenerateDown40#0,"""PP回復速度降低40%"""
exq_PPRegenerateDown50#0,"""PP回復速度降低50%"""
exq_PPRegenerateDown60#0,"""PP回復速度降低60%"""
exq_PPRegenerateDown70#0,"""PP回復速度降低70%"""
exq_PPRegenerateDown80#0,"""PP回復速度降低80%"""
exq_PPRegenerateDown90#0,"""PP回復速度降低90%"""
exq_RecoveryEffectDown#0,"""回復效果低下"""
exq_AtpUp10#0,"""造成傷害提升10%"""
exq_AtpUp20#0,"""造成傷害提升20%"""
exq_AtpUp30#0,"""造成傷害提升30%"""
exq_AtpUp40#0,"""造成傷害提升40%"""
exq_AtpUp50#0,"""造成傷害提升50%"""
exq_AtpUp60#0,"""造成傷害提升60%"""
exq_AtpUp70#0,"""造成傷害提升70%"""
exq_AtpUp80#0,"""造成傷害提升80%"""
exq_AtpUp90#0,"""造成傷害提升90%"""
exq_AtpUp100#0,"""造成傷害提升100%"""
exq_AtpUp110#0,"""造成傷害提升110%"""
exq_AtpUp120#0,"""造成傷害提升120%"""
exq_AtpUp130#0,"""造成傷害提升130%"""
exq_AtpUp140#0,"""造成傷害提升140%"""
exq_AtpUp150#0,"""造成傷害提升150%"""
exq_AtpUp160#0,"""造成傷害提升160%"""
exq_AtpUp170#0,"""造成傷害提升170%"""
exq_AtpUp180#0,"""造成傷害提升180%"""
exq_AtpUp190#0,"""造成傷害提升190%"""
exq_AtpUp200#0,"""造成傷害提升200%"""
exq_AtpUp210#0,"""造成傷害提升210%"""
exq_AtpUp220#0,"""造成傷害提升220%"""
exq_AtpUp230#0,"""造成傷害提升230%"""
exq_AtpUp240#0,"""造成傷害提升240%"""
exq_AtpUp250#0,"""造成傷害提升250%"""
exq_AtpUp260#0,"""造成傷害提升260%"""
exq_AtpUp270#0,"""造成傷害提升270%"""
exq_AtpUp280#0,"""造成傷害提升280%"""
exq_AtpUp290#0,"""造成傷害提升290%"""
exq_AtpUp300#0,"""造成傷害提升300%"""
AllEnemy#0,"""全部敵人"""
EnemyCost7AndMore#0,"""BOSS型敵人"""
EnemyCost6AndLess#0,"""普通敵人"""
