Name_00000#0,"""初級打擊武器Lv.1"""
Name_00063#0,"""★11打擊武器Lv.6"""
Name_00064#0,"""★11打擊武器Lv.7"""
Name_00065#0,"""★11打擊武器Lv.8"""
Name_00066#0,"""-"""
Name_00067#0,"""-"""
Name_00068#0,"""-"""
Name_00069#0,"""-"""
Name_00070#0,"""-"""
Name_00071#0,"""-"""
Name_00072#0,"""-"""
Name_00073#0,"""-"""
Name_00074#0,"""-"""
Name_00075#0,"""打擊武器重置"""
Name_10000#0,"""初級射擊武器Lv.1"""
Name_10001#0,"""初級射擊武器Lv.2"""
Name_10002#0,"""初級射擊武器Lv.3"""
Name_10003#0,"""初級射擊武器Lv.4"""
Name_10004#0,"""初級射擊武器Lv.5"""
Name_10005#0,"""初級射擊武器Lv.6"""
Name_10006#0,"""初級射擊武器Lv.7"""
Name_10007#0,"""初級射擊武器Lv.8"""
Name_10008#0,"""初級射擊武器Lv.9"""
Name_10009#0,"""初級射擊武器Lv.10"""
Name_10010#0,"""初級射擊武器Lv.11"""
Name_10011#0,"""初級射擊武器Lv.12"""
Name_10012#0,"""初級射擊武器Lv.13"""
Name_10013#0,"""初級射擊武器Lv.14"""
Name_10014#0,"""初級射擊武器Lv.15"""
Name_10015#0,"""初級射擊武器Lv.16"""
Name_10016#0,"""初級射擊武器Lv.17"""
Name_10017#0,"""初級射擊武器Lv.18"""
Name_10018#0,"""初級射擊武器Lv.19"""
Name_10019#0,"""初級射擊武器Lv.20"""
Name_10020#0,"""中級射擊武器Lv.1"""
Name_10021#0,"""中級射擊武器Lv.2"""
Name_10022#0,"""中級射擊武器Lv.3"""
Name_10023#0,"""中級射擊武器Lv.4"""
Name_10024#0,"""中級射擊武器Lv.5"""
Name_10025#0,"""中級射擊武器Lv.6"""
Name_10026#0,"""中級射擊武器Lv.7"""
Name_10027#0,"""中級射擊武器Lv.8"""
Name_10028#0,"""中級射擊武器Lv.9"""
Name_10029#0,"""中級射擊武器Lv.10"""
Name_10030#0,"""中級射擊武器Lv.11"""
Name_10031#0,"""中級射擊武器Lv.12"""
Name_10032#0,"""中級射擊武器Lv.13"""
Name_10033#0,"""中級射擊武器Lv.14"""
Name_10034#0,"""中級射擊武器Lv.15"""
Name_10035#0,"""中級射擊武器Lv.16"""
Name_10036#0,"""上級射擊武器Lv.1"""
Name_10037#0,"""上級射擊武器Lv.2"""
Name_10038#0,"""上級射擊武器Lv.3"""
Name_10039#0,"""上級射擊武器Lv.4"""
Name_10040#0,"""上級射擊武器Lv.5"""
Name_10041#0,"""上級射擊武器Lv.6"""
Name_10042#0,"""上級射擊武器Lv.7"""
Name_10043#0,"""上級射擊武器Lv.8"""
Name_10044#0,"""上級射擊武器Lv.9"""
Name_10045#0,"""上級射擊武器Lv.10"""
Name_10046#0,"""上級射擊武器Lv.11"""
Name_10047#0,"""上級射擊武器Lv.12"""
Name_10048#0,"""★10射擊武器Lv.1"""
Name_10049#0,"""★10射擊武器Lv.2"""
Name_10050#0,"""★10射擊武器Lv.3"""
Name_10051#0,"""★10射擊武器Lv.4"""
Name_10052#0,"""★10射擊武器Lv.5"""
Name_10053#0,"""★10射擊武器Lv.6"""
Name_10054#0,"""★10射擊武器Lv.7"""
Name_10055#0,"""★10射擊武器Lv.8"""
Name_10056#0,"""★10射擊武器Lv.9"""
Name_10057#0,"""★10射擊武器Lv.10"""
Name_10058#0,"""★11射擊武器Lv.1"""
Name_10059#0,"""★11射擊武器Lv.2"""
Name_10060#0,"""★11射擊武器Lv.3"""
Name_10061#0,"""★11射擊武器Lv.4"""
Name_10062#0,"""★11射擊武器Lv.5"""
Name_10063#0,"""★11射擊武器Lv.6"""
Name_10064#0,"""★11射擊武器Lv.7"""
Name_10065#0,"""★11射擊武器Lv.8"""
Name_10066#0,"""-"""
Name_10067#0,"""-"""
Name_10068#0,"""-"""
Name_10069#0,"""-"""
Name_10070#0,"""-"""
Name_10071#0,"""-"""
Name_10072#0,"""-"""
Name_10073#0,"""-"""
Name_10074#0,"""-"""
Name_10075#0,"""射擊武器重置"""
Name_20000#0,"""初級法擊武器Lv.1"""
Name_20001#0,"""初級法擊武器Lv.2"""
Name_20002#0,"""初級法擊武器Lv.3"""
Name_20003#0,"""初級法擊武器Lv.4"""
Name_20004#0,"""初級法擊武器Lv.5"""
Name_20005#0,"""初級法擊武器Lv.6"""
Name_20006#0,"""初級法擊武器Lv.7"""
Name_20007#0,"""初級法擊武器Lv.8"""
Name_20008#0,"""初級法擊武器Lv.9"""
Name_20009#0,"""初級法擊武器Lv.10"""
Name_20010#0,"""初級法擊武器Lv.11"""
Name_20011#0,"""初級法擊武器Lv.12"""
Name_20012#0,"""初級法擊武器Lv.13"""
Name_20013#0,"""初級法擊武器Lv.14"""
Name_20014#0,"""初級法擊武器Lv.15"""
Name_20015#0,"""初級法擊武器Lv.16"""
Name_20016#0,"""初級法擊武器Lv.17"""
Name_20017#0,"""初級法擊武器Lv.18"""
Name_20018#0,"""初級法擊武器Lv.19"""
Name_20019#0,"""初級法擊武器Lv.20"""
Name_20020#0,"""中級法擊武器Lv.1"""
Name_20021#0,"""中級法擊武器Lv.2"""
Name_20022#0,"""中級法擊武器Lv.3"""
Name_20023#0,"""中級法擊武器Lv.4"""
Name_20024#0,"""中級法擊武器Lv.5"""
Name_20025#0,"""中級法擊武器Lv.6"""
Name_20026#0,"""中級法擊武器Lv.7"""
Name_20027#0,"""中級法擊武器Lv.8"""
Name_20028#0,"""中級法擊武器Lv.9"""
Name_20029#0,"""中級法擊武器Lv.10"""
Name_20030#0,"""中級法擊武器Lv.11"""
Name_20031#0,"""中級法擊武器Lv.12"""
Name_20032#0,"""中級法擊武器Lv.13"""
Name_20033#0,"""中級法擊武器Lv.14"""
Name_20034#0,"""中級法擊武器Lv.15"""
Name_20035#0,"""中級法擊武器Lv.16"""
Name_20036#0,"""上級法擊武器Lv.1"""
Name_20037#0,"""上級法擊武器Lv.2"""
Name_20038#0,"""上級法擊武器Lv.3"""
Name_20039#0,"""上級法擊武器Lv.4"""
Name_20040#0,"""上級法擊武器Lv.5"""
Name_20041#0,"""上級法擊武器Lv.6"""
Name_20042#0,"""上級法擊武器Lv.7"""
Name_20043#0,"""上級法擊武器Lv.8"""
Name_20044#0,"""上級法擊武器Lv.9"""
Name_20045#0,"""上級法擊武器Lv.10"""
Name_20046#0,"""上級法擊武器Lv.11"""
Name_20047#0,"""上級法擊武器Lv.12"""
Name_20048#0,"""★10法擊武器Lv.1"""
Name_20049#0,"""★10法擊武器Lv.2"""
Name_20050#0,"""★10法擊武器Lv.3"""
Name_20051#0,"""★10法擊武器Lv.4"""
Name_20052#0,"""★10法擊武器Lv.5"""
Name_20053#0,"""★10法擊武器Lv.6"""
Name_20054#0,"""★10法擊武器Lv.7"""
Name_20055#0,"""★10法擊武器Lv.8"""
Name_20056#0,"""★10法擊武器Lv.9"""
Name_20057#0,"""★10法擊武器Lv.10"""
Name_20058#0,"""★11法擊武器Lv.1"""
Name_20059#0,"""★11法擊武器Lv.2"""
Name_20060#0,"""★11法擊武器Lv.3"""
Name_20061#0,"""★11法擊武器Lv.4"""
Name_20062#0,"""★11法擊武器Lv.5"""
Name_20063#0,"""★11法擊武器Lv.6"""
Name_20064#0,"""★11法擊武器Lv.7"""
Name_20065#0,"""★11法擊武器Lv.8"""
Name_20066#0,"""-"""
Name_20067#0,"""-"""
Name_20068#0,"""-"""
Name_20069#0,"""-"""
Name_20070#0,"""-"""
Name_20071#0,"""-"""
Name_20072#0,"""-"""
Name_20073#0,"""-"""
Name_20074#0,"""-"""
Name_20075#0,"""法擊武器重置"""
Name_30000#0,"""背部打擊防禦Lv.1"""
Name_30001#0,"""背部打擊防禦Lv.2"""
Name_30002#0,"""背部打擊防禦Lv.3"""
Name_30003#0,"""背部打擊防禦Lv.4"""
Name_30004#0,"""背部打擊防禦Lv.5"""
Name_30005#0,"""背部打擊防禦Lv.6"""
Name_30006#0,"""背部打擊防禦Lv.7"""
Name_30007#0,"""背部打擊防禦Lv.8"""
Name_30008#0,"""背部打擊防禦Lv.9"""
Name_30009#0,"""背部打擊防禦Lv.10"""
Name_30010#0,"""背部射擊防禦Lv.1"""
Name_30011#0,"""背部射擊防禦Lv.2"""
Name_30012#0,"""背部射擊防禦Lv.3"""
Name_30013#0,"""背部射擊防禦Lv.4"""
Name_30014#0,"""背部射擊防禦Lv.5"""
Name_30015#0,"""背部射擊防禦Lv.6"""
Name_30016#0,"""背部射擊防禦Lv.7"""
Name_30017#0,"""背部射擊防禦Lv.8"""
Name_30018#0,"""背部射擊防禦Lv.9"""
Name_30019#0,"""背部射擊防禦Lv.10"""
Name_30020#0,"""背部法擊防禦Lv.1"""
Name_30021#0,"""背部法擊防禦Lv.2"""
Name_30022#0,"""背部法擊防禦Lv.3"""
Name_30023#0,"""背部法擊防禦Lv.4"""
Name_30024#0,"""背部法擊防禦Lv.5"""
Name_30025#0,"""背部法擊防禦Lv.6"""
Name_30026#0,"""背部法擊防禦Lv.7"""
Name_30027#0,"""背部法擊防禦Lv.8"""
Name_30028#0,"""背部法擊防禦Lv.9"""
Name_30029#0,"""背部法擊防禦Lv.10"""
Name_30030#0,"""背部組件重置"""
Name_40000#0,"""手臂打擊防禦Lv.1"""
Name_40001#0,"""手臂打擊防禦Lv.2"""
Name_40002#0,"""手臂打擊防禦Lv.3"""
Name_40003#0,"""手臂打擊防禦Lv.4"""
Name_40004#0,"""手臂打擊防禦Lv.5"""
Name_40005#0,"""手臂打擊防禦Lv.6"""
Name_40006#0,"""手臂打擊防禦Lv.7"""
Name_40007#0,"""手臂打擊防禦Lv.8"""
Name_40008#0,"""手臂打擊防禦Lv.9"""
Name_40009#0,"""手臂打擊防禦Lv.10"""
Name_40010#0,"""手臂射擊防禦Lv.1"""
Name_40011#0,"""手臂射擊防禦Lv.2"""
Name_40012#0,"""手臂射擊防禦Lv.3"""
Name_40013#0,"""手臂射擊防禦Lv.4"""
Name_40014#0,"""手臂射擊防禦Lv.5"""
Name_40015#0,"""手臂射擊防禦Lv.6"""
Name_40016#0,"""手臂射擊防禦Lv.7"""
Name_40017#0,"""手臂射擊防禦Lv.8"""
Name_40018#0,"""手臂射擊防禦Lv.9"""
Name_40019#0,"""手臂射擊防禦Lv.10"""
Name_40020#0,"""手臂法擊防禦Lv.1"""
Name_40021#0,"""手臂法擊防禦Lv.2"""
Name_40022#0,"""手臂法擊防禦Lv.3"""
Name_40023#0,"""手臂法擊防禦Lv.4"""
Name_40024#0,"""手臂法擊防禦Lv.5"""
Name_40025#0,"""手臂法擊防禦Lv.6"""
Name_40026#0,"""手臂法擊防禦Lv.7"""
Name_40027#0,"""手臂法擊防禦Lv.8"""
Name_40028#0,"""手臂法擊防禦Lv.9"""
Name_40029#0,"""手臂法擊防禦Lv.10"""
Name_40030#0,"""手臂組件重置"""
Name_50000#0,"""腿部打擊防禦Lv.1"""
Name_50001#0,"""腿部打擊防禦Lv.2"""
Name_50002#0,"""腿部打擊防禦Lv.3"""
Name_50003#0,"""腿部打擊防禦Lv.4"""
Name_50004#0,"""腿部打擊防禦Lv.5"""
Name_50005#0,"""腿部打擊防禦Lv.6"""
Name_50006#0,"""腿部打擊防禦Lv.7"""
Name_50007#0,"""腿部打擊防禦Lv.8"""
Name_50008#0,"""腿部打擊防禦Lv.9"""
Name_50009#0,"""腿部打擊防禦Lv.10"""
Name_50010#0,"""腿部射擊防禦Lv.1"""
Name_50011#0,"""腿部射擊防禦Lv.2"""
Name_50012#0,"""腿部射擊防禦Lv.3"""
Name_50013#0,"""腿部射擊防禦Lv.4"""
Name_50014#0,"""腿部射擊防禦Lv.5"""
Name_50015#0,"""腿部射擊防禦Lv.6"""
Name_50016#0,"""腿部射擊防禦Lv.7"""
Name_50017#0,"""腿部射擊防禦Lv.8"""
Name_50018#0,"""腿部射擊防禦Lv.9"""
Name_50019#0,"""腿部射擊防禦Lv.10"""
Name_50020#0,"""腿部法擊防禦Lv.1"""
Name_50021#0,"""腿部法擊防禦Lv.2"""
Name_50022#0,"""腿部法擊防禦Lv.3"""
Name_50023#0,"""腿部法擊防禦Lv.4"""
Name_50024#0,"""腿部法擊防禦Lv.5"""
Name_50025#0,"""腿部法擊防禦Lv.6"""
Name_50026#0,"""腿部法擊防禦Lv.7"""
Name_50027#0,"""腿部法擊防禦Lv.8"""
Name_50028#0,"""腿部法擊防禦Lv.9"""
Name_50029#0,"""腿部法擊防禦Lv.10"""
Name_50030#0,"""腿部組件重置"""
Name_00000#1,"""初級打撃武器Lv.1"""
Name_00001#1,"""初級打撃武器Lv.2"""
Name_00002#1,"""初級打撃武器Lv.3"""
Name_00003#1,"""初級打撃武器Lv.4"""
Name_00004#1,"""初級打撃武器Lv.5"""
Name_00005#1,"""初級打撃武器Lv.6"""
Name_00006#1,"""初級打撃武器Lv.7"""
Name_00007#1,"""初級打撃武器Lv.8"""
Name_00008#1,"""初級打撃武器Lv.9"""
Name_00009#1,"""初級打撃武器Lv.10"""
Name_00010#1,"""初級打撃武器Lv.11"""
Name_00011#1,"""初級打撃武器Lv.12"""
Name_00012#1,"""初級打撃武器Lv.13"""
Name_00013#1,"""初級打撃武器Lv.14"""
Name_00014#1,"""初級打撃武器Lv.15"""
Name_00015#1,"""初級打撃武器Lv.16"""
Name_00016#1,"""初級打撃武器Lv.17"""
Name_00017#1,"""初級打撃武器Lv.18"""
Name_00018#1,"""初級打撃武器Lv.19"""
Name_00019#1,"""初級打撃武器Lv.20"""
Name_00020#1,"""中級打撃武器Lv.1"""
Name_00021#1,"""中級打撃武器Lv.2"""
Name_00022#1,"""中級打撃武器Lv.3"""
Name_00023#1,"""中級打撃武器Lv.4"""
Name_00024#1,"""中級打撃武器Lv.5"""
Name_00025#1,"""中級打撃武器Lv.6"""
Name_00026#1,"""中級打撃武器Lv.7"""
Name_00027#1,"""中級打撃武器Lv.8"""
Name_00028#1,"""中級打撃武器Lv.9"""
Name_00029#1,"""中級打撃武器Lv.10"""
Name_00030#1,"""中級打撃武器Lv.11"""
Name_00031#1,"""中級打撃武器Lv.12"""
Name_00032#1,"""中級打撃武器Lv.13"""
Name_00033#1,"""中級打撃武器Lv.14"""
Name_00034#1,"""中級打撃武器Lv.15"""
Name_00035#1,"""中級打撃武器Lv.16"""
Name_00036#1,"""上級打撃武器Lv.1"""
Name_00037#1,"""上級打撃武器Lv.2"""
Name_00038#1,"""上級打撃武器Lv.3"""
Name_00039#1,"""上級打撃武器Lv.4"""
Name_00040#1,"""上級打撃武器Lv.5"""
Name_00041#1,"""上級打撃武器Lv.6"""
Name_00042#1,"""上級打撃武器Lv.7"""
Name_00043#1,"""上級打撃武器Lv.8"""
Name_00044#1,"""上級打撃武器Lv.9"""
Name_00045#1,"""上級打撃武器Lv.10"""
Name_00046#1,"""上級打撃武器Lv.11"""
Name_00047#1,"""上級打撃武器Lv.12"""
Name_00048#1,"""★１０打撃武器Lv.1"""
Name_00049#1,"""★１０打撃武器Lv.2"""
Name_00050#1,"""★１０打撃武器Lv.3"""
Name_00051#1,"""★１０打撃武器Lv.4"""
Name_00052#1,"""★１０打撃武器Lv.5"""
Name_00053#1,"""★１０打撃武器Lv.6"""
Name_00054#1,"""★１０打撃武器Lv.7"""
Name_00055#1,"""★１０打撃武器Lv.8"""
Name_00056#1,"""★１０打撃武器Lv.9"""
Name_00057#1,"""★１０打撃武器Lv.10"""
Name_00058#1,"""★１１打撃武器Lv.1"""
Name_00059#1,"""★１１打撃武器Lv.2"""
Name_00060#1,"""★１１打撃武器Lv.3"""
Name_00061#1,"""★１１打撃武器Lv.4"""
Name_00062#1,"""★１１打撃武器Lv.5"""
Name_00063#1,"""★１１打撃武器Lv.6"""
Name_00064#1,"""★１１打撃武器Lv.7"""
Name_00065#1,"""★１１打撃武器Lv.8"""
Name_00066#1,"""-"""
Name_00067#1,"""-"""
Name_00068#1,"""-"""
Name_00069#1,"""-"""
Name_00070#1,"""-"""
Name_00071#1,"""-"""
Name_00072#1,"""-"""
Name_00073#1,"""-"""
Name_00074#1,"""-"""
Name_00075#1,"""打撃武器リセット"""
Name_10000#1,"""初級射撃武器Lv.1"""
Name_10001#1,"""初級射撃武器Lv.2"""
Name_10002#1,"""初級射撃武器Lv.3"""
Name_10003#1,"""初級射撃武器Lv.4"""
Name_10004#1,"""初級射撃武器Lv.5"""
Name_10005#1,"""初級射撃武器Lv.6"""
Name_10006#1,"""初級射撃武器Lv.7"""
Name_10007#1,"""初級射撃武器Lv.8"""
Name_10008#1,"""初級射撃武器Lv.9"""
Name_10009#1,"""初級射撃武器Lv.10"""
Name_10010#1,"""初級射撃武器Lv.11"""
Name_10011#1,"""初級射撃武器Lv.12"""
Name_10012#1,"""初級射撃武器Lv.13"""
Name_10013#1,"""初級射撃武器Lv.14"""
Name_10014#1,"""初級射撃武器Lv.15"""
Name_10015#1,"""初級射撃武器Lv.16"""
Name_10016#1,"""初級射撃武器Lv.17"""
Name_10017#1,"""初級射撃武器Lv.18"""
Name_10018#1,"""初級射撃武器Lv.19"""
Name_10019#1,"""初級射撃武器Lv.20"""
Name_10020#1,"""中級射撃武器Lv.1"""
Name_10021#1,"""中級射撃武器Lv.2"""
Name_10022#1,"""中級射撃武器Lv.3"""
Name_10023#1,"""中級射撃武器Lv.4"""
Name_10024#1,"""中級射撃武器Lv.5"""
Name_10025#1,"""中級射撃武器Lv.6"""
Name_10026#1,"""中級射撃武器Lv.7"""
Name_10027#1,"""中級射撃武器Lv.8"""
Name_10028#1,"""中級射撃武器Lv.9"""
Name_10029#1,"""中級射撃武器Lv.10"""
Name_10030#1,"""中級射撃武器Lv.11"""
Name_10031#1,"""中級射撃武器Lv.12"""
Name_10032#1,"""中級射撃武器Lv.13"""
Name_10033#1,"""中級射撃武器Lv.14"""
Name_10034#1,"""中級射撃武器Lv.15"""
Name_10035#1,"""中級射撃武器Lv.16"""
Name_10036#1,"""上級射撃武器Lv.1"""
Name_10037#1,"""上級射撃武器Lv.2"""
Name_10038#1,"""上級射撃武器Lv.3"""
Name_10039#1,"""上級射撃武器Lv.4"""
Name_10040#1,"""上級射撃武器Lv.5"""
Name_10041#1,"""上級射撃武器Lv.6"""
Name_10042#1,"""上級射撃武器Lv.7"""
Name_10043#1,"""上級射撃武器Lv.8"""
Name_10044#1,"""上級射撃武器Lv.9"""
Name_10045#1,"""上級射撃武器Lv.10"""
Name_10046#1,"""上級射撃武器Lv.11"""
Name_10047#1,"""上級射撃武器Lv.12"""
Name_10048#1,"""★１０射撃武器Lv.1"""
Name_10049#1,"""★１０射撃武器Lv.2"""
Name_10050#1,"""★１０射撃武器Lv.3"""
Name_10051#1,"""★１０射撃武器Lv.4"""
Name_10052#1,"""★１０射撃武器Lv.5"""
Name_10053#1,"""★１０射撃武器Lv.6"""
Name_10054#1,"""★１０射撃武器Lv.7"""
Name_10055#1,"""★１０射撃武器Lv.8"""
Name_10056#1,"""★１０射撃武器Lv.9"""
Name_10057#1,"""★１０射撃武器Lv.10"""
Name_10058#1,"""★１１射撃武器Lv.1"""
Name_10059#1,"""★１１射撃武器Lv.2"""
Name_10060#1,"""★１１射撃武器Lv.3"""
Name_10061#1,"""★１１射撃武器Lv.4"""
Name_10062#1,"""★１１射撃武器Lv.5"""
Name_10063#1,"""★１１射撃武器Lv.6"""
Name_10064#1,"""★１１射撃武器Lv.7"""
Name_10065#1,"""★１１射撃武器Lv.8"""
Name_10066#1,"""-"""
Name_10067#1,"""-"""
Name_10068#1,"""-"""
Name_10069#1,"""-"""
Name_10070#1,"""-"""
Name_10071#1,"""-"""
Name_10072#1,"""-"""
Name_10073#1,"""-"""
Name_10074#1,"""-"""
Name_10075#1,"""射撃武器リセット"""
Name_20000#1,"""初級法撃武器Lv.1"""
Name_20001#1,"""初級法撃武器Lv.2"""
Name_20002#1,"""初級法撃武器Lv.3"""
Name_20003#1,"""初級法撃武器Lv.4"""
Name_20004#1,"""初級法撃武器Lv.5"""
Name_20005#1,"""初級法撃武器Lv.6"""
Name_20006#1,"""初級法撃武器Lv.7"""
Name_20007#1,"""初級法撃武器Lv.8"""
Name_20008#1,"""初級法撃武器Lv.9"""
Name_20009#1,"""初級法撃武器Lv.10"""
Name_20010#1,"""初級法撃武器Lv.11"""
Name_20011#1,"""初級法撃武器Lv.12"""
Name_20012#1,"""初級法撃武器Lv.13"""
Name_20013#1,"""初級法撃武器Lv.14"""
Name_20014#1,"""初級法撃武器Lv.15"""
Name_20015#1,"""初級法撃武器Lv.16"""
Name_20016#1,"""初級法撃武器Lv.17"""
Name_20017#1,"""初級法撃武器Lv.18"""
Name_20018#1,"""初級法撃武器Lv.19"""
Name_20019#1,"""初級法撃武器Lv.20"""
Name_20020#1,"""中級法撃武器Lv.1"""
Name_20021#1,"""中級法撃武器Lv.2"""
Name_20022#1,"""中級法撃武器Lv.3"""
Name_20023#1,"""中級法撃武器Lv.4"""
Name_20024#1,"""中級法撃武器Lv.5"""
Name_20025#1,"""中級法撃武器Lv.6"""
Name_20026#1,"""中級法撃武器Lv.7"""
Name_20027#1,"""中級法撃武器Lv.8"""
Name_20028#1,"""中級法撃武器Lv.9"""
Name_20029#1,"""中級法撃武器Lv.10"""
Name_20030#1,"""中級法撃武器Lv.11"""
Name_20031#1,"""中級法撃武器Lv.12"""
Name_20032#1,"""中級法撃武器Lv.13"""
Name_20033#1,"""中級法撃武器Lv.14"""
Name_20034#1,"""中級法撃武器Lv.15"""
Name_20035#1,"""中級法撃武器Lv.16"""
Name_20036#1,"""上級法撃武器Lv.1"""
Name_20037#1,"""上級法撃武器Lv.2"""
Name_20038#1,"""上級法撃武器Lv.3"""
Name_20039#1,"""上級法撃武器Lv.4"""
Name_20040#1,"""上級法撃武器Lv.5"""
Name_20041#1,"""上級法撃武器Lv.6"""
Name_20042#1,"""上級法撃武器Lv.7"""
Name_20043#1,"""上級法撃武器Lv.8"""
Name_20044#1,"""上級法撃武器Lv.9"""
Name_20045#1,"""上級法撃武器Lv.10"""
Name_20046#1,"""上級法撃武器Lv.11"""
Name_20047#1,"""上級法撃武器Lv.12"""
Name_20048#1,"""★１０法撃武器Lv.1"""
Name_20049#1,"""★１０法撃武器Lv.2"""
Name_20050#1,"""★１０法撃武器Lv.3"""
Name_20051#1,"""★１０法撃武器Lv.4"""
Name_20052#1,"""★１０法撃武器Lv.5"""
Name_20053#1,"""★１０法撃武器Lv.6"""
Name_20054#1,"""★１０法撃武器Lv.7"""
Name_20055#1,"""★１０法撃武器Lv.8"""
Name_20056#1,"""★１０法撃武器Lv.9"""
Name_20057#1,"""★１０法撃武器Lv.10"""
Name_20058#1,"""★１１法撃武器Lv.1"""
Name_20059#1,"""★１１法撃武器Lv.2"""
Name_20060#1,"""★１１法撃武器Lv.3"""
Name_20061#1,"""★１１法撃武器Lv.4"""
Name_20062#1,"""★１１法撃武器Lv.5"""
Name_20063#1,"""★１１法撃武器Lv.6"""
Name_20064#1,"""★１１法撃武器Lv.7"""
Name_20065#1,"""★１１法撃武器Lv.8"""
Name_20066#1,"""-"""
Name_20067#1,"""-"""
Name_20068#1,"""-"""
Name_20069#1,"""-"""
Name_20070#1,"""-"""
Name_20071#1,"""-"""
Name_20072#1,"""-"""
Name_20073#1,"""-"""
Name_20074#1,"""-"""
Name_20075#1,"""法撃武器リセット"""
Name_30000#1,"""リア打撃防御Lv.1"""
Name_30001#1,"""リア打撃防御Lv.2"""
Name_30002#1,"""リア打撃防御Lv.3"""
Name_30003#1,"""リア打撃防御Lv.4"""
Name_30004#1,"""リア打撃防御Lv.5"""
Name_30005#1,"""リア打撃防御Lv.6"""
Name_30006#1,"""リア打撃防御Lv.7"""
Name_30007#1,"""リア打撃防御Lv.8"""
Name_30008#1,"""リア打撃防御Lv.9"""
Name_30009#1,"""リア打撃防御Lv.10"""
Name_30010#1,"""リア射撃防御Lv.1"""
Name_30011#1,"""リア射撃防御Lv.2"""
Name_30012#1,"""リア射撃防御Lv.3"""
Name_30013#1,"""リア射撃防御Lv.4"""
Name_30014#1,"""リア射撃防御Lv.5"""
Name_30015#1,"""リア射撃防御Lv.6"""
Name_30016#1,"""リア射撃防御Lv.7"""
Name_30017#1,"""リア射撃防御Lv.8"""
Name_30018#1,"""リア射撃防御Lv.9"""
Name_30019#1,"""リア射撃防御Lv.10"""
Name_30020#1,"""リア法撃防御Lv.1"""
Name_30021#1,"""リア法撃防御Lv.2"""
Name_30022#1,"""リア法撃防御Lv.3"""
Name_30023#1,"""リア法撃防御Lv.4"""
Name_30024#1,"""リア法撃防御Lv.5"""
Name_30025#1,"""リア法撃防御Lv.6"""
Name_30026#1,"""リア法撃防御Lv.7"""
