11_voice_NPC_5022_103#0,"""โอ๊ย ! โธ่ว้อย !<br>อุตส่าห์ได้อาวุธโหดๆมาทั้งที<br>แต่พลังเราดันไม่พอแล้วจะใช้ได้ยังไงล่ะฟะเนี่ย !"""
11_voice_NPC_5022_103#3,"""マジ、ダーカーの奴ら空気読めよ！<br>海があるのに泳げないとかありえねー！<br>あー、がっかりだぜ……"""
11_voice_NPC_5022_104#2,"""พวกศัตรูบนดาว Wopal นี่ เห็นแล้วเสียวใส้ยังไงไม่รู้<br>จะว่าท่าทางมันไม่ค่อยปกติ...หรือยังไงดีล่ะ"""
11_voice_NPC_5022_104#3,"""惑星ウォパルにいるエネミーって<br>なんだかブキミだよな。<br>普通じゃないっつーか、なんつーか。"""
11_voice_NPC_5022_104#4,"""เจ้าพวก Darker นี่ ถึงฆ่าไปเท่าไหร่ๆ<br>ก็ยังโผล่มาไม่มีหมดซักที<br>พวกมันมาจากไหนกันแน่นะ?"""
11_voice_NPC_5022_104#5,"""ダーカーって、倒しても倒しても<br>湧いてくるけどさ、あいつらいったい<br>どこからやってきてるんだろうな？"""
11_voice_NPC_5022_104#6,"""เจ้าพวกศัตรูที่อยู่บนดาวเคราะห์ Wopal เนี่ย<br>ข้ารู้สึกว่าพวกมันน่าขนลุกยังไงก็ไม่รู้นะ<br>จะเรียกว่าไม่ปกติดี หรือจะเรียกว่ายังไงดีล่ะ"""
11_voice_NPC_5022_104#7,"""惑星ウォパルにいるエネミーって<br>なんだかブキミだよな。<br>普通じゃないっつーか、なんつーか。"""
11_voice_NPC_5022_104#8,"""เจ้าพวก D-arkers เนี่ย ไม่ว่าจะจัดการไป<br>ซักเท่าไหร่แต่ก็โผล่ออกมาไม่หยุดเลย<br>เจ้าพวกนั้นแท้จริงแล้วมันคืออะไรกันแน่นะ?"""
11_voice_NPC_5022_104#9,"""ダーカーって、倒しても倒しても<br>湧いてくるけどさ、あいつらいったい<br>どこからやってきてるんだろうな？"""
11_voice_NPC_5022_102#0,"""จะว่ายังไงดีล่ะ รู้สึกว่าจู่ๆ ตัวเองก็ถูกดึง<br>เข้าไปพัวพันกับเรื่องเหลือเชื่อเมื่อไหร่ก็ไม่รู้<br>เป็นเรื่องที่เกินจะทนไหวเลยจริงๆ"""
11_voice_NPC_5022_102#1,"""なんつーか、とんでもねーことに<br>いつの間にか巻き込まれてたんだな。<br>たまったもんじゃねーぜ、ホント。"""
