11_voice_NPC_5062_100#0,"""先輩，可以過來一下嗎？<br>其實有東西想給你......"""
Npc62_05_020#1,"""わわ、帰ったらレポート書いて<br>実技の準備もしなくっちゃ……"""
11_voice_NPC_5062_100#12,"""啊，我......<br>為了成為ARKS而在努力學習。"""
Npc62_06_020#0,"""哇哇，我必須回去寫報告，<br>然後準備實技演練......"""
11_voice_NPC_5062_100#13,"""あ、その……<br>アークスをめざして勉強してます。"""
Npc62_06_020#1,"""わわ、帰ったらレポート書いて<br>実技の準備もしなくっちゃ……"""
11_voice_NPC_5062_100#14,"""啊，我......<br>為了成為ARKS而在努力學習。"""
Npc62_07_020#0,"""哇哇，我必須回去寫報告，<br>然後準備實技演練......"""
11_voice_NPC_5062_100#15,"""あ、その……<br>アークスをめざして勉強してます。"""
Npc62_07_020#1,"""わわ、帰ったらレポート書いて<br>実技の準備もしなくっちゃ……"""
11_voice_NPC_5062_100#16,"""啊，ARKS的課程都好累人，<br>但大家都很努力學習。"""
Npc62_08_020#0,"""我、我也要<br>努力。<br>這樣才不會跟不上大家的腳步......"""
11_voice_NPC_5062_100#17,"""あ、アークスの研修は大変ですけど<br>みんな一生懸命です。"""
Npc62_08_020#1,"""わ、わたしも<br>みんなに置いていかれないように<br>頑張らなくちゃ……"""
11_voice_NPC_5062_100#18,"""啊，ARKS的課程都好累人，<br>但大家都很努力學習。"""
Npc62_mb9_020#0,"""我、我也要<br>努力。<br>這樣才不會跟不上大家的腳步......"""
11_voice_NPC_5062_100#19,"""あ、アークスの研修は大変ですけど<br>みんな一生懸命です。"""
Npc62_mb9_020#1,"""わ、わたしも<br>みんなに置いていかれないように<br>頑張らなくちゃ……"""
11_voice_NPC_5062_100#20,"""啊，ARKS的課程都好累人，<br>但大家都很努力學習。"""
Npc62_mb10_020#0,"""我、我也要<br>努力。<br>這樣才不會跟不上大家的腳步......"""
11_voice_NPC_5062_100#21,"""あ、アークスの研修は大変ですけど<br>みんな一生懸命です。"""
Npc62_mb10_020#1,"""わ、わたしも<br>みんなに置いていかれないように<br>頑張らなくちゃ……"""
11_voice_NPC_5062_100#22,"""啊，ARKS的課程都好累人，<br>但大家都很努力學習。"""
Npc62_mb11_020#0,"""我、我也要<br>努力。<br>這樣才不會跟不上大家的腳步......"""
11_voice_NPC_5062_100#23,"""あ、アークスの研修は大変ですけど<br>みんな一生懸命です。"""
Npc62_mb11_020#1,"""わ、わたしも<br>みんなに置いていかれないように<br>頑張らなくちゃ……"""
11_voice_NPC_5062_100#24,"""啊，ARKS的課程都好累人，<br>但大家都很努力學習。"""
Npc62_mb12_020#0,"""我、我也要<br>努力。<br>這樣才不會跟不上大家的腳步......"""
11_voice_NPC_5062_100#25,"""あ、アークスの研修は大変ですけど<br>みんな一生懸命です。"""
Npc62_mb12_020#1,"""わ、わたしも<br>みんなに置いていかれないように<br>頑張らなくちゃ……"""
11_voice_NPC_5062_100#26,"""啊，ARKS的課程都好累人，<br>但大家都很努力學習。"""
Npc62_mb13_020#0,"""我、我也要<br>努力。<br>這樣才不會跟不上大家的腳步......"""
11_voice_NPC_5062_100#27,"""あ、アークスの研修は大変ですけど<br>みんな一生懸命です。"""
Npc62_mb13_020#1,"""わ、わたしも<br>みんなに置いていかれないように<br>頑張らなくちゃ……"""
11_voice_NPC_5062_100#28,"""啊，ARKS的課程都好累人，<br>但大家都很努力學習。"""
Npc62_mb14_020#0,"""我、我也要<br>努力。<br>這樣才不會跟不上大家的腳步......"""
11_voice_NPC_5062_100#29,"""あ、アークスの研修は大変ですけど<br>みんな一生懸命です。"""
Npc62_mb14_020#1,"""わ、わたしも<br>みんなに置いていかれないように<br>頑張らなくちゃ……"""
11_voice_NPC_5062_104#0,"""……真的是超SHOCK的。<br>不過，我想努力成為像前輩你<br>那樣的ARKS……"""
11_voice_NPC_5062_104#1,"""……すごく、ショッキングでした。<br>でも、それでもわたしは先輩のような<br>アークスを目指して、頑張りたい……"""
