REPORT_BAD_FAV4#0,"""主人......<br>辜負了你的期待<br>真的抱歉。"""
REPORT_BAD_FAV4#13,"""ごめんなさい、失敗しちゃった……<br>すっごく、頑張ったんだけど<br>あと一息が足りなくて……"""
REPORT_BAD_FAV3#13,"""全力でチャレンジした結果……<br>玉砕しました！\u3000ごめんなさい！"""
REPORT_BAD_FAV2#13,"""……ごめん、失敗。<br>あたしの力不足。"""
REPORT_BAD_FAV1#13,"""REPORT_BAD_FAV1<br>Debug_Error"""
REPORT_BAD_FAV0#13,"""REPORT_BAD_FAV0<br>Debug_Error"""
REPORT_BAD_FAV4#14,"""......抱歉。<br>絕對不敢掉以輕心<br>究竟為什麼會如此......抱歉。"""
REPORT_BAD_FAV3#14,"""過意不去......<br>覺得做了背叛期待的行為<br>......"""
REPORT_BAD_FAV2#14,"""......比我想像的<br>做得更不好。"""
REPORT_BAD_FAV1#14,"""REPORT_BAD_FAV1<br>Debug_Error"""
REPORT_BAD_FAV0#14,"""REPORT_BAD_FAV0<br>Debug_Error"""
REPORT_BAD_FAV4#15,"""……ごめん。<br>油断してたわけじゃないんだけど<br>どうしてだろう……ごめん。"""
REPORT_BAD_FAV3#15,"""悪い……<br>期待を裏切るようなマネを<br>してしまって……"""
REPORT_BAD_FAV2#15,"""……思った以上に<br>上手くいかないものだよな。"""
REPORT_BAD_FAV1#15,"""REPORT_BAD_FAV1<br>Debug_Error"""
REPORT_BAD_FAV0#15,"""REPORT_BAD_FAV0<br>Debug_Error"""
REPORT_BAD_FAV4#16,"""......真是抱歉。<br>全部都是因為我的能力不足。<br>結果不甚理想。"""
REPORT_BAD_FAV3#16,"""已經全力嘗試去做了......<br>很抱歉，失敗了。"""
REPORT_BAD_FAV2#16,"""......我的能力不足。<br>真是抱歉。"""
REPORT_BAD_FAV1#16,"""REPORT_BAD_FAV1<br>Debug_Error"""
REPORT_BAD_FAV0#16,"""REPORT_BAD_FAV0<br>Debug_Error"""
REPORT_BAD_FAV4#17,"""……ごめんなさい。<br>全部、ボクの力不足が原因。<br>うまく、いかなかった。"""
REPORT_BAD_FAV3#17,"""全力でやってみたんだけど……<br>ごめんなさい、失敗しちゃった。"""
REPORT_BAD_FAV2#17,"""……ボクの力不足。<br>ごめんね。"""
REPORT_BAD_FAV1#17,"""REPORT_BAD_FAV1<br>Debug_Error"""
REPORT_BAD_FAV0#17,"""REPORT_BAD_FAV0<br>Debug_Error"""
