r01_gd_flo_wi#0,"""フワン"""
PartisanPA01#1,"""“長槍（パルチザン）”用のフォトンアーツ。<br>前方を、素早く薙ぎ払う。<br>チャージすることで、攻撃の挙動が変化する。"""
PartisanPA02#1,"""“長槍（パルチザン）”用のフォトンアーツ。<br>突き攻撃の後、エネミーに武器を投擲する。<br>PAボタンを長押しすることで、<br>PPが切れるまで突き攻撃をした後、投擲を行う。"""
PartisanPA03#1,"""“長槍（パルチザン）”用のフォトンアーツ。<br>武器を回転させて、周囲のエネミーを攻撃する。<br>チャージすることで、攻撃の挙動が変化する。"""
TdaggerPA01#1,"""“双小剣（ツインダガー）”用のフォトンアーツ。<br>回転しながらエネミーに接近し、素早い連撃を放つ。"""
TdaggerPA02#1,"""“双小剣（ツインダガー）”用のフォトンアーツ。<br>前方に突進した後、衝撃波を放つ。"""
TdaggerPA03#1,"""“双小剣（ツインダガー）”用のフォトンアーツ。<br>素早い刺突の後、無数の刃でエネミーを切り刻む。"""
DsaberPA01#1,"""“両剣（ダブルセイバー）”用のフォトンアーツ。<br>素早くエネミーに接近し、連撃を放つ。<br>発動時に、カマイタチが発生する。"""
DsaberPA02#1,"""“両剣（ダブルセイバー）”用のフォトンアーツ。<br>武器を投げて、周囲のエネミーを攻撃した後、<br>戻ってきた武器で、さらに薙ぎ払いを行う。<br>発動時に、カマイタチが発生する。"""
DsaberPA03#1,"""“両剣（ダブルセイバー）”用のフォトンアーツ。<br>素早い横薙ぎの後、後退しながら、竜巻を発生させる。<br>発動時に、カマイタチが発生する。"""
KnucklePA01#1,"""“鋼拳（ナックル）”用のフォトンアーツ。<br>左右に拳をくりだした後、強力な一撃を放つ。"""
KnucklePA02#1,"""“鋼拳（ナックル）”用のフォトンアーツ。<br>無数の拳をくりだした後、強力なアッパーを放つ。"""
KnucklePA03#1,"""“鋼拳（ナックル）”用のフォトンアーツ。<br>拳をくりだしながら、前方に突進した後、<br>強力な連撃を放つ。"""
RiflePA01#1,"""“長銃（アサルトライフル）”用のフォトンアーツ。<br>エネミーに命中すると、爆発する弾を放つ。<br>チャージすることで、エネミーを貫通する<br>螺旋弾に変化する。"""
RiflePA02#1,"""“長銃（アサルトライフル）”用のフォトンアーツ。<br>チャージすることで、視界に捉えた複数のエネミーを<br>追尾する特殊弾を放つ。"""
RiflePA03#1,"""“長銃（アサルトライフル）”用のフォトンアーツ。<br>回避動作の後、速射を行う。<br>PAボタンを長押しすることで、<br>PPが切れるまで攻撃を続ける。"""
LauncherPA01#1,"""“大砲（ランチャー）”用のフォトンアーツ。<br>前方に、爆発弾を降らせる。"""
LauncherPA02#1,"""“大砲（ランチャー）”用のフォトンアーツ。<br>前方に、強力な光線を放つ。<br>PAボタンを長押しすることで、<br>PPが切れるまで攻撃を続け、<br>一定時間継続すると、追加攻撃が発生する。"""
LauncherPA03#1,"""“大砲（ランチャー）”用のフォトンアーツ。<br>爆発弾を連続して発射し、最後に強力な一撃を放つ。<br>移動しながら攻撃することもできる。"""
MachinegunPA01#1,"""“双機銃（ツインマシンガン）”用のフォトンアーツ。<br>断続的に連射を行った後、強力な集束弾を放つ。<br>チャージすることで、威力が上昇する。"""
MachinegunPA02#1,"""“双機銃（ツインマシンガン）”用のフォトンアーツ。<br>激しく回転しながら、<br>周囲のエネミーに弾丸を浴びせかける。<br>チャージすることで、威力が上昇する。"""
MachinegunPA03#1,"""“双機銃（ツインマシンガン）”用のフォトンアーツ。<br>素早くエネミーに接近し、強力な弾丸を叩き込む。<br>チャージすることで、威力が上昇する。"""
Fire01#1,"""炎属性のテクニック。<br>前方に、火球を放つ。<br>チャージすることで、攻撃の挙動が変化する。"""
Fire02#1,"""炎属性のテクニック。<br>自身の周囲に、炎の渦を発生させる。<br>チャージすることで、攻撃の挙動が変化する。"""
Ice01#1,"""氷属性のテクニック。<br>前方に、氷弾を放つ。<br>チャージすることで、威力が上昇する。"""
Ice02#1,"""氷属性のテクニック。<br>前方に、氷の刃を発生させる。<br>チャージすることで、威力が上昇する。"""
Thunder01#1,"""雷属性のテクニック。<br>前方に、雷を落とす。<br>チャージすることで、威力が上昇する。"""
Thunder02#1,"""雷属性のテクニック。<br>空中に、球状のエネルギー体を放ち、<br>範囲内のエネミー単体に断続的に雷撃を行う。<br>チャージすることで、攻撃の挙動が変化する。"""
WandPA01#1,"""“短杖（ウォンド）”用のフォトンアーツ。<br>素早くエネミーに接近し、強力な一撃を放つ。<br>チャージすることで、威力が上昇する。"""
WandPA02#1,"""“短杖（ウォンド）”用のフォトンアーツ。<br>武器を地面に叩きつけ、衝撃波で広範囲を攻撃する。"""
TalisPA01#1,"""“導具（タリス）”用のフォトンアーツ。<br>前方に、フォトン弾を放った後、タリスを展開する。<br>タリス展開中は、テクニックの挙動が変化する。"""
TalisPA02#1,"""“導具（タリス）”用のフォトンアーツ。<br>フォトンの波動で、周囲のエネミーを<br>複数回薙ぎ払った後、タリスを展開する。<br>攻撃の段数によって、タリスの展開形態が変化する。<br>また、タリス展開中は、テクニックの挙動が変化する。"""
KatanaPA01#1,"""“抜剣（カタナ）”用のフォトンアーツ。<br>素早い抜刀の後、前方に斬撃を放つ。<br>連続して発動すると、挙動が変化する。"""
KatanaPA02#1,"""“抜剣（カタナ）”用のフォトンアーツ。<br>素早い抜刀の後、周囲のエネミーを薙ぎ払う。<br>連続して発動すると、挙動が変化する。"""
KatanaPA03#1,"""“抜剣（カタナ）”用のフォトンアーツ。<br>力を溜めた後、直線状に無数の衝撃波を放つ。<br>連続して発動すると、挙動が変化する。"""
CompoundBowPA01#1,"""“強弓（バレットボウ）”用のフォトンアーツ。<br>エネミーを追尾する矢を放つ。<br>２段階までチャージでき、<br>それぞれ攻撃の挙動が変化する。"""
CompoundBowPA02#1,"""“強弓（バレットボウ）”用のフォトンアーツ。<br>エネミーに命中すると、周囲に拡散する矢を放つ。<br>チャージすることで、攻撃の挙動が変化する。"""
CompoundBowPA03#1,"""“強弓（バレットボウ）”用のフォトンアーツ。<br>異空間にフォトンでできた弓矢を転送し、<br>範囲内のエネミーを上空から断続的に攻撃する。<br>チャージしてから放つと、弓矢を最大５本ストックし、<br>他のPAの命中後に１本ずつ発射して追撃する。"""
TypeNon#0,"""なし"""
TypeNoUse#0,"""フォトンブラスト"""
Type1_1#0,"""ヘリクス・プロイ"""
Type1_2#0,"""ヘリクス・イメラ"""
Type1_3#0,"""ヘリクス・ニフタ"""
Type2_1#0,"""アイアス・プロイ"""
Type2_2#0,"""アイアス・イメラ"""
Type2_3#0,"""アイアス・ニフタ"""
Type3_1#0,"""ケートス・プロイ"""
Type3_2#0,"""ケートス・イメラ"""
Type3_3#0,"""ケートス・ニフタ"""
Type4_1#0,"""ユリウス・プロイ"""
Type4_2#0,"""ユリウス・イメラ"""
Type4_3#0,"""ユリウス・ニフタ"""
Type5_1#0,"""イリオス・プロイ"""
Type5_2#0,"""イリオス・イメラ"""
Type5_3#0,"""イリオス・ニフタ"""
TypeNon#1,"""なし"""
TypeNoUse#1,"""現在、フォトンブラストを使用出来ません。<br>フォトンブラストを覚えたマグを<br>装備してください。"""
Type1_1#1,"""貫く力、ヘリクスタイプの具現。<br>フォトンをまとい、目標に向かって<br>突進攻撃を行う。"""
Type1_2#1,"""貫く力、ヘリクスタイプの具現。<br>目標へ向けて一足のもと接近し<br>強力な電撃を周囲に発生させる。"""
Type1_3#1,"""貫く力、ヘリクスタイプの具現。<br>目標に向かい、衝角での連撃ののち<br>体躯を活かした踏みつけ攻撃を行う。"""
Type2_1#1,"""譲らぬ力、アイアスタイプの具現。<br>前方広範囲に向けて、炸裂砲弾を<br>次々に発射し、殲滅を行う。"""
Type2_2#1,"""譲らぬ力、アイアスタイプの具現。<br>頭部より発射したフォトンメーザーを<br>目標周囲へ雨霰のように降らせる。"""
Type2_3#1,"""譲らぬ力、アイアスタイプの具現。<br>飛散させた鵬翼はそれぞれが意志を<br>持ち、目標を撃ち抜く弾丸となる。"""
Type3_1#1,"""惑わぬ力、ケートスタイプの具現。<br>周囲の大気中フォトンへ働きかけ<br>ＰＰの自己回復量を増大させる。"""
Type3_2#1,"""惑わぬ力、ケートスタイプの具現。<br>前方に向けて、フォトンを凝縮した<br>レーザーで集束砲撃を行う。"""
Type3_3#1,"""惑わぬ力、ケートスタイプの具現。<br>空間を遊泳し、フォトンを励起させ<br>数多の落雷を発生させる。"""
Type4_1#1,"""揺るがぬ力、ユリウスタイプの具現。<br>目標に対し、ワープして近付き<br>複数の腕による連続攻撃を行う。"""
Type4_2#1,"""揺るがぬ力、ユリウスタイプの具現。<br>目標へ向けて、確実に仕留める<br>刺突尖角を撃ち下ろす。"""
Type4_3#1,"""揺るがぬ力、ユリウスタイプの具現。<br>目標周囲に、限定的な超重力場を<br>発生させ集束、収縮崩壊を行う。"""
Type5_1#1,"""挫けぬ力、イリオスタイプの具現。<br>主の定めた目標に対し、主と連携して<br>追加攻撃を行う。"""
Type5_2#1,"""挫けぬ力、イリオスタイプの具現。<br>主の定めた目標に対し、巨大な剣から<br>両断の波動を撃ち出す。"""
Type5_3#1,"""挫けぬ力、イリオスタイプの具現。<br>主の定めた目標に対し、虚空の彼方<br>より無慈悲な罰を降らせる。"""
PetPALearn#0,"""$(1)が$(0)を習得しました。"""
PetPALevelUp#0,"""$(2)の$(1)のレベルが$(0)に上がりました。"""
PetUnequipped#0,"""タクトにペットが設定されていません。"""
Npc_7001#0,"""マノン"""
Npc_7002#0,"""アイナ"""
Npc_7003#0,"""ガロア"""
Npc_7004#0,"""クロフォード"""
Npc_7005#0,"""ブルーダー"""
Npc_7006#0,"""ラン"""
Npc_7007#0,"""リューリン"""
Npc_7008#0,"""ロッサ"""
Npc_7009#0,"""オランジェ"""
Npc_7010#0,"""ナーデレフ"""
AutorunToast1#0,"""オートランを開始します。"""
Toast_Defend#0,"""レベルに差があるため、与えるダメージが減少しています。"""
MoonAtmizerToYou#0,"""がアイテムを使用し、あなたを復活させました。"""
ResurrectToYou#0,"""があなたを復活させました。"""
<GatlingGun>EquippingEnd#0,"""兵装解除"""
<GatlingGun>AttackGun#0,"""ラピッドファイア"""
<GatlingGun>AttackRailgun#0,"""チャージブラスター"""
<GatlingGun>AttackJet#0,"""ブーストグライダー"""
HealTankRecast#0,"""レスタサイン"""
RecoveryMoonAtomizerRecast#0,"""リバーサーサイン"""
RideTimeAlert1#0,"""<yellow>残り稼働時間：$(0)秒<c>"""
RideTimeAlert2#0,"""<red>残り稼働時間：$(0)秒<c>"""
