Npc44_01_010#0,"""เพราะมี ARKS คนอย่างชั้นถึงได้<br>อยู่อย่างสุขสบายแบบทุกวันนี้<br>ไม่รู้จะขอบคุณยังไงจริงๆ"""
Npc44_08_010#0,"""งานของ ARKS ไม่ได้มีแค่คอยกำจัด Darker<br>แต่ยังมีภารกิจอื่นๆ รวมทั้งคอยแลกเปลี่ยนกับชาว<br>พื้นเมืองบนดาวต่างๆด้วยถูกมั้ย?"""
Npc44_08_020#0,"""งานคงหนักมากสินะ<br>ไม่รู้จะขอบคุณยังไงจริงๆ"""
Npc44_08_010#1,"""アークスの仕事って、ダーカ―退治<br>だけじゃなくて、依頼受けたり<br>原住民との折衝もあるんだろ？"""
Npc44_08_020#1,"""大変だよなぁ。<br>本当に頭が上がらないぜ。"""
Npc44_mb9_010#0,"""งานของ ARKS ไม่ได้มีแค่คอยกำจัด Darker<br>แต่ยังมีภารกิจอื่นๆ รวมทั้งคอยแลกเปลี่ยนกับชาว<br>พื้นเมืองบนดาวต่างๆด้วยถูกมั้ย?"""
Npc44_mb9_020#0,"""งานคงหนักมากสินะ<br>ไม่รู้จะขอบคุณยังไงจริงๆ"""
Npc44_mb9_010#1,"""アークスの仕事って、ダーカ―退治<br>だけじゃなくて、依頼受けたり<br>原住民との折衝もあるんだろ？"""
Npc44_mb9_020#1,"""大変だよなぁ。<br>本当に頭が上がらないぜ。"""
Npc44_mb10_010#0,"""งานของ ARKS ไม่ได้มีแค่คอยกำจัด Darker<br>แต่ยังมีภารกิจอื่นๆ รวมทั้งคอยแลกเปลี่ยนกับชาว<br>พื้นเมืองบนดาวต่างๆด้วยถูกมั้ย?"""
Npc44_mb10_020#0,"""งานคงหนักมากสินะ<br>ไม่รู้จะขอบคุณยังไงจริงๆ"""
Npc44_mb10_010#1,"""アークスの仕事って、ダーカ―退治<br>だけじゃなくて、依頼受けたり<br>原住民との折衝もあるんだろ？"""
Npc44_mb10_020#1,"""大変だよなぁ。<br>本当に頭が上がらないぜ。"""
Npc44_mb11_010#0,"""งานของ ARKS ไม่ได้มีแค่คอยกำจัด Darker<br>แต่ยังมีภารกิจอื่นๆ รวมทั้งคอยแลกเปลี่ยนกับชาว<br>พื้นเมืองบนดาวต่างๆด้วยถูกมั้ย?"""
Npc44_mb11_020#0,"""งานคงหนักมากสินะ<br>ไม่รู้จะขอบคุณยังไงจริงๆ"""
Npc44_mb11_010#1,"""アークスの仕事って、ダーカ―退治<br>だけじゃなくて、依頼受けたり<br>原住民との折衝もあるんだろ？"""
Npc44_mb11_020#1,"""大変だよなぁ。<br>本当に頭が上がらないぜ。"""
Npc44_mb12_010#0,"""งานของ ARKS ไม่ได้มีแค่คอยกำจัด Darker<br>แต่ยังมีภารกิจอื่นๆ รวมทั้งคอยแลกเปลี่ยนกับชาว<br>พื้นเมืองบนดาวต่างๆด้วยถูกมั้ย?"""
Npc44_mb12_020#0,"""งานคงหนักมากสินะ<br>ไม่รู้จะขอบคุณยังไงจริงๆ"""
Npc44_mb12_010#1,"""アークスの仕事って、ダーカ―退治<br>だけじゃなくて、依頼受けたり<br>原住民との折衝もあるんだろ？"""
Npc44_mb12_020#1,"""大変だよなぁ。<br>本当に頭が上がらないぜ。"""
Npc44_mb13_010#0,"""งานของ ARKS ไม่ได้มีแค่คอยกำจัด Darker<br>แต่ยังมีภารกิจอื่นๆ รวมทั้งคอยแลกเปลี่ยนกับชาว<br>พื้นเมืองบนดาวต่างๆด้วยถูกมั้ย?"""
Npc44_mb13_020#0,"""งานคงหนักมากสินะ<br>ไม่รู้จะขอบคุณยังไงจริงๆ"""
Npc44_mb13_010#1,"""アークスの仕事って、ダーカ―退治<br>だけじゃなくて、依頼受けたり<br>原住民との折衝もあるんだろ？"""
Npc44_mb13_020#1,"""大変だよなぁ。<br>本当に頭が上がらないぜ。"""
Npc44_mb14_010#0,"""งานของ ARKS ไม่ได้มีแค่คอยกำจัด Darker<br>แต่ยังมีภารกิจอื่นๆ รวมทั้งคอยแลกเปลี่ยนกับชาว<br>พื้นเมืองบนดาวต่างๆด้วยถูกมั้ย?"""
Npc44_mb14_020#0,"""งานคงหนักมากสินะ<br>ไม่รู้จะขอบคุณยังไงจริงๆ"""
Npc44_mb14_010#1,"""アークスの仕事って、ダーカ―退治<br>だけじゃなくて、依頼受けたり<br>原住民との折衝もあるんだろ？"""
Npc44_mb14_020#1,"""大変だよなぁ。<br>本当に頭が上がらないぜ。"""
