LogName#0,"""รายละเอียด Emergency Trial"""
FCondNauraGoodsDestroy#0,"""ถ้าสินค้าทั้งหมดถูกทำลาย"""
FCondCaptureTryNum#0,"""ถ้าไม่สามารถใช้กับดักได้อีก"""
FCondCaptureTargetDead#0,"""ถ้าสิ่งมีชีวิตเป้าหมายในการจับกุมตาย"""
FCondDwarfHomeDestroyed#0,"""ถ้าหมู่บ้านทั้งหมดถูกทำลาย"""
FCondBeachNauraSearch#0,"""ถ้า Eldest Naura girl ถูกทำให้ไม่สามารถต่อสู้ได้"""
FCondUmincyuKiki1patu#0,"""Natives ถูกพาตัวหายไป"""
FCondSlimeVanish#0,"""ไม่สามารถขับไล่ได้ในเวลาที่กำหนด"""
FCondPlayerAnnihilation#0,"""กองกำลัง ARKS พินาศย่อยยับ"""
FCoundEscapeJackBox#0,"""ไม่สำมารถกำจัด Mr. Bowan ได้ในเวลาที่กำหนด"""
ProgTimeLimit#0,"""เวลาจำกัด"""
ProgNumPlayerDead#0,"""จำนวนจำกัดที่สามารถถูกทำให้ไม่สามารถต่อสู้ได้"""
ProgNumEnemyKill#0,"""$(0) ที่กำจัด"""
ProgNumAllEnemyKill#0,"""เป้าหมายที่กำจัด"""
ProgNumPartnerBossKill#0,"""$(0) ที่กำจัด"""
ProgNumEnemybombBreak#0,"""ความทนทานของ Bayze"""
ProgNumKey#0,"""จำนวนกุญแจที่สะสม"""
ProgDarkerTrapHp#0,"""ความทนทานของกรง Fhan-Jee"""
ProgHelicopterHp#0,"""สถานะการซ่อมแซมของ Fighter Plane"""
ProgNumEnemyEscape#0,"""$(0) ที่หนีไป"""
ProgNumCollectSample#0,"""จำนวนที่ขุดพบ"""
ProgTimeCollectSample#0,"""เวลาจำกัด"""
ProgNumPseDestroy#0,"""จำนวน Energizer Crystal ที่ถูกทำลาย"""
ProgTimePseDefense#0,"""เวลาที่เหลือในการปกป้อง Energizer Crystal"""
ProgDwarfDefenseHp#0,"""สถานะความเสียหายของ Gilnas"""
ProgTimeDwarfDefense#0,"""เวลาที่เหลือจนกว่า Lagomite จะหลบหนีไป"""
ProgNumGoods#0,"""$(0) ที่เก็บกลับมา"""
ProgNumGeneratorDestroy#0,"""จำนวน D-arkeim ที่ทำลายไป"""
ProgNumNauraGoodsDestroy#0,"""จำนวนกล่องเก็บสินค้าที่ถูกทำลาย"""
ProgTimeNauraGoodsDefense#0,"""เวลาที่เหลือในการปกป้องสินค้า"""
ProgNumBeStruckUmblla#0,"""จำนวนครั้งที่ถูก Mr. Umbra โจมตี"""
ProgApcHp#0,"""สถานะ HP ของ Partner"""
ProgDwarfHp#0,"""สถานะ HP ของ Lagomite"""
ProgNumTryCapture#0,"""กับดักที่ทำงาน"""
ProgNumCaptureTarget#0,"""$(0) จับกุม"""
ProgDarkercoreHp#0,"""Controller Stamina"""
ProgDwarfHomeHp#0,"""Lagomite Village Stamina"""
ProgNumRescuee#0,"""จำนวนชาวบ้านที่ช่วยเหลือได้"""
ProgNumDestroyNeoBurufu#0,"""จำนวน Gel Bulf ที่ถูกทำลาย"""
ProgNoDataAllEnemyKill#0,"""ถ้าศัตรูทั้งหมดถูกทำลาย"""
ProgNumSwitchUnlock#0,"""Stop Switch Status"""
ProgBeachNauraSearchHP#0,"""Eldest Naura Girl's HP Status"""
ProgTimeBombNum#0,"""จำนวนระเบิดเวลาที่ยังไม่ถูกปลดสลัก"""
ProgShootDarkerHeliHp#0,"""Corrupted Stamina"""
ProgSessionApcHp#0,"""สถานะ HP ของพวก Partner"""
ProgPlayerAnnihilation#0,"""$(0) ที่กำจัด"""
ProgSatisfactionOfJackBox#0,"""ปริมาณดาเมจที่ทำกับ Mr. Bowan"""
ResultMeseta#0,"""$(0) Meseta"""
ResultExperience#0,"""$(0) XP"""
ResultGetItem#0,"""รางวัล:"""
ItemNumber#0,"""$(0) x $(1)"""
FCondDwarfMsg#0,"""ถ้าเกินเวลาที่กำหนด"""
FloorOrderSuccessMsg#0,"""Stage Order [$(0)] สำเร็จ!"""
FloorOrderFailureMsg#0,"""Stage Order [$(0)] ล้มเหลว!"""
FloorOrderMsg#0,"""Stage Order [$(0)]"""
FloorOrderEnemyAll#0,"""ศัตรู"""
FloorOrderEnemyName#0,"""$(0)"""
FloorOrderTime#0,"""$(0) วินาที"""
FloorOrderTimeLimit#0,"""ภายใน $(0) วินาที"""
FloorOrderTimes#0,"""ภายใน $(0) ครั้ง"""
FloorOrderNum#0,"""มีทั้งหมด $(0) Site"""
FloorOrderNumEnemy#0,"""ศัตรู $(0) ตัว"""
FloorOrderNoRecoverCondition#0,"""โดยไม่ฟื้นฟู"""
FloorOrderWeakCondition#0,"""โจมตีจุดอ่อน"""
FloorOrderFrontCondition#0,"""จากด้านหน้า"""
FloorOrderBackCondition#0,"""จากด้านหลัง"""
FloorOrderStatusCondition#0,"""ถูกสภาวะผิดปกติ"""
FloororderKillEnemy#0,"""กำจัด $(5) <yellow>$(4)<c>  ใน <c 00ffff>สถานะ $(1)  จาก $(2) ภายใต้สถานะ $(3) ภายใน $(0)!"""
FloororderDamage#0,"""จงทำดาเมจ$(4)กับ$(0)<c 00ffff>$(1)<yellow>$(2)<c>ให้เกินกว่า$(3)!"""
FloororderPartDamage#0,"""<c ff007f>ทำลายชิ้นส่วน $(2)<c> ชิ้นของ <yellow>$(1)<c> ภายใน $(0)!"""
FloorOrderNoDamage#0,"""หลีกเลี่ยงความเสียหาย $(1) ภายใน $(0)!"""
FloorOrderNoRecover#0,"""ไม่ฟื้นฟู $(1) ครั้งภายใน $(0)!"""
FloorOrderNoDead#0,"""อยู่ในสถานะต่อสู้ไม่ได้ไม่เกิน $(1) ครั้งภายใน $(0)!"""
FloororderKillEnemyR#0,"""กำจัด $(5) $(4)  ภายใน $(0) <br>ภายใต้เงื่อนไข $(1)  จาก $(2) ภายใต้ $(3)!"""
FloororderDamageR#0,"""จงทำดาเมจ$(3)<br>กับ$(0)$(1)(Cenemy)<br>ให้เกินกว่า$(2)!"""
FloororderPartDamageR#0,"""ทำลาย $(1) ชิ้นของ (BEnemy) ภายใน $(0)!"""
FloorOrderNoDamageR#0,"""หลีกเลี่ยงความเสียหาย $(1) ภายใน $(0)!"""
FloorOrderNoRecoverR#0,"""ไม่ฟื้นฟู $(1) ครั้งภายใน $(0)!"""
FloorOrderNoDeadR#0,"""อย่าอยู่ในสถานะต่อสู้ไม่ได้เกิน $(1) ครั้ง ภายใน $(0)!"""
BonusmapAppearanceMsg#0,"""เครื่อง Teleporter ไปยัง Parallel Area ได้ถูกเปิดใช้งานในพื้นที่ระดับ $(0)"""
ProgUmincyuKiki1patuHp#0,"""สถานะ HP ของ Natives"""
ProgUmincyuKiki1patuTime#0,"""สถานะ HP ของ Natives"""
ProgNumShellFlowerBreak#0,"""จำนวน Fusillade Flowers ที่กำจัดได้"""
ProgSlimeVanishAnalyze#0,"""แต้มกำจัด Mad Jelly"""
ProgSlimeVanishTime#0,"""เวลาที่ Mad Jelly เกิด"""
LogName#1,"""エマージェンシー トライアル情報"""
TrialSuccessMsg#1,"""エマージェンシー トライアル [$(0)]成功！"""
TrialFailureMsg#1,"""エマージェンシー トライアル [$(0)]失敗！"""
TrialFailureMsg_PlayerAnnihilation#1,"""エマージェンシー トライアル [$(0)]阻止！"""
TrialCancelMsg#1,"""を離脱しました。"""
TrialTargetKey#1,"""収集した情報キー"""
TrialTargetEnemy#1,"""倒したエネミー"""
DirectionNorth#1,"""北側"""
DirectionEast#1,"""東側"""
DirectionSouth#1,"""南側"""
DirectionWest#1,"""西側"""
RemainingEnemyNumMsg#1,"""残り$(0)体！"""
EnemyEscapeMsg#1,"""$(0)1体に逃げられた！<br>あと$(1)体逃げられると失敗。"""
EnemyEscapeLastMsg#1,"""データ回収に必要な数の$(0)に逃げられた！"""
KeyTrialMsg#1,"""このエマージェンシー トライアルをクリアしたらクエストクリア！"""
MultiEnemyName#1,"""敵"""
PartnerEnemyName#1,"""共棲エネミー"""
PantherName#1,"""ファングバンサー"""
SnowPantherName#1,"""スノウバンサー"""
CollectGoodsNameA#1,"""昆虫の化石"""
CollectGoodsNameB#1,"""卵型の物質"""
CollectGoodsNameC#1,"""稀少鉱物"""
NauraShopNameA#1,"""ナウラのケーキ屋"""
BonusmapEnemyGenericName#1,"""希少エネミー"""
FCondNone#1,"""なし"""
FCondNoPlayerInArea#1,"""エリアから参加者がいなくなった場合"""
FCondTimeLimitOver#1,"""制限時間を超えた場合"""
FCondAllPlayerDied#1,"""参加者が全員戦闘不能になる"""
FCondNumPlayerDead#1,"""参加者が$(0)回戦闘不能になる"""
FCondEnemybombOutbreak#1,"""ベイゼの爆発"""
FCondNeoBurufuOutbreak#1,"""撃破できず制限時間内に$(0)回以上襲撃される"""
FCondDarkerLightningStruck#1,"""落雷に$(0)回被雷したら失敗"""
FCondCapturePlayerDied#1,"""さらわれたプレイヤーが戦闘不能になる"""
FCondHelicopterDestroy#1,"""戦闘機が全壊する"""
FCondNumEnemyEscape#1,"""$(0)体以上逃げられる"""
FCondCollectSample#1,"""一定時間内にノルマを達成出来なかった場合"""
FCondPseDestroy#1,"""励起結晶が2個破壊された場合"""
FCondNumApcDead#1,"""パートナーが2回戦闘不能になる"""
FCondSessionApcDead#1,"""パートナー全員が戦闘不能になる"""
FCondDwarfCaptorDead#1,"""ギルナスが全壊する"""
FCondDwarfDead#1,"""リリーパ族が戦闘不能になる"""
FCondGoodsDestroy#1,"""$(0)が$(1)個破壊された場合"""
FCondStruckUmblla#1,"""Mr.アンブラを2回攻撃してしまった場合"""
FCoundMissUmblla#1,"""Mr.アンブラが攻撃を5回ミスしてしまった場合"""
FCondNauraGoodsDestroy#1,"""全ての商品が破壊された場合"""
FCondCaptureTryNum#1,"""捕獲装置が使えなくなった場合"""
FCondCaptureTargetDead#1,"""捕獲対象が死亡した"""
FCondDwarfHomeDestroyed#1,"""全ての集落が破壊された場合"""
FCondBeachNauraSearch#1,"""ナウラ長女が戦闘不能になる"""
FCondUmincyuKiki1patu#1,"""原生住民が連れ去られてしまう"""
FCondSlimeVanish#1,"""一定時間内に駆除できなかった場合"""
FCondPlayerAnnihilation#1,"""アークス勢力の全滅"""
FCoundEscapeJackBox#1,"""時間内にMr.ボワンを撃破できなかった場合"""
ProgTimeLimit#1,"""制限時間"""
ProgNumPlayerDead#1,"""参加者が戦闘不能になった回数"""
ProgNumEnemyKill#1,"""$(0)の討伐数"""
ProgNumAllEnemyKill#1,"""対象の討伐数"""
ProgNumPartnerBossKill#1,"""$(0)の討伐数"""
ProgNumEnemybombBreak#1,"""ベイゼの耐久力"""
ProgNumKey#1,"""鍵の収集数"""
ProgDarkerTrapHp#1,"""ファンジの檻の耐久力"""
ProgHelicopterHp#1,"""戦闘機の修理状況"""
ProgNumEnemyEscape#1,"""$(0)の逃走数"""
ProgNumCollectSample#1,"""一定数採掘を完了させる"""
ProgTimeCollectSample#1,"""制限時間"""
ProgNumPseDestroy#1,"""励起結晶が破壊された個数"""
ProgTimePseDefense#1,"""励起結晶を守り抜く時間"""
ProgDwarfDefenseHp#1,"""ギルナスの損傷状況"""
ProgTimeDwarfDefense#1,"""リリーパ族脱出までの時間"""
ProgNumGoods#1,"""$(0)を回収した数"""
ProgNumGeneratorDestroy#1,"""ダーカイムの破壊数"""
ProgNumNauraGoodsDestroy#1,"""商品が破壊された個数"""
ProgTimeNauraGoodsDefense#1,"""商品を守り抜く時間"""
ProgNumBeStruckUmblla#1,"""Mr.アンブラの攻撃を受けた回数"""
ProgApcHp#1,"""パートナーのHP状況"""
ProgDwarfHp#1,"""リリーパ族のHP状況"""
ProgNumTryCapture#1,"""捕獲装置の起動回数"""
ProgNumCaptureTarget#1,"""$(0)の捕獲数"""
ProgDarkercoreHp#1,"""制御機構の耐久力"""
ProgDwarfHomeHp#1,"""リリーパ族集落の耐久力"""
ProgNumRescuee#1,"""救助した市民の数"""
ProgNumDestroyNeoBurufu#1,"""撃破したゲルブルフの数"""
ProgNoDataAllEnemyKill#1,"""全てのエネミーを撃破する"""
ProgNumSwitchUnlock#1,"""停止スイッチの解除状況"""
ProgBeachNauraSearchHP#1,"""ナウラ長女のHP状況"""
ProgTimeBombNum#1,"""時限爆弾を解除した数"""
ProgShootDarkerHeliHp#1,"""侵食戦闘機の耐久力"""
ProgSessionApcHp#1,"""パートナー達のHP状況"""
ProgPlayerAnnihilation#1,"""$(0)の討伐数"""
ProgSatisfactionOfJackBox#1,"""Mr.ボワンに与えたダメージ量"""
ResultMeseta#1,"""$(0)メセタ"""
ResultExperience#1,"""$(0)EXP"""
ResultGetItem#1,"""報酬："""
ItemNumber#1,"""$(0)×$(1)"""
FCondDwarfMsg#1,"""制限時間を超えた場合"""
FloorOrderSuccessMsg#1,"""ステージオーダー [$(0)]成功！"""
FloorOrderFailureMsg#1,"""ステージオーダー [$(0)]失敗！"""
FloorOrderMsg#1,"""ステージオーダー [$(0)]"""
FloorOrderEnemyAll#1,"""エネミー"""
FloorOrderEnemyName#1,"""$(0)"""
FloorOrderTime#1,"""$(0)秒間、"""
FloorOrderTimeLimit#1,"""$(0)秒以内に"""
FloorOrderTimes#1,"""$(0)回以上"""
FloorOrderNum#1,"""合計$(0)箇所"""
FloorOrderNumEnemy#1,"""$(0)体"""
FloorOrderNoRecoverCondition#1,"""回復を受けずに"""
FloorOrderWeakCondition#1,"""弱点部位を突いて"""
FloorOrderFrontCondition#1,"""正面から"""
FloorOrderBackCondition#1,"""背後から"""
FloorOrderStatusCondition#1,"""状態異常になった"""
FloororderKillEnemy#1,"""$(0)<c 00ffff>$(1)$(2)$(3)<yellow>$(4)<c>を$(5)倒せ！"""
FloororderDamage#1,"""$(0)<c 00ffff>$(1)<yellow>$(2)<c>に<c ff007f>$(3)以上のダメージ<c>を$(4)与えろ！"""
FloororderPartDamage#1,"""$(0)<yellow>$(1)<c>の部位を<c ff007f>$(2)破壊<c>せよ！"""
FloorOrderNoDamage#1,"""$(0)$(1)ダメージを受けるな！"""
FloorOrderNoRecover#1,"""$(0)$(1)回復効果を受けるな！"""
FloorOrderNoDead#1,"""$(0)$(1)戦闘不能になるな！"""
FloororderKillEnemyR#1,"""$(0)$(1)$(2)$(3)<br>$(4)を$(5)倒せ！"""
FloororderDamageR#1,"""$(0)$(1)<br>$(2)に<br>$(3)以上のダメージを$(4)与えろ！"""
FloororderPartDamageR#1,"""$(0)$(1)の<br>部位を$(2)破壊せよ！"""
FloorOrderNoDamageR#1,"""$(0)$(1)ダメージを受けるな！"""
FloorOrderNoRecoverR#1,"""$(0)$(1)回復効果を受けるな！"""
FloorOrderNoDeadR#1,"""$(0)$(1)戦闘不能になるな！"""
BonusmapAppearanceMsg#1,"""エリア$(0)でパラレルエリアへのテレポーターが起動しました"""
ProgUmincyuKiki1patuHp#1,"""原生住民のHP状況"""
ProgUmincyuKiki1patuTime#1,"""原生住民のHP状況"""
ProgNumShellFlowerBreak#1,"""排除した砲仙花の数"""
ProgSlimeVanishAnalyze#1,"""マッドゼリーの駆除ポイント"""
ProgSlimeVanishTime#1,"""マッドゼリー発生時間"""
QuestSuccess#0,"""/face2 ท่านสามารถกลับได้แล้ว"""
QuestFailure#0,"""/face4 ไม่เป็นไร ได้โปรดกลับไป"""
QuestSuccess#1,"""/face2 そのまま帰還してください。"""
QuestFailure#1,"""/face4 仕方がありません、帰還を。"""
QuestSuccess#2,"""ท่านสามารถกลับไปได้แล้ว"""
QuestFailure#2,"""ยอมแพ้แล้วกลับไปเถอะ มันจบลงแล้วล่ะ"""
QuestSuccess#3,"""帰還許可が下りた。戻ってこい。"""
QuestFailure#3,"""諦めて帰還しろ。そこまでだ。"""
QuestSuccess#4,"""/face2 ทำได้ดีมาก! ท่านกลับไปได้แล้ว!"""
QuestFailure#4,"""/face6 ช่างเถอะ ท่านกลับไปได้แล้ว"""
QuestSuccess#5,"""/face2 お疲れ様です！帰還してください！"""
QuestFailure#5,"""/face6 とにかく、帰還してください。"""
