11_voice_NPC_5051_100#0,"""啊啊，你來得正好!<br> 可以幫個忙麼?"""
11_voice_NPC_5051_100#15,"""料理人である以上は<br>食材に精通していることはもちろん<br>挑戦する心を忘れちゃダメだと思うの！"""
Npc51_mb21_020#0,"""どうすれば食べられるのか<br>どう調理すれば美味しくなるのか<br>常に考えて勉強していかないと！"""
11_voice_NPC_5051_100#16,"""心身を休ませるためには<br>必要なのは、休息と美味しい食事よ。"""
Npc51_mb23_after_020#0,"""身体にいいものを食べて<br>ゆっくり休めば、大丈夫！"""
11_voice_NPC_5051_100#17,"""美味しくて栄養満点の食事は<br>元気の源になるわ。"""
Npc51_mb24_after_020#0,"""だからどんな時でも<br>きちんとしっかり食べる。<br>これが大事なのよ。"""
11_voice_NPC_5051_100#18,"""カフェには色々なお客さんが来るけど<br>みんな、美味しいって言ってくれるの。"""
st01_020#0,"""カフェでくつろいでくれる人も多いし<br>頑張りがいがあるわ。"""
11_voice_NPC_5051_100#19,"""カフェには色々なお客さんが来るけど<br>美味しいものを提供すること以外にも<br>大切な役目があるの。"""
ep6_sq00_02#0,"""みんなが大変なときや<br>疲れたときに落ち着ける空間を<br>変わらずに提供するのが私の役目。"""
ep6_sq00_03#0,"""いつでもお店は開けてるから<br>疲れたら息抜きに来てね。"""
11_voice_NPC_5051_100#20,"""美味しくて栄養満点の食事は<br>元気の源になるわ。"""
st01_020#1,"""だから病み上がりの時なんかは<br>特にきちんとしっかり食べる。<br>忘れないでね。"""
11_voice_NPC_5051_104#2,"""スカウトするなら、どんな人かって？<br>そうねえ、うちの店のスタッフは<br>私がひとりずつ声をかけて回ったな。"""
Popona_01_20#0,"""自分の仕事に誇りを持っているか。<br>この人になら、任せられると思えるか。<br>そんな所をチェックしてたと思う。"""
Popona_01_30#0,"""仮に、その人が大きな失敗をしたり<br>裏切ったりしても、その人のせいにせず<br>私の責任だと思えるかどうか、とかね。"""
Popona_01_40#0,"""大事なのは、選んだ人と<br>信頼しあえる関係を築けるかだと思う。<br>一緒に頑張っていくんだからね。"""
