IncidentName#0,"""$(0)殲滅作戦"""
NpcComOnLose_1#0,"""/atime2.5 /voice11_voice_navipr01_prism_101 うわぁぁぁぁ！！！"""
NpcComOnLose_2#0,"""/atime2.5 /voice11_voice_navipr02_prism_102 作戦要綱を破棄<br>パイロット保護を優先。<br>プラグを緊急射出して！"""
NpcComOnWin_1#0,"""/atime2.5 /voice11_voice_navipr02_prism_103 やったわ！<br>シンジ君準備はいい？"""
NpcComOnWin_2#0,"""/atime2.5 /voice11_voice_navipr01_prism_103 はいっ！"""
NpcComOnSuccess#0,"""使徒殲滅作戦、完了です！<br>みなさん、お疲れさまでした！"""
NpcComOnBegin#1,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：開始時1"""
NpcComOnBegin_2#1,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：開始時2"""
NpcComOnBegin_3#1,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：開始時3"""
NpcComOnBegin_4#0,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：開始時4"""
NpcComOnBegin40Sec_1#0,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：開始40秒後1"""
NpcComOnBegin40Sec_2#0,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：開始40秒後2"""
NpcComOnTargetPlayerFirstTime#1,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：敵攻撃がプレイヤーに向いた"""
NpcComOnHelpBattery_1#0,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：援護砲台説明1"""
NpcComOnHelpBattery_2#1,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：援護砲台説明2"""
NpcComOnHelpBattery_3#0,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：援護砲台説明3"""
NpcComOnHelpBattery_4#0,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：援護砲台説明4"""
NpcComOnHelpBatteryDisp_1#0,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：援護砲台画面表示説明1"""
NpcComOnHelpBatteryDisp_2#0,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：援護砲台画面表示説明2"""
NpcComOnBatteryReadyFree#0,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：援護砲台射撃予兆"""
NpcComOnBatteryReadyNorth#0,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：援護砲台射撃予兆:北"""
NpcComOnBatteryReadyEast#0,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：援護砲台射撃予兆:東"""
NpcComOnBatteryReadyWest#0,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：援護砲台射撃予兆:西"""
NpcComOnBatteryAttack#1,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：援護砲台の攻撃開始"""
NpcComOnBatteryAttackSucceeded#0,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：援護砲台の攻撃成功"""
NpcComOnBatteryAttackFailed#0,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：援護砲台の攻撃失敗"""
NpcComOnTargetBattery#0,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：援護砲台が狙われている"""
NpcComOnBatteryBreak1_1#1,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：援護砲台1基目大破1"""
NpcComOnBatteryBreak1_2#0,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：援護砲台1基目大破2"""
NpcComOnBatteryBreak2_1#1,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：援護砲台2基目大破1"""
NpcComOnBatteryBreak2_2#0,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：援護砲台2基目大破2"""
NpcComOnBatteryBreak3_1#1,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：援護砲台3基目大破1"""
NpcComOnBatteryBreak3_2#0,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：援護砲台3基目大破2"""
NpcComOnTargetShaftFirstTime#0,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：敵が例のアレ本体を目標"""
NpcComOnHpUnder40_1#0,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：敵HP40%以下1"""
NpcComOnHpUnder40_2#0,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：敵HP40%以下2"""
NpcComOnFailure#0,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：例のアレ本体撃沈（失敗）"""
NpcComOnSuccess#1,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：敵HP0%or時間（成功1）"""
NpcComOnSuccess_2#0,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：敵HP0%or時間（成功2）"""
NpcComOnBegin#2,"""***"""
NpcComOnBegin_2#2,"""***"""
NpcComOnBegin_3#2,"""***"""
NpcComOnBegin_4#1,"""***"""
NpcComOnBegin40Sec_1#1,"""***"""
NpcComOnBegin40Sec_2#1,"""***"""
NpcComOnTargetPlayerFirstTime#2,"""***"""
NpcComOnHelpBattery_1#1,"""***"""
NpcComOnHelpBattery_2#2,"""***"""
NpcComOnHelpBattery_3#1,"""***"""
NpcComOnHelpBattery_4#1,"""***"""
NpcComOnHelpBatteryDisp_1#1,"""***"""
NpcComOnHelpBatteryDisp_2#1,"""***"""
NpcComOnBatteryReadyFree#1,"""***"""
NpcComOnBatteryReadyNorth#1,"""***"""
NpcComOnBatteryReadyEast#1,"""***"""
NpcComOnBatteryReadyWest#1,"""***"""
NpcComOnBatteryAttack#2,"""***"""
NpcComOnBatteryAttackSucceeded#1,"""***"""
NpcComOnBatteryAttackFailed#1,"""***"""
NpcComOnTargetBattery#1,"""***"""
NpcComOnBatteryBreak1_1#2,"""***"""
NpcComOnBatteryBreak1_2#1,"""***"""
NpcComOnBatteryBreak2_1#2,"""***"""
NpcComOnBatteryBreak2_2#1,"""***"""
NpcComOnBatteryBreak3_1#2,"""***"""
NpcComOnBatteryBreak3_2#1,"""***"""
NpcComOnTargetShaftFirstTime#1,"""***"""
NpcComOnHpUnder40_1#1,"""***"""
NpcComOnHpUnder40_2#1,"""***"""
NpcComOnFailure#1,"""***"""
NpcComOnSuccess#2,"""***"""
NpcComOnSuccess_2#1,"""***"""
NpcComOnBegin#3,"""***"""
NpcComOnBegin_2#3,"""***"""
NpcComOnBegin_3#3,"""***"""
NpcComOnTargetPlayerFirstTime#3,"""***"""
NpcComOnHelpBattery#1,"""***"""
NpcComOnHelpBattery_2#3,"""***"""
NpcComOnBatteryAttack#3,"""***"""
NpcComOnBossDown#1,"""***"""
NpcComOnBatteryBreak1_1#3,"""***"""
NpcComOnBatteryStart2#1,"""***"""
NpcComOnBatteryBreak2_1#3,"""***"""
NpcComOnBatteryStart3#1,"""***"""
NpcComOnBatteryBreak3_1#3,"""***"""
NpcComOnEmergency#1,"""***"""
NpcComOnChangeModeSt#1,"""***"""
NpcComOnChangeModeAs#1,"""***"""
NpcComOnChangeModeAs_2#1,"""***"""
NpcComOnLose_1#1,"""***"""
NpcComOnLose_2#1,"""***"""
NpcComOnWin_1#1,"""***"""
NpcComOnWin_2#1,"""***"""
NpcComOnSuccess#3,"""***"""
