GroupChat_Title#0,"""Group Chat"""
GroupListLabelMax#0,"""$(0) <c ff9933>($(1))<c>"""
GroupChatTost_GroupJoin#0,"""$(0) has joined the Group: $(1)."""
GroupChatTost_InviteDeny2#0,"""Declined the Group invite."""
Popup_Inviterefuse#0,"""Decline Invite"""
GroupChat_JoinMax_Title#0,"""Joined Groups"""
GroupChat_JoinMax_Message#0,"""You have joined the maximum number of Groups and cannot join any more. Please leave one of the Groups you have already joined before joining the Group you have been invited to."""
GroupChatError_MakeEmptyFault#0,"""Could not create Group as either the<br>Group Name or Group Topic is blank."""
GroupChatError_RenameEmptyFault#0,"""Could not edit Group as either the<br>Group Name or Group Topic is blank."""
GroupChatError_NotFindTitle#0,"""Group Status"""
GroupChatError_NotFindMessage#0,"""The Group cannot not be joined because it could not be found."""
GroupChatError_NotInviteTitle#0,"""Group Status"""
GroupChatError_NotInviteMessage#0,"""The Group cannot be joined because<br>you have not received an invite."""
GroupChatError_JoiningTitle#0,"""Group Status"""
GroupChatError_JoiningMessage#0,"""You're already in the Group."""
GroupChatTost_ListNumFault#0,"""Could not display this Group."""
GroupChatTost_PopupInvitedCansel#0,"""Cancel Invitation"""
GroupChatTost_TitleInvitedCansel#0,"""Confirm Invitation Cancellation"""
GroupChatTost_QuesInvitedCansel#0,"""Cancelling the invitation for $(0) to join $(1). Are you sure?"""
GroupChatTost_ButtonInvitedCansel#0,"""Cancel Invitation"""
GroupChatTost_ToastInvitedCansel#0,"""Invitation cancelled."""
GroupChatTost_ToastInvitedCansel1#0,"""The selected person has already been registered in the Group."""
GroupChatTost_ToastInvitedCansel2#0,"""Unable to cancel the invitation."""
