text00#0,"""ごきげんよう。<br>どのようなご用件でしょうか？"""
text01#8,"""『チャレンジクエスト』について説明します。<br><br><red>チャレンジクエストはＶＲエネルギーが<br>切れるまでに指定されたミッションのクリアを<br>目標とするクエスト<c>です。<br><br>以下の条件でクエストクリアとなります。<br><yellow>・指定のミッションをクリアする<br>・ＶＲエネルギーが無くなる<c><br><br>ＶＲエネルギーは参加者共有です。<br>緑色のバーで残量が表示されています。"""
text02#7,"""『チャレンジャー』<br>について説明します。<br><br>チャレンジクエストではクラスが<br>「チャレンジャー」に変更されます。<br><br>チャレンジャーには以下の特徴があります。<br><yellow>・全ての武器、防具を装備できる<br>・ＰＡ、テクニック、スキルを無条件で<br>\u3000ディスクから習得・装備する事ができる<c><br><br>スタンスは2つまで同時使用可能です。<br>※一部同時使用不可なスタンスも存在します"""
text03#3,"""『ＶＲエネルギー』について説明します。<br><br>ＶＲエネルギーとはクエスト中に<br>消費される、制限時間のようなものです。<br><br>ＶＲエネルギーは以下の条件で消費されます。<br><yellow>・クエスト中の時間経過<br>・プレイヤーが戦闘不能になる<c><br><br>ＶＲエネルギーはエネルギーカプセルを<br>拾う事で回復することが出来ます。<br>拾ったエネルギーは参加者間で共有されます。<br><red>※ミニマップに表示されないカプセルも<br>存在します<c>"""
text04#1,"""戦闘不能になるとＶＲエネルギーを<br>大幅に消費してしまいます。<br><br>以下の方法で復活した際は消費分を<br>回復することが可能です。<br><yellow>・ムーンアトマイザーを使用する<c><br><br><red>上記以外の方法で復活した場合<br>消費したＶＲエネルギーは回復しない<c>ので<br>積極的に仲間を復活させましょう。<br><br>また、<yellow>チャレンジドール<c>を所持している場合<br>戦闘不能者は自動的に復活するため<br>ＶＲエネルギーを消費しません。"""
text05#1,"""『インターバルエリア』について説明します。<br><br>クエスト中にインターバルエリアと呼ばれる<br>休憩ポイントが存在します。<br>このエリアにプレイヤーが到達した時点で<br>時間経過によるＶＲエネルギーの<br>消費が停止します。<br>※戦闘不能時のエネルギー消費及び<br>ムーンアトマイザーによる回復は発生します<br><br>また、一定時間後このエリアに到達していない<br>全てのプレイヤーが強制転送されます。<br><red>戦闘不能のプレイヤーは復活しますが<br>ＶＲエネルギーは回復しません。<c>"""
text06#1,"""インターバルエリアではリサイクルショップで<br>有用なアイテムとの交換が可能です。<br><br>次以降のミッションに向けて回復アイテムを<br>補充したり、武器やディスクの交換を<br>行いましょう。<br><br>交換アイテムが足りない場合は<br>パーティーメンバーに貰うのも有効な手段です。"""
text07#1,"""『チャレンジマイル』について説明します。<br><br>チャレンジクエストをクリアすると<br>チャレンジマイルを取得する事が出来ます。<br>チャレンジマイルはショップエリアで<br>各種アイテムに交換が可能です。<br><br>マイルは主に以下の方法で獲得できます。<br><yellow>・ミッションをクリアする<br>・マイルクリスタルの入手<c><br>ミッションのクリア率はエリアの<br>先頭プレイヤーの位置で決まります。<br>また、マイルクリスタルの獲得量は<br>参加者全員で共有されます。"""
text08#0,"""『自己最高記録タグ』について説明します。<br><br>チャレンジクエストをクリアすると<br>次回以降チャレンジクエスト内に<br>自己最高記録タグが配置されます。<br><br>これは自分の最高到達記録を示すものとなり<br>記録を更新すると位置が更新されます。<br><br>自分の記録は青色。<br>他のプレイヤーは銀色で表示されています。"""
text09#0,"""チャレンジクエストでは<br>エネミーが落としたアイテムや<br>コンテナから出現したアイテムは<br>自分だけが拾えるアイテムとなります。<br><br><yellow>他のプレイヤーは拾うことが出来ませんので<br>出現したアイテムは積極的に拾いましょう。<c>"""
text10#0,"""『エクストラチャージボーナス』について <br>説明します。 <br> <br>VRエネルギーを100%以上回復した場合、 <br>回復量に応じてエクストラチャージボーナスを<br>得ることが出来ます。<br><br>エクストラチャージボーナスは <br>2.5%毎に1チャレンジマイルが付与されますが、  <br><red>VRエネルギーが100%を超えて回復することは<br>ありませんので、制限時間にはご注意下さい。<c>"""
text00#5,"""『共通シップ』について"""
text01#9,"""『共通シップ』について説明します。<br><br>共通シップは各シップの垣根を越えて<br>交流することが出来るシップとなります。<br>このシップ内に限り、別シップのプレイヤーと<br>チャレンジクエストをプレイする事が可能です。<br><br>テレポーターから「共通シップへ移動」を<br>選択することで移動が可能です。<br><br>シップに入れる人数には限りがあるので<br>入れない場合は時間をおいてから<br>アクセスしてみてください。"""
text00#6,"""『アイテムの受け渡し』について"""
text01#10,"""『アイテムの受け渡し』について<br>説明します。<br><br>チャレンジクエストでは<br>自分が入手したアイテムをフィールドに<br>配置することができます。<br>配置したアイテムは他のプレイヤーが<br>入手可能です。"""
text02#8,"""アイテムの配置は、アイテムパックから<br>配置したいアイテムに対して<br>「置く」コマンドを実行することで<br>行うことができます。<br><br>アイテムを配置すると、配置したアイテムは<br>アイテムパックから消滅し、フィールドに<br>配置されます。<br><br>自分で配置したアイテムは自分で<br>入手することもできるので、間違えて<br>アイテムを配置してしまった場合も<br>再度拾うことで再び入手できます。"""
text03#4,"""プレイヤーがフィールドに配置した<br>アイテムは、エネミーがドロップする<br>アイテムとは見た目が異なります。<br><br>なお、フィールドに配置できる<br>アイテムの数は全プレイヤー合わせて<br>160個までとなります。<br>配置したアイテムの数が<br>160個を超えた場合、最初に配置した<br>アイテムから順番に消滅するので<br>注意しましょう。"""
text04#2,"""アイテムの受け渡しは<br>チャレンジクエストを攻略する上で<br>非常に有効な手段となります。<br><br>自分にとって不要なアイテムは<br>仲間が必要としているかもしれないので<br>積極的に連絡を取り合い、<br>互いのアイテム不足分を解消していきましょう。<br><br>配置したアイテム名は<green><lt>putitem<gt><c>または<br><green><lt>pi<gt><c>で発言が可能です。"""
