EventInformation#0,"""舉行中的活動"""
GetStar#0,"""獲得星星"""
GetItem#0,"""獲得道具"""
Normal#1,"""普通"""
Hard#1,"""困難"""
VeryHard#1,"""非常困難"""
SuperHard#1,"""超級困難"""
SubPaletteTabChangeTag#0,"""<%TabForward>"""
SubPaletteTabChange#0,"""到下一頁"""
ShipName#0,"""ship $(0)"""
NowPlaying#0,"""進行中"""
RoundInterrupt#0,"""中斷"""
RoundCancel#0,"""中止"""
RoundNum#0,"""第$(0)回合"""
TotalPointNum#0,"""$(0)點"""
Unknown#0,"""？？？"""
CancelStr#0,"""-"""
WaitMsg#0,"""排名發表準備中。請稍候。"""
ResultWaitMsg#0,"""最終結果發表準備中。<br>請稍候。"""
BoostRank#0,"""$(0)位"""
TimeStart#0,"""起"""
TimeEnd#0,"""止"""
StarPoint#0,"""星星"""
Npc_Title#0,"""ARKS戰艦對抗戰"""
Npc_Explanation#0,"""<c f0df60>可以確認回合情報和排名，也可以在獎品商店已星星購買獎品。<c>"""
Npc_Menu#0,"""ARKS熊菜單"""
Npc_RoundInfo#0,"""回合情報"""
Npc_Ranking#0,"""綜合排名"""
Npc_Shop#0,"""獎品商店"""
ExHard#0,"""極其困難"""
RoundFinish#0,"""<c ff0000>已經結束<c>"""
Contents#0,"""内容"""
Contents_00#0,"""拉比機"""
Contents_01#0,"""黑妙克"""
Contents_02#0,"""美賽達射手"""
YesText#0,"""是"""
NoText#0,"""否"""
CloseText#0,"""關閉"""
OpenText#0,"""打開"""
Sort#0,"""排序"""
Copy#0,"""複製"""
Peaste#0,"""粘貼"""
NextText#0,"""下一頁"""
PrevText#0,"""上一頁"""
DecideText#0,"""確定"""
CancelText#0,"""取消"""
OKText#0,"""OK"""
ReturnText#0,"""返回"""
Switch_Vita#0,"""<pict Sign_TRIANGLE>切換"""
NumberFormat#0,"""$(0)/$(1)"""
NumberFormat2#0,"""($(0)/$(1))"""
NumberFormat3#0,"""$(0)($(1))"""
NumberFormatColor#0,"""<c ffa800>$(0)/$(1)<c>"""
NumberFormat2Color#0,"""(<c ffa800>$(0)/$(1)<c>)"""
ErrorMsg#0,"""連線錯誤"""
StarNumText#0,"""x$(0)"""
DayAddText#0,""" ～ """
ItemName_00#0,"""「"""
ItemName_01#0,"""」 """
GetStar#1,"""星星獲得"""
ClearStar#0,"""達成目標"""
GetStarMsg#0,"""$(0)獲得了星星。"""
GetStarMsg2#0,"""獲得了$(0)星星和$(1)貢獻點數。"""
GetStarMsg3#0,"""「$(0)星星」"""
ClearStarMsg#0,"""達成了目標。"""
ClearStarMsg2#0,"""獲得。"""
NoItem#0,"""無"""
BoostRate#0,"""$(0)%"""
BoostDrop#0,"""稀有道具掉落率＋$(0)％"""
BoostExp#0,"""獲得經驗值＋$(0)％"""
BoostEnemy#0,"""稀有型敵人出現率＋$(0)％"""
BoostCapability#0,"""要素4＋$(0)％"""
BoostItem#0,"""要素5＋$(0)％"""
BoostMeseta#0,"""獲得美賽達＋$(0)％"""
BoostRound#0,"""回合增幅＋$(0)％"""
BoostRoundHide#0,"""？"""
StarLimitMessage#0,"""回合内達到星星上限。"""
Date#0,"""$(0)/$(1) $(2)時～"""
Date_v#0,"""$(0)/$(1) $(2)時～"""
StarMoney#0,"""$(0)<pict sb_star_icon>"""
GroupPoint#1,"""$(0)pt"""
GroupPoint2#0,"""$(0)/$(1)pt"""
GroupPoint3#0,"""<c ffa800>$(0)/$(1)pt<c>"""
PlayPoint#0,"""$(0)/$(1)隻"""
PlayPoint2#0,"""$(0)/$(1)回"""
WinPoint#0,"""$(0)點"""
StarNumberFormat#0,"""$(0)/$(1)<pict sb_star_icon> ($(2)<pict sb_star_icon>)"""
StarNumberFormat2#0,"""<c ffa800>$(0)/$(1)<c><pict sb_star_icon> ($(2)<pict sb_star_icon>)"""
Finish#0,"""結束"""
Number_00#0,"""$(0)/$(1)<pict sb_star_icon> """
Number_01#0,"""($(0)/$(1)<pict sb_star_icon>)"""
NumberColor_00#0,"""<c ffa800>$(0)/$(1)<c><pict sb_star_icon> """
NumberColor_01#0,"""(<c ffa800>$(0)/$(1)<c><pict sb_star_icon>)"""
GroupName_000#0,"""<pict sb_flag_3>紅色拉比"""
GroupName_001#0,"""<pict sb_flag_1>藍色拉比"""
GroupName_002#0,"""<pict sb_flag_5>黄色拉比"""
GroupName_003#0,"""<pict sb_flag_2>綠色拉比"""
GroupName_004#0,"""<pict sb_flag_4>白色拉比"""
GroupName_c000#0,"""<pict sb_flag_3><c 00ffff>紅色拉比<c>"""
GroupName_c001#0,"""<pict sb_flag_1><c 00ffff>藍色拉比<c>"""
GroupName_c002#0,"""<pict sb_flag_5><c 00ffff>黄色拉比<c>"""
GroupName_c003#0,"""<pict sb_flag_2><c 00ffff>綠色拉比<c>"""
GroupName_c004#0,"""<pict sb_flag_4><c 00ffff>白色拉比<c>"""
