CorrectionAssignMapTitle#0,"""操作設定の修復"""
SubCategory_KeyBind_Keyboard_Hint#0,"""キーボードの入力を<br>どの機能に割り当てるか設定します。"""
SubCategory_MainInputDevice#0,"""おもに使用する操作機器"""
SubCategory_MainInputDevice_Hint#0,"""おもに使用する操作機器を選択します。"""
SubCategory_ActionType#0,"""アクションタイプ選択"""
SubCategory_ActionType_Hint#0,"""アクションタイプを選択します。"""
SubCategory_SoundVolume#0,"""音量"""
SubCategory_SoundVolume_Hint#0,"""BGMやSEなどの音量の設定をします。"""
SubCategory_SoundFunction#0,"""再生機能"""
SubCategory_SoundFunction_Hint#0,"""音声再生に関連する機能の設定をします。"""
SubCategory_GraphicsFunction#0,"""描画機能"""
SubCategory_GraphicsFunction_Hint#0,"""描画に関連する機能の設定をします。"""
SubCategory_GraphicsQuality#0,"""表示品質"""
SubCategory_GraphicsQuality_Hint#0,"""表示品質の設定をします。"""
SubCategory_FilterView#0,"""画面フィルター<pict Arcscash>"""
SubCategory_FilterView_Hint#0,"""画面フィルターの設定をします。"""
SubCategory_ResetWindow#0,"""ウィンドウ初期化"""
SubCategory_ResetWindow_Hint#0,"""全ウィンドウの表示位置と表示サイズを<br>初期化します。"""
SubCategory_GraphicsPreset#0,"""簡易グラフィック設定"""
SubCategory_GraphicsPreset_Hint#0,"""グラフィック設定を一括設定します。<br>数値を高く設定すると描画クオリティが高くなりますが<br>処理負荷が大きくなります。"""
GraphicsPreset_Info#0,"""グラフィック設定を一括設定します。<br>数値を高く設定すると描画クオリティが高くなりますが<br>処理負荷が大きくなります。<br><br>ご利用の環境の推奨設定は <yellow>$(0)<c> です。"""
GraphicsPreset_Info_CS#0,"""グラフィック設定を一括設定します。<br>数値を高く設定すると描画クオリティが高くなりますが<br>処理負荷が大きくなります。"""
GraphicsPreset_Button_Change#0,"""変更"""
GraphicsPreset_Button_Cancel#0,"""キャンセル"""
GraphicsPreset_choice_1#0,"""1：最低"""
GraphicsPreset_choice_2#0,"""2：低"""
GraphicsPreset_choice_3#0,"""3：中"""
GraphicsPreset_choice_4#0,"""4：高"""
GraphicsPreset_choice_5#0,"""5：スーパー"""
GraphicsPreset_choice_6#0,"""6：ウルトラ"""
GraphicsPreset_choice_1_CS#0,"""1：フレームレート重視"""
GraphicsPreset_choice_2_CS#0,"""2：バランス重視"""
GraphicsPreset_choice_3_CS#0,"""3：画質重視"""
LogoutGuide_Title#0,"""設定の適用について"""
LogoutGuide_Message#0,"""変更した描画設定の一部は<br>次回ログインから適用されます。<br><br>今すぐログアウトしますか？"""
LogoutGuide_Message_CantLogout#0,"""変更した描画設定の一部は<br>次回ログインから適用されます。"""
MenuTreeBasic#0,"""基本設定"""
MenuTreeDirection#0,"""演出設定"""
MenuTreeDraw#0,"""描画設定"""
MenuTreeSound#0,"""音声設定"""
MenuTreeControl#0,"""操作設定"""
MenuTreeCommunication#0,"""コミュニケーション"""
MenuTreeSystem#0,"""システム"""
MenuButtonBasic#0,"""基本設定"""
MenuButtonNotice#0,"""通知設定"""
MenuButtonCamera#0,"""カメラ設定"""
MenuButtonCamera_v#0,"""ゲーム内カメラ設定"""
MenuButtonShoot#0,"""撮影設定"""
MenuButtonChat#0,"""チャット設定"""
MenuButtonDirection#0,"""演出設定"""
MenuButtonDrawFunction#0,"""描画機能"""
MenuButtonDrawFilter#0,"""画面フィルター<pict Arcscash>"""
MenuButtonDrawShadow#0,"""影設定"""
MenuButtonDrawDisplay#0,"""表示設定"""
MenuButtonSound#0,"""音声設定"""
MenuButtonOperationType#0,"""おもに使用する操作機器"""
MenuButtonActionType#0,"""アクションタイプ選択"""
MenuButtonSndVolume#0,"""音量"""
MenuButtonSndPlay#0,"""再生設定"""
MenuButtonCtrl#0,"""操作設定"""
MenuButtonWindow#0,"""ウィンドウ初期化"""
MenuButtonSystem#0,"""システム"""
MenuButtonReset#0,"""設定の初期化"""
MenuButtonExit#0,"""破棄して戻る"""
MenuButtonExitWithSave#0,"""変更を反映して戻る"""
ThreeChoiceMenuTitle#0,"""終了確認"""
ThreeChoiceMenuMessageApply#0,"""オプション画面を閉じて戻ります。<br>変更を反映しますか？<br>"""
ThreeChoiceMenuButtonExit#0,"""破棄して戻る"""
ThreeChoiceMenuButtonExitWithSave#0,"""変更を反映して戻る"""
ThreeChoiceMenuButtonCancel#0,"""キャンセル"""
ConfirmTitleInit#0,"""初期化確認"""
ConfirmMessageInit#0,"""すべての操作設定を初期化します。<br>よろしいですか？"""
ConfirmTitle#0,"""終了確認"""
ConfirmMessageApply#0,"""変更を反映します。<br>よろしいですか？"""
ConfirmMessageDisapply#0,"""変更を破棄します。<br>よろしいですか？"""
ConfirmButtonApply#0,"""変更を保存して終了する"""
ConfirmButtonDisapply#0,"""変更を破棄して終了する"""
ConfirmButtonCancel#0,"""オプションに戻る"""
BasicTextSmutFilter#0,"""テキストフィルタリング設定"""
VitaCtrlTextSwapLR#0,"""L/Rボタン機能入れ替え（カスタム時無効）"""
VitaCtrlTextSwapStartSelect#0,"""START/SELECTボタン機能入れ替え(カスタム時無効)"""
VitaCtrlTextNormalCtrlType#0,"""通常視点操作タイプ"""
VitaCtrlTextShoulderCtrlType#0,"""肩越し視点操作タイプ"""
VitaCtrlTextSavePartySetting#0,"""パーティー設定の保存"""
VitaCtrlTextLockonChange#0,"""<%RStick>によるロックオン切り替え"""
VitaCtrlTextNavi#0,"""ナビアイコン表示切り替え"""
MltPtMatchingButton#0,"""複数ブロックマッチングの対象クエストを受注する時<br>カーソル位置をどちらのボタンにするかを設定します。<br>\u3000※一部クエストを除きます"""
ConfirmTitleWindowInit#0,"""ウィンドウ初期化確認"""
ConfirmMessageWindowInit#0,"""すべてのウィンドウの<br>表示位置と表示サイズを初期化します。<br>よろしいですか？"""
ConfirmMessageWindowInitEnd#0,"""ウィンドウの表示位置と表示サイズを初期化しました。"""
WindowTitleInitText#0,"""ウィンドウ初期化設定"""
WindowInitHint#0,"""全ウィンドウの表示位置と表示サイズを<br>初期化します。"""
WindowRadioButtonInitText#0,"""全ウィンドウの位置とサイズを初期化する"""
EstheTitleText#0,"""ヘアスタイル・ヘッドパーツ・アクセサリー選択方式"""
EstheHint#0,"""キャラクタークリエイトおよびエステで選択する<br>ヘアスタイル・ヘッドパーツ・アクセサリーウィンドウの<br>タイプを設定します。"""
EstheRadioButtonText1#0,"""小ウィンドウ\u3000複数表示可能"""
EstheRadioButtonText2#0,"""大ウィンドウ\u3000タブ化\u3000複数表示不可"""
CtrlKeyboardTitle#0,"""キーボード操作設定"""
CtrlTabTitleNView#0,"""通常視点"""
CtrlTabTitleZView#0,"""肩越し視点"""
CtrlTabTitleWindow#0,"""ウィンドウ"""
CtrlTabTitleOther#0,"""その他"""
CtrlTabTitleShortcut#0,"""ショートカット"""
CtrlTabTitleAction#0,"""アクション"""
CtrlTabTitleLobbyAction#0,"""ロビアク"""
CtrlTabTitleBasicSet#0,"""基本設定"""
CtrlMainCtgNameNView#0,"""通常視点操作"""
CtrlMainCtgNameZView#0,"""肩越し視点操作"""
CtrlMainCtgNameWindow#0,"""ウィンドウ操作"""
CtrlMainCtgNameOther#0,"""その他操作"""
CtrlMainCtgNameShortcut#0,"""ショートカット操作"""
CtrlMainCtgNameAction#0,"""アクション操作"""
CtrlMainCtgNameLobbyAction#0,"""ロビーアクション操作"""
CtrlSubCtgNameViewMove#0,"""キャラクター移動"""
CtrlSubCtgNameViewCamera#0,"""カメラ距離切り替え"""
CtrlSubCtgNameViewAction#0,"""アクション"""
CtrlSubCtgNameViewActionSupport#0,"""アクションサポート"""
CtrlSubCtgNameViewMenu#0,"""メニュー"""
CtrlSubCtgNameViewPalette#0,"""武器パレット送り"""
CtrlSubCtgNameViewChat#0,"""チャット"""
CtrlSubCtgNameViewSubPalette#0,"""サブパレット実行"""
CtrlSubCtgNameViewMap#0,"""マップ表示"""
CtrlSubCtgNameWindowBasic#0,"""決定／キャンセル"""
CtrlSubCtgNameWindowChat#0,"""チャット"""
CtrlSubCtgNameWindowPage#0,"""ページ送り"""
CtrlSubCtgNameWindowTab#0,"""タブ送り"""
CtrlSubCtgNameWindowDetailTab#0,"""詳細ウィンドウタブ送り"""
CtrlSubCtgNameWindowCtrlWindow#0,"""操作ウィンドウ変更"""
CtrlSubCtgNameOtherShortcut#0,"""ショートカット"""
CtrlSubCtgNameOtherShortcutWord#0,"""ショートカットワード"""
CtrlSubCtgNameOtherMainPalette#0,"""武器パレット直接変更"""
CtrlSubCtgNameOtherSubPalette#0,"""サブパレット実行"""
CtrlSubCtgNameCtrlCtrl#0,"""ショートカット設定"""
CtrlSubCtgNameCtrlWindow#0,"""ウィンドウショートカット設定"""
CtrlSubCtgNameBasic#0,"""基本操作"""
CtrlSubCtgNameAssist#0,"""補助操作"""
CtrlSubCtgNameLobbyAction#0,"""ロビーアクションのキー設定"""
CtrlSubCtgNameActionMenu#0,"""アクション／メニュー操作"""
CtrlPresetNameRNViewRcm#0,"""右利き通常視点オススメ"""
CtrlPresetNameRZViewRcm#0,"""右利き肩越し視点オススメ"""
CtrlPresetNameRNViewKbd#0,"""右利き通常視点キーボードのみ"""
CtrlPresetNameRZViewKbd#0,"""右利き肩越し視点キーボードのみ"""
CtrlPresetNameLNViewRcm#0,"""左利き通常視点オススメ"""
CtrlPresetNameLZViewRcm#0,"""左利き肩越し視点オススメ"""
CtrlPresetNameLNViewKbd#0,"""左利き通常視点キーボードのみ"""
CtrlPresetNameLZViewKbd#0,"""左利き肩越し視点キーボードのみ"""
CtrlPresetNameRcm1#0,"""オススメ1"""
CtrlPresetNameRcm2#0,"""オススメ2"""
CtrlPresetNameNViewRcm1#0,"""通常視点オススメ1"""
CtrlPresetNameNViewRcm2#0,"""通常視点オススメ2"""
CtrlPresetNameZViewRcm1#0,"""肩越し視点オススメ1"""
CtrlPresetNameZViewRcm2#0,"""肩越し視点オススメ2"""
CtrlPresetNameRRcm#0,"""右利きオススメ"""
CtrlPresetNameLRcm#0,"""左利きオススメ"""
CtrlPresetNameCutom#0,"""カスタム"""
CtrlPresetNameRcm#0,"""オススメ"""
CtrlAssignNameMouseL#0,"""左クリック"""
CtrlAssignNameMouseR#0,"""右クリック"""
CtrlAssignNameMouseM#0,"""ホイールクリック"""
CtrlAssignNameMouseWheel#0,"""ホイール"""
CtrlAssignNameMouseX1#0,"""サイドボタン（X1）"""
CtrlAssignNameMouseX2#0,"""サイドボタン（X2）"""
CtrlFuncNameNone#0,"""なし"""
CtrlFuncNameMoveForward#0,"""移動：前"""
CtrlFuncNameMoveRight#0,"""移動：右"""
CtrlFuncNameMoveLeft#0,"""移動：左"""
CtrlFuncNameMoveBack#0,"""移動：後"""
CtrlFuncNameNormalAttack#0,"""通常攻撃"""
CtrlFuncNamePhotonArts#0,"""PA／テクニック"""
CtrlFuncNameAvoid#0,"""回避アクション"""
CtrlFuncNameJump#0,"""ジャンプ"""
CtrlFuncNameAccess#0,"""アクセス"""
CtrlFuncNameWeponAction#0,"""武器アクション"""
CtrlFuncNameLockon#0,"""ロックオン"""
CtrlFuncNameLockonNext#0,"""ターゲット切り替え"""
CtrlFuncNameChangeView#0,"""視点切り替え"""
CtrlFuncNameCameraDistance#0,"""カメラ距離変更"""
CtrlFuncNameCameraSelect#0,"""カメラ選択"""
CtrlFuncNameCameraLightSetting#0,"""カスタムライト設定"""
CtrlFuncNameCameraMoveUD#0,"""カメラ上下移動"""
CtrlFuncNameAutoRun#0,"""オートラン"""
CtrlFuncNameRefuseFollowRun#0,"""追尾オートラン拒否"""
CtrlFuncNameOpenMainMenu#0,"""メインメニュー"""
CtrlFuncNameOpenSelectMenu#0,"""クイックメニュー"""
CtrlFuncNameOpenEquip#0,"""装備"""
CtrlFuncNameOpenPlayerList#0,"""周囲のキャラクター"""
CtrlFuncNameMainPaletteForward#0,"""武器パレット順送り"""
CtrlFuncNameMainPaletteBack#0,"""武器パレット逆送り"""
CtrlFuncNameMainPaletteA#0,"""アクション1"""
CtrlFuncNameMainPaletteB#0,"""アクション2"""
CtrlFuncNameMainPaletteC#0,"""アクション3"""
CtrlFuncNameBackPallete#0,"""裏パレット切り替え"""
CtrlFuncNameMainPaletteUp#0,"""武器パレット下へ"""
CtrlFuncNameMainPaletteDown#0,"""武器パレット上へ"""
CtrlFuncNameStartChat#0,"""チャットの開始"""
CtrlFuncNameStartChatPublic#0,"""周囲チャット起動"""
CtrlFuncNameStartChatParty#0,"""パーティーチャット起動"""
CtrlFuncNameStartChatGuild#0,"""チームチャット起動"""
CtrlFuncNameStartChatWhisper#0,"""ウィスパーチャット起動"""
CtrlFuncNameSubpaletteChange#0,"""サブパレットカーソル移動"""
CtrlFuncNameSubpalette#0,"""サブパレット実行"""
CtrlFuncNameSubpaletteForward#0,"""サブパレット順送り"""
CtrlFuncNameSubpaletteLeft#0,"""サブパレットカーソル左"""
CtrlFuncNameSubpaletteRight#0,"""サブパレットカーソル右"""
CtrlFuncNameCameraNear#0,"""キャラクターに近づける"""
CtrlFuncNameCameraFar#0,"""キャラクターから遠ざける"""
CtrlFuncNameCameraUp#0,"""上に移動"""
CtrlFuncNameCameraDown#0,"""下に移動"""
CtrlFuncNameCameraNext#0,"""カメラ選択順送り"""
CtrlFuncNameCameraPrev#0,"""カメラ選択逆送り"""
CtrlFuncNameUseCameraLight1#0,"""ライト1を使用する"""
CtrlFuncNameUseCameraLight2#0,"""ライト2を使用する"""
CtrlFuncNameUseCameraLight3#0,"""ライト3を使用する"""
CtrlFuncNameUseDeafultCameraLight#0,"""通常ライトを使用する"""
CtrlFuncNameScreenShoot#0,"""スクリーンショット撮影"""
CtrlFuncNameMovie#0,"""動画撮影"""
CtrlFuncNameDecide#0,"""決定"""
CtrlFuncNameCancel#0,"""キャンセル"""
CtrlFuncNameChangeMouseMode#0,"""マウスモード切り替え"""
CtrlFuncNameAllWindowClose#0,"""メインメニューを閉じる"""
CtrlFuncNameMultiSelect#0,"""複数選択"""
CtrlFuncNameFunction#0,"""機能拡張"""
CtrlFuncNameMove#0,"""操作項目の移動"""
CtrlFuncNamePageForward#0,"""ページ順送り"""
CtrlFuncNamePageBack#0,"""ページ逆送り"""
CtrlFuncNameTabForward#0,"""タブ順送り"""
CtrlFuncNameTabBack#0,"""タブ逆送り"""
CtrlFuncNameWindowTabForward#0,"""詳細ウィンドウタブ順送り"""
CtrlFuncNameWindowTabBack#0,"""詳細ウィンドウタブ逆送り"""
CtrlFuncNameChangeWindow#0,"""操作ウィンドウ変更"""
CtrlFuncNameCtrlTabForward#0,"""操作ウィンドウ変更順送り"""
CtrlFuncNameCtrlTabBack#0,"""操作ウィンドウ変更逆送り"""
CtrlFuncNameCtrlException#0,"""特殊操作"""
CtrlFuncNameCtrlException02#0,"""特殊操作2"""
CtrlFuncNameStctWord#0,"""ショートカットワード実行"""
CtrlFuncNameChangeToMainPalette#0,"""パレット切り替え"""
CtrlFuncNameChangeRadarMap#0,"""レーダーマップ切り替え"""
CtrlFuncNameChangeAreaMap#0,"""リージョン・シティマップ表示/非表示"""
CtrlFuncNameOpenItemPack#0,"""アイテム"""
CtrlFuncNameOpenCustomize#0,"""カスタム"""
CtrlFuncNameOpenMag#0,"""マグ"""
CtrlFuncNameOpenPet#0,"""ペット"""
CtrlFuncNameOpenEventItem#0,"""イベントアイテム"""
CtrlFuncNameOpenEquipWeapon#0,"""武器装備"""
CtrlFuncNameOpenEquipArmor#0,"""防具装備"""
CtrlFuncNameOpenSubpalette#0,"""サブパレット編集"""
CtrlFuncNameOpenFriend#0,"""フレンドリスト"""
CtrlFuncNameOpenGuild#0,"""チームコマンド"""
CtrlFuncNameOpenParty#0,"""パーティーコマンド"""
CtrlFuncNameOpenMail#0,"""メール"""
CtrlFuncNameOpenNearCharacter#0,"""周囲のキャラクター"""
CtrlFuncNameOpenCharaInfo#0,"""キャラクター情報"""
CtrlFuncNameOpenLicense#0,"""称号リスト"""
CtrlFuncNameOpenMyMenu#0,"""クイックメニュー"""
CtrlFuncNameOpenCommunicationLog#0,"""コミュニケーション履歴"""
CtrlFuncNameOpenProfile#0,"""アークスカード情報"""
CtrlFuncNameOpenLibrary#0,"""図鑑"""
CtrlFuncNameOpenMutterBoard#0,"""ストーリーボード【EP4】"""
CtrlFuncNameOpenClientOrder#0,"""クライアントオーダー"""
CtrlFuncNameOpenQuestInfo#0,"""クエスト情報"""
CtrlFuncNameOpenSymbolArt#0,"""シンボルアート"""
CtrlFuncNameOpenMacro#0,"""チャット設定"""
CtrlFuncNameOpenConfig#0,"""オプション"""
CtrlFuncNameOpenPayShop#0,"""ショップメニュー"""
CtrlFuncNameOpenACGacha#0,"""スクラッチを引く"""
CtrlFuncNameOpenPayLog#0,"""購入履歴"""
CtrlFuncNameOpenRentalLimit#0,"""レンタル有効期限"""
CtrlFuncNameOpenLogOut#0,"""ログアウト"""
CtrlFuncNameOpenBingo#0,"""アークスビンゴ"""
CtrlFuncNameOpenInformation#0,"""インフォメーション"""
CtrlFuncNameOpenArksRoad#0,"""アークスロード"""
CtrlFuncNameOpenCraftAchievement#0,"""クラフト実績"""
CtrlFuncNameOpenShipBattle#0,"""アークスシップ対抗戦"""
CtrlFuncNameOpenRecycle#0,"""リサイクルショップ"""
CtrlFuncNameOpenFashion#0,"""ファッション編集"""
CtrlFuncNameOpenGatStatus#0,"""ギャザリングステータス"""
CtrlFuncNameOpenGatAchieve#0,"""達成可能ギャザリング実績"""
CtrlFuncNameOpenEquipNote#0,"""コレクトファイル"""
CtrlFuncNameOpenBuySG#0,"""スタージェムを購入する"""
CtrlFuncNameOpenPokaRecord#0,"""戦績情報"""
CtrlFuncNameOpenPokaRankMatch#0,"""バトルランク情報"""
CtrlFuncNameOpenPokaRankMatch_Switch#0,"""バトルランク情報(クラウド版)"""
CtrlFuncNameOpenFashionCat#0,"""コーデカタログ"""
CtrlFuncNameOpenArksLeague#0,"""アークスリーグ"""
CtrlFuncNameOpenBasnetContentInfo#0,"""バスタークエスト情報"""
CtrlFuncNameOpenPolluteEdit#0,"""ダークブラスト"""
CtrlFuncNameOpenSgShop#0,"""SGショップ"""
CtrlFuncNameOpenArksContract#0,"""アークスミッション"""
CtrlFuncNameOpenWebLink#0,"""Web連動イベント"""
CtrlFuncNameOpenWorldmap#0,"""ワールドマップ"""
CtrlFuncNameMuteVoiceChat#0,"""マイクのミュート切り替え"""
CtrlFuncNameWinShortcut#0,"""ウィンドウショートカット"""
CtrlFuncNameWeaponComouflage#0,"""武器迷彩"""
CtrlFuncNameWeaponPosition#0,"""武器納刀位置調整"""
CtrlFuncNamePlayLog#0,"""プレイ実績"""
CtrlFuncNameRebops#0,"""タスク"""
CtrlFuncNameArksSearch#0,"""アークスサーチ"""
CtrlFuncNameOpenChatStamp#0,"""スタンプ"""
CtrlFuncNameOpenKeyConfig#0,"""操作設定"""
CtrlFuncNameRoomPassword#0,"""ルームキーワード/撮影専用ルーム設定"""
CtrlFuncNamePlaceObject#0,"""ポータブルホログラム設置"""
CtrlFuncNameListObject#0,"""周囲のポータブルホログラム"""
CtrlFuncNameListSelfyMode#0,"""かんたん撮影モード"""
CtrlFuncNameWinShortcutT1#0,"""1"""
CtrlFuncNameWinShortcutT2#0,"""2"""
CtrlFuncNameWinShortcutT3#0,"""3"""
CtrlFuncNameWinShortcutT4#0,"""4"""
CtrlFuncNameWinShortcutT5#0,"""5"""
CtrlFuncNameWinShortcutT6#0,"""6"""
CtrlFuncNameWinShortcutT7#0,"""7"""
CtrlFuncNameWinShortcutT8#0,"""8"""
CtrlFuncNameWinShortcutT9#0,"""9"""
CtrlFuncNameWinShortcutT10#0,"""0"""
CtrlFuncNameWinShortcutF1#0,"""F1"""
CtrlFuncNameWinShortcutF2#0,"""F2"""
CtrlFuncNameWinShortcutF3#0,"""F3"""
CtrlFuncNameWinShortcutF4#0,"""F4"""
CtrlFuncNameWinShortcutF5#0,"""F5"""
CtrlFuncNameWinShortcutF6#0,"""F6"""
CtrlFuncNameWinShortcutF7#0,"""F7"""
CtrlFuncNameWinShortcutF8#0,"""F8"""
CtrlFuncNameWinShortcutF9#0,"""F9"""
CtrlFuncNameWinShortcutF10#0,"""F10"""
CtrlFuncNameWinShortcutN1#0,"""Num1"""
CtrlFuncNameWinShortcutN2#0,"""Num2"""
CtrlFuncNameWinShortcutN3#0,"""Num3"""
CtrlFuncNameWinShortcutN4#0,"""Num4"""
CtrlFuncNameWinShortcutN5#0,"""Num5"""
CtrlFuncNameWinShortcutN6#0,"""Num6"""
CtrlFuncNameWinShortcutN7#0,"""Num7"""
CtrlFuncNameWinShortcutN8#0,"""Num8"""
CtrlFuncNameWinShortcutN9#0,"""Num9"""
CtrlFuncNameWinShortcutN10#0,"""Num0"""
CtrlFuncNameMySpaceMoveMenu#0,"""クリエイティブスペース"""
CtrlLobbyActionAssignName#0,"""Alt<pict 4space>+<pict 4space>$(0)"""
CtrlAssignButtonInput#0,"""変更"""
CtrlAssignButtonWaiting#0,"""待ち"""
CtrlAssignHint#0,"""キーまたはボタンを押してください。<br>（[Esc]キーでキャンセル）"""
CtrlCtrlAssignTypeT#0,"""1～0"""
CtrlCtrlAssignTypeF#0,"""F1～F10"""
CtrlCtrlAssignTypeN#0,"""Num1～Num0"""
CtrlCtrlAssignTypeCtrlT#0,"""Ctrl+1～0"""
CtrlCtrlAssignTypeCtrlF#0,"""Ctrl+F1～F10"""
CtrlCtrlAssignTypeCtrlN#0,"""Ctrl+Num1～Num0"""
CtrlCtrlSwapMessage#0,"""「$(0)」と入れ替えました。"""
CtrlCtrlCaptionFuncName#0,"""項目名"""
CtrlCtrlCaptionAssign#0,"""現在の設定"""
CtrlPartition#0,""" / """
CtrlVitaAccessEscape#0,"""<pict Sign_L3> ＋ <pict Sign_CIRCLE>"""
CtrlVitaPalletinfo#0,"""武器パレット切り替えの操作が一部制限されます"""
CtrlVitaSubPalletinfo#0,"""サブパレット切り替えの操作が一部制限されます"""
CtrlAnnounceTitle#0,"""操作ガイド表示タイプの選択"""
CtrlAnnounceMessage#0,"""操作説明に表示されるキーまたはボタンの<br>表現方法を、お好みで選択してください。"""
CtrlAnnounceSelSymbol#0,"""記号タイプ"""
CtrlAnnounceSelAlphabet#0,"""アルファベットタイプ"""
CtrlAnnounceSelNumber#0,"""数字タイプ"""
CtrlAnnounceSelKeyboard#0,"""キーボードタイプ"""
CtrlAnnounceExample#0,"""表示例："""
CtrlAnnounceExampleKey#0,"""<pict Key_ENTER> [Esc] [↑] <pict Key_SPACE>"""
CtrlAnnounceExampleAlpha#0,"""<pict Alpha_A><pict 4space><pict Alpha_B><pict 4space><pict Alpha_RB><pict 4space><pict Alpha_UP>"""
CtrlAnnounceExampleSign#0,"""<pict Sign_CIRCLE><pict 4space><pict Sign_CROSS><pict 4space><pict Sign_R1><pict 4space><pict Sign_UP>"""
CtrlAnnounceExampleNumber#0,"""<pict Number_1><pict 4space><pict Number_2><pict 4space><pict Number_5><pict 4space><pict Number_UP>"""
CtrlAnnounceHint#0,"""未定"""
CtrlPadBehaviorTitle#0,"""ゲームパッド初期設定"""
CtrlPadBehaviorSetting#0,"""手動で設定を行う"""
CtrlPadBehaviorInitialize#0,"""自動で設定を行う"""
CtrlPadBehaviorStickTitle#0,"""アナログスティック動作設定"""
CtrlPadBehaviorStickPrepare#0,"""アナログスティックの動作設定を開始します。<br>スティックに触らず「閉じる」を押してください。"""
CtrlPadBehaviorStickSubTitleLU#0,"""1.<%LStick>の「上」範囲の認識テスト"""
CtrlPadBehaviorStickMessageLU#0,"""「<%LStick>」の認識テストを行います。<br><%LStick>を<c ff007f>「上」<c>に倒しながら、$(0)<pict 4space>を押してください。<br><br><yellow>※反応しない場合は、お手元をご確認いただき、<br><c ff007f>「ANALOG」<c><yellow>や<c ff007f>「MODE」<c><yellow>などと表記されたボタンを<br>押して、アナログモードに切り替えてください。<c>"""
CtrlPadBehaviorStickSubTitleLL#0,"""2.<%LStick>の「左」範囲の認識テスト"""
CtrlPadBehaviorStickMessageLL#0,"""次に<br><%LStick>を<green>「左」<c>に倒しながら、$(0)<pict 4space>を押してください。"""
CtrlPadBehaviorStickSubTitleRU#0,"""3.<%RStick>の「上」範囲の認識テスト"""
CtrlPadBehaviorStickMessageRU#0,"""<%LStick>の認識が終了しました。<br><br>次に、「<%RStick>」の認識テストを行います。<br><%RStick>を<c ff007f>「上」<c>に倒しながら、$(0)<pict 4space>を押して下さい。"""
CtrlPadBehaviorStickSubTitleRL#0,"""4.<%RStick>の「左」範囲の認識テスト"""
CtrlPadBehaviorStickMessageRL#0,"""次に<br><%RStick>を<green>「左」<c>に倒しながら、$(0)<pict 4space>を押して下さい。"""
CtrlPadBehaviorTriggerTitle#0,"""トリガー動作設定"""
CtrlPadBehaviorTriggerMessageL#0,"""「背面左ボタン」がアナログ（トリガー）かどうかを判定します。<br>下の図で光っているボタンを押してください。<br><br><yellow>押しても何も起こらない場合は、アナログ式ではありませんので、<br><c>$(0)<pict 4space><yellow>を押して、次の画面でボタン設定を行なってください。<c>"""
CtrlPadBehaviorTriggerMessageR#0,"""次に「背面右ボタン」がアナログ（トリガー）かどうかを判定します。<br>下の図で光っているボタンを押してください。<br><br><yellow>押しても何も起こらない場合は、アナログ式ではありませんので、<br><c>$(0)<pict 4space><yellow>を押して、次の画面でボタン設定を行なってください。<c>"""
CtrlPadBehaviorConfirmInitTitle#0,"""設定の初期化"""
