MYROOM#0,"""My Room"""
COMBINE#0,"""รวม"""
REMOVED#0,"""เคลื่อนย้าย"""
DELETE#0,"""นำออก"""
CANCEL#2,"""ยกเลิก"""
ERROR_OWNER_NOT#0,"""กำหนดการเข้าถึงสำหรับเจ้าของ"""
MoveItem_Title#0,"""รายงาน"""
MoveItem_Message#0,"""ไอเทมได้ถูกโอนไปยัง Storehouse<br>เนื่องจากที่ว่างในช่องเก็บของไม่เพียงพอ<br>หรือเกินขีดจำกัดที่สามารถครอบครองได้"""
MoveItem_ToastMessage#0,"""Room Goods ที่ถอนการติดตั้งได้ถูกโอนไปยัง Storehouse เนื่องจากที่ว่างไม่เพียงพอ"""
COMBINE#1,"""組み合わせる"""
REMOVED#1,"""移動"""
DELETE#1,"""削除"""
CANCEL#3,"""キャンセル"""
ERROR_OWNER_NOT#1,"""オーナーでないためアクセスできません。"""
MoveItem_Title#1,"""報告"""
MoveItem_Message#1,"""アイテムパックの空き容量不足、<br>またはアイテムの所持可能数を超えるため、<br>入手したアイテムを倉庫に預けました。"""
MoveItem_ToastMessage#1,"""アイテムパックがいっぱいのため、撤去したルームグッズを倉庫に送りました。"""
MainMenu_Title#0,"""เมนู My Room"""
MainMenu_RoomGoods_Installation#0,"""ติดตั้งของตกแต่ง"""
MainMenu_RoomGoods_Ceiling#0,"""ติดตั้งของตกแต่งเพดาน"""
MainMenu_RoomCustmize#0,"""รีฟอร์มห้อง"""
MainMenu_MovePass#0,"""ย้าย"""
MainMenu_BGM#0,"""เพิ่มดิสก์เพลง"""
MainMenu_RoomLock#0,"""ปรับค่าการเข้า"""
MainMenu_LayoutChange#0,"""เปลี่ยนค่าการใช้ห้อง"""
MainMenu_DeleteRoomGoodsInSelectRoom#0,"""ถอดของตกแต่งห้องทั้งหมด"""
MainMenu_Cancel#0,"""ย้อนกลับ"""
MainMenu_SupportPartner#0,"""Support Partner"""
MainMenu_Craft#0,"""Craft"""
MainMenu_EventChronicle#0,"""Event Chronicle"""
SelectMenu_Title_RoomGoods#0,"""ของตกแต่ง"""
SelectMenu_Title_Reform#0,"""ธีม"""
SelectMenu_Title_DeleteRoom#0,"""นำออก"""
SelectMenu_Title_MovePass#0,"""Scenery Pass"""
SelectMenu_Title_PresentBox#0,"""ไอเทมสำหรับของขวัญ"""
SelectMenu_Title_MusicDisk#0,"""ดิสก์เพลง"""
SelectMenu_Title_Weapon#0,"""อาวุธ"""
SelectMenu_Backpack#0,"""Inventory"""
SelectMenu_Warehouse#0,"""$(0)"""
SelectMenu_DeleteRoom#0,"""ลบ"""
SelectMenu_RemovalAll#0,"""นำออกทั้งหมด (Debug)"""
SelectMenu_Cancel#0,"""กลับ"""
SelectMenu_Not_Item#0,"""ไม่มีไอเทม"""
guide_move#0,"""ย้ายของตกแต่ง:"""
guide_rotation#0,"""หมุนของตกแต่ง:"""
guide_enter_cancel#0,"""ตกลง/ย้อนกลับ:"""
guide_enter_vita#0,"""ตกลง:"""
guide_cancel_vita#0,"""ย้อนกลับ:"""
guide_move_key#0,"""↑↓←→"""
guide_move_pad#0,"""ปุ่มทิศทาง / จอยซ้ายLeft Stick"""
guide_rotation_key#0,"""Ctrl + ← / Ctrl + →"""
guide_rotation_pad#0,"""<%TabBack> / <%TabForward>"""
guide_enter_cancel_key#0,"""<%Decide> / <%Cancel>"""
guide_enter_total_cost#0,"""ค่าใช้จ่ายติดตั้ง"""
guide_not_key#0,"""ไม่ใช้"""
ItemList_Title_RoomGoods#0,"""รายการของตกแต่ง"""
ItemList_Title_Reform#0,"""รายการบัตรรีฟอร์ม"""
ItemList_Title_MovePass#0,"""รายการ Scenery Pass"""
ItemList_Title_MusicDisc#0,"""รายการดิสก์เพลง"""
ItemList_Title_EntryMusic#0,"""รายการเพลงที่เพิ่มเข้ามา"""
ItemList_Title_ItemList_Title_DisplayWeapon#0,"""รายการอาวุธ"""
ItemList_Title_ItemList_Title_DisplayWeaponAvatar#0,"""อาวุธทั้งหมด"""
ItemList_Title_ItemList_Title_DecoGoods#0,"""รายการเครื่องประดับ"""
ItemList_Title_ItemList_Title_PresentBox#0,"""รายการของขวัญ"""
ItemList_Title_ItemList_Title_PhotonGachanItemAdd#0,"""โฟโต้เคร้ง: สารบัญไอเท็มที่สามารถบันทึกเอาไว้ได้"""
ItemList_Title_ItemList_Title_PhotonGachanItemDelete#0,"""โฟโต้เคร้ง: สารบัญไอเท็มที่บันทีกเรียบร้อยแล้ว"""
ItemList_Title_ItemList_Title_Recommended#0,"""รายการแนะนำ"""
ItemList_Title_Cost#0,"""ค่าใช้จ่ายติดตั้ง"""
ItemList_Title_Add_Current_Max#0,"""$(2) (จำนวนที่บันทึก: $(0)/$(1))"""
RoomCustmize_Title#0,"""รีฟอร์มห้อง"""
RoomCustmize_header1#0,"""ห้อง"""
RoomCustmize_header2#0,"""ธีม/คำสั่ง"""
RoomCustmize_header3#0,"""ขนาด"""
RoomCustmize_Reform#0,"""รีฟอร์มห้อง"""
RoomCustmize_RoomSize#0,"""ขยายห้อง"""
RoomCustmize_CheckMessage#0,"""ของตกแต่งที่ถูกติตตั้งจะถูกรื้อถอน<br>ท่านแน่ใจว่าต้องการรีฟอร์มห้องใช่ไหม?"""
RoomCustmize_RoomSize_Middle#0,"""เล็ก"""
RoomCustmize_RoomSize_Large#0,"""ใหญ่"""
PortalUnit_Title#0,"""พอร์ทัลยูนิต"""
PortalUnit_Move_Lobby#0,"""ย้ายไปยังล็อบบี้ของ ARKS"""
BGMMenu_Title#0,"""เพิ่มเมนูดิสก์เพลง"""
BGMMenu_Entry#0,"""เพิ่มดิสก์เพลง"""
BGMMenu_Play#0,"""รายชื่อเพลงที่เพิ่มขึ้นมา"""
BGMMenu_Cancel#0,"""กลับ"""
Reform_Room_Center#0,"""ใจกลางห้อง"""
Reform_Room_Left#0,"""ด้านซ้ายของห้อง"""
Reform_Room_Rght#0,"""ด้านขวาของห้อง"""
Reform_Room_None#0,"""ใช้บัตร Room Expansion Pass"""
Reform_UseInfo#0,"""ท่านต้องการใช้บัตรรีฟอร์ม?<br>*ของตกแต่งทั้งหมดจะถูกนำออกถ้าท่านปรับแต่งห้อง"""
Reform_DeleteRoomInfo#0,"""ท่านต้องการลบห้องใช่ไหม?<br>*ของตกแต่งทั้งหมดจะถูกนำออกถ้าท่านปรับแต่งห้อง"""
Reform_Playing#0,"""กำลังรีฟอร์มห้อง..."""
DeleteRoomGoods_SelectRoom_Playing#0,"""ถอดของตกแต่งห้องตามที่ระบุไว้หมดแล้ว"""
MovePass_UseInfo#0,"""ท่านต้องการใช้ Scenery pass?<br>*ของตกแต่งทั้งหมดจะถูกนำออกถ้าท่านปรับแต่งห้อง"""
DeleteRoomGoodsInSelectRoom_UseInfo_Title#0,"""ยันยันการถอดของตกแต่ง"""
DeleteRoomGoodsInSelectRoom_UseInfo#0,"""ต้องการถอนการติดตั้ง Room Goods ที่อยู่ในห้องนี้ทั้งหมดหรือไม่?"""
RoomSize_Delete#0,"""ลบ"""
ItemList_MenuTitle#0,"""รายละเอียดไอเทม"""
ItemList_Install#0,"""ลบ"""
Custmize_Main_Install#0,"""รายละเอียดไอเทม"""
Custmize_Main_Delete#0,"""ติดตั้ง"""
Custmize_Main_1#0,"""ติดตั้ง"""
Custmize_Main_2#0,"""นำออก"""
Custmize_Main_3#0,"""No. 3"""
Custmize_Main_4#0,"""No. 4"""
RoomGoodsSelectTitle#0,"""เลือกของตกแต่ง"""
MainMenu_Title#1,"""マイルームメニュー"""
MainMenu_RoomGoods_Installation#1,"""ルームグッズ設置"""
MainMenu_RoomGoods_Ceiling#1,"""天井用ルームグッズ設置"""
MainMenu_RoomCustmize#1,"""ルームリフォーム"""
MainMenu_MovePass#1,"""引っ越しをする"""
MainMenu_BGM#1,"""MusicDisc登録"""
MainMenu_RoomLock#1,"""ルームロック"""
MainMenu_LayoutChange#1,"""使用ルーム変更"""
MainMenu_DeleteRoomGoodsInSelectRoom#1,"""ルームグッズ全撤去"""
MainMenu_Cancel#1,"""戻る"""
MainMenu_SupportPartner#1,"""サポートパートナー"""
MainMenu_Craft#1,"""クラフト"""
MainMenu_EventChronicle#1,"""イベントクロニクル"""
SelectMenu_Title_RoomGoods#1,"""ルームグッズを選択"""
SelectMenu_Title_Reform#1,"""テーマを選択"""
SelectMenu_Title_DeleteRoom#1,"""減築を選択"""
SelectMenu_Title_MovePass#1,"""シーナリーパスを選択"""
SelectMenu_Title_PresentBox#1,"""プレゼントするアイテムを選択"""
SelectMenu_Title_MusicDisk#1,"""MusicDiscを選択"""
SelectMenu_Title_Weapon#1,"""武器を選択"""
SelectMenu_Backpack#1,"""所持品から選択"""
SelectMenu_Warehouse#1,"""$(0)から選択"""
SelectMenu_DeleteRoom#1,"""減築する"""
SelectMenu_RemovalAll#1,"""全て撤去(デバッグ用)"""
SelectMenu_Cancel#1,"""戻る"""
SelectMenu_Not_Item#1,"""アイテムなし"""
guide_move#1,"""グッズの移動："""
guide_rotation#1,"""グッズの回転："""
guide_enter_cancel#1,"""決定 / 戻る："""
guide_enter_vita#1,"""決定："""
guide_cancel_vita#1,"""戻る："""
guide_move_key#1,"""↑↓←→"""
guide_move_pad#1,"""方向キー / 左スティック"""
guide_rotation_key#1,"""Ctrl + ← / Ctrl + →"""
guide_rotation_pad#1,""" <%TabBack> / <%TabForward>"""
guide_enter_cancel_key#1,"""<%Decide> / <%Cancel>"""
guide_enter_key_vita#0,"""<%Decide>"""
guide_cancel_key_vita#0,"""<%Cancel>"""
guide_enter_total_cost#1,"""設置コスト """
guide_not_key#1,"""使用しない"""
ItemList_Title_RoomGoods#1,"""ルームグッズ一覧"""
ItemList_Title_Reform#1,"""リフォームパス一覧"""
ItemList_Title_MovePass#1,"""シーナリーパス一覧"""
ItemList_Title_MusicDisc#1,"""MusicDisc一覧"""
ItemList_Title_EntryMusic#1,"""登録済BGM一覧"""
ItemList_Title_ItemList_Title_DisplayWeapon#1,"""武器一覧"""
ItemList_Title_ItemList_Title_DisplayWeaponAvatar#1,"""武器迷彩一覧"""
ItemList_Title_ItemList_Title_DecoGoods#1,"""デコグッズ一覧"""
ItemList_Title_ItemList_Title_PresentBox#1,"""プレゼント対象一覧"""
ItemList_Title_ItemList_Title_PhotonGachanItemAdd#1,"""登録可能アイテム一覧"""
ItemList_Title_ItemList_Title_PhotonGachanItemDelete#1,"""登録済みアイテム一覧"""
ItemList_Title_ItemList_Title_Recommended#1,"""ラインナップ"""
ItemList_Title_Cost#1,"""設置コスト"""
ItemList_Title_Add_Current_Max#1,"""$(2) (登録数：$(0)/$(1))"""
RoomCustmize_Title#1,"""ルームリフォーム"""
RoomCustmize_header1#1,"""部屋"""
RoomCustmize_header2#1,"""テーマ・コマンド"""
RoomCustmize_header3#1,"""サイズ"""
RoomCustmize_Reform#1,"""リフォームをする"""
RoomCustmize_RoomSize#1,"""部屋を増築する"""
RoomCustmize_CheckMessage#1,"""リフォームすると、設置している<br>全てのルームグッズが撤去されます。<br>よろしいですか?"""
RoomCustmize_RoomSize_Middle#1,"""スモール"""
RoomCustmize_RoomSize_Large#1,"""ラージ"""
PortalUnit_Title#1,"""ポータルユニット"""
PortalUnit_Move_Lobby#1,"""アークス・ロビーへ移動"""
BGMMenu_Title#1,"""MusicDisc登録メニュー"""
BGMMenu_Entry#1,"""MusicDiscを登録"""
BGMMenu_Play#1,"""登録済みリストを確認"""
BGMMenu_Cancel#1,"""戻る"""
Reform_Room_Center#1,"""中央の部屋"""
Reform_Room_Left#1,"""左側の部屋"""
Reform_Room_Rght#1,"""右側の部屋"""
Reform_Room_None#1,"""ルーム拡張パスを使用する"""
Reform_UseInfo#1,"""このリフォームパスを使用しますか?<br>※部屋のサイズが変わらなければ、<br>\u3000 グッズは撤去されません。"""
Reform_DeleteRoomInfo#1,"""この部屋を削除しますか?<br>※削除した部屋のグッズは<br>\u3000 すべて撤去されます。"""
Reform_Playing#1,"""リフォーム中"""
DeleteRoomGoods_SelectRoom_Playing#1,"""指定した部屋のルームグッズ全て撤去しました"""
MovePass_UseInfo#1,"""このシーナリーパスを使用しますか?<br>※ルームグッズは撤去されません。"""
DeleteRoomGoodsInSelectRoom_UseInfo_Title#1,"""ルームグッズ撤去の確認"""
DeleteRoomGoodsInSelectRoom_UseInfo#1,"""この部屋に設置しているルームグッズを<br>全て撤去しますか?"""
RoomSize_Delete#1,"""削除"""
ItemList_MenuTitle#1,"""アイテム詳細"""
ItemList_Install#1,"""設置する"""
Custmize_Main_Install#1,"""設置する"""
Custmize_Main_Delete#1,"""撤去する"""
Custmize_Main_1#1,"""1番目"""
Custmize_Main_2#1,"""2番目"""
Custmize_Main_3#1,"""3番目"""
Custmize_Main_4#1,"""4番目"""
RoomGoodsSelectTitle#1,"""ルームグッズの選択"""
RoomGoods_Action#0,"""เคลื่อนของ"""
RoomGoods_Removal#0,"""ถอดของ"""
RoomGoods_Cancel#0,"""ย้อนกลับ"""
RoomGoods_Motion_Default#0,"""ฝึกกิมมิค"""
RoomGoods_Motion_SitDown#0,"""นั่ง"""
RoomGoods_Motion_Sleeping#0,"""เอนตัวลงนอน"""
RoomGoods_Motion_Darts#0,"""ปาลูกดอก"""
RoomGoods_Motion_Bathe#0,"""อาบน้ำ"""
RoomGoods_Motion_Toilet#0,"""ขึ้นเตียง"""
RoomGoods_Motion_Kusudama#0,"""แยก"""
RoomGoods_Motion_Instrument#0,"""แสดง"""
RoomGoods_Motion_SwitchOn#0,"""กดสวิตช์"""
RoomGoods_Motion_Yoga#0,"""เล่นโยคะ"""
RoomGoods_Motion_Paku#0,"""เอามาไว้ในมือ"""
RoomGoods_Motion_Barbel#0,"""ยกขึ้นมา"""
RoomGoods_Motion_Use#0,"""ใช้งาน"""
RoomGoods_Motion_RiceCakeMaking#0,"""ทุบโมจิ"""
RoomGoods_Custmize_Gimmick#0,"""แมตช์ของ"""
RoomGoods_Custmize_Remove#0,"""ถอดการแมตช์ของ"""
RoomGoods_MessageInOut#0,"""รวมข้อความ"""
RoomGoods_PresentBox#0,"""เปิด$(0)"""
RoomGoods_GoodJob#0,"""ส่ง Good job"""
RoomGoods_GoodJob_Greeting#0,"""รวมข้อความทักทาย"""
RoomGoods_GoodJob_Thanks#0,"""รวมข้อความขอบคุณ"""
RoomGoods_PlayingBGM#0,"""เปิดBGMอีกครั้ง"""
RoomGoods_DefaultBGM#0,"""ย้อนกลับไปBGMเดิม"""
RoomGoods_ChangeTune#0,"""เปลี่ยนเพลงประกอบ"""
RoomGoods_DisplayWeapon#0,"""แสดงอาวุธ"""
RoomGoods_DisplayWeaponInfo#0,"""ดูรายละเอียดอาวุธ"""
RoomGoods_DisplayWeaponAvatar#0,"""แสดงอาวุธปลอมแปลง"""
RoomGoods_DisplayWeaponAvatarInfo#0,"""ดูรายละเอียดอาวุธปลอมแปลง"""
RoomGoods_MyShop#0,"""เปิดมายช็อป"""
RoomGoods_Timer#0,"""ตั้งไทมเมอร์"""
RoomGoods_GahaRecommended#0,"""ดูไอเท็มแนะนำ"""
RoomGoods_GahaPlay#0,"""หมุนกาจาปอง"""
RoomGoods_GahaManagement#0,"""ดูแลกาจาปอง"""
RoomGoods_FatChecker#0,"""วัดน้ำหนัก"""
RoomGoods_CashBox_Challenge#0,"""ปลดพาสเวิร์ด"""
RoomGoods_CashBox_ChangeNum#0,"""เปลี่ยนจำนวนสัญญาณ"""
RoomGoods_CashBox_Confirmation#0,"""ยืนยันการบันทึกปัจจุบัน"""
RoomGoods_Mikiri_Challenge#0,"""Challenge"""
RoomGoods_Mikiri_Easy#0,"""Normai mode"""
RoomGoods_Mikiri_Normal#0,"""Hard mode"""
RoomGoods_Mikiri_Hard#0,"""Very Hard mode"""
RoomGoods_Mikiri_HiScore#0,"""Hi score mode"""
RoomGoods_Mikiri_CheckRecord#0,"""ตรวจสอบไฮสกอร์"""
RoomGoods_SupportPartnerStandSet#0,"""เรียกSupport Partner"""
RoomGoods_SaProjector#0,"""ตั้งค่าซิมโบลอาร์ท"""
RoomGoods_OrgelPlay#0,"""เปิดกล่องดนตรี"""
RoomGoods_OrgelStop#0,"""หยุดกล่องดนตรี"""
RoomGoods_StrongBoxOpen#0,"""เปิดประตู"""
RoomGoods_StrongBoxClose#0,"""ปิดประตุ"""
RoomGoods_DiceShake#0,"""เขย่าลูกเต๋า"""
RoomGoods_DiceEdit#0,"""ใส่ข้อความ"""
RoomGoods_BlackBoard#0,"""ตรวจสอบข้อความ"""
RoomGoods_CameraShoot#0,"""เมนูภาพ"""
RoomGoods_CameraSetting#0,"""ตั้งค่ามุม"""
RoomGoods_CameraGuideShoot#0,"""เมนูกล้อง:"""
RoomGoods_CameraGuideMove01#0,"""มุมกล้อง:"""
RoomGoods_CameraGuideMove02#0,"""ความสูงกล้อง:"""
RoomGoods_CameraGuideMove03#0,"""หมุนกล้อง:"""
RoomGoods_CameraGuideMove04#0,"""ซูม:"""
RoomGoods_CameraGuideReset#0,"""รีเซต:"""
RoomGoods_CameraGuideResetVita#0,"""รีเซต:"""
RoomGoods_CameraGuideCancel#0,"""ย้อนกลับ:"""
RoomGoods_CameraGuideShoot_key#0,"""<%Decide>"""
RoomGoods_CameraGuideMove01_key#0,"""Move Mouse"""
RoomGoods_CameraGuideMove02_key#0,"""<%MoveForward>/<%MoveBack>"""
RoomGoods_CameraGuideMove03_key#0,"""<%MoveLeft>/<%MoveRight>"""
RoomGoods_CameraGuideMove04_key#0,"""<%PaletteForce>/<%PaletteReverse>"""
RoomGoods_CameraGuideReset_key#0,"""<%NextTabDetails>"""
RoomGoods_CameraGuideCancel_key#0,"""<%Cancel>/Esc"""
RoomGoods_CameraGuideShoot_pad#0,"""<%Decide>"""
RoomGoods_CameraGuideMove01_pad#0,"""Right Stick"""
RoomGoods_CameraGuideMove02_pad#0,"""Left Stick (Up/Down)"""
RoomGoods_CameraGuideMove03_pad#0,"""Right Stick (Left/Right)"""
RoomGoods_CameraGuideMove04_pad#0,"""<%PaletteForce>/<%PaletteReverse>"""
RoomGoods_CameraGuideReset_pad#0,"""<%NextTabDetails>"""
RoomGoods_CameraGuideResetVita_pad#0,"""<%AllWindowClose>"""
RoomGoods_CameraGuideCancel_pad#0,"""<%Cancel>"""
RoomGoods_RaceMachine_Entry#0,"""ลงแข่ง"""
RoomGoods_RoomRunnerRunning#0,"""Run"""
RoomGoods_CraftCommonOwner#0,"""Craft Menu"""
RoomGoods_CraftCommonGuest#0,"""ดูใบสั่ง Craft"""
RoomGoods_CraftOrderOwner#0,"""ดูรายการจ้างวาน"""
RoomGoods_CraftOrderGuest#0,"""ดูใบสั่ง Craft"""
RoomGoods_Shower#0,"""อาบฝักบัว"""
RoomGoods_StopShower#0,"""หยุดอาบฝักบัว"""
RoomGoods_Action#1,"""グッズを動かす"""
RoomGoods_Removal#1,"""撤去する"""
RoomGoods_Cancel#1,"""戻る"""
RoomGoods_Motion_Default#1,"""ギミックの実行"""
RoomGoods_Motion_SitDown#1,"""座る"""
RoomGoods_Motion_Sleeping#1,"""横になる"""
RoomGoods_Motion_Darts#1,"""ダーツをする"""
RoomGoods_Motion_Bathe#1,"""入浴する"""
RoomGoods_Motion_Toilet#1,"""フタを上げる"""
RoomGoods_Motion_Kusudama#1,"""割る"""
RoomGoods_Motion_Instrument#1,"""演奏する"""
RoomGoods_Motion_SwitchOn#1,"""スイッチを押す"""
RoomGoods_Motion_Yoga#1,"""ヨガをする"""
RoomGoods_Motion_Paku#1,"""手を入れる"""
RoomGoods_Motion_Barbel#1,"""持ち上げる"""
RoomGoods_Motion_Use#1,"""使用する"""
RoomGoods_Motion_RiceCakeMaking#1,"""餅をつく"""
RoomGoods_Custmize_Gimmick#1,"""グッズの組み合わせ"""
RoomGoods_Custmize_Remove#1,"""組み合わせの撤去"""
RoomGoods_MessageInOut#1,"""メッセージの編集"""
RoomGoods_PresentBox#1,"""$(0)を開ける"""
RoomGoods_GoodJob#1,"""グッジョブを送る"""
RoomGoods_GoodJob_Greeting#1,"""あいさつメッセージの編集"""
RoomGoods_GoodJob_Thanks#1,"""お礼メッセージの編集"""
RoomGoods_PlayingBGM#1,"""BGMを再生"""
RoomGoods_DefaultBGM#1,"""BGMをもとに戻す"""
RoomGoods_ChangeTune#1,"""曲調を変える"""
RoomGoods_DisplayWeapon#1,"""武器を展示する"""
RoomGoods_DisplayWeaponInfo#1,"""武器の詳細を見る"""
RoomGoods_DisplayWeaponAvatar#1,"""武器迷彩を展示する"""
RoomGoods_DisplayWeaponAvatarInfo#1,"""武器迷彩の詳細を見る"""
RoomGoods_MyShop#1,"""マイショップを起動する"""
RoomGoods_Timer#1,"""タイマーをセットする"""
RoomGoods_GahaRecommended#1,"""ラインナップを見る"""
RoomGoods_GahaPlay#1,"""フォトガチャンを回す"""
RoomGoods_GahaManagement#1,"""フォトガチャン管理"""
RoomGoods_FatChecker#1,"""体重を量る"""
RoomGoods_CashBox_Challenge#1,"""パスワードを解く"""
RoomGoods_CashBox_ChangeNum#1,"""桁数を変える"""
RoomGoods_CashBox_Confirmation#1,"""現在の記録を確認する"""
RoomGoods_Mikiri_Challenge#1,"""挑戦する"""
RoomGoods_Mikiri_Easy#1,"""ノーマルモード"""
RoomGoods_Mikiri_Normal#1,"""ハードモード"""
RoomGoods_Mikiri_Hard#1,"""ベリーハードモード"""
RoomGoods_Mikiri_HiScore#1,"""ハイスコアモード"""
RoomGoods_Mikiri_CheckRecord#1,"""ハイスコアを確認する"""
RoomGoods_SupportPartnerStandSet#1,"""サポートパートナーを呼び出す"""
RoomGoods_SaProjector#1,"""シンボルアートを設定する"""
RoomGoods_OrgelPlay#1,"""オルゴールを鳴らす"""
RoomGoods_OrgelStop#1,"""オルゴールを止める"""
RoomGoods_StrongBoxOpen#1,"""扉を開く"""
RoomGoods_StrongBoxClose#1,"""扉を閉じる"""
RoomGoods_DiceShake#1,"""サイコロを振る"""
RoomGoods_DiceEdit#1,"""メッセージを編集する"""
RoomGoods_BlackBoard#1,"""メッセージを確認する"""
RoomGoods_CameraShoot#1,"""撮影メニュー"""
RoomGoods_CameraSetting#1,"""アングル設定"""
RoomGoods_CameraGuideShoot#1,"""撮影メニュー："""
RoomGoods_CameraGuideMove01#1,"""カメラ角度："""
RoomGoods_CameraGuideMove02#1,"""カメラ高さ："""
RoomGoods_CameraGuideMove03#1,"""カメラ回転："""
RoomGoods_CameraGuideMove04#1,"""ズーム："""
RoomGoods_CameraGuideReset#1,"""カメラリセット："""
RoomGoods_CameraGuideResetVita#1,"""カメラリセット："""
RoomGoods_CameraGuideCancel#1,"""戻る："""
RoomGoods_CameraGuideShoot_key#1,"""<%Decide>"""
RoomGoods_CameraGuideMove01_key#1,"""マウス移動"""
RoomGoods_CameraGuideMove02_key#1,"""<%MoveForward>/<%MoveBack>"""
RoomGoods_CameraGuideMove03_key#1,"""<%MoveLeft>/<%MoveRight>"""
