11_voice_NPC_5004_100#0,"""...啊、呃......<br>凡事要小心唷。"""
Matoi_15_020#0,"""...嗯，應該是想去冒險吧。<br>但在那之前的歷史<br>都已經找不到了。"""
11_voice_NPC_5004_105#4,"""光子平時就存在大氣中，<br>對吧？"""
Matoi_16_020#0,"""既然光子存在日常生活中，那為何<br>有人能控制光子，<br>有的人卻不行呢？真奇怪。"""
11_voice_NPC_5004_100#5,"""看書與資料真的很有趣耶。<br>我不能做激烈的運動，<br>所以都靜靜地看書。"""
Matoi_17_020#0,"""我不會只看一項資料，<br>而是很多資料對照著看，<br>嗯，這真的很刺激喔。"""
11_voice_NPC_5004_100#6,"""啊，歡迎回來。<br>還是該說早安？"""
Matoi_18_020#0,"""哈哈，ARKS的各位<br>生活都很不規則，所以都不知道該怎麼打招呼了。<br>不過，嗯，還是說聲早安。"""
11_voice_NPC_5004_104#3,"""沒事吧？　你有沒有硬拼？<br>隱瞞也沒用，因為你露出害怕的表情。<br>以後絕對不可以勉強喔。"""
11_voice_NPC_5004_104#4,"""啊......<%me><br>那個...呃，要小心喔。<br>不知道為何，我有不好的預感。"""
11_voice_NPC_5004_105#5,"""大氣中的光子......<br>散發出悲傷的氣息。<br>為什麼呢，為什麼呢......？"""
11_voice_NPC_5004_100#7,"""這裡的氣氛讓人焦躁不安。<br>這反映了大家的心情麼？<br>呵呵，有點有趣耶。"""
11_voice_NPC_5004_104#5,"""<%me><br>その……大丈夫？<br>大変な事ばかり起きてるから、心配。"""
Matoi_mb9_020#0,"""気のせいならいいんだ。<br>でも、あんまり抱え込まないでね。"""
Matoi_mb9_030#0,"""辛いときは、辛いって言うべきだよ？<br>そうしないと、誰も気付いてくれないし<br>ひとりぼっちになっちゃうから……"""
11_voice_NPC_5004_104#6,"""あ……<%me><br>探している龍は見つかった？"""
Matoi_mb10_020#0,"""暴走しているって話だけど<br>どうして暴走しちゃったんだろう。<br>……何が、あったんだろう。"""
Matoi_mb10_030#0,"""……すごくイヤな感じがする。<br>気をつけてね、ほんとうに。"""
11_voice_NPC_5004_100#8,"""このまえ言ってた戦技大会って<br>様子が中継とかされるみたいだよ。"""
Matoi_mb11_020#0,"""だから、なんていうか……<br><%me>の<br>戦いぶりも見てみたいな、なんて……"""
Matoi_mb11_030#0,"""純粋な興味でもあるんだけど……<br>何か見たら思い出すんじゃないかって<br>そんな気もして、さ。"""
11_voice_NPC_5004_104#7,"""<%me>。<br>顔がこわばってるよ、大丈夫？<br>何かあったの？"""
Matoi_mb12_020#0,"""何もないならそれでいいけど……<br>あんまり一人でため込みすぎないでね"""
11_voice_NPC_5004_106#0,"""<%me>……<br>わたしは、大丈夫だよ。<br>自分でも驚くくらい、落ち着いてる。"""
Matoi_mb13_020#0,"""シオンさんのことも、信じてる。<br>だって、あのひとはあなたに<br>笑いかけてたから。"""
Matoi_mb13_030#0,"""……そう見えなかった？<br>ううん、そんなことないよ。<br>笑ってた、絶対に。"""
11_voice_NPC_5004_100#9,"""シオンさんのことは<br>誰にもいってないよ。<br>余計な心配かけちゃいそうだし……"""
Matoi_mb14_020#0,"""だから、シオンさんのことは<br><%me>と<br>わたしの秘密、だね。"""
Matoi_mb14_030#0,"""……ふふっ、なんだろう。<br>なんだか懐かしいな、こういうの。"""
Matoi_mb15_010#0,"""<%me>。<br>なんだか、ぴりぴりしてるね。"""
Matoi_mb15_020#0,"""あなたじゃなくて、周りが。<br>なんだろう、何があるんだろう。<br>何かが変わってきてる、気がする。"""
Matoi_mb16_010#0,"""<%me>。<br>大丈夫？\u3000何かヘンな事に<br>巻き込まれてたりしない？"""
11_voice_NPC_5004_104#8,"""最近、ちょっと空気が冷たいというか<br>怖い感じが、するの。<br>何もなければいいんだけど……"""
11_voice_NPC_5004_104#9,"""あ、<%me>。<br>うん、わたしの身体は大丈夫だよ。"""
Matoi_mb16zeno_020#0,"""フィリアさんからは、無理は禁物って<br>武器も取り上げられちゃったけど……<br>身体は本当に、なんともないの。"""
Matoi_mb16zeno_030#0,"""……これも<br>シオンさんのおかげなのかな。<br>……シオンさん。"""
11_voice_NPC_5004_104#10,"""ふふっ、嬉しいな。<br>だって、これからはわたしも<br>一緒に任務へ行けるんだもん。"""
Matoi_mb18_020#0,"""<%me>の<br>お手伝いをできると思うと<br>本当に、嬉しいの。"""
11_voice_NPC_5004_100#10,"""みんなを守るために<br>一緒に頑張ろうね。"""
11_voice_NPC_5004_104#11,"""検査って、なんでやらなくちゃ<br>いけないんだろうね。<br>わたし、こんなに調子がいいのに……"""
Matoi_mb19_020#0,"""……わ、わかってるよ。<br>ちゃんと検査とか、受けるよ。<br>フィリアさんに怒られちゃうもん。"""
11_voice_NPC_5004_100#11,"""みんなわたしのことを心配して<br>言ってくれてるんだもんね。<br>……言われたら、行くよ。うん。"""
