NameF#0,"""$(0)"""
result55#0,"""なすなかにしが<br>売れっ子芸人になって戻ってきますように"""
result56#0,"""あっちゃんのようなお嫁さんが欲しいです！"""
result57#0,"""DFガールズの<br>活躍の機会が増えますように"""
result58#0,"""エンペ・ラッピーのお腹の上で<br>お昼寝したい"""
result59#0,"""アークスカフェをもう一度"""
result60#0,"""1/1スケールのAISに乗りたい"""
result61#0,"""PSO2の世界に自キャラの姿で行きたい"""
result62#0,"""りりりっり！\u3000りりりっ！\u3000りりりりりり！"""
result63#0,"""アルチが賑わいますように"""
result64#0,"""スクリーンショットを<br>上手く撮れるようになりたい！"""
result65#0,"""一辺倒な戦い方を卒業する"""
result66#0,"""チームで終焉クリア"""
result67#0,"""全武器種を使えるようになりたいんや"""
result68#0,"""天極と地極のクリア"""
result69#0,"""アサルトライフルの立ち回りや<br>扱いが上達しますように"""
result70#0,"""チャレンジで1位に…"""
result71#0,"""全てのペット（ラッピー除く）の<br>★13エッグを手に入れられますように"""
result72#0,"""自力で星13武器を手に入れたい"""
result73#0,"""サイコウォンド拾えますように"""
result74#0,"""フォトンで花粉をなんとかしてほしい。"""
result75#0,"""メセタンに沢山会えますように"""
result76#0,"""PSO2で遊ぶ時間がもっとほしい！"""
result77#0,"""「\""Realization\""」(東京ステージ・夜BGM)が<br>カラオケに入りますように！！"""
result78#0,"""ガチとかエンジョイとか、<br>そういう概念の要らない<br>ゲームであって欲しい"""
result79#0,"""PSO2を遊び続けていたい！！"""
result80#0,"""サガさんの立つ<br>アークスロビーの床になりたい"""
result81#0,"""PSO2の商品を<br>クレーンゲームの景品に出して欲しい"""
result82#0,"""祝『PSU』10周年！『PSO2』4周年！<br>目指せ10年！これからも<br>シリーズが続いていきますように！"""
result83#0,"""オレも、具現武装能力に目覚めたい"""
result84#0,"""\u3000―\u3000\u3000\u3000\u3000 ＋  ／ ＼\u3000＋\u3000 \u3000\u3000\u3000―<br>♪レアドロ   〈 ＾o＾ 〉 KOI☆恋! <br>\u3000― \u3000\u3000\u3000＋ \u3000 ＼ ／\u3000＋\u3000\u3000\u3000\u3000\u3000―"""
result85#0,"""みなさんのＳＳや動画、拝見してます！<br>キャラクリに磨きがかかってスゴイ……<br>今後も楽しんでいただけますように！"""
result86#0,"""ニャウの人気よ、ラッピーやリリーパ<br>アークマに匹敵するくらい・・・<br>上がってくれぇぇぇぇぇぇぇー！！！"""
result87#0,"""『ＰＳＯ２ｅｓ』で登場した<br>ジェネやウェポノイド達が<br>みんなの心の癒しとなりますように！"""
result88#0,"""今年こそアークマが <br>PSO2界のマスコット覇権を <br>奪取できますように！！"""
result89#0,"""楽しんで頂けるような音楽が<br>作れますように！"""
result90#0,"""レアドロ☆ダンスを<br>これからも沢山の人が<br>踊って歌って楽しんでくれますように！"""
result91#0,"""天の川とかけてレアドロップと解く<br>その心は、どちらもズラリと並ぶ☆たち<br>皆に幸あれ、俺に幸あれ。"""
result92#0,"""やっぱりヴィヴィアンにもう一度会いたい！！！"""
result93#0,"""マリンカシリーズ史上最強の<br>新ツインマシンガンが欲しい"""
result94#0,"""PSO2がこれからも<br>皆さんに愛され続ける<br>ゲームでありますように♪"""
result95#0,"""PSO2ジ アニメーションザ・ムービー！！<br>また平和な日常やかっこいい戦闘シーン<br>たくさんの笑顔が見られますように☆☆"""
result96#0,"""クオーツ先輩と和解できますように……"""
result97#0,"""今あなたは<br>「なんだ那須のかー」 って<br>残念に思ったでしょ。"""
result98#0,"""今度言います。"""
result99#0,"""アークスの皆さんが<br>毎日楽しい日々を過ごせますように<br>そして又アークスの皆さんに逢えますように"""
result100#0,"""トナカイがもっとたくさんの<br>アークスに愛されますように。<br>おねがいします。"""
result1#1,"""Xiera"""
result2#1,"""ソフィア"""
result3#1,"""ＲＩＮＡ"""
result4#1,"""アイカ"""
result5#1,"""ジェネ"""
result6#1,"""セラフィ"""
result7#1,"""アリエル"""
result8#1,"""パティ"""
result9#1,"""ティア"""
result10#1,"""マトイ"""
result11#1,"""Echo"""
result12#1,"""ピエトロ"""
result13#1,"""イツキ"""
result14#1,"""ＳＯＲＯ"""
result15#1,"""モア"""
result16#1,"""ドゥドゥ"""
result17#1,"""サガ"""
result18#1,"""ヒューイ"""
result19#1,"""ハンス"""
result20#1,"""Zeno"""
result21#1,"""ElevensideNo11"""
result22#1,"""ハルネロ"""
result23#1,"""FIOLA"""
result24#1,"""相葉\u3000翔"""
result25#1,"""シルヴィス0033"""
result26#1,"""wakasagi8"""
result27#1,"""ヴォルガニクス１３"""
result28#1,"""ナハト・ウィング"""
result29#1,"""凛宴"""
result30#1,"""Orpheus²"""
result31#1,"""Dyuno05"""
result32#1,"""EHHTYEYJ"""
result33#1,"""ミゼリカ"""
result34#1,"""Rugiza"""
result35#1,"""昇夜魅"""
result36#1,"""Ikesan39"""
result37#1,"""アイリカ"""
result38#1,"""あさぴん＠赤毛廃"""
result39#1,"""片矢 梢"""
result40#1,"""re.R"""
result41#1,"""★アヤ☆"""
result42#1,"""M"""
result43#1,"""rilgul"""
result44#1,"""yuri616427"""
result45#1,"""アトリス"""
result46#1,"""せーわ"""
result47#1,"""霊烏路黎"""
result48#1,"""邪民具"""
result49#1,"""卍ダーク二世卍"""
result50#1,"""Ren.Metherlence"""
result51#1,"""T-Trigger"""
result52#1,"""アスカ.s"""
result53#1,"""バンデル"""
result54#1,"""青ネコ神"""
result55#1,"""AOKAZE"""
result56#1,"""ELENOVA"""
result57#1,"""Endress"""
result58#1,"""錫杖\u3000鈴"""
result59#1,"""ice-marion"""
result60#1,"""Kギル"""
result61#1,"""歌夜｛カヤ｝"""
result62#1,"""有機モヤシ"""
result63#1,"""エイルブレイズ"""
result64#1,"""sonaemon"""
result65#1,"""LWO"""
result66#1,"""mosha0722"""
result67#1,"""Toki_ya"""
result68#1,"""コウ・ケンデン"""
result69#1,"""マイケル・Ｓ"""
result70#1,"""乃瑠"""
result71#1,"""*ヴァレッティア*(エニア)"""
result72#1,"""jun-ya"""
result73#1,"""NOAH1290"""
result74#1,"""soriden"""
result75#1,"""-NOK-"""
result76#1,"""ケー小田急９０００"""
result77#1,"""ムー＠にぃに"""
result78#1,"""シャン·スミス"""
result79#1,"""フィアナ・サラス"""
result80#1,"""巽タカト"""
result81#1,"""ワイト·L·ワイルドキャット"""
result82#1,"""酒井シリーズプロデューサー"""
result83#1,"""木村シリーズディレクター"""
result84#1,"""菅沼ディレクター"""
result85#1,"""中村チーフディレクター"""
result86#1,"""濱崎ディレクター"""
result87#1,"""陳ディレクター"""
result88#1,"""水野アートディレクター"""
result89#1,"""小林サウンドディレクター"""
result90#1,"""桃井はるこ"""
result91#1,"""会一太郎"""
result92#1,"""榎本温子"""
result93#1,"""高野麻里佳"""
result94#1,"""小原莉子"""
result95#1,"""高木友梨香"""
result96#1,"""齋藤夢愛"""
result97#1,"""那須晃行"""
result98#1,"""中西茂樹"""
result99#1,"""清水あいり"""
result100#1,"""長谷川唯"""
FullSize_Help#0,"""<c f0df60>運をためす事ができる不思議な祠です。<c>"""
Child_Menu1#0,"""運をためす"""
Child_Menu2#0,"""戻る"""
