Back#0,"""Backspace"""
Semicolon#0,"""Semicolon"""
Comma#0,"""Comma"""
Minus#0,"""Minus"""
Period#0,"""Period"""
Slash#0,"""/"""
At#0,"""@"""
LBracket#0,"""Left Bracket"""
Yen#0,"""Yen Sign"""
RBracket#0,"""Right Bracket"""
PrevTrack#0,"""Prev Track"""
Oem8#0,"""Oem 8"""
Ax#0,"""Ax"""
Backslash#0,"""\\"""
Break#0,"""Break"""
KeyText#0,"""[$(0)] Key"""
Back#1,"""BS"""
Tab#1,"""Tab"""
Return#1,"""Enter"""
Shift#1,"""Shift"""
Control#1,"""Ctrl"""
Alt#1,"""Alt"""
Pause#1,"""Pause"""
CapsLock#1,"""CL"""
Kana#1,"""かな"""
Kanji#1,"""漢字"""
Escape#1,"""Esc"""
Convert#1,"""変換"""
Nonconvert#1,"""無変換"""
Space#1,"""Space"""
PageUp#1,"""PgUp"""
PageDown#1,"""PgDw"""
End#1,"""End"""
Home#1,"""Home"""
Left#1,"""←"""
Up#1,"""↑"""
Right#1,"""→"""
Down#1,"""↓"""
PrintScreen#1,"""PS"""
Insert#1,"""Ins"""
Del#1,"""Del"""
T0#1,"""0"""
T1#1,"""1"""
T2#1,"""2"""
T3#1,"""3"""
T4#1,"""4"""
T5#1,"""5"""
T6#1,"""6"""
T7#1,"""7"""
T8#1,"""8"""
T9#1,"""9"""
A#1,"""A"""
B#1,"""B"""
C#1,"""C"""
D#1,"""D"""
E#1,"""E"""
F#1,"""F"""
G#1,"""G"""
H#1,"""H"""
I#1,"""I"""
J#1,"""J"""
K#1,"""K"""
L#1,"""L"""
M#1,"""M"""
N#1,"""N"""
O#1,"""O"""
P#1,"""P"""
Q#1,"""Q"""
R#1,"""R"""
S#1,"""S"""
T#1,"""T"""
U#1,"""U"""
V#1,"""V"""
W#1,"""W"""
X#1,"""X"""
Y#1,"""Y"""
Z#1,"""Z"""
LWin#1,"""LWin"""
RWin#1,"""RWin"""
Apps#1,"""Apps"""
Sleep#1,"""Sleep"""
Numpad0#1,"""Num0"""
Numpad1#1,"""Num1"""
Numpad2#1,"""Num2"""
Numpad3#1,"""Num3"""
Numpad4#1,"""Num4"""
Numpad5#1,"""Num5"""
Numpad6#1,"""Num6"""
Numpad7#1,"""Num7"""
Numpad8#1,"""Num8"""
Numpad9#1,"""Num9"""
Multiply#1,"""*"""
Add#1,"""+"""
Subtract#1,"""-"""
Decimal#1,"""."""
Divide#1,"""/"""
F1#1,"""F1"""
F2#1,"""F2"""
F3#1,"""F3"""
F4#1,"""F4"""
F5#1,"""F5"""
F6#1,"""F6"""
F7#1,"""F7"""
F8#1,"""F8"""
F9#1,"""F9"""
F10#1,"""F10"""
F11#1,"""F11"""
F12#1,"""F12"""
F13#1,"""F13"""
F14#1,"""F14"""
F15#1,"""F15"""
F16#1,"""F16"""
F17#1,"""F17"""
F18#1,"""F18"""
F19#1,"""F19"""
F20#1,"""F20"""
F21#1,"""F21"""
F22#1,"""F22"""
F23#1,"""F23"""
F24#1,"""F24"""
NumLock#1,"""NL"""
ScrollLock#1,"""SL"""
LShift#1,"""LSft"""
RShift#1,"""RSft"""
LControl#1,"""LCtrl"""
RControl#1,"""RCtrl"""
LAlt#1,"""LAlt"""
RAlt#1,"""RAlt"""
Colon#1,"""："""
Semicolon#1,"""；"""
Comma#1,"""，"""
Minus#1,"""-"""
Period#1,"""．"""
Slash#1,"""／"""
At#1,"""＠"""
LBracket#1,"""［"""
Yen#1,"""￥"""
RBracket#1,"""］"""
PrevTrack#1,"""＾"""
Oem8#1,"""Oem8"""
Ax#1,"""Ax"""
Backslash#1,"""＼"""
Break#1,"""Break"""
KeyText#1,"""[$(0)]キー"""
L#2,"""คลิกซ้าย"""
LDouble#0,"""ดับเบิ้ลคลิกซ้าย"""
M#2,"""คลิกกลาง"""
R#2,"""คลิกขวา"""
RDouble#0,"""ดับเบิ้ลคลิกขวา"""
WheelUp#0,"""หมุนลูกกลิ้งขึ้น"""
WheelDown#0,"""หมุนลูกกลิ้งลง"""
Pos#0,"""ตำแหน่ง"""
L#3,"""L"""
LDouble#1,"""LDouble"""
M#3,"""M"""
R#3,"""R"""
RDouble#1,"""RDouble"""
WheelUp#1,"""WheelUp"""
WheelDown#1,"""WheelDown"""
Pos#1,"""Pos"""
ALPHA_A#0,"""<pict Alpha_A>"""
ALPHA_B#0,"""<pict Alpha_B>"""
ALPHA_X#0,"""<pict Alpha_X>"""
ALPHA_Y#0,"""<pict Alpha_Y>"""
ALPHA_BACK#0,"""<pict Alpha_BACK>"""
ALPHA_START#0,"""<pict Alpha_START>"""
ALPHA_LB#0,"""<pict Alpha_LB>"""
ALPHA_RB#0,"""<pict Alpha_RB>"""
ALPHA_LT#0,"""<pict Alpha_LT>"""
ALPHA_RT#0,"""<pict Alpha_RT>"""
ALPHA_LS#0,"""<pict Alpha_LS>"""
ALPHA_RS#0,"""<pict Alpha_RS>"""
ALPHA_DOWN#0,"""<pict Alpha_DOWN>"""
ALPHA_UP#0,"""<pict Alpha_UP>"""
ALPHA_LEFT#0,"""<pict Alpha_LEFT>"""
ALPHA_RIGHT#0,"""<pict Alpha_RIGHT>"""
SIGN_TRIANGLE#0,"""<pict Sign_TRIANGLE>"""
SIGN_CIRCLE#0,"""<pict Sign_CIRCLE>"""
SIGN_CROSS#0,"""<pict Sign_CROSS>"""
SIGN_SQUARE#0,"""<pict Sign_SQUARE>"""
SIGN_R1#0,"""<pict Sign_R1>"""
SIGN_L1#0,"""<pict Sign_L1>"""
SIGN_R2#0,"""<pict Sign_R2>"""
SIGN_L2#0,"""<pict Sign_L2>"""
SIGN_R3#0,"""<pict Sign_R3>"""
SIGN_L3#0,"""<pict Sign_L3>"""
SIGN_START#0,"""<pict Sign_START>"""
SIGN_SELECT#0,"""<pict Sign_SELECT>"""
SIGN_DOWN#0,"""<pict Sign_DOWN>"""
SIGN_UP#0,"""<pict Sign_UP>"""
SIGN_LEFT#0,"""<pict Sign_LEFT>"""
SIGN_RIGHT#0,"""<pict Sign_RIGHT>"""
NUMBER_1#0,"""<pict Number_1>"""
NUMBER_2#0,"""<pict Number_2>"""
NUMBER_3#0,"""<pict Number_3>"""
NUMBER_4#0,"""<pict Number_4>"""
NUMBER_5#0,"""<pict Number_5>"""
NUMBER_6#0,"""<pict Number_6>"""
NUMBER_7#0,"""<pict Number_7>"""
NUMBER_8#0,"""<pict Number_8>"""
NUMBER_9#0,"""<pict Number_9>"""
NUMBER_10#0,"""<pict Number_10>"""
NUMBER_11#0,"""<pict Number_11>"""
NUMBER_12#0,"""<pict Number_12>"""
NUMBER_13#0,"""<pict Number_13>"""
NUMBER_14#0,"""<pict Number_14>"""
NUMBER_15#0,"""<pict Number_15>"""
NUMBER_16#0,"""<pict Number_16>"""
NUMBER_DOWN#0,"""<pict Number_DOWN>"""
NUMBER_UP#0,"""<pict Number_UP>"""
NUMBER_LEFT#0,"""<pict Number_LEFT>"""
NUMBER_RIGHT#0,"""<pict Number_RIGHT>"""
MOUSE_LEFT#0,"""<pict Mouse_LEFT>"""
MOSUE_RIGHT#0,"""<pict Mouse_RIGHT>"""
MOUSE_WHEEL#0,"""<pict Mouse_WHEEL>"""
ALPHA_A#1,"""<pict Alpha_A>"""
ALPHA_B#1,"""<pict Alpha_B>"""
ALPHA_X#1,"""<pict Alpha_X>"""
ALPHA_Y#1,"""<pict Alpha_Y>"""
ALPHA_BACK#1,"""<pict Alpha_BACK>"""
ALPHA_START#1,"""<pict Alpha_START>"""
ALPHA_LB#1,"""<pict Alpha_LB>"""
ALPHA_RB#1,"""<pict Alpha_RB>"""
ALPHA_LT#1,"""<pict Alpha_LT>"""
ALPHA_RT#1,"""<pict Alpha_RT>"""
ALPHA_LS#1,"""<pict Alpha_LS>"""
ALPHA_RS#1,"""<pict Alpha_RS>"""
ALPHA_DOWN#1,"""<pict Alpha_DOWN>"""
ALPHA_UP#1,"""<pict Alpha_UP>"""
ALPHA_LEFT#1,"""<pict Alpha_LEFT>"""
ALPHA_RIGHT#1,"""<pict Alpha_RIGHT>"""
SIGN_TRIANGLE#1,"""<pict Sign_TRIANGLE>"""
SIGN_CIRCLE#1,"""<pict Sign_CIRCLE>"""
SIGN_CROSS#1,"""<pict Sign_CROSS>"""
SIGN_SQUARE#1,"""<pict Sign_SQUARE>"""
SIGN_R1#1,"""<pict Sign_R1>"""
SIGN_L1#1,"""<pict Sign_L1>"""
SIGN_R2#1,"""<pict Sign_R2>"""
SIGN_L2#1,"""<pict Sign_L2>"""
SIGN_R3#1,"""<pict Sign_R3>"""
SIGN_L3#1,"""<pict Sign_L3>"""
SIGN_START#1,"""<pict Sign_START>"""
SIGN_SELECT#1,"""<pict Sign_SELECT>"""
SIGN_DOWN#1,"""<pict Sign_DOWN>"""
SIGN_UP#1,"""<pict Sign_UP>"""
SIGN_LEFT#1,"""<pict Sign_LEFT>"""
SIGN_RIGHT#1,"""<pict Sign_RIGHT>"""
NUMBER_1#1,"""<pict Number_1>"""
NUMBER_2#1,"""<pict Number_2>"""
NUMBER_3#1,"""<pict Number_3>"""
NUMBER_4#1,"""<pict Number_4>"""
NUMBER_5#1,"""<pict Number_5>"""
NUMBER_6#1,"""<pict Number_6>"""
NUMBER_7#1,"""<pict Number_7>"""
NUMBER_8#1,"""<pict Number_8>"""
NUMBER_9#1,"""<pict Number_9>"""
NUMBER_10#1,"""<pict Number_10>"""
NUMBER_11#1,"""<pict Number_11>"""
NUMBER_12#1,"""<pict Number_12>"""
NUMBER_13#1,"""<pict Number_13>"""
NUMBER_14#1,"""<pict Number_14>"""
NUMBER_15#1,"""<pict Number_15>"""
NUMBER_16#1,"""<pict Number_16>"""
NUMBER_DOWN#1,"""<pict Number_DOWN>"""
NUMBER_UP#1,"""<pict Number_UP>"""
NUMBER_LEFT#1,"""<pict Number_LEFT>"""
NUMBER_RIGHT#1,"""<pict Number_RIGHT>"""
MOUSE_LEFT#1,"""<pict Mouse_LEFT>"""
MOSUE_RIGHT#1,"""<pict Mouse_RIGHT>"""
MOUSE_WHEEL#1,"""<pict Mouse_WHEEL>"""
pso2_players_manual#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5866>"""
pso2_players_manual_setup#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5866>"""
pso2_players_manual_setup_start#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5867>"""
pso2_players_manual_setup_start_launcher#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5715>"""
pso2_players_manual_setup_start_play#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5659>"""
pso2_players_manual_setup_start_authenticate#0,"""<url http://pso2.jp/players/manual/setup/start/authenticate/>"""
pso2_players_manual_setup_start_smenu#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5693>"""
pso2_players_manual_setup_character#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5660>"""
pso2_players_manual_setup_character_simple#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5654>"""
pso2_players_manual_setup_character_detail#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5695>"""
pso2_players_manual_setup_character_lastcheck#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5692>"""
pso2_players_manual_operation_method#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5661>"""
pso2_players_manual_operation_method_keyboard#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5655>"""
pso2_players_manual_operation_method_mouse#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5696>"""
pso2_players_manual_operation_method_gamepad#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5689>"""
pso2_players_manual_operation_screen#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5713>"""
pso2_players_manual_operation_screen_lobbyscreen#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5662>"""
pso2_players_manual_operation_screen_fieldscreen#0,"""<urlhttp://pso2.playpark.com/th/GameGuide?type=5656>"""
pso2_players_manual_menu_mmenu#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5697>"""
pso2_players_manual_menu_mmenu_list#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5708>"""
pso2_players_manual_menu_mmenu_option#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5712>"""
pso2_players_manual_menu_qmenu#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5663>"""
pso2_players_manual_menu_visiphone#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5657>"""
pso2_players_manual_menu_storage#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5698>"""
pso2_players_manual_menu_character#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5694>"""
pso2_players_manual_preparations_arkslobby#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5711>"""
pso2_players_manual_preparations_arkslobby_gatearea#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5664>"""
pso2_players_manual_preparations_arkslobby_shoparea#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5658>"""
pso2_players_manual_preparations_arkslobby_teleporter#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5761>"""
pso2_players_manual_preparations_arkslobby_campship#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5762>"""
pso2_players_manual_preparations_equipment#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5764>"""
pso2_players_manual_preparations_equipment_weapon#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5765>"""
pso2_players_manual_preparations_equipment_armor#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5766>"""
pso2_players_manual_preparations_equipment_sub#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5767>"""
pso2_players_manual_preparations_class#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5769>"""
pso2_players_manual_preparations_class_level#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5770>"""
pso2_players_manual_preparations_class_skill#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5771>"""
pso2_players_manual_preparations_class_tree#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5772>"""
pso2_players_manual_preparations_photonarts#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5774>"""
pso2_players_manual_preparations_photonarts_disc#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5775>"""
pso2_players_manual_preparations_photonarts_combo#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5776>"""
pso2_players_manual_preparations_party#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5777>"""
pso2_players_manual_preparations_party_creation#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5778>"""
pso2_players_manual_preparations_party_management#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5779>"""
pso2_players_manual_preparations_party_partner#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5780>"""
pso2_players_manual_preparations_quest#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5782>"""
pso2_players_manual_preparations_quest_counter#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5783>"""
pso2_players_manual_preparations_quest_variety#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5784>"""
pso2_players_manual_preparations_quest_matterboard#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5785>"""
pso2_players_manual_preparations_quest_clientorder#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5786>"""
pso2_players_manual_preparations_upgrade#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5791>"""
pso2_players_manual_preparations_upgrade_content#0,"""<url http://pso2.jp/players/manual/preparations/upgrade/content/>"""
pso2_players_manual_preparations_mag#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5792>"""
pso2_players_manual_preparations_mag_breed#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5793>"""
pso2_players_manual_preparations_mag_result#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5794>"""
pso2_players_manual_preparations_info#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5796>"""
pso2_players_manual_preparations_info_character#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5797>"""
pso2_players_manual_preparations_info_arkscard#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5798>"""
pso2_players_manual_preparations_fun#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5802>"""
pso2_players_manual_preparations_ac#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5803>"""
pso2_players_manual_battle_action#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5804>"""
pso2_players_manual_battle_action_basic#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5805>"""
pso2_players_manual_battle_action_palette#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5806>"""
pso2_players_manual_battle_action_gear#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5807>"""
pso2_players_manual_battle_action_photonblast#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5808>"""
pso2_players_manual_battle_action_trap#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5809>"""
pso2_players_manual_battle_field#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5810>"""
pso2_players_manual_battle_field_map#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5811>"""
pso2_players_manual_battle_field_item#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5812>"""
pso2_players_manual_battle_field_object#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5813>"""
pso2_players_manual_battle_field_pse#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5814>"""
pso2_players_manual_battle_field_emergency#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5815>"""
pso2_players_manual_battle_field_weather#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5816>"""
pso2_players_manual_battle_field_multiparty#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5817>"""
pso2_players_manual_battle_field_enemy#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5818>"""
pso2_players_manual_battle_field_property#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5819>"""
pso2_players_manual_communication#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5820>"""
pso2_players_manual_communication_chat#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5821>"""
pso2_players_manual_communication_lobbyaction#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5822>"""
pso2_players_manual_communication_shortcut#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5823>"""
pso2_players_manual_communication_symbolart#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5824>"""
pso2_players_manual_communication_mail#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5825>"""
pso2_players_manual_communication_trade#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5826>"""
pso2_players_manual_communication_blacklist#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5827>"""
pso2_players_manual_communication_goodjob#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5828>"""
pso2_players_manual_communication_friend#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5829>"""
pso2_players_manual_communication_friend_list#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5830>"""
pso2_players_manual_communication_team#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5831>"""
pso2_players_manual_communication_team_function#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5832>"""
pso2_players_manual_communication_team_teamroom#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5833>"""
pso2_players_manual_communication_team_tree#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5834>"""
pso2_players_manual_communication_myroom#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5835>"""
pso2_players_manual_communication_myroom_customize#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5836>"""
pso2_players_manual_communication_myshop#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5837>"""
pso2_players_manual_communication_myshop_preparations#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5838>"""
pso2_players_manual_communication_myshop_method#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5839>"""
pso2_players_manual_preparations_quest_extreme#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5789>"""
pso2_players_manual_preparations_quest_arksbingocard#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5799>"""
pso2_players_manual_preparations_loginstamp#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5800>"""
pso2_players_manual_preparations_info_arksroad#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5801>"""
pso2_players_manual_preparations_party_supportpartner#0,"""<url http://pso2.playpark.com/th/GameGuide?type=5781>"""
AC_CHARGE_PAGE#0,"""https://secure3.playpark.com/refill/refillplaypark/login.aspx?gameid=143"""
USER-INFO-CHANGE-URL#0,"""http://www.playpark.com/th/"""
pso2_players#0,"""http://pso2.playpark.com/th/"""
pso2_players_Vita#0,"""<url http://pso2.jp/vita/>"""
pso2_reset#0,"""<url https://secure2.playpark.com/PSO2Reset2ndPWD/login.aspx>"""
pso2.hangame.co.jp_support.nhn#0,"""<url http://pso2.hangame.co.jp/support.nhn>"""
pso2_players_manual#1,"""<url http://pso2.jp/players/manual/>"""
pso2_players_manual_setup#1,"""<url http://pso2.jp/players/manual/setup/>"""
pso2_players_manual_setup_start#1,"""<url http://pso2.jp/players/manual/setup/start/>"""
pso2_players_manual_setup_start_launcher#1,"""<url http://pso2.jp/players/manual/setup/start/launcher/>"""
pso2_players_manual_setup_start_play#1,"""<url http://pso2.jp/players/manual/setup/start/play/>"""
pso2_players_manual_setup_start_authenticate#1,"""<url http://pso2.jp/players/manual/setup/start/authenticate/>"""
pso2_players_manual_setup_start_smenu#1,"""<url http://pso2.jp/players/manual/setup/start/smenu/>"""
pso2_players_manual_setup_character#1,"""<url http://pso2.jp/players/manual/setup/character/>"""
pso2_players_manual_setup_character_simple#1,"""<url http://pso2.jp/players/manual/setup/character/simple/>"""
pso2_players_manual_setup_character_detail#1,"""<url http://pso2.jp/players/manual/setup/character/detail/>"""
pso2_players_manual_setup_character_lastcheck#1,"""<url http://pso2.jp/players/manual/setup/character/lastcheck/>"""
pso2_players_manual_operation_method#1,"""<url http://pso2.jp/players/manual/operation/method/>"""
pso2_players_manual_operation_method_keyboard#1,"""<url http://pso2.jp/players/manual/operation/method/keyboard/>"""
pso2_players_manual_operation_method_mouse#1,"""<url http://pso2.jp/players/manual/operation/method/mouse/>"""
pso2_players_manual_operation_method_gamepad#1,"""<url http://pso2.jp/players/manual/operation/method/gamepad/>"""
pso2_players_manual_operation_screen#1,"""<url http://pso2.jp/players/manual/operation/screen/>"""
pso2_players_manual_operation_screen_lobbyscreen#1,"""<url http://pso2.jp/players/manual/operation/screen/lobbyscreen/>"""
pso2_players_manual_operation_screen_fieldscreen#1,"""<url http://pso2.jp/players/manual/operation/screen/fieldscreen/>"""
pso2_players_manual_menu_mmenu#1,"""<url http://pso2.jp/players/manual/menu/mmenu/>"""
pso2_players_manual_menu_mmenu_list#1,"""<url http://pso2.jp/players/manual/menu/mmenu/list/>"""
pso2_players_manual_menu_mmenu_option#1,"""<url http://pso2.jp/players/manual/menu/mmenu/option/>"""
pso2_players_manual_menu_qmenu#1,"""<url http://pso2.jp/players/manual/menu/qmenu/>"""
pso2_players_manual_menu_visiphone#1,"""<url http://pso2.jp/players/manual/menu/visiphone/>"""
pso2_players_manual_menu_storage#1,"""<url http://pso2.jp/players/manual/menu/storage/>"""
pso2_players_manual_menu_character#1,"""<url http://pso2.jp/players/manual/menu/character/>"""
pso2_players_manual_preparations_arkslobby#1,"""<url http://pso2.jp/players/manual/preparations/arkslobby/>"""
pso2_players_manual_preparations_arkslobby_gatearea#1,"""<url http://pso2.jp/players/manual/preparations/arkslobby/gatearea/>"""
pso2_players_manual_preparations_arkslobby_shoparea#1,"""<url http://pso2.jp/players/manual/preparations/arkslobby/shoparea/>"""
pso2_players_manual_preparations_arkslobby_teleporter#1,"""<url http://pso2.jp/players/manual/preparations/arkslobby/teleporter/>"""
pso2_players_manual_preparations_arkslobby_campship#1,"""<url http://pso2.jp/players/manual/preparations/arkslobby/campship/>"""
pso2_players_manual_preparations_equipment#1,"""<url http://pso2.jp/players/manual/preparations/equipment/>"""
pso2_players_manual_preparations_equipment_weapon#1,"""<url http://pso2.jp/players/manual/preparations/equipment/weapon/>"""
pso2_players_manual_preparations_equipment_armor#1,"""<url http://pso2.jp/players/manual/preparations/equipment/armor/>"""
pso2_players_manual_preparations_equipment_sub#1,"""<url http://pso2.jp/players/manual/preparations/equipment/sub/>"""
pso2_players_manual_preparations_class#1,"""<url http://pso2.jp/players/manual/preparations/class/>"""
pso2_players_manual_preparations_class_level#1,"""<url http://pso2.jp/players/manual/preparations/class/level/>"""
pso2_players_manual_preparations_class_skill#1,"""<url http://pso2.jp/players/manual/preparations/class/skill/>"""
pso2_players_manual_preparations_class_tree#1,"""<url http://pso2.jp/players/manual/preparations/class/tree/>"""
