Generic_001#0,"""無法使用的菜單和商店的功能，<br>會在推進劇情後解鎖。"""
Dead_r01_gd_dra_rai_002#0,"""真之屠滅龍的強烈吐息攻擊，<br>可以通過高額傷害打出倒地來中斷。"""
Dead_r01_gd_gia_sw_001#0,"""即便繞到劍之神巧巨人的背後，<br>它也會從頭部發射激光進行攻擊。"""
Dead_r01_gd_gia_sw_002#0,"""持續攻擊劍之神巧巨人的腳部，<br>它便會產生巨大的破綻。"""
Dead_r01_gd_gia_ax_001#0,"""仔細觀察斧之神巧巨人的輪揮動作，<br>看準時機進行反擊就好。"""
Dead_r01_gd_gia_ax_002#0,"""冰屬性的攻擊，<br>可以使斧之神巧巨人倒地。"""
Dead_r01_gd_sol_rai_001#0,"""當被真之足行者的拳頭攻擊時，<br>專心迴避就好。"""
Dead_r01_gd_sol_rai_002#0,"""當真之足行者在空中發動激光攻擊時，它的一塊結晶會發光。<br>破壞這塊結晶，它的弱點就會暴露出來。"""
Dead_r01_nat_bea_ba_001#0,"""在被碎岩熊抓住時，<br>狂按方向鍵便可以掙脫。"""
Dead_r01_nat_bea_ba_002#0,"""碎岩熊在大幅揮動手臂後，<br>會放出遠距離衝擊波。"""
Dead_r01_nat_fan_m_001#0,"""烈之暴君男巫<br>會在抬起前腳、踩在地面上之後，發出咆哮。"""
Dead_r01_nat_fan_m_002#0,"""將烈之暴君男巫的爪子全部破壞，<br>它便會在突進之後跌倒。"""
Dead_r01_nat_fan_f_001#0,"""繞到烈之報喪女妖的背後，<br>它便會用後爪進行抓撓攻擊。"""
Dead_r01_nat_fan_f_002#0,"""炎屬性的攻擊，<br>可以使烈之報喪女妖倒地。"""
Dead_r01_nat_fan_thum_001#0,"""雷之暴君男巫在大口吸氣後，<br>會發出強力的吐息攻擊。"""
Dead_r01_nat_fan_thum_002#0,"""炎屬性的攻擊，<br>可以使雷之暴君男巫倒地。"""
Dead_r01_nat_fan_thuf_001#0,"""在雷之報喪女妖使用抓撓攻擊時，<br>如果向後躲避，有時會吃到它的追擊。"""
Dead_r01_nat_fan_thuf_002#0,"""注意避免被雷之報喪女妖的雷屬性攻擊打中，<br>陷入“麻痺”的異常狀態。"""
Dead_r01_alt_cli_ba_001#0,"""援舞裸蝶<br>會強化周圍的敵人。"""
Dead_r01_alt_cli_ba_002#0,"""被援舞裸蝶的攻擊點燃的地面，<br>會持續燃燒一段時間，且在上面會受到傷害。"""
Dead_r01_alt_wlf_ba_001#0,"""在與嗷刃保持一定的距離時，<br>它會使用迴旋攻擊。"""
Dead_r01_alt_wlf_ba_002#0,"""在嗷刃扭轉頭部后，<br>它會使用強力的激光攻擊。"""
Dead_r01_alt_flg_ba_001#0,"""對於醜醜巨蛤的飛撲攻擊，<br>最好是在他將尾巴貼到地面上時，進行左右迴避。"""
Dead_r01_alt_flg_ba_002#0,"""注意避免被醜醜巨蛤的毒彈攻擊打中，<br>陷入“中毒”的異常狀態。"""
Dead_r01_alt_tis_ba_001#0,"""對於鐮翼長者敏捷的動作，<br>鎖定後會變得更容易對付。"""
Dead_r01_alt_tis_ba_002#0,"""破壞掉鐮翼長者手臂兩側的鐮刀，<br>便可以使它變得虛弱。"""
Dead_Hint_001#0,"""最好在治療光晶用完之前，<br>於場景中進行補充。"""
Dead_Hint_002#0,"""HP變少時，周圍屏幕便會變紅，<br>讓你知道自己陷入了危險狀態。"""
Dead_r01_gd_ins_ba_001#0,"""毀射空機變為紅色，且手臂變形時，<br>破壞槍身可以減少發射的彈藥數。"""
Dead_r01_gd_ins_ba_002#0,"""毀射空機在以全身發光的狀態躍起時，<br>會對廣範圍進行強力的連射攻擊。"""
Dead_r02_gd_box_ba_001#0,"""在沙漠怒拳狼猛砸地面後，<br>會使用沙子施放追擊。"""
Dead_r02_gd_box_ba_002#0,"""在沙漠怒拳狼變紅，且手臂變形後，<br>可以破壞它的手臂來減少追擊。"""
Dead_r02_gd_sip_ba_001#0,"""恐蜥變紅後，全身都會變形，<br>且攻擊範圍也會擴大很多，還請注意。"""
Dead_r02_gd_sip_ba_002#0,"""破壞掉恐蜥的雙腳後，<br>它會被自己的攻擊絆倒。"""
Dead_r02_gd_cas_mi_001#0,"""炮之浮戰堡所發射的炮彈，會跟蹤ARKS。"""
Dead_r02_gd_cas_mi_002#0,"""在炮之浮戰堡全身發光時，<br>會瞄準ARKS從上空發射攻擊。"""
Dead_r02_gd_cas_el_001#0,"""激光浮戰堡會使用很多直線攻擊。"""
Dead_r02_gd_cas_el_002#0,"""在激光浮戰堡全身發光時，<br>會從空中對全方位進行激光攻擊。"""
Dead_r02_gd_kic_ba_001#0,"""在與踢拳道人拉開一定距離後，<br>它會急速接近發動攻擊。"""
Dead_r02_gd_kic_ba_002#0,"""雖然踢拳道人會發動猛烈的攻擊，<br>但在它攻擊一段時間後，會出現很大的破綻。"""
Dead_r02_gd_sna_ba_001#0,"""黎泰姆游沙蟒在全身發出明亮的光芒後，將無法受到傷害。<br>可以通過攻擊尾巴來解除發光狀態。"""
Dead_r02_gd_sna_ba_002#0,"""在黎泰姆游沙蟒變紅後，<br>可以被破壞。"""
Dead_r02_gd_sna_rai_001#0,"""真之游沙蟒在全身發出明亮的光芒後，將無法受到傷害。<br>可以通過攻擊尾巴來解除發光狀態。"""
Dead_r02_gd_sna_rai_002#0,"""在真之游沙蟒變紅後，<br>展開在它軀體上的武裝，可以被破壞。"""
Dead_r02_gd_gia_hm_001#0,"""錘之沙巧巨人<br>會通過音波攻擊到周圍一帶。"""
Dead_r02_gd_gia_hm_002#0,"""錘之沙巧巨人<br>會依靠打擊或聲音的震動使岩石隆起，發動攻擊。"""
Dead_r02_gd_gia_rai_001#0,"""當真之沙巧巨人集中於演奏時，將不會受到攻擊。<br>攻擊它的樂器可以解除演奏狀態。"""
Dead_r02_gd_gia_rai_002#0,"""小心不要被真之沙巧巨人的音波攻擊打中，<br>陷入"麻痺"狀態。"""
Dead_r02_alt_dvs_ba_001#0,"""使用弱點屬性攻擊射泡蟹的手臂，使其陷入倒地狀態後，<br>可以止住它從手部射出的泡泡。"""
Dead_r02_alt_dvs_ba_002#0,"""射泡蟹會使用從手部射出的跑泡泡<br>進行強力的攻擊。"""
Dead_r02_alt_cli_ba_001#0,"""沙漠援舞裸蝶<br>會強化周圍的敵人。"""
Dead_r02_alt_cli_ba_002#0,"""被沙漠援舞裸蝶的攻擊點燃的地面，<br>會持續燃燒一段時間，且在上面會受到傷害。"""
Dead_r02_alt_wlf_ba_001#0,"""在與沙漠嗷刃保持一定的距離時，<br>它會使用迴旋攻擊。"""
Dead_r02_alt_wlf_ba_002#0,"""在沙漠嗷刃扭轉頭部后，<br>它會使用強力的激光攻擊。"""
Dead_r02_alt_tis_ba_001#0,"""對於沙漠鐮翼長者敏捷的動作，<br>鎖定後會變得更容易對付。"""
Dead_r02_alt_tis_ba_002#0,"""破壞掉沙漠鐮翼長者手臂兩側的鐮刀，<br>便可以使它變得虛弱。"""
Dead_r02_nat_bea_ba_001#0,"""在被沙丘熊抓住時，<br>狂按方向鍵便可以掙脫。"""
Dead_r02_nat_bea_ba_002#0,"""沙丘熊在大幅揮動手臂後，<br>會向周圍發出衝擊波。"""
Dead_r02_gd_god2_ba_001#0,"""黑暗法爾斯會使用它巨大的身軀，連續使出強力的廣範圍攻擊。"""
Dead_r02_gd_god2_ba_002#0,"""破壞掉黑暗法爾斯的手臂後，<br>會出現治療光晶與復活光晶。"""
Dead_r02_nat_trf_ba_001#0,"""巨型機甲發射的導彈會追蹤ARKS。<br>可以下定決心直接撞上去，或是持續移動來進行迴避。"""
Dead_r02_nat_trf_ba_002#0,"""巨型機甲會在進行特定攻擊後露出核心。"""
Dead_r01_gd_dra_cm_001#0,"""在屠滅龍承受的傷害到達一定程度後，<br>它的身上就會燃起火焰，側面的弱點也會暴露出來。"""
Dead_r01_gd_dra_cm_002#0,"""屠滅龍在大口吸氣之後，<br>會發出強力的火球攻擊。"""
Dead_r02_gd_kpy_ba_001#0,"""戰影武人在使用左臂攻擊前，<br>左臂會發出黑色的閃光。"""
Dead_r02_gd_kpy_ba_002#0,"""被戰影武人抓住時，<br>是無法掙脫的。"""
Quest1140000_001#0,"""可在擬戰設施中得到的經驗值、報酬道具等內容，<br>將在完成任務後統一獲得。"""
Quest1140000_002#0,"""完成任務時，將<yellow>僅消耗使用者<c>的擬戰觸發器。"""
Quest1140000_003#0,"""擬戰觸發器的使用者，將在任務開始時，<br>被附加獲得經驗值提升、稀有道具掉落率提升等效果。"""
Quest1150000_001#0,"""可在擬戰設施中得到的經驗值、報酬道具等內容，<br>將在完成任務後統一獲得。"""
Quest1150000_002#0,"""完成任務時，將<yellow>僅消耗使用者<c>的擬戰觸發器。"""
Quest1150000_003#0,"""在擬戰設施：紫之中，<br>根據限制時間內打倒的絕巨體數量，報酬也將發生變化。"""
