ErrorMember#0,"""$(0)並非<br>公會成員。"""
Msg1#0,"""退出公會後，原本的職位也會消失。<br>若再次重新加入公會，會變成訪客身份。<br>是否退出公會？"""
Msg2#0,"""退出了公會。"""
Error1#0,"""公會裡無成員。"""
Error2#0,"""公會會長不可退出。"""
Error3#0,"""目前公會裡，部分功能暫時停止使用。<br><br>請稍待片刻，再重新嘗試。"""
ErrorOther#0,"""未能退出公會。"""
Title#1,"""$(0)菜單"""
Setting#0,"""設定公會"""
Order#0,"""公會委託"""
Extend#0,"""擴張公會"""
RoomExtend#0,"""擴建公會小屋"""
Suits#0,"""領取公會時尚西裝"""
Trophy#0,"""ARKS獎杯記錄"""
History#0,"""入會記錄"""
Breakup#0,"""解散公會"""
Back#0,"""離開公會櫃台"""
TitleBar#0,"""公會櫃台"""
Help_Reboot#0,"""公會指令"""
Explanation#0,"""内容説明"""
Help1#0,"""管理員或以上職務可進行包含公會委託、入會紀録，ARKS獎杯記録，所有的設定與功能擴張。"""
Help1_Reboot#0,"""除了可以確認公會成員列表、公會資料、入會記錄外，管理員或以上職位可以進行公會的設置，或是功能的擴張。"""
Help1_v#0,"""<c f0df60>除了基本功能外，管理員或以上職位可以進行公會的設置，或是功能的擴張。<c>"""
Help2#0,"""<c f0df60> 可進行確認公會委託、入會紀録，ARKS獎杯記録。"""
Help2_Reboot#0,"""可以確認公會成員列表、公會資料、入會記錄。"""
MasterAuthority#0,"""獲得公會會長權限"""
MasterAuthorityTitle#0,"""訊息"""
MasterAuthorityCheckTitle#0,"""確認獲得權限"""
MasterAuthorityCheck#0,"""獲得公會會長權限。<br>確定麼？<br><br>※現公會會長將變成管理員。"""
MasterAuthoritySuccess#0,"""獲得了公會會長權限。"""
MasterAuthorityError#0,"""未能獲得公會會長權限。"""
Help3#0,"""可登記公會入會意願，或自己設立公會。"""
Comment#0,"""公會會長的描述"""
Search1#0,"""搜尋公會的檢索内容設定"""
Search2#0,"""公開（以通訊裝置裡的公會為檢索對象）"""
Recruit1#0,"""設定為公會成員招募中"""
Recruit2#0,"""招募公會成員（以通訊裝置内的招募公會成員為搜索對象）"""
Login1#1,"""公會登入訊息"""
Site#0,"""公會頁面"""
Msg1#1,"""是否確認顯示？"""
Msg2#1,"""顯示成功。"""
MsgEntry1#0,"""是否確認登録？"""
MsgEntry2#0,"""登録成功。"""
MsgChange1#0,"""是否確認變更？"""
MsgChange2#0,"""變更成功。"""
Error1#1,"""所指定的公會旗幟不存在。"""
Error2#1,"""無顯示本内容的權限。"""
Error3#1,"""無法顯示<br>公會會長的描述及<br>包含無法使用的語句。"""
ErrorOther#1,"""公會頁面的連結。"""
FlagSelect#0,"""選擇"""
Update#1,"""套用設定"""
ConfirmTitle#1,"""確定套用公會設定"""
ErrorTitle#1,"""套用公會設定"""
ItemPack#0,"""道具背包"""
TeamWarehouse#0,"""公會倉庫"""
SetMusicDisk#0,"""MusicDisc登録"""
ChangeTeamRoomBGM#0,"""變更公會小屋背景音樂"""
ResetBGM#0,"""還原公會小屋背景音樂"""
AllMusicDisk#0,"""MusicDisc列表"""
AllSetMusicDisk#0,"""已登録背景音樂列表"""
ItemDetail#0,"""道具詳情"""
MsgEntry3#0,"""登錄了$(0)。"""
MsgEntry4#0,"""要登錄$(0)麼？"""
Empty_BGM#0,"""沒有登録的背景音樂"""
Tab_Category_0#0,"""０・全部"""
Tab_Category_1#0,"""１・『PSO』系列"""
Tab_Category_2#0,"""２・『夢幻之星』系列"""
Tab_Category_3#0,"""３・SEGA聯動"""
Tab_Category_4#0,"""４・聯動"""
Tab_Category_5#0,"""５・『NGS』系列"""
Mag_Jukebox_Register_015#0,"""選擇的音樂光盤，僅可在『NGS』線路播放"""
ConfirmTitle#2,"""確認解散公會"""
ErrorTitle#2,"""解散公會"""
Msg1#2,"""公會解散後<br>與公會有關的資料<br>也會一併被刪除。<br><br>是否確定解散公會？"""
Msg2#2,"""解散了公會。"""
Error1#2,"""公會成員若有2人或以上時，<br>無法解散公會。"""
Error2#2,"""公會用訊息01"""
Error3#2,"""無解散公會的權限。"""
ErrorOther#2,"""公會未能解散。"""
Msg1#3,"""收到了「$(0)」公會<br>$(1)發來的邀請。<br><br>在公會「$(2)」的成員中，<br>被你登録於黑名單中的人數<br>有 $(3) 人。<br><br>是否同意邀請，加入公會？"""
Msg2#3,"""加入了公會。重置了登記的入會意願。"""
Msg3#0,"""拒絶公會邀請。"""
Msg4#0,"""拒絕「$(0)」公會的$(1)<br>發來的邀請。<br><br>確定麼？"""
Msg5#0,"""接受「$(0)」公會的$(1)<br>發來的邀請，<br>成為公會的一員。<br><br>確定麼？"""
Error1#3,"""因公會成員過多，<br>未能加入。"""
Error2#3,"""邀請發生錯誤，未能執行。<br>可能邀請已被取消。"""
ConfirmTitle#3,"""回覆公會邀請"""
ErrorTitle#3,"""回覆公會邀請"""
Menu1#0,"""加入公會"""
Menu2#0,"""拒絶"""
Menu3#0,"""確認公會資料"""
Msg1#4,"""收到了從公會「$(0)」向<br>公會「$(1)」發送的<br>合併申請。<br><br><yellow>※原本所屬「$(1)」公會<br>　所有成員的職務會變成訪客。<br><br>※原本所屬公會「$(1)」的所有成員<br>　已接受的公會委託會全數放棄。<br><br>※公會「$(2)」<br>　所持有的公會點數($(4))<br>　與公會「$(3)」<br>　所持有的公會點數會相加。<br>　若是總和超過99,999,999，多的部分將會被捨去。<br>　(其餘的所有資料將會全數消除)<c><br><br>是否同意申請，並將公會合併？"""
Msg2#4,"""接受來自公會「$(0)」的$(1)<br>的合併申請，<br>成為公會的一份子。<br>※公會「$(2)」將被刪除。<br><br>確定麼？"""
Msg3#1,"""公會「$(0)」接受了<br>公會「$(1)」的合併申請。<br>要打開回覆視窗麼？<br><br>※公會「$(1)」的<br>　公會倉庫有寄存道具時，<br>　將不能進行合併。"""
Msg4#1,"""是否對公會「$(0)」提出<br>合併至公會「$(1)」的申請？"""
Msg5#1,"""提出了公會的合併申請。<br>等待對方的回覆…"""
Msg6#0,"""拒絶公會「$(0)」的$(1)<br>的合併申請。<br><br>確定麼？"""
Msg7#0,"""因合併後的公會成員超過規定數，<br>故無法進行合併。<br>請確認與自己的公會合併的公會的状況。"""
Msg8#0,"""合併了公會。"""
Msg9#0,"""因公會合併申請被撤回，<br>未能開始合併。"""
Msg10#0,"""公會「$(0)」的公會倉庫裡尚存有道具，<br>未能開始合併。"""
Msg11#0,"""未能進行公會合併。"""
Msg12#0,"""未能申請公會合併。"""
Msg13#0,"""公會「$(0)」的公會會長不在同一區域內，<br>未能申請公會合併。"""
LineMsg1#0,"""撤回了公會合併申請"""
LineMsg2#0,"""$(0)拒絶了公會合併。"""
LineMsg3#0,"""拒絶了$(0)的公會合併申請。"""
Title1#0,"""公會合併申請的回覆"""
Title2#0,"""確認合併申請"""
Title3#0,"""確認合併申請的回覆"""
Title4#0,"""合併申請"""
MailMsg1#0,"""公會「$(0)」被合併到<br>公會「$(1)」了。<br><br>※公會「$(2)」所屬的<br>　全部成員的職務全部變為了訪客。<br><br>※公會「$(2)」的<br>　持有公會點數($(4))被加入<br>　公會「$(3)」的持有公會點數。<br>　(刪除了其他所有的情報)"""
LeaveRoomMsg#0,"""在公會小屋不能合併公會。<br>請到大廳再試一次。"""
LeaveRoomMsg2#0,"""$(0)要從<br>這個公會小屋退出。<br><br>確定麼？"""
Menu#0,"""撤銷邀請"""
Msg1#5,"""是否確認撤銷<br>對 $(0) 的邀請？"""
Msg2#5,"""撤銷了對 $(0) 的邀請。"""
Error1#4,"""無撤銷邀請的權利。"""
ErrorOther#3,"""未能撤銷邀請。"""
ConfirmTitle#4,"""確認撤銷邀請"""
ErrorTitle#4,"""撤銷邀請"""
Msg1#6,"""「$(0)」<br>已登録在黑名單裡。<br><br>真的確定向「$(1)」<br>送出邀請？"""
Msg2#6,"""是否要將「$(0)」<br>邀請進「$(1)」？"""
Msg3#2,"""「$(0)」被邀請進了「$(1)」。"""
Error1#5,"""「$(0)」<br>已有所屬的公會<br>所以無法邀請。"""
Error2#4,"""包含邀請中的成員<br>公會成員已達到100人。<br>無法進行邀請。"""
Error3#3,"""已受到5個人邀請<br>所以「$(0)」<br>無法進行邀請動作。"""
Error4#0,"""已全數邀請中。"""
Error5#0,"""無邀請的權限。"""
Error6#0,"""公會功能利用失敗。<br><br>當公會的邀請數達到上限時，<br>必須要取消邀請數。<br><br>此外，也有可能是功能被暫時<br>限制導致無法使用，請稍待片<br>刻，再重新嘗試。"""
ErrorOther#4,"""不可邀請。"""
ConfirmTitle#5,"""確認邀請"""
ErrorTitle#5,"""邀請"""
SendTitle#0,"""確認發送公會邀請信件"""
SendMsg#0,"""將「$(0)」<br>邀請到「$(1)」<br>送出邀請？<br><br>可夾帶訊息。<br>是否確認以下記内容發信進行邀請？"""
DefaultMessage#0,"""是否願意加入我們的公會？"""
ConfirmTitle#6,"""確認接受公會會長"""
ErrorTitle#6,"""接受公會會長"""
Msg1#7,"""接受公會會長轉讓的提議<br>是否確認接受公會會長？"""
Msg2#7,"""成為了新的公會會長。"""
Msg3#3,"""辭退公會會長職務。"""
Error1#6,"""未指定公會會長職務。"""
Error2#5,"""公會裡無成員。"""
Error3#4,"""未能成為公會會長。"""
Msg1#8,"""確認將公會會長<br>職位讓給「$(0)」？"""
Msg2#8,"""向「$(0)」提議了轉讓公會會長職務。"""
Msg3#4,"""「$(0)」接受了公會會長職務。"""
Msg4#2,"""「$(0)」拒絶接受公會會長轉讓。"""
Error1#7,"""已發出公會會長轉讓的提議。"""
Error2#6,"""對方並非管理員。"""
ErrorOther#5,"""所以未能發出公會會長轉讓的提議。"""
ConfirmTitle#7,"""確認轉讓公會會長"""
ErrorTitle#7,"""轉讓公會會長"""
Msg1#9,"""是否確定從公會中除名<br>「$(0)」？"""
Msg2#9,"""從公會中除名了「$(0)」。"""
Error1#8,"""無除名的權限。"""
Error2#7,"""無法除名公會會長。"""
Error3#5,"""目前公會裡，部分功能暫時停止使用。<br><br>請稍待片刻，再重新嘗試。"""
ErrorOther#6,"""未能從公會中除名「$(0)」。"""
ConfirmTitle#8,"""確認從公會中除名"""
ErrorTitle#8,"""從公會中除名"""
Promote_Msg1#0,"""要將$(0)<br>升格為 $(1)麼？"""
Promote_Msg2#0,"""「$(0)」被升格為了 $(1)。"""
Promote_Error1#0,"""確認將$(0)<br>升格為 $(1)<br>無升格的權限。"""
Promote_ErrorOther#0,"""「$(0)」未能被升格為 $(1)。"""
Promote_ConfirmTitle#0,"""確認公會升格"""
Promote_TitleTitle#0,"""公會升格"""
Demote_Msg1#0,"""要將$(0)<br>升格為 $(1)麼？"""
Demote_Msg2#0,"""「$(0)」被降格為了 $(1)。"""
Demote_Error1#0,"""確認將$(0)<br>升格為 $(1)<br>無降格的權限。"""
Demote_ErrorOther#0,"""「$(0)」未能被降格為 $(1)。"""
Demote_ConfirmTitle#0,"""確認公會降格"""
Demote_ErrorTitle#0,"""公會降格"""
Msg1#10,"""是否確認設立自己的公會？"""
Msg2#10,"""取輸入公會名稱。"""
Msg3#5,"""公會「$(0)」設立完成。"""
Error1#9,"""若要設立公會，<br>職業等級必須達到10級或以上。"""
Error2#8,"""無法使用這個名稱來設立公會。"""
Error3#6,"""已所屬於公會。"""
Error4#1,"""這個公會名稱已被使用。"""
Error5#1,"""公會名稱過長。"""
Error6#1,"""含有不可使用的語句。"""
Error7#0,"""含有不可使用的符號，<br>或是名字的前後，含有<br>半型或全型空白記號。"""
ErrorOther#7,"""未能設立公會。"""
ConfirmTitle#9,"""確認設立公會"""
InputTitle#0,"""設立公會"""
ErrorTitle#9,"""設立公會"""
RenameTitle#0,"""公會名稱變更"""
guild_level#0,"""目前的公會等級"""
guild_point#0,"""目前的公會點數"""
extend_topic#0,"""擴建項目"""
extend_level#0,"""必要的公會等級"""
extend_point#0,"""需花費的公會點數"""
point#0,"""TP"""
level#0,"""Lv."""
nothing#0,"""無可選擇的項目"""
move#0,"""選擇移動據點"""
move_date#0,"""$(0) 為止"""
move_date2#0,"""期限是到$(0)為止。"""
move_default#0,"""（初期的房間）"""
move_00#0,"""宇宙空間"""
move_01#0,"""温泉據點"""
move_02#0,"""森林據點"""
move_03#0,"""海岸據點"""
move_04#0,"""沙漠據點"""
move_05#0,"""凍土據點"""
move_06#0,"""夜景據點"""
move_07#0,"""浮遊據點"""
janitor#0,"""選擇工作人員"""
janitor_looks#0,"""預覽"""
janitor_00#0,"""安娜"""
janitor_01#0,"""杜莉雅"""
janitor_02#0,"""貝蒂"""
janitor_03#0,"""安亞"""
janitor_04#0,"""米山"""
janitor_05#0,"""泰瑟拉"""
janitor_06#0,"""迪歐"""
janitor_07#0,"""庫西"""
janitor_08#0,"""碧安琪"""
janitor_09#0,"""莉伽德"""
janitor_10#0,"""鈴蘭"""
janitor_11#0,"""拉比"""
janitor_12#0,"""莉莉芭"""
janitor_decide#0,"""指定工作人員"""
janitor_voice#0,"""確認聲音"""
confirm_point#0,"""（目前的點數：$(0)TP）"""
change_bgm_tune#0,"""變更曲調"""
no_change_bgm_tune#0,"""本曲目不可變更曲調。"""
Adaptive_Tune0#0,"""曲調A"""
Adaptive_Tune1#0,"""曲調B"""
Adaptive_Tune2#0,"""曲調C"""
Adaptive_Tune3#0,"""曲調D"""
Adaptive_Tune4#0,"""曲調E"""
Adaptive_Tune5#0,"""曲調F"""
Adaptive_Tune6#0,"""曲調G"""
Adaptive_Tune7#0,"""曲調H"""
Adaptive_Tune8#0,"""曲調I"""
Adaptive_Tune9#0,"""曲調J"""
cancel_confirm#0,"""不預覽變更内容直接結束。<br><br>確定麼？"""
cancel_message#0,"""沒有變更。<br>沒有消費TP。"""
move_08#0,"""和風拠点"""
move_09#0,"""水上遺跡拠点"""
move_10#0,"""先鋒者2號（城市）"""
move_11#0,"""東京拠点"""
move_12#0,"""戦艦拠点"""
move_13#0,"""月面拠点"""
move_14#0,"""渓流拠点"""
Adaptive_Tune10#0,"""曲調K"""
Adaptive_Tune11#0,"""曲調L"""
Adaptive_Tune12#0,"""曲調M"""
Adaptive_Tune13#0,"""曲調N"""
Adaptive_Tune14#0,"""曲調O"""
Adaptive_Tune15#0,"""曲調P"""
Adaptive_Tune16#0,"""曲調Q"""
Adaptive_Tune17#0,"""曲調R"""
Adaptive_Tune18#0,"""曲調S"""
Adaptive_Tune19#0,"""曲調T"""
Adaptive_Tune20#0,"""曲調U"""
Adaptive_Tune21#0,"""曲調V"""
Adaptive_Tune22#0,"""曲調W"""
Adaptive_Tune23#0,"""曲調X"""
Adaptive_Tune24#0,"""曲調Y"""
Adaptive_Tune25#0,"""曲調Z"""
contents_00#0,"""公會等級上升（Lv. 2）"""
contents_01#0,"""公會等級上升（Lv. 3）"""
contents_02#0,"""公會等級上升（Lv. 4）"""
contents_03#0,"""公會等級上升（Lv. 5）"""
contents_04#0,"""取得公會小屋"""
contents_05#0,"""取得公會飾品"""
contents_06#0,"""變更公會飾品"""
contents_07#0,"""取得公會倉庫"""
contents_08#0,"""提高公會倉庫容量（100）"""
contents_09#0,"""提高公會倉庫容量（150）"""
contents_10#0,"""提高公會倉庫容量（200）"""
contents_11#0,"""提高公會倉庫容量（250）"""
contents_12#0,"""提高公會倉庫容量（300）"""
contents_13#0,"""變更公會據點"""
contents_14#0,"""變更公會櫃台工作人員"""
contents_15#0,"""取得季節擺飾"""
contents_16#0,"""變更公會小屋背景音樂"""
contents_17#0,"""變更曲調"""
contents_18#0,"""還原公會小屋背景音樂"""
contents_19#0,"""試戴公會飾品"""
contents_20#0,"""試戴公會飾品"""
contents_21#0,"""登録／變更塗鴉顯示器"""
contents_22#0,"""刪除塗鴉顯示器"""
contents_23#0,"""公會名稱變更"""
contents_24#0,"""解鎖公會小屋的鎖定"""
contents_25#0,"""給公會小屋上鎖"""
contents_26#0,"""獲得公會專用商店"""
confirm_00#0,"""使用$(0)TP，<br>公會等級為Lv.$(1)。<br><br>確定麼？"""
confirm_01#0,"""使用$(0)TP，<br>解鎖公會小屋。<br><br>確定麼？"""
confirm_02#0,"""使用$(0)TP，<br>公會小屋内的公會專用<br>解鎖倉庫終端。<br><br>確定麼？"""
confirm_03#0,"""使用$(0)TP，<br>公會倉庫的容量<br>增加為「$(1)」。<br><br>確定麼？"""
confirm_04#0,"""使用$(0)TP，<br>公會小屋變更為「$(1)」。<br><br>確定麼？"""
confirm_04_1#0,"""使用$(0)TP，<br>公會小屋回到「$(1)」。<br><br>確定麼？"""
confirm_05#0,"""使用$(0)TP，<br>變更公會櫃台工作人員。<br><br>確定麼？"""
confirm_06#0,"""使用$(0)TP，<br>以裝設上季節擺飾。<br><br>確定麼？"""
confirm_07#0,"""使用$(0)TP，<br>變更公會小屋背景音樂。<br><br>確定麼？"""
confirm_08#0,"""變更曲調。<br><br>確定麼？"""
confirm_09#0,"""還原公會小屋背景音樂。<br><br>確定麼？"""
confirm_10#0,"""使用$(0)TP，<br>取得公會飾品。<br><br>確定麼？"""
confirm_11#0,"""使用飾品選擇3，<br>試戴公會飾品。<br>試戴的飾品在離開公會小屋將被解除。<br><br>確定麼？"""
confirm_12#0,"""使用$(0)TP，<br>變更公會飾品。<br><br>確定麼？"""
confirm_13#0,"""使用飾品選擇3，<br>試戴公會飾品。<br>試戴的飾品在離開公會小屋將被解除。<br><br>確定麼？"""
confirm_14#0,"""是否要消耗$(0)TP，<br>啟用公會塗鴉螢幕？"""
confirm_15#0,"""刪除選擇的塗鴉顯示器。<br><br>確定麼？"""
confirm_16#0,"""是否要消耗$(0)TP，<br>更改公會名稱？"""
confirm_17#0,"""解除公會小屋的鎖定。<br><br>確定麼？"""
confirm_18#0,"""给公會小屋上鎖。<br><br>確定麼？"""
confirm_19#0,"""消費$(0)TP，<br>解鎖公會專用商店。<br><br><yellow>※下列公會成員<br>\u3000無法使用公會專用商店<br>\u3000或成為道具的賦予對象。<br>\u3000\u3000・入會後7日以內的成員<br>\u3000\u3000・30天或以上沒有登入的成員<c><br><br>確定麼？"""
Moving_00#0,"""據點變更的預備可選擇地點"""
Moving_01#0,"""公會小屋據點風景"""
success_00#0,"""公會等級升到了Lv.$(0)。"""
success_00_lv4#0,"""公會等級升級為Lv.4，公會小屋内的櫃台新增「MusicDisc登録」項目。"""
success_00_lv5#0,"""公會等級升級為Lv.5，公會小屋内的櫃台新增「公會飾品」項目。"""
success_01#0,"""可以使用公會小屋了。詳情請參照信件内容。"""
success_02#0,"""可以使用公會倉庫了。"""
success_03#0,"""公會倉庫的容量上升了。"""
success_04#0,"""公會倉庫移動到「$(0)」。"""
success_05#0,"""變更了公會櫃台工作人員。"""
success_06#0,"""公會小屋裡會出現季節擺飾了。"""
success_07#0,"""變更了公會小屋的背景音樂。"""
success_08#0,"""變更了曲調。"""
success_09#0,"""還原了公會櫃台工作人員。"""
success_10#0,"""獲得了公會飾品，詳情請確認信件。"""
success_11#0,"""試戴公會飾品。"""
success_12#0,"""變更了公會飾品，可從公會指令那邊裝備。"""
success_13#0,"""試戴公會飾品。"""
success_14#0,"""套用了公會塗鴉螢幕的設定。"""
success_15#0,"""刪除了選擇了的公會塗鴉螢幕。"""
success_16#0,"""更改了公會名稱。"""
success_17#0,"""解鎖了公會小屋。"""
success_18#0,"""鎖上了公會小屋。"""
success_19#0,"""可以使用公會專用商店了。"""
error_00#0,"""公會點數不足。"""
error_01#0,"""公會等級不足。"""
error_02#0,"""已經獲得該內容。"""
error_03#0,"""發生不可預期的錯誤。"""
error_04#0,"""沒有權限。"""
error_05#0,"""選擇的背景音樂已全數播放完畢。"""
error_06#0,"""沒有登録的背景音樂。"""
error_07#0,"""未選擇道具。"""
error_08#0,"""沒有登録的曲調。"""
error_09#0,"""選擇的曲調已全數播放完畢。"""
error_10#0,"""選擇的MusicDisc已全數登録完畢。"""
error_11#0,"""公會小屋據點的服務期限<br>已到期，故無法更新。<br><br>公會小屋内的成員，<br>先全部離開後，再次入場時更新<br>敵人。"""
error_12#0,"""公會小屋據點的租借期限<br>已到期，故無法更新。<br><br>公會小屋内的成員，<br>先全部離開後，再次入場時更新<br>敵人。"""
error_13#0,"""這個公會名稱已被使用。"""
error_14#0,"""公會名稱過長。"""
error_15#0,"""含有不可使用的語句。"""
error_16#0,"""含有不可使用的符號，<br>或是名字的前後，含有<br>半型或全型空白記號。"""
error_17#0,"""冷卻時間中，無法變更。"""
error_18#0,"""隊長不是管理員，<br>無法進行選擇。"""
explain_00#0,"""公會等級提升。<br>公會等級提升後就可追加各種擴張功能。"""
explain_01#0,"""取得可享受各種要素、公會成員專用的「公會小屋」。"""
explain_02#0,"""取得公會成員可共享的公會倉庫。<br>只有在VIP有效期間才可使用倉庫。"""
explain_03#0,"""提升公會倉庫的容量。"""
explain_04#0,"""變更公會小屋的據點移動處。"""
explain_05#0,"""變更公會小屋内的櫃台人員。"""
explain_06#0,"""取得季節裝飾。"""
explain_07#0,"""變更公會小屋内播放的BGM。<br>要變更BGM必須要登録MusicDisc。"""
explain_08#0,"""變更現在播放中的公會小屋BGM的曲調。"""
explain_09#0,"""將公會小屋BGM返回初期設定。"""
explain_10#0,"""公會成員可裝備，<br>可使用「公會裝飾品功能」。"""
explain_11#0,"""將公會裝飾品以限定在公會小屋内的方式試用。"""
explain_12#0,"""變更公會裝飾品。"""
explain_13#0,"""將公會裝飾品以限定在公會小屋内的方式試用。"""
explain_14#0,"""登録/變更塗鴉顯示器。"""
explain_15#0,"""刪除塗鴉顯示器。"""
explain_16#0,"""公會名稱變更。<br>公會名稱變更後，30天内無法變更。"""
explain_17#0,"""從不屬於公會的角色<br>許可了進入公會小屋。"""
explain_18#0,"""從不屬於公會的角色<br>限制了進入公會小屋。"""
explain_19#0,"""獲得可為公會成員購買道具的<br>「公會專用商店」。"""
TitleAcquireDay#0,"""獲得日期"""
TitleRanking#0,"""排行"""
TitleRank#0,"""排名"""
PointRanking#0,"""公會點數排行"""
RareItemRanking#0,"""取得稀有道具排行"""
Rank#0,"""$(0)名"""
Acquiring#0,"""讀取中"""
RecordNothing#0,"""無ARKS獎杯記錄"""
TeamRentalRental_TimeOn#0,"""公會服務期間打開更正設定$(0)"""
TeamRentalRental_TimeOff#0,"""公會服務期間關閉更正設定"""
MonitorEdit#0,"""顯示器編集"""
MonitorDelete#0,"""顯示器刪除"""
MainMonitor#0,"""光子樹内部顯示器大"""
SecondMonitor#0,"""光子樹内部顯示器小"""
SubMonitor#0,"""壁掛式顯示器"""
Decision#0,"""確定編集"""
Cancel#0,"""不編集結束"""
TitleTeamStyleRegist#0,"""登記為有意願加入公會者"""
TitleTeamStyleSearch#0,"""搜尋有意願加入公會者"""
TitleTeamStyleSearchResult#0,"""有意願加入公會者的搜尋結果"""
TitleTeamStyleSearchGuide#0,"""<c f0df60>可搜尋有意願加入公會的ARKS。<c>"""
TitleNewTeam#0,"""新設立公會"""
TitleStyleConfig#0,"""設置入會意願"""
TitlePlayStance#0,"""遊玩時間段"""
TitleWish#0,"""對公會的期許"""
TitleFavorite#0,"""喜歡的玩法"""
TitleComment#0,"""描述"""
TitleEnvironment#0,"""遊玩環境（必填）"""
CheckTextEnable#0,"""將入會意願設為有效"""
TextSummary#0,"""選中「將入會意願設為有效」<br>則會成為有意願加入公會者的搜尋對象。<br>請在「遊玩時間段」中選擇自己的遊玩時間段，<br>並在「對公會的期許」中選擇對公會的要求。"""
TextNotes1#0,"""<yellow>※加入公會後，登記的內容將會被重置。<c>"""
TextNotes2#0,"""<yellow>※相符的項目可多選。<c>"""
TextNotes3#0,"""<yellow>※搜尋的項目可多選。<c>"""
TextHit#0,"""符合條件的人數"""
ButtonRenewal#0,"""更新"""
ButtonSearch#0,"""搜尋"""
Separator#0,""" / """
SearchPlayer#0,"""$(0)さんの入団希望設定"""
SearchResultNum#0,"""$(0)"""
