TitleLogo_Enter#0,"""กดเพื่อเริ่มเกม"""
Title_IdSelect#2,"""<c f0df60>เลือก [Login ด้วย Play ID/Fackbook ID] เพื่อเริ่มเกมและ [สมัคร Play ID] สำหรับผู้เล่นที่ยังไม่มี Play ID<c>"""
Title_IdSelect_v#2,"""<c f0df60>การจะเริ่มต้นเกมได้จำเป็นจะต้อง Sign In ที่ PlayStation®Network จาก [Online Login]<c>"""
Title_Login#2,"""<c f0df60>โปรดเลือก Ship (เซิร์ฟเวอร์) ที่ท่านต้องการเชื่อมต่อแล้ว Login<c>"""
Title_StartMenuSelect#2,"""<c f0df60>โปรดเลือกหัวข้อ<c>"""
Title_CharacterSelect#2,"""<c f0df60>เลือกตัวละครที่ท่านต้องการ หรือเลือก [สร้างตัวละครใหม่] เพื่อสร้างตัวใหม่<c>"""
Title_CharacterMake#2,"""<c f0df60>โปรดเลือกหัวข้อ<c>"""
Title_BenchmarkMenu#2,"""<c f0df60>โปรดเลือกหัวข้อ<c>"""
Connecting#0,"""<c f0df60>โปรดรอซักครู่<c>"""
Title_IdSelect#3,"""<c f0df60>ゲームを開始するには[SEGA IDでログイン]を、メールアドレス等を変更するには[ユーザー情報変更]を選択してください。<c>"""
Title_IdSelect_v#3,"""<c f0df60>ゲームの開始には[オンラインログイン]からPlayStation®Networkにサインインする必要があります。<c>"""
Title_Login#3,"""<c f0df60>接続したいシップ（サーバー）名を選択してログインしてください。<c>"""
Title_StartMenuSelect#3,"""<c f0df60>項目を選択してください。<c>"""
Title_CharacterSelect#3,"""<c f0df60>プレイするキャラクターを選択するか、「キャラクターの新規作成」を選択してください。<c>"""
Title_CharacterMake#3,"""<c f0df60>項目を選択してください。<c>"""
Title_BenchmarkMenu#3,"""<c f0df60>項目を選択してください。<c>"""
Connecting#1,"""<c f0df60>しばらくお待ちください。<c>"""
IpEdit#0,"""ใส่ IP address ที่ต้องการเชื่อมต่อ"""
IpEdit#1,"""接続先のIPアドレスを入力してください"""
Disconnect#0,"""ถูกตัดจากเซิร์ฟเวอร์"""
PSN_Connect_Error#0,"""ไม่สามารถเชื่อมต่อกับ PlayStation®Network ได้<br>กรุณารอสักครู่แล้วลองใหม่อีกครั้ง<br>กรณีที่ปัญหายังไม่ถูกแก้ไข โปรดตรวจสอบข้อมูลที่<br>เว็บไซต์ Phantasy Star Online 2 หรือ Playstaytion®Officialsite"""
Disconnect#1,"""サーバーから切断されました。"""
PSN_Connect_Error#1,"""PlayStation®Networkに接続することが<br>できませんでした。<br>時間をおいて、再度お試しください。<br>状況が改善されない場合は、<br>ファンタシースターオンライン2プレイヤーズサイト、<br>または、プレイステーション® オフィシャルサイトの<br>障害・メンテナンス情報をご確認ください。"""
UseAgreement_Title#0,"""ข้อตกลงการใช้งาน [Phantasy Star Online 2]"""
UseAgreement_Message#0,"""ข้อตกลงการใช้งาน [Phantasy Star Online 2]<br><br>1.ห้ามใช้คำไม่สุภาพหรือหยาบคายในการพูดคุย และห้ามการพูดหรือประกาศข้อความซึ่งเป็นการรบกวนผู้อื่น เช่น การประกาศขายหรือซื้อสินค้า ซ้ำๆ หลายๆ ครั้ง (Flood Message) * รวมไปถึงการใช้ภาพ สื่อหรือข้อความที่ไม่เหมาะสม * ระงับการใช้งานไอดี 10 วัน<br>2.ห้ามส่งเสริม หรือยุแหย่ให้เกิดความแตกแยกในสังคมระงับการใช้งานไอดีถาวร<br>3.ห้ามใช้ภาษาที่ส่อถึงความหมายไม่สุภาพหรือหยาบคาย หรือไม่เหมาะสมในการกำหนดชื่อตัวละคร (Character), ชื่อกลุ่ม (Party), ชื่อทีม (Team) ระงับการใช้งานไอดีถาวร<br>4.ห้ามเสนอซื้อขายไอดีเกม และห้ามเสนอซื้อขายสิ่งของอื่นๆ ที่ไม่ใช่ Item ในเกมตามปกติทั้งในรูปแบบของเงินในเกม หรือเงินจริง * รวมไปถึงการส่อเจตนาที่จะกระทำการดังกล่าวในทุกๆ กรณี * ระงับการใช้งานไอดีถาวร<br>5.ห้ามส่งเสริม และ/หรือ ใช้โปรแกรมช่วยเหลือการเล่นใดๆ ที่ไม่ใช่ Client ซึ่งมาจาก เอเชียซอฟท์ เท่านั้น รวมถึงโปรแกรมแก้ไขข้อมูลต่างๆ ที่สามารถเชื่อมต่อเข้ากับระบบเกม ได้ * รวมไปถึงการส่อเจตนาที่จะกระทำการดังกล่าวในทุกๆ กรณี * ระงับการใช้งานไอดีถาวร<br>6.ห้ามอ้างตัวเป็น GM หรือ Asiasoft Staff หรืออ้างมีความเกี่ยวพันกับทีมงาน Asiasoft<br>* รวมไปถึงการส่อเจตนาที่จะกระทำการดังกล่าวในทุกๆ กรณี * ระงับการใช้งานไอดีถาวร<br>7. ห้ามใช้ Bug ของเกมในการแสวงหาผลประโยชน์ใดๆ * รวมไปถึงการส่อเจตนาที่จะกระทำการดังกล่าวในทุกๆ กรณี * ระงับการใช้งาน 30 วันและลบ<br>ไอเทมที่เกี่ยวข้อง<br>7.1หาก Bug นั้น ๆ ทางทีมงานพิจารณาแล้วว่าเป็นบัคที่ร้ายแรง ส่งผลเสียให้แก่ระบบเกมและสังคมภายในเกมส์ ระงับการใช้งานไอดีถาวร<br>8.ห้ามกระทำใด ๆ ที่เข้าข่ายละเมิดหรือทุจริต (เช่น การปลอมชื่อตัวละครให้คล้ายผู้อื่น) เพื่อให้ได้มาซึ่งข้อมูลใดๆ สิ่งของ หรือไอเทมของผู้เล่นอื่น ๆ ระงับการใช้งานไอดีถาวร<br>9.ห้ามการกระทำใด ๆ ที่เข้าข่ายการพนัน * รวมไปถึงการส่อเจตนาที่จะกระทำการดังกล่าวในทุกๆ กรณี * ระงับการใช้งานไอดี 7 วัน<br>10.ห้ามขัดขวางการปฏิบัติหน้าที่ของทางทีมงาน ระงับการใช้งานไอดี 3 วัน<br>11.ห้ามทำการเสนอซื้อขายแลกเปลี่ยนไอเทมและเงินภายในเกมส์ในรูปแบบของเงินจริง * รวมไปถึงการส่อเจตนาที่จะกระทำการดังกล่าวในทุกๆ กรณี *ระงับการใช้งานไอดีถาวร<br>12.ผู้เล่นที่รับผลประโยชน์จากการใช้โปรแกรมช่วยเหลือในการเล่นใดๆ จะถือว่ามีความผิดเท่าเทียมกันกับการส่งเสริม และ/หรือ ใช้โปรแกรมช่วยเหลือการเล่นใดๆ ที่ไม่ใช่ Client ซึ่งมาจาก เอเชียซอฟท์ เท่านั้น รวมถึงโปรแกรมแก้ไขข้อมูลต่างๆ ที่สามารถเชื่อมต่อเข้ากับระบบเกม ได้* รวมไปถึงการส่อเจตนาที่จะกระทำการดังกล่าวในทุกๆ กรณี *ระงับการใช้งานไอดีถาวร<br>13.การหลอกลวงในการทำการแลกเปลี่ยนซื้อขาย Item เช่น การตั้งราคาสูงกว่ากำหนดหรือการจ่ายไม่ครบตามจำนวน ห้ามตั้งราคาสินค้าสูงกว่าราคาที่ NPC ตั้งขายโดยไม่เหมาะสม<br>* รวมไปถึงการส่อเจตนาที่จะกระทำการดังกล่าวในทุกๆ กรณี *ระงับการใช้งานไอดีถาวร<br>หมายเหตุ<br>[1.] บุคคล ตัวละครหรือ ID ใดที่เกี่ยวข้องกับการกระทำผิดข้างต้นถือว่ามีความผิดและได้รับโทษเท่าเทียมกับผู้กระทำผิด<br>[2.] ผู้ใช้บริการยอมรับและทราบเป็นอย่างดีว่าการใช้โปรแกรมช่วยเล่น, การดักรับ USER ID และ Password ของผู้ใช้บริการอื่น ๆ การรบกวนการทำงานของ Server,การเจาะเข้าระบบการแก้ไขเปลี่ยนแปลงข้อมูลของผู้ใช้บริการอื่นและการ แจกจ่ายโปรแกรมช่วยเล่นหรือโปรแกรมอำนวยความสะดวก ในการกระทำความผิดดังกล่าวนอกจากเป็นความผิดตามกฎ กติกา มารยาทฉบับนี้แล้วยังเป็นความผิดตามกฎหมาย พรบ.ว่าด้วยการกระทำความผิดเกี่ยวกับคอมพิวเตอร์ พ.ศ.2550 ซึ่งมีโทษทางอาญาทั้งจำคุก และปรับซึ่งหากเกิดการกระทำความผิดดังกล่าว ขึ้นผู้ใช้บริการยอมรับเป็นการกระทำความผิด ของผู้ใช้บริการเพียงลำพัง และผู้ใช้บริการยอมรับผิดชดใช้ความเสียหายต่าง ๆ  ทุกประการเพียงลำพัง โดยไม่เกี่ยวข้องกับเอเชียซอฟท์ แต่อย่างใด<br>[3.] ผู้ใช้บริการตกลงยอมรับว่าหากผู้ใช้บริการไม่ได้ใช้บริการเกม Phantasy Star Online 2 ติดต่อกันเป็นเวลา 90 วัน ผู้ใช้บริการยินยอมให้เอเชียซอฟท์ ระงับหรือยุติการใช้งาน USER ID เกม Phantasy Star Online 2 ที่ผู้ใช้บริการได้ลงทะเบียนไว้ โดยมิต้องได้รับอนุญาตจากผู้ใช้บริการก่อน หากผู้ใช้บริการต้องการใช้บริการเกม Phantasy Star Online 2 อีกครั้งสามารถสมัครใช้บริการใหม่ได้<br>[4.] ในกรณีอื่นนอกเหนือจากที่ ระบุดังกล่าวข้างต้น ผู้ใช้บริการตกลงและยอมรับให้ทีมงานมีสิทธิในการตัดสินการกระทำความผิดของ ผู้ใช้บริการ รวมถึงบทลงโทษและการระงับใช้ ID ชั่วคราวเพื่อตรวจสอบตามที่เห็นสมควรได้ การตัดสินของทีมงานถือเป็นที่สุด<br>[5.] ผู้ใช้บริการยอมรับและเข้าใจเป็นอย่างดีว่า การเข้าไปเปลี่ยนแปลงแก้ไขข้อมูลของผู้ใช้บริการรายใดก็ตาม ถือเป็นความผิดร้ายแรง<br>[6.] ผู้ใช้บริการตกลงและยอมรับให้การตัดสินของทีมงานให้ยึดตามหลักฐานในรูปของ screenshot ที่ทีมงานเก็บรวบรวมไว้หรือจากหลักฐานที่ผู้ใช้บริการต่างๆ ได้ส่งให้ทีมงานโดยทีมงานจะพิจารณาจากความชัดเจนของเจตนาที่ปรากฏในภาพที่ ส่งมาเป็นหลักฐานเพื่อประกอบการพิจารณาของทีมงานและผู้ใช้บริการทราบเป็น อย่างดีว่า การตกแต่งภาพเป็นเจตนากระทำความผิดและหากการกระทำดังกล่าวกระทบต่อผู้ใช้ บริการที่ถูกตกแต่งภาพผู้ใช้บริการที่ส่งภาพหลักฐานเท็จมายินยอมให้ทีมงานลง โทษตามกฎ กติกาที่ทีมงานวางไว้โดยไม่มีข้อโต้แย้งหรือข้อเรียกร้องใด ๆ ทั้งสิ้นไม่ว่าการลงโทษจะก่อให้เกิดความเสียหายแก่ผู้ส่งภาพหลักฐานเท็จหรือ ไม่ก่อให้เกิดความเสียหายก็ตาม โดยเฉพาะอย่างยิ่งกรณีถูกระงับการใช้งานไม่ว่าชั่วคราวหรือถาวรก็ตาม<br>[7.] ผู้ใช้บริการยอมรับว่าการกระทำใดๆ ที่ส่งผลหรืออาจส่งผลให้ Server ทำงานล้มเหลวหรือทำงานผิดปกติการเชื่อมต่อเป็นการทำลายทรัพย์สินของ เอเชียซอฟท์ เป็นความผิดตามกฎหมายซึ่งผู้ใช้บริการอาจถูกดำเนินคดีตามกฎหมาย<br>[8.] ผู้ใช้บริการยอมรับว่าการกระทำใด ของผู้ใช้บริการที่ส่งผลหรืออาจส่งผลให้บุคคลอื่นไม่สามารถใช้บริการหรือจำ ต้องเลิกใช้บริการหรือทำให้เกิดความเสียหายขึ้น ไม่ว่าภายในหรือภายนอกเกม ถือเป็นการทำให้เอเชียซอฟท์ เสียหาย เป็นความผิดตามกฎหมายซึ่งผู้ใช้บริการอาจถูกดำเนินคดีตามกฎหมาย<br>[9.] เพื่อความปลอดภัยของข้อมูลของผู้ใช้บริการเกม Phantasy Star Online 2 ผู้ขอใช้บริการจำเป็นต้องรักษา USER ID และ PASSWORD เกม Phantasy Star Online 2 ของท่านไว้เป็นความลับ โดยไม่แจ้งให้บุคคลอื่นทราบ    และผู้ใช้บริการยอมรับว่า หาก USER ID และ PASSWORD ของผู้ใช้บริการสูญหายหรือถูกขโมยหรือถูกบุคคลอื่นแอบอ้างใช้งาน ผู้ใช้บริการตกลงยอมรับว่าเอเชียซอฟท์ และ/หรือทีมงาน ได้ใช้ความระมัดระวัง และมีมาตรการรักษาความปลอดภัยของระบบให้บริการโดยรวมอย่างเพียงพอแล้ว และ ผู้ใช้บริการยอมรับความเสียหายดังกล่าว (รวมตลอดถึงแต่ไม่จำกัดเฉพาะ ความเสียหายจากการถูกขโมย,  การถูกบุคคลอื่นแอบอ้างใช้งาน USER ID, การถูกบุคคลอื่นขโมยหรือโอนย้ายสิ่งของต่างๆ (Items) ที่ผู้ใช้บริการได้รับจากการใช้บริการ USER ID เกม Phantasy Star Online 2) เพียงลำพังโดยสิ้นเชิง และจะไม่เรียกร้องการเยียวยาใด และ/หรือความเสียหายใด ๆ จากการกระทำดังกล่าวจาก เอเชียซอฟท์ โดยสิ้นเชิง<br>[10.] ผู้ใช้บริการรับทราบและยอมรับว่า USER ID และ Password เกม Phantasy Star Online 2 เป็นทรัพย์สินของ เอเชียซอฟท์ ผู้ใช้บริการยินยอมให้ เอเชียซอฟท์ เรียกคืนและ/หรือระงับการให้บริการชื่อ USER ID และ Password เกม Phantasy Star Online 2 ได้ทุกเมื่อโดยไม่มีข้อโต้แย้งใดๆ     <br>[11.] ในกรณีที่ถูกลงโทษ เอเชียซอฟท์ขอสงวนสิทธิในการเก็บรักษาหลักฐานของการลงโทษเพียง 30 วัน นับแต่วันที่ถูกลงโทษ หากพ้นกำหนดเอเชียซอฟท์ขอสงวนสิทธิทำลายหลักฐานดังกล่าว และผู้ใช้บริการยอมรับไม่โต้แย้งหรือเรียกร้องใดๆ เพิ่มเติม<br>[12.] ผู้ใช้บริการตกลงและยอมรับว่า หากผู้ใช้บริการถูกลงโทษตามกฎ กติกา ผู้ใช้บริการยอมรับให้ทีมงานเกม Phantasy Star Online 2 มีสิทธิไม่แสดงหลักฐานการทำกระทำความผิดของผู้ใช้บริการที่กระทำความผิด ไม่ว่ากรณีใดๆ และผู้ใช้บริการจะไม่เรียกร้องความเสียหายใดๆ จาก เอเชียซอฟท์ และ/หรือ SEGA Games Co., Ltd. ทั้งสิ้น<br>[13.] การธุรกรรมใดๆ ในเกมผู้ใช้บริการยอมรับ และตกลงจะใช้ความระมัดระวัง และละเอียดรอบคอบเหมือนการทำธุรกรรมในโลกแห่งความเป็นจริง ในกรณีเกิดความเสียหายใดๆ ขึ้น ผู้ใช้บริการตกลงยอมรับผิดในความเสียหายที่เกิดขึ้นแต่เพียงผู้เดียว<br>[14.] เอเชียซอฟท์ ขอสงวนสิทธิทุกประการในการให้บริการ, ชดใช้หรือชดเชยความเสียหายที่เกิดขึ้นทุกกรณี เช่น การถูกเอาเปรียบ, การถูกหลอกลวง, ความประมาทเลินเล่อต่างๆ เช่น การไม่รักษา, ป้องกันการใช้งาน ID และ Password ของผู้ใช้บริการ ซึ่งส่งผลให้เกิดความเสียหายขึ้นระหว่างผู้ใช้บริการด้วย กันรวมถึงการเจาะรหัสข้อมูลของผู้ใช้บริการโดยผู้ใช้บริการด้วยกัน<br>[15.] ผู้ใช้บริการตกลงและยอมรับให้ทีมงาน Phantasy Star Online 2 และ เอเชียซอฟท์ เปลี่ยนแปลง แก้ไข เพิ่มเติม กฎ กติกา มารยาทและบทลงโทษในการเล่นเกม Phantasy Star Online 2 โดยไม่ต้องแจ้งให้ผู้ใช้บริการทราบล่วงหน้า<br>[16.] ผู้ใช้บริการได้ รับทราบกฎ กติกา มารยาท และบทลงโทษในการเล่นเกม Phantasy Star Online 2 และรับปฏิบัติอย่างเคร่งครัดและตกลงยินยอมให้ทีมงาน Phantasy Star Online 2 ลงโทษผู้กระทำผิดโดยปราศจากข้อโต้แย้งใดๆ<br>[17.] ในกรณีที่เจ้า หน้าที่เข้าทำการตรวจสอบผู้ใช้บริการตกลงยินยอมให้ความร่วมมือในการตรวจสอบ และหากผู้ใช้บริการเพิกเฉยไม่ให้ความร่วมมือหรือพยายามขัดขวางการตรวจสอบ ผู้ใช้บริการตกลงยอมรับว่ามีความผิดตามที่ได้รับแจ้งมา และยินยอมให้ทีมงาน Phantasy Star Online 2 ดำเนินการลงโทษตาม  บทลงโทษที่กำหนดไว้<br>[18.] ผู้ใช้บริการตกลงและยอมรับให้สิทธิในการส่งมอบหรือแสดงภาพหรือข้อมูลหลักฐานอัน เกี่ยวเนื่องกับการกระทำความผิดของผู้ใช้บริการเป็นสิทธิของทีมงาน Phantasy Star Online 2 เพียงฝ่ายเดียว<br>[19.] ผู้ใช้บริการยอมรับและเข้าใจกฎ กติกา การใช้บริการเกม Phantasy Star Online 2  ฉบับนี้ทุกประการ และผู้ใช้บริการตกลงไม่เรียกร้องค่าเสียหายใด ๆ ที่เกิดขึ้นหรืออาจเกิดขึ้นจากทีมงาน Phantasy Star Online 2 หรือเอเชียซอฟท์ ในกรณีผู้ใช้บริการถูกระงับการใช้งาน ID เกม Phantasy Star Online 2<br>[20.] ในกรณีผู้ใช้บริการถูกระงับการใช้งาน ID เกม Phantasy Star Online 2 ไม่ว่าชั่วคราวหรือถาวรผู้ใช้บริการยอมรับ และตกลงไม่เรียกคืนค่าบริการจากการเติมบัตร @Cash ที่คงเหลืออยู่จากการที่ผู้เล่นเติมไว้รวมตลอดถึง ความเสียหายจากการไม่ได้ใช้บริการสิ่งของต่างๆ ภายในเกม (Items) ที่ได้จากการแลกเปลี่ยนมูลค่าตามบัตร @cash เป็นสิ่งของ Itemsในเกมต่าง ๆ หรือความเสียหายอื่นๆ ที่เกิดจากการถูกระงับให้บริการ USER ID ไม่ว่ากรณีใดๆ ทั้งสิ้น รวมตลอดถึงความเสียหายจากการไม่ได้ใช้แต้มสะสมพิเศษทุกชนิดทุกประเภทที่เอ เชียซอฟท์ได้จัดกิจกรรมทางการตลาดขึ้น เช่น @Rewards และ/หรือการไม่ได้ใช้บริการสิ่งของต่างๆ ภายในเกม (Items) ที่ได้จากการแลกเปลี่ยนมูลค่าแต้มสะสมที่เกิดจากกรณีรางวัลพิเศษหรือแต้ม สะสมพิเศษอื่นใด และ/หรือแต้มสะสมพิเศษที่ เอเชียซอฟท์ จะได้จัดให้มีขึ้นในอนาคต<br>[21.] ผู้ใช้บริการตกลงและยอมรับที่จะไม่ กระทำการใดๆ โดยอาศัยบริการหรือช่องทางจากใช้บริการเกม Phantasy Star Online 2 ที่ได้รับจากเอเชียซอฟท์ ไปละเมิดสิทธิส่วนบุคคลหรือกระทำการผิดกฎหมายต่างๆ หรือความสงบเรียบร้อยหรือศีลธรรมอันดีของประชาชน  ผู้ใช้บริการยอมรับผิดชอบค่าเสียหายต่างๆ เพียงผู้เดียวโดยไม่เกี่ยวข้องกับ เอเชียซอฟท์ แต่อย่างใดและหากการกระทำต่างๆ ของผู้ใช้บริการก่อให้เกิดความเสียหายแก่ เอเชียซอฟท์ และ/หรือผู้เกี่ยวข้องไม่ว่าทางตรงหรือทางอ้อม และไม่ว่าความเสียหายนั้นจะ เป็นความเสียหายโดยตรงจากการกระทำของผู้ใช้บริการหรือโดยอ้อมก็ตาม ผู้ใช้บริการตกลงยอมรับผิดชดใช้ความเสียหายให้แก่ เอเชียซอฟท์ เต็มจำนวนความเสียหายที่เกิดขึ้นจริง<br>[22.] ท่านที่ประสงค์จะติดต่อ กับบริษัทแต่ไม่สามารถติดต่อบริษัทได้ด้วยตนเองท่านจะต้องมอบอำนาจให้บุคคล อื่นมาดำเนินการติดต่อบริษัทแทนท่าน โดยท่านจะต้องมีหนังสือมอบอำนาจพร้อม สำเนาบัตรประชาชนของผู้มอบอำนาจ และผู้รับมอบอำนาจ หนังสือมอบอำนาจสำหรับติดต่อบริษัท ท่านสามารถใช้แบบฟอร์มทั่วไป หรือเขียนด้วยลายมือท่านเองได้ หากท่านไม่สะดวกท่านสามารถใช้แบบฟอร์มที่บริษัทเตรียมไว้ โดยกดที่นี่  http://asiasoft.co.th/file/หนังสือมอบอำนาจ.doc<br>[23.] ผู้ใช้บริการยอมรับและเข้าใจเงื่อนไขกฎ กติกา มารยาทและบทลงโทษฉบับนี้ทุกประการ และผู้ใช้บริการตกลงจะไม่เรียกร้องค่าเสียหายใดๆ จาก เอเชียซอฟท์ อันเนื่องมาจากการถูกระงับการใช้งาน ID<br>[24.]  กฎกติกามารยาทและบทลงโทษฉบับนี้ เป็นส่วนหนึ่งของข้อตกลงการขอใช้ชื่อสมาชิก ของ @PASSPORT และ Play ID หากมีส่วนหนึ่งส่วนใดของกฎ กติกา มารยาทฉบับนี้ ขัดหรือแย้งกับข้อตกลงการขอใช้ชื่อสมาชิก @PASSPORT และ Play ID ให้ส่วนนั้นตกลงเป็นโมฆะ และยึดถือตามข้อตกลงการขอใช้ชื่อสมาชิก @PASSPORT และ Play ID<br>[25.] กรณี เอเชียซอฟท์ยุติการให้บริการเกม Phantasy Star Online 2 ไม่ว่ากรณีใดๆ ผู้ใช้บริการตกลงที่จะไม่เรียกร้องค่าเสียหายใดๆ จากเอเชียซอฟท์ทั้งสิ้น"""
