Window_Titletelop_WeeklyRanking#0,"""アトランダムイベントレコード"""
ScoreList_RecruitMembers#0,"""メンバー募集中"""
WeeklyRanking_Category_Score#0,"""シップ別：クラス別スコアレコード"""
WeeklyRanking_Category_ClearTime#0,"""シップ別：クラス別クリア時間レコード"""
WeeklyRanking_Category_Score_AllClasses#0,"""シップ別：クラス総合スコアレコード"""
WeeklyRanking_Category_ClearTime_AllClasses#0,"""シップ別：クラス総合クリア時間レコード"""
WeeklyRanking_Category_Mission_AllClasses#0,"""シップ別：クラス総合ミッションレコード"""
WeeklyRanking_Quest_Description#0,"""クエストにチャレンジし、<br>ランクを維持しよう！"""
WeeklyRanking_Trial_Description#0,"""トライアルにチャレンジし、<br>ランクを維持しよう！"""
WeeklyRanking_Description_Trinites_Solo#0,"""トレイニア・トリニテスの<br>対象クエストを１人でクリアする。"""
WeeklyRanking_Description_Trinites_Party#0,"""トレイニア・トリニテスの<br>対象クエストを２人以上でクリアする。"""
WeeklyRanking_Description_Trinites_R2_Solo#0,"""トレイニア・トリニテスの<br>対象クエストを１人でクリアする。"""
WeeklyRanking_Description_Trinites_R2_Party#0,"""トレイニア・トリニテスの<br>対象クエストを２人以上でクリアする。"""
WeeklyRanking_Description_Goalgetter_Solo#0,"""トレイニアアドバンス・バンカーType.1の<br>対象クエストを１人でクリアする。"""
WeeklyRanking_Description_Goalgetter_Party#0,"""トレイニアアドバンス・バンカーType.1の<br>対象クエストを２人以上でクリアする。"""
WeeklyRanking_Description_FieldRace#0,"""フィールドレースの対象レースを<br>１人でクリアする。"""
WeeklyRanking_Description_Cocoon#0,"""トレイニア・コクーンの対象クエストを<br>ソロまたはパーティーでクリアする。"""
WeeklyRanking_Description_Cocoon_Mission_Solo#0,"""トレイニア・コクーンの対象クエストを<br>１人でクリアする。"""
WeeklyRanking_Teamtask_Description#0,"""チームでチームタスクをより多く達成する<br>ことで、より良い報酬を獲得できます。<br><yellow>※<pict party_request>があるチームへは入団申請ができます。<c>"""
WeeklyRanking_Title_Trinites#0,"""ジオメトリックラビリンス：ソロ"""
WeeklyRanking_Title_Minigame1#0,"""南エアリオ走破（Stage.1）：ソロ"""
WeeklyRanking_Title_Goalgetter#0,"""キャノンボールストライク：ソロ"""
WeeklyRanking_Title_Trinites_Solo#0,"""ジオメトリックラビリンス：<br>ソロ"""
WeeklyRanking_Title_Trinites_Party#0,"""ジオメトリックラビリンス：<br>パーティー"""
WeeklyRanking_Title_Goalgetter_Solo#0,"""キャノンボールストライク：<br>ソロ"""
WeeklyRanking_Title_Goalgetter_Party#0,"""キャノンボールストライク：<br>パーティー"""
WeeklyRanking_Title_FieldRace_AelioSouth#0,"""南エアリオ走破（Stage.1）：<br>ソロ"""
WeeklyRanking_Title_FieldRace_RetemWest#0,"""西リテム走破（Stage.1）：<br>ソロ"""
WeeklyRanking_Title_FieldRace_KvarisCenter#0,"""中央クヴァリス走破（Stage.1）：<br>ソロ"""
WeeklyRanking_Title_Teamtask#0,"""チームタスクレコード"""
TabButton_Teamtask_All#0,"""すべて表示"""
Reward_Description_Teamtask#0,"""<yellow>※報酬獲得条件：チームタスクを3つ以上達成し、<br>\u3000最終集計時まで最初にタスクを達成したチームに所属している。<c>"""
WeeklyRanking_Title_FieldRace_AelioCenter#0,"""中央エアリオ板操（Stage.1）：<br>ソロ"""
WeeklyRanking_Title_FieldRace_RetemCenter#0,"""中央リテム板操（Stage.1）：<br>ソロ"""
WeeklyRanking_Title_OrdinalTower_Solo#0,"""オーディナルタワー（Rank.7）：<br>ソロ"""
WeeklyRanking_Title_OrdinalTower_Party#0,"""オーディナルタワー（Rank.7）：<br>パーティー"""
WeeklyRanking_Description_OrdinalTower_Solo#0,"""トレイニアアドバンス・バンカーType.2の<br>対象クエストを１人でクリアする。"""
WeeklyRanking_Description_OrdinalTower_Party#0,"""トレイニアアドバンス・バンカーType.2の<br>対象クエストを２人以上でクリアする。"""
WeeklyRanking_Title_FieldRace_HotSpring#0,"""スティア外縁部走破（Stage.1）：<br>ソロ"""
WeeklyRanking_Title_FieldRace_UndergroundFactory#0,"""ドライゼンプラント板操（Stage.1）：<br>ソロ"""
WeeklyRanking_Title_FieldRace_AelioNorth_Board#0,"""北エアリオ板操（Stage.1）：<br>ソロ"""
WeeklyRanking_Title_FieldRace_RetemSouth_Run#0,"""南リテム走破（Stage.1）：<br>ソロ"""
WeeklyRanking_Title_FieldRace_KvarisSouth_Run#0,"""南クヴァリス走破（Stage.1）：<br>ソロ"""
WeeklyRanking_Title_FieldRace_AelioWest_Run#0,"""西エアリオ走破（Stage.1）：<br>ソロ"""
WeeklyRanking_Title_FieldRace_RetemNorth_Board#0,"""北リテム板操（Stage.1）：<br>ソロ"""
WeeklyRanking_Title_Trinites_R2_Solo#0,"""ジオメトリックラビリンス（Rank.2）：<br>ソロ"""
WeeklyRanking_Title_Trinites_R2_Party#0,"""ジオメトリックラビリンス（Rank.2）：<br>パーティー"""
WeeklyRanking_Title_Cocoon_HelicalLine#0,"""ヘリカルライン：<br>ソロ"""
WeeklyRanking_Title_FieldRace_MediolaOuter_Board#0,"""メディオラ外郭第２区板操（Stage.1）：<br>ソロ"""
WeeklyRanking_Title_Cocoon_Quarterstaff#0,"""クォータースタッフ：<br>ソロ"""
WeeklyRanking_Title_Cocoon_FacetheDarkness#0,"""フェイスザダークネス：<br>ソロ"""
WeeklyRanking_Title_Cocoon_BrokenWorld#0,"""ブロークンワールド：<br>ソロ"""
WeeklyRanking_Title_Cocoon_FleetingFight#0,"""セツナノイッセン：<br>ソロ"""
WeeklyRanking_Title_FieldRace_HalphiaLake_Boar#0,"""ハルフィリア湖板操（Stage.1）：<br>ソロ"""
WeeklyRanking_Title_FieldRace_KvarisWest_Run#0,"""西クヴァリス走破（Stage.1）：<br>ソロ"""
WeeklyRanking_Title_Cocoon_VanishingPath2#0,"""バニシングウェイⅡ：<br>ソロ"""
WeeklyRanking_Title_Cocoon_SlopeStyle#0,"""スロープスタイル：<br>ソロ"""
WeeklyRanking_Title_Standard_Continuousbattle1#0,"""陽炎の攻防戦：<br>パーティー"""
WeeklyRanking_Title_Standard_Continuousbattle2#0,"""夜寒の攻防戦：<br>パーティー"""
WeeklyRanking_Description_Standard_Party#0,"""<br>対象クエストを２人以上でクリアする。"""
WeeklyRanking_Title_Cocoon_CrazyTail#0,"""クレイジーテイル：<br>ソロ"""
WeeklyRanking_Title_Cocoon_Narrow Cage#0,"""ナローケージ：<br>ソロ"""
WeeklyRanking_Title_Cocoon_Vanishing Path#0,"""バニシングウェイ：<br>ソロ"""
WeeklyRanking_Title_Cocoon_Parkour Master#0,"""パルクールマスター：<br>ソロ"""
WeeklyRanking_Title_Cocoon_Dyna Assault#0,"""ダイナアサルト：<br>ソロ"""
WeeklyRanking_Title_Cocoon_Horrible Flapping#0,"""ホリブルフラッピング：<br>ソロ"""
WeeklyRanking_Title_FieldRace_LimitedSeason1#0,"""南クヴァリス走破（スプリング'24）：<br>ソロ"""
WeeklyRanking_Title_Cocoon_Buddy Attack#0,"""バディアタック：<br>ソロ"""
WeeklyRanking_Title_Finalattacker_RoadSprint#0,"""サンドロードスプリント：<br>ソロ"""
WeeklyRanking_Description_Standard_Soro#0,"""対象クエストを１人でクリアする。"""
WeeklyRanking_Title_Cocoon_Wild Avalanche#0,"""ワイルドアバランチ：<br>ソロ"""
WeeklyRanking_Title_OrdinalTower2_Solo#0,"""オーディナルタワー（Rank.8）：<br>ソロ"""
WeeklyRanking_Title_OrdinalTower2_Party#0,"""オーディナルタワー（Rank.8）：<br>パーティー"""
WeeklyRanking_Title_Cocoon_Aero Runner#0,"""エアロランナー：<br>ソロ"""
WeeklyRanking_Title_Cocoon_Wild Rush#0,"""ワイルドラッシュ：<br>ソロ"""
WeeklyRanking_Title_Cocoon_Alters Rush#0,"""アルターズラッシュ：<br>ソロ"""
WeeklyRanking_Standard_Yedi_Hunt_Solo#0,"""想定演習：極寒の追走劇：<br>ソロ"""
WeeklyRanking_Title_Cocoon_Dolls Burrow#0,"""ドールズバロウ：<br>ソロ"""
WeeklyRanking_Title_Cocoon_Clockwork Prison#0,"""クロックワークジェイル：<br>ソロ"""
WeeklyRanking_Title_Cocoon_Deepwell#0,"""ディープウェル：<br>ソロ"""
