OrderList#0,"""Daily Craft List"""
CraftOrderPlaceCancelError#0,"""ยกเลิกการสั่ง Craft ล้มเหลว"""
CraftOrderPlaceBackTitle#0,"""ยืนยันการยกเลิก"""
CraftOrderPlaceBackAsk#0,"""การจ้างวานที่กำลังสั่ง Craft ได้ถูก<yellow>ยกเลิก<c>เรียบร้อย<br>ไอเทมและ Meseta ตามด้านล่างจะถูกส่งคืน<br>ยืนยันการส่งคืนหรือไม่?<br><br>Meseta ที่จะถูกส่งคืน: $(0)"""
CraftOrderPlaceBackMessage#0,"""ได้รับไอเทมที่ถูกส่งคืนเรียบร้อย"""
CraftOrderPlaceBackError#0,"""เกิดข้อผิดพลาดในการรับไอเทมคืน"""
CraftOrderReceiveCancelTitle#0,"""ยืนยันการยกเลิกการรับงาน"""
CraftOrderReceiveCancelAsk#0,"""ยกเลิกการจ้างวานที่รับงานสร้างของอยู่ขณะนี้<br>ยืนยันการยกเลิกหรือไม่?"""
CraftOrderReceiveCancelMessage#0,"""ยกเลิกการรับงานเสร็จเรียบร้อย"""
CraftOrderReceiveCancelError#0,"""ยกเลิกการรับงานล้มเหลว"""
CraftOrderGetTitle#0,"""ยืนยันการรับของคืน"""
CraftOrderGetAsk#0,"""ของที่สั่ง Craft เสร็จเรียบร้อย<br>ต้องการรับของหรือไม่?<br><br>ผลงานการสร้าง: $(0)"""
CraftOrderGetAskOwner#0,"""ของที่สั่ง Craft เสร็จเรียบร้อย<br>ต้องการรับของหรือไม่?<br><br><yellow>ลงทะเบียนเจ้าของเรียบร้อย<c><br>ผลงานการสร้าง: $(0)"""
CraftOrderGetMessage#0,"""ได้รับไอเทมเรียบร้อย<br>ต้องการส่ง Good Job ให้ผู้สร้างหรือไม่?"""
CraftOrderGetError#0,"""การรับของล้มเหลว"""
CraftOrderPlaceDisableTitle#0,"""ยืนยันการสั่ง Craft"""
CraftOrderPlaceDisableMessage#0,"""คุณสามารถดูรายละเอียดการสั่ง Craft ณ ปัจจุบันได้ที่หน้านี้<br><br>หากต้องการสั่ง Craft ใหม่<br>คุณสามารถไปยัง Visiphone และเลือกหัวข้อ [Craft>ค้นหาCrafter]<br>และไปยัง My Room ของตัวละครที่ต้องการจ้างวาน<br>และสั่ง Craft ได้ที่ <yellow>My Room Console<c> ของตัวละครนั้นๆ"""
CraftSignboardTitle#0,"""ดูข้อมูลป้ายโฆษณา"""
CraftSignboardMessage#0,"""ย้อนกลับโดยไม่เปลี่ยนแปลงเนื้อหาใดๆ<br><br>ยืนยันการย้อนกลับหรือไม่?"""
ExplainSignboard#0,"""<c f0df60>คุณสามารถกำหนดเนื้อหาในป้ายโฆษณาเองได้ ซึ่งผู้เล่นอื่นจะสามารถเห็นได้เมื่อทำการ [ค้นหา Crafter]<c>"""
ExplainSbSelectRecipeSlot#0,"""<c f0df60>คุณสามารถลงทะเบียน [Craft Recipe] ที่ต้องการรับงานจากผู้อื่นได้ 3 รายการด้วยกัน<c>"""
ExplainSbSelectRecipeType#0,"""<c f0df60>โปรดเลือกหมวดหมู่ของ [Craft Recipe] ที่ต้องการลงทะเบียน<c>"""
ExplainSbSelectRecipe#0,"""<c f0df60>โปรดเลือก [Craft Recipe] ที่ต้องการลงทะเบียน <c ff4f3f>สามารถเปลี่ยน Tab<c f0df60> เพื่อดู Recipe อื่นๆได้<c>"""
ExplainSbSelectStamp#0,"""<c f0df60>โปรดเลือก [Data Drive] ที่ต้องการลงทะเบียน<c>"""
ExplainSbSelectCm#0,"""<c f0df60>โปรดกำหนดคำโฆษณาและ Symbol Art ที่ต้องการแสดงให้ผู้เล่นอื่นเห็น<c>"""
ExplainReceive#0,"""<c f0df60>ยืนยันเนื้อหาการจ้าง Craft ที่มาถึงคุณ สามารถดำเนินการ Craft ได้<c>"""
ExplainRcvSelectLine#0,"""<c f0df60>ต้องการใช้ [Craft Line] 1 สายผลิต เพื่อทำการ Craft สามารถใช้ได้สูงสุด 9 สายผลิต<c>"""
ExplainRcvConfirmExtend#0,"""<c f0df60>หน้าสำหรับยืนยันครั้งสุดท้ายก่อนสั่ง Equipment Extend<c>"""
ExplainRcvFinishExtend#0,"""<c f0df60><c>"""
ExplainRcvConfirmCustomize#0,"""<c f0df60>หน้าสำหรับยืนยันครั้งสุดท้ายก่อนสั่ง Technic Customize<c>"""
ExplainRcvConfirmEnchant#0,"""<c f0df60>หน้าสำหรับยืนยันครั้งสุดท้ายก่อนสั่ง Ability Install<c>"""
ExplainPlace#0,"""<c f0df60>คุณสามารถเลือกรับหรือยกเลิกของที่สั่ง Craft ได้ตามต้องการ<c>"""
ExplainPlcSelectCharacter#0,"""<c f0df60>โปรดเลือกตัวละครที่ต้องการสั่ง Craft<c>"""
ExplainPlcSelectRecipe#0,"""<c f0df60>โปรดเลือก Craft Recipe ที่ต้องการจ้างวาน วัตถุดิบที่ต้องใช้จะแตกต่างกันไปตามแต่ละ Craft Recipe<c>"""
CraftOrderResultNormal#0,"""<green>Success<c>"""
CraftOrderResultSuccess#0,"""<c ff007f>Great Success !<c>"""
CraftOtherShip#0,"""Crafter บน Ship ลำอื่น"""
CraftOrderReward#0,"""คุณได้รับ Meseta จาก $(0) เป็นจำนวน $(1)"""
SignboardErrorEnchantAddonType#0,"""ไม่สามารถเลือกได้ เนื่องจาก Ability Data ที่เลือก<br>ซ้ำกับตำแหน่งบนป้ายประกาศแผ่นอื่นที่มีอยู่แล้ว<br><br>Ability Install สามารถติดตั้งได้เพียง 1 หมวดต่อ 1 ตำแหน่งเท่านั้น"""
CraftOrder#1,"""クラフト発注"""
CraftTerminal#1,"""クラフト端末情報"""
CraftOrderSelection#1,"""あなたが依頼している発注書"""
CraftOrderCheck#1,"""発注確認"""
cancel#1,"""発注キャンセル確認"""
CraftReturnedGoods#1,"""キャンセル確認"""
CraftOrderReceivedList#1,"""依頼リスト"""
CraftSignboardMenu#1,"""看板設定メニュー"""
CraftSignboardSetup#1,"""看板設定"""
CraftRecipeMenu#1,"""受注できるクラフトレシピ登録メニュー"""
CraftRecipeKindSelection#1,"""クラフトレシピ種類選択"""
CraftAdvertisementSetup#1,"""広告編集"""
CraftOrderCharacter#1,"""発注キャラクター選択"""
OrderCheck#1,"""発注書選択"""
RequestOrderReceived#1,"""依頼を受ける"""
RequestOrderRefuses#1,"""依頼を断る"""
ArksCard#1,"""アークスカードを見る"""
BlackList#1,"""ブラックリストに登録"""
FriendRegistration#1,"""フレンド登録を申し込む"""
TeamCommand#1,"""チームコマンド"""
RecipeSetup#1,"""受注できるクラフトレシピ登録"""
AdvertisementSetup#1,"""広告編集"""
Extend#1,"""エクステンド"""
TechnicCustomize#1,"""テクニックカスタマイズ"""
OriginalEnchant#1,"""時限能力インストール"""
UnSetup#1,"""登録されていません"""
OrderClient#1,"""発注依頼者"""
RequestArticle#1,"""依頼品"""
RequestDay#1,"""依頼日"""
OrderReceivedRecipe#1,"""受注できるクラフトレシピ"""
Advertisement#1,"""広告"""
SearchSetup#1,"""あなたを検索可能な相手"""
CommercialCopyEntry#1,"""広告文を記入"""
AdvertisementSymbolArt#1,"""広告シンボルアートを設定"""
OrderRecipeA#1,"""受注できるクラフトレシピ1"""
OrderRecipeB#1,"""受注できるクラフトレシピ2"""
OrderRecipeC#1,"""受注できるクラフトレシピ3"""
SearchAll#1,"""だれでも可能"""
SearchFriend#1,"""フレンドのみ可能"""
SearchTeamMember#1,"""チームメンバーのみ可能"""
SearchFriendTeam#1,"""フレンドとチームメンバーのみ可能"""
Secret#1,"""非公開"""
CraftOrderConfirmTitle#1,"""受注確認"""
CraftOrderConfirmMessage#1,"""このクラフトラインを使用して<br>依頼内容を実行します。<br><br>よろしいですか？<br><br>報酬メセタ：$(1)<br>発生クールタイム：$(0)"""
Order_Possible#1,"""発注していません"""
OrderReceptionist#1,"""未発注"""
OrderUnderOrder#1,"""発注中"""
OrderCompletion#1,"""作成完了"""
OrderReturn#1,"""キャンセル"""
OrderCharacterName#1,"""受注者名"""
OrderItemName#1,"""アイテム名"""
OrderDay#1,"""発注日"""
SettingReflection#1,"""決定"""
CraftOrderCharacterNone#1,"""選択可能なキャラクターがいません"""
CraftOrderReceivedListNone#1,"""依頼がありません"""
CraftRecipeNone#1,"""クラフトレシピがありません"""
CraftSignboardRecipeSet#1,"""受注できるクラフトレシピを変更しました。"""
CraftSignboardCmSet#1,"""広告を変更しました。"""
CraftOrderPlaceTitle#1,"""発注確認"""
CraftOrderPlaceAskExtend#1,"""この内容で発注を行います。<br>よろしいですか？<br><br>※武装エクステンドを行うと、未登録の場合は<br>\u3000自動的に<yellow>オーナー登録<c>が行われ、<br>\u3000他のプレイヤーと取り引き不可になります。<br>※装備条件の緩和状態は<yellow>リセットされます。<c>"""
CraftOrderPlaceAskExtendSameLevel#1,"""この内容で発注を行います。<br>よろしいですか？<br><br>※エクステンドレベルが同じであるため、<br>\u3000<c ff007f>「大成功！」<c>の発生確率が上昇します。"""
CraftOrderPlaceAskTechnic#1,"""この内容で発注を行います。<br>よろしいですか？"""
CraftOrderPlaceAskEnchant#1,"""この内容で発注を行います。<br>よろしいですか？"""
CraftOrderPlaceMessage#1,"""クラフトを発注しました。<br><br>ビジフォンの「クラフト＞依頼中の発注書」から<br>完成品の受け取りや、発注キャンセルができます。"""
CraftOrderPlaceError#1,"""発注に失敗しました。"""
CraftOrderPlaceCancelTitle#1,"""発注キャンセル確認"""
CraftOrderPlaceCancelAsk#1,"""発注している依頼をキャンセルします。<br>以下のアイテムとメセタが返却されます。<br>よろしいですか？<br><br>返却メセタ：$(0)"""
CraftOrderPlaceCancelMessage#1,"""発注をキャンセルしました。"""
CraftOrderPlaceCancelError#1,"""発注キャンセルに失敗しました。"""
CraftOrderPlaceBackTitle#1,"""キャンセル確認"""
CraftOrderPlaceBackAsk#1,"""発注していた依頼が<yellow>キャンセル<c>されました。<br>以下のアイテムとメセタが返却されます。<br>よろしいですか？<br><br>返却メセタ：$(0)"""
CraftOrderPlaceBackMessage#1,"""キャンセルされたアイテムを受け取りました。"""
CraftOrderPlaceBackError#1,"""アイテム受け取り時に失敗しました。"""
CraftOrderReceiveCancelTitle#1,"""受注キャンセル確認"""
CraftOrderReceiveCancelAsk#1,"""受注している作成依頼をキャンセルします。<br>よろしいですか？"""
CraftOrderReceiveCancelMessage#1,"""受注をキャンセルしました。"""
CraftOrderReceiveCancelError#1,"""受注キャンセルに失敗しました。"""
CraftOrderGetTitle#1,"""受け取り確認"""
CraftOrderGetAsk#1,"""発注していた依頼が完了しています。<br>アイテムを受け取りますか？<br><br>作成結果：$(0)"""
CraftOrderGetAskOwner#1,"""発注していた依頼が完了しています。<br>アイテムを受け取りますか？<br><br><yellow>オーナー登録が完了<c>しました。<br>作成結果：$(0)"""
CraftOrderGetMessage#1,"""アイテムを受け取りました。<br>作成者にグッジョブを送りますか？"""
CraftOrderGetError#1,"""受け取りに失敗しました。"""
CraftOrderPlaceDisableTitle#1,"""発注確認"""
CraftOrderPlaceDisableMessage#1,"""この画面では、現在の発注内容が確認できます。<br><br>新規のクラフト発注を行いたい場合は、<br>ビジフォンの「クラフト＞クラフター検索」から<br>依頼したい相手のマイルームに移動することで、<br><yellow>相手のマイルーム端末から<c>発注できます。"""
CraftSignboardTitle#1,"""看板確認"""
CraftSignboardMessage#1,"""変更した内容を反映せずに戻ります。<br><br>よろしいですか？"""
ExplainSignboard#1,"""<c f0df60>看板を設定できます。他のプレイヤーから「クラフター検索」された時に表示されます。<c>"""
ExplainSbSelectRecipeSlot#1,"""<c f0df60>あなたが他のプレイヤーから受注したい「クラフトレシピ」を３つ登録できます。<c>"""
ExplainSbSelectRecipeType#1,"""<c f0df60>登録したい「クラフトレシピ」の種類を選択してください。<c>"""
ExplainSbSelectRecipe#1,"""<c f0df60>登録したい「クラフトレシピ」を選択してください。<c ff4f3f>タブを切り替える<c f0df60>と、他のレシピを表示します。<c>"""
ExplainSbSelectStamp#1,"""<c f0df60>登録したい「データドライブ」を選択してください。<c>"""
ExplainSbSelectCm#1,"""<c f0df60>広告文、広告シンボルアート、あなたを検索可能な相手を設定してください。<c>"""
ExplainReceive#1,"""<c f0df60>あなたに発注された依頼内容を確認し、クラフトすることができます。<c>"""
ExplainRcvSelectLine#1,"""<c f0df60>クラフトの実行には「クラフトライン」を１つ使用します。最大９ライン使用できます。<c>"""
ExplainRcvConfirmExtend#1,"""<c f0df60>武装エクステンド作成の最終確認画面です。<c>"""
ExplainRcvFinishExtend#1,"""<c f0df60>\u3000<c>"""
ExplainRcvConfirmCustomize#1,"""<c f0df60>テクニックカスタマイズの最終確認画面です。<c>"""
ExplainRcvConfirmEnchant#1,"""<c f0df60>時限能力インストールの最終確認画面です。<c>"""
ExplainPlace#1,"""<c f0df60>発注品の受取やキャンセルなど、クラフトに関わる操作を行います。<c>"""
ExplainPlcSelectCharacter#1,"""<c f0df60>発注したいキャラクターを選択してください。<c>"""
ExplainPlcSelectRecipe#1,"""<c f0df60>依頼したいクラフトレシピを選択してください。レシピにより必要素材が異なります。<c>"""
CraftOrderResultNormal#1,"""<green>成功<c>"""
CraftOrderResultSuccess#1,"""<c ff007f>大成功！<c>"""
CraftOtherShip#1,"""別シップのクラフター"""
CraftOrderReward#1,"""$(0)から$(1)メセタを受け取りました。"""
SignboardErrorEnchantAddonType#1,"""他の看板に同じ部位の時限能力データが<br>設定されているため、選択することができません。<br><br>時限能力インストールは、部位ごとに1種類のレシピのみ<br>設定することが出来ます。"""
Craft#0,"""Craft"""
MenuExtend#0,"""Equipment Extend"""
MenuCustomize#0,"""Technic Customize"""
MenuMaterialComp#0,"""-----"""
MenuItemDecomp#0,"""Item Disassembly"""
MenuFarm#0,"""-----"""
MenuMakePotion#0,"""-----"""
MenuEnchant#0,"""Ability Install"""
MenuStampCreate#0,"""Update Data Drive"""
MenuStampItemCreate#0,"""Make Ability Data"""
MenuRemoveRecipe#0,"""ถอดออกจากทะเบียน"""
Item#0,"""Item"""
ItemDetails#0,"""ข้อมูล Item"""
RecipeSelect#0,"""เลือก Craft Recipe"""
Material#0,"""วัตถุดิบที่ต้องการ"""
ItemExtend#0,"""Equipment Extend"""
CraftsmanDetails#0,"""ดูข้อมูล Crafter"""
SupportItem1#0,"""Booster Item 1"""
SupportItem2#0,"""Booster Item 2"""
SupportItem3#0,"""Booster Item 3"""
ExtendContents#0,"""ดูข้อมูล Equipment Extend"""
Chapter#0,"""ค่าพลังที่เปลี่ยนแปลง"""
Before#0,"""ก่อนการ Boost"""
After#0,"""หลังการ Boost"""
CharacterName#0,"""ชื่อตัวละคร"""
OrderReceivedRecipe#2,"""Craft Recipe ที่รับจ้างได้"""
Advertisement#2,"""โฆษณา"""
ExtendLevel#0,"""Extend Level"""
EquipClass#0,"""Class ที่สวมใส่ได้"""
EquipCondition#0,"""เงื่อนไขที่สวมใส่ได้"""
Result#0,"""ผล Equipment Extend"""
CraftLineReturn#0,"""กลับสู่หน้าเลือก Craft Line"""
OrderListReturn#2,"""กลับสู่รายการจ้างวาน"""
ExplainTop#0,"""<c f0df60>คุณสามารถเปลี่ยนแปลงค่าพลังของ Equipment และ Photon Magic หรือเลือก Disassembly เพื่อย่อยเป็นวัตถุดิบได้<c>"""
ExplainLineSelect#0,"""<c f0df60>ต้องการใช้ [Craft Line] 1 สายผลิต เพื่อทำการ Craft สามารถใช้ได้สูงสุด 9 สายผลิต<c>"""
ExplainExtendItemSelect#0,"""<c f0df60>โปรดเลือก Weapon หรือ Unit ที่ต้องการ Extend เพื่อเปลี่ยนแปลงค่าพลัง<c>"""
ExplainExtendRecipeSelect#0,"""<c f0df60>Extend ด้วย Recipe ระดับสูงเพื่อเพิ่ม Extend Level หรือเลือกระดับเดียวกันเพื่อลดค่าพลังขั้นต่ำที่ต้องการของ Equipment<c>"""
ExplainExtendConfirm#0,"""<c f0df60>หน้าสำหรับยืนยันครั้งสุดท้ายก่อนดำเนินการ Extend สามารถใช้ Booster Item เพื่อลดค่าพลังขั้นต่ำที่ต้องการ หรืออื่นๆได้<c>"""
FriendRegistration#2,"""เป็น Friend ที่บันทึกไว้แล้ว"""
TeamMember#0,"""Team Member"""
MaterialListItem#0,"""$(0) × $(1) (จำนวนที่มีอยู่: $(2))"""
MaterialListItemOrder#0,"""$(0) × $(1)"""
MaterialListMeseta#0,"""$(0) Meseta (Meseta ที่มีอยู่: $(1))"""
MaterialListMesetaOrder#0,"""$(0) Meseta"""
ExtendConfirmNeedStatus#0,"""$(0)$(1)"""
ExtendNoRecipe#0,"""ไม่มี Craft Recipe"""
ExtendConfirmMessage#0,"""ยืนยันดำเนินการ Extend หรือไม่?<br><br>*หากทำการ Extend โดยไม่มีการลงทะเบียนไว้<br>ของนั้นจะถูกลงทะเบียนให้ผู้สั่ง Craft <yellow>เป็นเจ้าของ<c> โดยอัตโนมัติ<br>และไม่สามารถขายต่อให้ผู้อื่นได้<br>*Equipment ที่มีการลดค่าพลังขั้นต่ำที่ต้องการ การลดค่านั้นๆ<yellow>จะถูกลบทิ้ง<c><br><br>Cooldown time: $(0)"""
ExtendConfirmMessageSameLevel#0,"""ยืนยันดำเนินการ Extend หรือไม่?<br><br>*เนื่องจากของมี Extend Level ระดับเท่ากัน<br>จึงมีโอกาศเกิด <c ff007f>[Great Success !]<c> สูงขึ้น"""
ExtendSuccessMessage#0,"""Extend <green>Success<c>"""
ExtendSuccessOwnerMessage#0,"""Extend <green>Success<c><br><yellow>ลงทะเบียนเจ้าของเรียบร้อย<c>"""
ExtendSpecialSuccessMessage#0,"""Extend <c ff007f>Great Success !<c><br>ค่าขีดจำกัดลดลงตามด้านล่าง"""
ExtendSpecialSuccessOwnerMessage#0,"""Extend <c ff007f>Great Success !<c><br><yellow>ลงทะเบียนเจ้าของเรียบร้อย<c><br>ค่าขีดจำกัดลดลงตามด้านล่าง"""
ExtendResetConfirmMessage#0,"""เตรียมทำการรีเซต Extend Level<br>ค่าพลังต่างๆของไอเทมจะกลับสู่ค่าเริ่มต้น<br>ต้องการดำเนินการต่อหรือไม่?<br><br><yellow>*เมื่อรีเซตจะไม่มีการคืนวัตถุดิบและค่าใช้จ่ายที่เสียไป<br>*ชื่อเจ้าของที่บันทึกไว้บนไอเทมจะยังคงอยู่<br>*ไม่ถูกนับเป็นจำนวนยอดการผลิต<c><br><br>Cooldown time: $(0)"""
ExtendResetConfirmMessage2#0,"""ยืนยันที่จะดำเนินการรีเซตไอเทมที่เลือกหรือไม่?"""
ExtendResetMessage#0,"""Equipment Extend ถูกรีเซตเรียบร้อย"""
ExtendResetTitle#0,"""Equipment Extend Reset"""
CraftAchievementTitle#0,"""ปลดล็อคยอดการผลิต"""
CraftAchievementMessage#0,"""ทำการปลดล็อคยอดการผลิต $(0)<br>จำนวน $(1) เรียบร้อย<br><br>สามารถตรวจสอบยอดการผลิตที่ต้องการสำหรับเลเวลต่อไป<br>ได้ที่ Visiphone หัวข้อ [Craft] > [ยอดการ Craft]"""
CraftLevelUpMessage#0,"""Craft Level ของ <yellow>$(0)<c> ได้เพิ่มขึ้นเป็น <yellow>$(1)<c> เรียบร้อยแล้ว"""
