HELLO_FAV4#0,"""กำลังรออยู่เลย"""
HELLO_FAV1#2,"""HELLO_FAV1<br>Debgu_error"""
HELLO_FAV0#2,"""HELLO_FAV0<br>Debgu_error"""
GOODBYE_FAV4#2,"""น่าเสียดายนะที่ต้องจากกัน"""
GOODBYE_FAV3#2,"""รักษาตัวด้วยนะ"""
GOODBYE_FAV2#2,"""แล้วเจอกันใหม่"""
GOODBYE_FAV1#2,"""GOODBYE_FAV1<br>Debgu_error"""
GOODBYE_FAV0#2,"""GOODBYE_FAV0<br>Debgu_error"""
GOTOEXP_FAV4#2,"""ข้าจะพยายามเพื่อท่านนะ"""
GOTOEXP_FAV3#2,"""เอาน่า เชื่อมือข้าเถอะ"""
GOTOEXP_FAV2#2,"""งั้นไปลุยล่ะนะ"""
GOTOEXP_FAV1#2,"""HELLO_FA<br>Debgu_error"""
GOTOEXP_FAV0#2,"""GOTOEXP_FAV1<br>Debgu_error"""
HELLO_REPORT_FAV4#2,"""กำลังรออยู่เลย<br>ข้ามีรายงานอยากจะแจ้ง"""
HELLO_REPORT_FAV3#2,"""ช่วงนี้เป็นยังไงบ้าง?<br>ทางนี้เคลียร์ไปหนึ่งงานแล้วนะ"""
HELLO_REPORT_FAV2#2,"""มีรายงานจะแจ้ง"""
HELLO_REPORT_FAV1#2,"""HELLO_REPORT_FAV1<br>Debgu_error"""
HELLO_REPORT_FAV0#2,"""HELLO_REPORT_FAV0<br>Debgu_error"""
HELLO_OTHER#2,"""เชิญ"""
GOODBYE_OTHER#2,"""แล้วมาอีกนะ"""
HELLO_FAV4#3,"""待ってたよ！"""
HELLO_FAV3#3,"""調子はどうだい？"""
HELLO_FAV2#3,"""やあ"""
HELLO_FAV1#3,"""HELLO_FAV1<br>Debgu_error"""
HELLO_FAV0#3,"""HELLO_FAV0<br>Debgu_error"""
GOODBYE_FAV4#3,"""名残惜しいね"""
GOODBYE_FAV3#3,"""元気でね"""
GOODBYE_FAV2#3,"""またね"""
GOODBYE_FAV1#3,"""GOODBYE_FAV1<br>Debgu_error"""
GOODBYE_FAV0#3,"""GOODBYE_FAV0<br>Debgu_error"""
GOTOEXP_FAV4#3,"""君のために頑張るよ"""
GOTOEXP_FAV3#3,"""まあ、任せておいてよ"""
GOTOEXP_FAV2#3,"""じゃ、頑張ってくるよ"""
GOTOEXP_FAV1#3,"""GOTOEXP_FAV1<br>Debgu_error"""
GOTOEXP_FAV0#3,"""HELLO_REPORT_FAV0<br>Debgu_error"""
HELLO_REPORT_FAV4#3,"""待ってたよ。<br>報告、聞いて欲しいんだ"""
HELLO_REPORT_FAV3#3,"""調子はどうだい？<br>こっちは一段落さ"""
HELLO_REPORT_FAV2#3,"""報告があるんだけど"""
HELLO_REPORT_FAV1#3,"""HELLO_REPORT_FAV1<br>Debgu_error"""
HELLO_REPORT_FAV0#3,"""HELLO_REPORT_FAV0<br>Debgu_error"""
HELLO_OTHER#3,"""いらっしゃい"""
GOODBYE_OTHER#3,"""またどうぞ"""
HELLO_FAV4#4,"""อ๊ะ เอ่อ ดีใจที่มานะ"""
HELLO_FAV3#4,"""กะ...กำลังฝืนอยู่รึเปล่า?"""
HELLO_FAV2#4,"""สะ...สวัสดี"""
HELLO_FAV1#4,"""HELLO_FAV1<br>Debgu_error"""
HELLO_FAV0#4,"""HELLO_FAV0<br>Debgu_error"""
GOODBYE_FAV4#4,"""ข้าจะรอ....จะรอตลอดไป"""
GOODBYE_FAV3#4,"""ขะ...ขอให้ปลอดภัยนะ"""
GOODBYE_FAV2#4,"""ละ....ลาก่อน"""
GOODBYE_FAV1#4,"""GOODBYE_FAV1<br>Debgu_error"""
GOODBYE_FAV0#4,"""GOODBYE_FAV0<br>Debgu_error"""
GOTOEXP_FAV4#4,"""ขะ...เข้าใจแล้วค่ะ <br>ข้าจะพยายามเพื่อท่านค่ะ"""
GOTOEXP_FAV3#4,"""จะ...จะลองทำดู<br>วางใจข้าเถอะ"""
GOTOEXP_FAV2#4,"""ถ้าอย่างนั้นไปก่อนนะ"""
GOTOEXP_FAV1#4,"""GOTOEXP_FAV1<br>Debgu_error"""
GOTOEXP_FAV0#4,"""HELLO_REPORT_FAV0<br>Debgu_error"""
HELLO_REPORT_FAV4#4,"""ยะ...ยินดีต้อนรับกลับมา!<br>คือว่าข้ามีรายงานจะแจ้ง..."""
HELLO_REPORT_FAV3#4,"""กะ...กำลังรออยู่เลย<br>พอดีข้ามีรายงานที่อยากแจ้ง..."""
HELLO_REPORT_FAV2#4,"""อะ...เอ่อ...มีรายงานจะแจ้งค่ะ..."""
HELLO_REPORT_FAV1#4,"""HELLO_REPORT_FAV1<br>Debgu_error"""
HELLO_REPORT_FAV0#4,"""HELLO_REPORT_FAV0<br>Debgu_error"""
HELLO_OTHER#4,"""ชะ...เชิญ"""
GOODBYE_OTHER#4,"""ละ...ลาก่อน"""
HELLO_FAV4#5,"""あ、えっと、来てくれてうれしいです"""
HELLO_FAV3#5,"""む、無理はしていませんか？"""
HELLO_FAV2#5,"""こ、こんにちはです"""
HELLO_FAV1#5,"""HELLO_FAV1<br>Debgu_error"""
HELLO_FAV0#5,"""HELLO_FAV0<br>Debgu_error"""
GOODBYE_FAV4#5,"""ずっと、ずっと待ってます"""
GOODBYE_FAV3#5,"""ど、どうかご無事で……"""
GOODBYE_FAV2#5,"""さ、さようならです"""
GOODBYE_FAV1#5,"""GOODBYE_FAV1<br>Debgu_error"""
GOODBYE_FAV0#5,"""GOODBYE_FAV0<br>Debgu_error"""
GOTOEXP_FAV4#5,"""わ、わかりました<br>あなたのために、頑張ります"""
GOTOEXP_FAV3#5,"""や、やってみます<br>任せてください"""
GOTOEXP_FAV2#5,"""それでは、行ってきます"""
GOTOEXP_FAV1#5,"""GOTOEXP_FAV1<br>Debgu_error"""
GOTOEXP_FAV0#5,"""HELLO_REPORT_FAV0<br>Debgu_error"""
HELLO_REPORT_FAV4#5,"""お、おかえりなさい！<br>実は、報告したいことが……"""
HELLO_REPORT_FAV3#5,"""ま、待ってました。<br>ちょっと、報告をしたくて……"""
HELLO_REPORT_FAV2#5,"""あ、あの、報告があって……"""
HELLO_REPORT_FAV1#5,"""HELLO_REPORT_FAV1<br>Debgu_error"""
HELLO_REPORT_FAV0#5,"""HELLO_REPORT_FAV0<br>Debgu_error"""
HELLO_OTHER#5,"""い、いらっしゃいです"""
GOODBYE_OTHER#5,"""さ、さようなら"""
HELLO_FAV4#6,"""อย่าให้ข้ารอนานนักจะได้มั้ย"""
HELLO_FAV3#6,"""หึ...ท่าทางสบายดีนะ"""
HELLO_FAV2#6,"""กลับมาแล้วเหรอ"""
HELLO_FAV1#6,"""HELLO_FAV1<br>Debgu_error"""
HELLO_FAV0#6,"""HELLO_FAV0<br>Debgu_error"""
GOODBYE_FAV4#6,"""จะไปแล้วเหรอ? <br>ยังไงก็อย่าฝืนเกินตัวล่ะ"""
GOODBYE_FAV3#6,"""ระวังด้วยล่ะ"""
GOODBYE_FAV2#6,"""เอาล่ะ ไว้พบกันคราวหน้า"""
GOODBYE_FAV1#6,"""GOODBYE_FAV1<br>Debgu_error"""
GOODBYE_FAV0#6,"""GOODBYE_FAV0<br>Debgu_error"""
GOTOEXP_FAV4#6,"""ถ้าเพื่อเจ้าล่ะก็<br>จะให้ข้าทุ่มพลังแค่ไหนก็ได้"""
GOTOEXP_FAV3#6,"""ได้ซิ วางใจข้าได้เลย"""
GOTOEXP_FAV2#6,"""ถ้าอย่างนั้นไปล่ะนะ"""
GOTOEXP_FAV1#6,"""GOTOEXP_FAV1<br>Debgu_error"""
GOTOEXP_FAV0#6,"""HELLO_REPORT_FAV0<br>Debgu_error"""
HELLO_REPORT_FAV4#6,"""กำลังรออยู่เลย <br>ช่วยฟังรายงานหน่อยได้มั้ย"""
HELLO_REPORT_FAV3#6,"""เพิ่งเคลียร์ไปงานนึงพอดีเลย"""
HELLO_REPORT_FAV2#6,"""ข้ามีเรื่องอยากรายงานน่ะ"""
HELLO_REPORT_FAV1#6,"""HELLO_REPORT_FAV1<br>Debgu_error"""
HELLO_REPORT_FAV0#6,"""HELLO_REPORT_FAV0<br>Debgu_error"""
HELLO_OTHER#6,"""มาจนได้นะ"""
GOODBYE_OTHER#6,"""จะมาเมื่อไรก็ได้นะ"""
HELLO_FAV4#7,"""あまり待たせないで欲しいな"""
HELLO_FAV3#7,"""フッ……元気なようだな"""
HELLO_FAV2#7,"""戻ってきたか"""
HELLO_FAV1#7,"""HELLO_FAV1<br>Debgu_error"""
HELLO_FAV0#7,"""HELLO_FAV0<br>Debgu_error"""
GOODBYE_FAV4#7,"""もう行くのか？<br>無理だけはするなよ"""
GOODBYE_FAV3#7,"""気をつけろよ"""
GOODBYE_FAV2#7,"""では、また次の機会に"""
GOODBYE_FAV1#7,"""GOODBYE_FAV1<br>Debgu_error"""
GOODBYE_FAV0#7,"""GOODBYE_FAV0<br>Debgu_error"""
GOTOEXP_FAV4#7,"""お前のためなら<br>この力、如何様にでも"""
GOTOEXP_FAV3#7,"""いいだろう、任せておけ"""
GOTOEXP_FAV2#7,"""それでは、出撃する"""
GOTOEXP_FAV1#7,"""GOTOEXP_FAV1<br>Debgu_error"""
GOTOEXP_FAV0#7,"""HELLO_REPORT_FAV0<br>Debgu_error"""
HELLO_REPORT_FAV4#7,"""待っていたぞ。<br>報告、聞いてもらえるか"""
HELLO_REPORT_FAV3#7,"""ちょうど一段落したところだ。"""
HELLO_REPORT_FAV2#7,"""報告したいことがある"""
HELLO_REPORT_FAV1#7,"""HELLO_REPORT_FAV1<br>Debgu_error"""
HELLO_REPORT_FAV0#7,"""HELLO_REPORT_FAV0<br>Debgu_error"""
HELLO_OTHER#7,"""よく来たな"""
GOODBYE_OTHER#7,"""いつでも来るといい"""
HELLO_FAV4#8,"""แหะๆ กำลังรออยู่เลย!"""
HELLO_FAV3#8,"""ไง สบายดีเหรอ!"""
HELLO_FAV2#8,"""ว่างายยย!"""
HELLO_FAV1#8,"""HELLO_FAV1<br>Debgu_error"""
HELLO_FAV0#8,"""HELLO_FAV0<br>Debgu_error"""
GOODBYE_FAV4#8,"""อยู่ต่ออีกหน่อยก็ได้น่า!"""
GOODBYE_FAV3#8,"""ระวังตัวด้วยน้า!"""
GOODBYE_FAV2#8,"""แล้วเจอกัน!"""
GOODBYE_FAV1#8,"""GOODBYE_FAV1<br>Debgu_error"""
GOODBYE_FAV0#8,"""GOODBYE_FAV0<br>Debgu_error"""
GOTOEXP_FAV4#8,"""โอเคโอเค!<br>เชื่อมือฉันได้เลย!"""
GOTOEXP_FAV3#8,"""เอาล่ะ จะลุยล่ะนะ!"""
GOTOEXP_FAV2#8,"""รับทราบ!"""
GOTOEXP_FAV1#8,"""GOTOEXP_FAV1<br>Debgu_error"""
GOTOEXP_FAV0#8,"""HELLO_REPORT_FAV0<br>Debgu_error"""
HELLO_REPORT_FAV4#8,"""อ๊ะ มาแล้วๆ!<br>ฟังหน่อยสิ มีรายงานจะแจ้งน่ะ!"""
HELLO_REPORT_FAV3#8,"""มาได้จังหวะพอดีเลย!<br>ทางนี้ก็เพิ่งเคลียร์ไปงานนึงเหมือนกัน!"""
HELLO_REPORT_FAV2#8,"""ขอแจ้งรายงานหน่อยได้มั้ย?"""
HELLO_REPORT_FAV1#8,"""HELLO_REPORT_FAV1<br>Debgu_error"""
HELLO_REPORT_FAV0#8,"""HELLO_REPORT_FAV0<br>Debgu_error"""
HELLO_OTHER#8,"""ไง!"""
GOODBYE_OTHER#8,"""แล้วเจอกันนะ!"""
HELLO_FAV4#9,"""へへっ、待ってたぜ！"""
HELLO_FAV3#9,"""よっ、元気かー！"""
HELLO_FAV2#9,"""やっほー！"""
HELLO_FAV1#9,"""HELLO_FAV1<br>Debgu_error"""
HELLO_FAV0#9,"""HELLO_FAV0<br>Debgu_error"""
GOODBYE_FAV4#9,"""もっとゆっくりしてけよー！"""
GOODBYE_FAV3#9,"""気をつけてなー！"""
GOODBYE_FAV2#9,"""そんじゃー！"""
GOODBYE_FAV1#9,"""GOODBYE_FAV1<br>Debgu_error"""
GOODBYE_FAV0#9,"""GOODBYE_FAV0<br>Debgu_error"""
GOTOEXP_FAV4#9,"""オッケーオッケー！<br>オレに任せとけって！"""
GOTOEXP_FAV3#9,"""よっしゃ、やってやるぜー！"""
GOTOEXP_FAV2#9,"""りょーかいっ！"""
GOTOEXP_FAV1#9,"""GOTOEXP_FAV1<br>Debgu_error"""
GOTOEXP_FAV0#9,"""HELLO_REPORT_FAV0<br>Debgu_error"""
HELLO_REPORT_FAV4#9,"""おっ、来た来た！<br>聞いてくれよ、報告があるんだ！"""
HELLO_REPORT_FAV3#9,"""いいタイミング！<br>こっちも一段落ってところだ！"""
HELLO_REPORT_FAV2#9,"""報告、してもいいか？"""
HELLO_REPORT_FAV1#9,"""HELLO_REPORT_FAV1<br>Debgu_error"""
HELLO_REPORT_FAV0#9,"""HELLO_REPORT_FAV0<br>Debgu_error"""
HELLO_OTHER#9,"""よっ！"""
GOODBYE_OTHER#9,"""またなー！"""
HELLO_FAV4#10,"""รอท่านมาตลอดเลย"""
HELLO_FAV3#10,"""เห็นท่านสบายดีก็ไม่มีอะไรแล้ว"""
HELLO_FAV2#10,"""สวัสดี"""
HELLO_FAV1#10,"""HELLO_FAV1<br>Debgu_error"""
HELLO_FAV0#10,"""HELLO_FAV0<br>Debgu_error"""
GOODBYE_FAV4#10,"""จะไปแล้วเหรอ?"""
GOODBYE_FAV3#10,"""ระวังด้วยนะคะ ขอให้โชคดี"""
GOODBYE_FAV2#10,"""แล้วพบกันใหม่"""
GOODBYE_FAV1#10,"""GOODBYE_FAV1<br>Debgu_error"""
GOODBYE_FAV0#10,"""GOODBYE_FAV0<br>Debgu_error"""
GOTOEXP_FAV4#10,"""ให้ข้าจัดการเอง<br>ข้าอยากเป็นกำลังให้กับท่าน"""
GOTOEXP_FAV3#10,"""เข้าใจแล้ว<br>จะพยายามเต็มที่เลย"""
GOTOEXP_FAV2#10,"""รับทราบ<br>ถ้าอย่างนั้นไปก่อนนะ"""
GOTOEXP_FAV1#10,"""GOTOEXP_FAV1<br>Debgu_error"""
GOTOEXP_FAV0#10,"""HELLO_REPORT_FAV0<br>Debgu_error"""
HELLO_REPORT_FAV4#10,"""ยินดีต้อนรับกลับมา<br>เอ่อ.....ขอเวลาหน่อยได้ไหม?<br>ข้ามีรายงานที่อยากแจ้งน่ะ"""
HELLO_REPORT_FAV3#10,"""ทางนี้เพิ่งเสร็จไปหนึ่งงานพอดีเลยค่ะ"""
HELLO_REPORT_FAV2#10,"""มีรายงานจะแจ้ง"""
HELLO_REPORT_FAV1#10,"""HELLO_REPORT_FAV1<br>Debgu_error"""
HELLO_REPORT_FAV0#10,"""HELLO_REPORT_FAV0<br>Debgu_error"""
HELLO_OTHER#10,"""เชิญ"""
GOODBYE_OTHER#10,"""แล้วพบกันใหม่"""
HELLO_FAV4#11,"""ずっと、待っていましたよ"""
HELLO_FAV3#11,"""お元気そうで、何よりです"""
HELLO_FAV2#11,"""こんにちは"""
HELLO_FAV1#11,"""HELLO_FAV1<br>Debgu_error"""
HELLO_FAV0#11,"""HELLO_FAV0<br>Debgu_error"""
GOODBYE_FAV4#11,"""もう行かれてしまうんですか？"""
GOODBYE_FAV3#11,"""気をつけて、いってらっしゃい"""
GOODBYE_FAV2#11,"""それでは、また"""
GOODBYE_FAV1#11,"""GOODBYE_FAV1<br>Debgu_error"""
GOODBYE_FAV0#11,"""GOODBYE_FAV0<br>Debgu_error"""
GOTOEXP_FAV4#11,"""私に任せて下さい。<br>貴方の力に、なりたいんです"""
GOTOEXP_FAV3#11,"""はい、わかりました。<br>全力を尽くしますね"""
GOTOEXP_FAV2#11,"""承りました。<br>それでは、行ってきます"""
GOTOEXP_FAV1#11,"""GOTOEXP_FAV1<br>Debgu_error"""
GOTOEXP_FAV0#11,"""HELLO_REPORT_FAV0<br>Debgu_error"""
HELLO_REPORT_FAV4#11,"""おかえりなさい。<br>あの……少しよろしいですか？<br>報告したいことがありまして"""
HELLO_REPORT_FAV3#11,"""こちら、ちょうど一段落したところです"""
HELLO_REPORT_FAV2#11,"""報告があります"""
HELLO_REPORT_FAV1#11,"""HELLO_REPORT_FAV1<br>Debgu_error"""
HELLO_REPORT_FAV0#11,"""HELLO_REPORT_FAV0<br>Debgu_error"""
HELLO_OTHER#11,"""いらっしゃいませ"""
GOODBYE_OTHER#11,"""では、また"""
HELLO_FAV4#12,"""รอตั้งนานแน่ะ!"""
HELLO_FAV3#12,"""โอ้ ท่าทางสบายดีนะ!"""
HELLO_FAV2#12,"""สวัสดี!"""
HELLO_FAV1#12,"""HELLO_FAV1<br>Debgu_error"""
HELLO_FAV0#12,"""HELLO_FAV0<br>Debgu_error"""
GOODBYE_FAV4#12,"""เอ๊ จะไปแล้วเหรอ?"""
GOODBYE_FAV3#12,"""ระวังตัวด้วยนะ!"""
GOODBYE_FAV2#12,"""แล้วเจอกันใหม่!"""
GOODBYE_FAV1#12,"""GOODBYE_FAV1<br>Debgu_error"""
GOODBYE_FAV0#12,"""GOODBYE_FAV0<br>Debgu_error"""
GOTOEXP_FAV4#12,"""ให้ข้าจัดการเอง!<br>เพื่อท่านแล้ว ข้าจะพยายามเต็มที่!"""
GOTOEXP_FAV3#12,"""เอาล่ะ สู้ตาย!"""
GOTOEXP_FAV2#12,"""โอเคๆ รับทราบ!"""
GOTOEXP_FAV1#12,"""GOTOEXP_FAV1<br>Debgu_error"""
GOTOEXP_FAV0#12,"""HELLO_REPORT_FAV0<br>Debgu_error"""
HELLO_REPORT_FAV4#12,"""เย้ มาแล้วๆ!<br>นี่ๆ ฟังรายงานหน่อยนะ!"""
HELLO_REPORT_FAV3#12,"""เพิ่งเคลียร์ไปงานนึงพอดี! <br>รายงานเลยดีมั้ยน้า!"""
HELLO_REPORT_FAV2#12,"""รายงานเลยได้มั้ยเนี่ย?"""
HELLO_REPORT_FAV1#12,"""HELLO_REPORT_FAV1<br>Debgu_error"""
HELLO_REPORT_FAV0#12,"""HELLO_REPORT_FAV0<br>Debgu_error"""
HELLO_OTHER#12,"""เชิญ!"""
GOODBYE_OTHER#12,"""แล้วเจอกันใหม่น้า!"""
HELLO_FAV4#13,"""待ってたよーっ！"""
HELLO_FAV3#13,"""おおっ、元気そうだね！"""
HELLO_FAV2#13,"""こんちわーっ！"""
HELLO_FAV1#13,"""HELLO_FAV1<br>Debgu_error"""
HELLO_FAV0#13,"""HELLO_FAV0<br>Debgu_error"""
GOODBYE_FAV4#13,"""えー、もう行っちゃうのー？"""
GOODBYE_FAV3#13,"""気をつけてねっ！"""
GOODBYE_FAV2#13,"""それじゃっ！"""
GOODBYE_FAV1#13,"""GOODBYE_FAV1<br>Debgu_error"""
GOODBYE_FAV0#13,"""GOODBYE_FAV0<br>Debgu_error"""
GOTOEXP_FAV4#13,"""あたしにお任せ！<br>あなたのために、頑張っちゃうよー！"""
GOTOEXP_FAV3#13,"""よーし、がんばっちゃうぞー！"""
GOTOEXP_FAV2#13,"""はいはいっ、りょーかい！"""
GOTOEXP_FAV1#13,"""GOTOEXP_FAV1<br>Debgu_error"""
GOTOEXP_FAV0#13,"""HELLO_REPORT_FAV0<br>Debgu_error"""
HELLO_REPORT_FAV4#13,"""やーっ、来た来た！<br>聞いて聞いて、報告聞いて！"""
HELLO_REPORT_FAV3#13,"""ちょうど一段落！<br>報告、しちゃおっかなー！"""
HELLO_REPORT_FAV2#13,"""報告していいかなっ？"""
HELLO_REPORT_FAV1#13,"""HELLO_REPORT_FAV1<br>Debgu_error"""
HELLO_REPORT_FAV0#13,"""HELLO_REPORT_FAV0<br>Debgu_error"""
HELLO_OTHER#13,"""いらっしゃーい！"""
GOODBYE_OTHER#13,"""それじゃまったねー！"""
HELLO_FAV4#14,"""...ช้าจัง<br>ถ้าจะมาก็มาให้เร็วกว่านี้หน่อยสิ<br>คนเขาเป็นห่วงนะ"""
HELLO_FAV3#14,"""อ่า...ปลอดภัยก็ดีแล้วล่ะ"""
HELLO_FAV2#14,"""...หึ ท่าทางสบายดีนะ"""
HELLO_FAV1#14,"""HELLO_FAV1<br>Debgu_error"""
HELLO_FAV0#14,"""HELLO_FAV0<br>Debgu_error"""
GOODBYE_FAV4#14,"""อะไรกัน จะไปแล้วเหรอ...?<br>กะ...ก็ไม่ได้เป็นห่วงอะไรซะหน่อย!"""
GOODBYE_FAV3#14,"""ถ้าจะไปก็ตามใจละกัน <br>.....ระวังตัวด้วยล่ะ"""
GOODBYE_FAV2#14,"""อ่า.....แล้วเจอกัน"""
GOODBYE_FAV1#14,"""GOODBYE_FAV1<br>Debgu_error"""
GOODBYE_FAV0#14,"""GOODBYE_FAV0<br>Debgu_error"""
GOTOEXP_FAV4#14,"""....ก็ไม่ได้มีอะไรหรอก <br>แต่ในเมื่อเจ้าขอร้อง ข้าทำให้ก็ได้<br>วางใจข้าได้เลย"""
GOTOEXP_FAV3#14,"""...วางใจข้าเถอะ<br>ถ้าจะทำต้องทำให้เต็มที่อยู่แล้ว"""
GOTOEXP_FAV2#14,"""...รับทราบ<br>จะออกปฏิบัติการเดี๋ยวนี้"""
GOTOEXP_FAV1#14,"""GOTOEXP_FAV1<br>Debgu_error"""
GOTOEXP_FAV0#14,"""HELLO_REPORT_FAV0<br>Debgu_error"""
HELLO_REPORT_FAV4#14,"""...ช้าจริง!<br>คนอยากจะรีบแจ้งรายงานแท้ๆ!<br>...ยะ...ยังไงก็อยากให้ช่วยฟังหน่อย"""
HELLO_REPORT_FAV3#14,"""หึ......ทางนี้ก็เสร็จไปงานนึงแล้ว<br>จะช่วยฟังรายงานหน่อยได้มั้ยล่ะ?"""
HELLO_REPORT_FAV2#14,""".....มีรายงานจะแจ้งน่ะ"""
HELLO_REPORT_FAV1#14,"""HELLO_REPORT_FAV1<br>Debgu_error"""
HELLO_REPORT_FAV0#14,"""HELLO_REPORT_FAV0<br>Debgu_error"""
HELLO_OTHER#14,""".....มาจนได้นะ"""
GOODBYE_OTHER#14,"""หึ...แล้วเจอกันใหม่"""
HELLO_FAV4#15,"""……遅い。<br>来るならもっと早く来い<br>心配するだろ"""
HELLO_FAV3#15,"""あ……無事なら、いい"""
HELLO_FAV2#15,"""……ふん、元気そうだな"""
HELLO_FAV1#15,"""HELLO_FAV1<br>Debgu_error"""
HELLO_FAV0#15,"""HELLO_FAV0<br>Debgu_error"""
GOODBYE_FAV4#15,"""なんだよ、もう行くのか……？<br>べ、別に心配なんかしてない！"""
GOODBYE_FAV3#15,"""行くなら勝手にしろ。<br>……気をつけてな"""
GOODBYE_FAV2#15,"""あ……じゃあ、またな"""
GOODBYE_FAV1#15,"""GOODBYE_FAV1<br>Debgu_error"""
GOODBYE_FAV0#15,"""GOODBYE_FAV0<br>Debgu_error"""
GOTOEXP_FAV4#15,"""……他ならない<br>お前の頼みだ、やってやる。<br>わたしに、任せておけ"""
GOTOEXP_FAV3#15,"""……任せとけ。<br>やるからには全力だ"""
GOTOEXP_FAV2#15,"""……了解した。<br>これから出撃する"""
GOTOEXP_FAV1#15,"""GOTOEXP_FAV1<br>Debgu_error"""
GOTOEXP_FAV0#15,"""HELLO_REPORT_FAV0<br>Debgu_error"""
HELLO_REPORT_FAV4#15,"""……遅い！<br>早く報告したかったのに！<br>……と、とにかく聞いて欲しい"""
HELLO_REPORT_FAV3#15,"""ふん……こっちも一段落だよ。<br>報告、聞いていってくれるか？"""
HELLO_REPORT_FAV2#15,"""……報告があるんだけど"""
HELLO_REPORT_FAV1#15,"""HELLO_REPORT_FAV1<br>Debgu_error"""
HELLO_REPORT_FAV0#15,"""HELLO_REPORT_FAV0<br>Debgu_error"""
HELLO_OTHER#15,"""……よく来たな"""
GOODBYE_OTHER#15,"""ふん……それじゃあな"""
HELLO_FAV4#16,"""หึๆ กำลังรออยู่เลย<br>วันนี้จะคุยเรื่องอะไรดีล่ะ?"""
HELLO_FAV3#16,"""เป็นไงบ้าง? บาดเจ็บตรงไหนรึเปล่า?"""
HELLO_FAV2#16,"""ข้าสบายดีอยู่แล้ว"""
HELLO_FAV1#16,"""HELLO_FAV1<br>Debgu_error"""
HELLO_FAV0#16,"""HELLO_FAV0<br>Debgu_error"""
GOODBYE_FAV4#16,"""เอ๊ะ จะไปแล้วเหรอ?<br>.....แต่ก็ช่วยไม่ได้นี่นะ<br>อื้อ พยายามเข้านะ!"""
GOODBYE_FAV3#16,"""ไม่ต้องเป็นห่วงข้าหรอก<br>ระวังตัวด้วยนะ ขอให้โชคดึ"""
GOODBYE_FAV2#16,"""โชคดีนะ"""
GOODBYE_FAV1#16,"""GOODBYE_FAV1<br>Debgu_error"""
GOODBYE_FAV0#16,"""GOODBYE_FAV0<br>Debgu_error"""
GOTOEXP_FAV4#16,"""ถ้าเพื่อท่านล่ะก็.....<br>ไม่ว่าเรื่องอะไรข้าก็จะทำให้!"""
