ContentMenu_None#0,"""กำลังส่ง..."""
PrizeExchangeMenu_2#0,"""限定景品と交換"""
PrizeExchangeMenuExit#0,"""カウンターを出る"""
PrizeExchangeList#0,"""景品リスト"""
PrizeExchangeTotalCoin#0,"""合計枚数"""
PrizeExchangeItemPack#0,"""アイテムバック"""
PrizeExchangeExchange#0,"""交換"""
PrizeExchangeSort#0,"""標準ソート"""
PrizeExchangeDetails#0,"""アイテム詳細"""
PrizeExchangeRadioButton#0,"""装備可のみ"""
simpleinput#0,"""<pict Sign_SQUARE>簡易入力"""
PrizeExchangeCoin#0,"""$(0)<pict AmusementCoin>"""
PrizeExchangeCoinRed#0,"""<red>$(0)<c><pict AmusementCoin>"""
ExchangeCheckTitle#0,"""交換確認"""
ExchangeCheckMessage#0,"""以下のアイテムを、$(0)<pict AmusementCoin>で交換します。<br>よろしいですか？<br>"""
ExchangeLimitCheckMessage#0,"""以下のアイテムを、$(0)<pict AmusementCoin>で交換します。<br>よろしいですか？<br>（交換回数は、毎週水曜日１３時にリセット）"""
PreExchangeLimitMessage#0,"""交換回数が上限を超えています。<br>期間を空けて、またお越しください。<br>（交換回数は、毎週水曜日１３時にリセット）"""
ExchangeLimitMessage#0,"""交換回数の上限を超えているので、<br>交換できませんでした。"""
ExchangeCancelTitle#0,"""交換キャンセル確認"""
ExchangeCancelMessage#0,"""交換をキャンセルします。<br>よろしいですか？"""
ExchangeCoinInsufficient#0,"""カジノコインが不足しています。"""
ExchangeResultTitle#0,"""アイテム交換"""
ExchangeResultMessage1#0,"""アイテムを交換しました。"""
ExchangeResultMessage2#0,"""アイテムを交換できませんでした。"""
title_big_gacha#0,"""コインエクスチェンジャー"""
2gide_big_gacha#0,"""<c f0df60>カジノコインパス１枚で１回まわすことができ、カジノコインが当たります。<c>"""
content_big_gacha#0,"""コインエクスチェンジャー"""
mawasu_gacha#0,"""コインエクスチェンジャーを回す"""
Play_1Time#0,"""1回まわす"""
Play_5Time#0,"""5回まわす"""
Return#0,"""戻る"""
PrizeInfo#0,"""景品情報"""
PosCoin#0,"""獲得カジノコイン"""
PlayConfirmTitle#0,"""確認"""
PlayConfirm#0,"""カジノコインパスを$(0)枚使用します。<br>よろしいですか？<br><br>(所持コインパス：$(1)枚)"""
CoinPassMiss#0,"""カジノコインパスが不足しています。"""
SystemError#0,"""交換できませんでした。"""
SuccessMessage#0,"""以下のカジノコインが当たりました。"""
ExplainMessage#0,"""$(0)～$(1)<pict AmusementCoin>"""
ExplainMessage2#0,"""$(0)～$(1)<pict AmusementCoin>(キャンペーン中)"""
Step_1#0,"""<c ffffff>$(0)<c><pict AmusementCoin>を獲得しました。"""
Step_2#0,"""<c 00ff00>$(0)<c><pict AmusementCoin>を獲得しました。"""
Step_3#0,"""<c ffa800>$(0)<c><pict AmusementCoin>を獲得しました。"""
Step_4#0,"""<c ffff00>$(0)<c><pict AmusementCoin>を獲得しました。"""
CoinPlayMax#0,"""所持カジノコインは、<br>$(0)を超えた分は所持することができません。<br>それでも、まわしますか？"""
react_red1#0,"""とても美味しい味がした。\u3000(◇◇◇◇◇)"""
react_red2#0,"""自分好みの味がした。\u3000(◇◇◇◇)"""
react_red3#0,"""良くも悪くもない味がした。\u3000(◇◇◇)"""
react_red4#0,"""好みではない味がした。\u3000(◇◇)"""
react_red5#0,"""とても微妙な味がした。\u3000(◇)"""
react_blue1#0,"""晴れやかな気分だ。\u3000(♪♪♪♪♪)"""
react_blue2#0,"""さわやかな気分だ。\u3000(♪♪♪♪)"""
react_blue3#0,"""いつもと同じの気分だ。\u3000(♪♪♪)"""
react_blue4#0,"""イマイチな気分だ。\u3000(♪♪)"""
react_blue5#0,"""グッタリした気分だ。\u3000(♪)"""
react_purple1#0,"""今の運勢は：大吉！！\u3000(☆☆☆☆☆)"""
react_purple2#0,"""今の運勢は：中吉！\u3000(☆☆☆☆)"""
react_purple3#0,"""今の運勢は：吉\u3000(☆☆☆)"""
react_purple4#0,"""今の運勢は：末吉！\u3000(☆☆)"""
react_purple5#0,"""今の運勢は：凶！！\u3000(☆)"""
title_shooter#0,"""メセタンシューター"""
2gide_shooter#0,"""<c f0df60>最大４人プレイでメセタンシューターを遊ぶことができます。<c>"""
2gide_shooter_item#0,"""<c f0df60>$(0)<pict AmusementCoin>で$(1)倍<c>"""
content_shooter#0,"""メセタンシューター"""
shooter_help#0,"""射撃：<%NormalAttack> 移動：左スティック カメラ操作：右スティック 途中で退席：<%MainMenu>"""
shooter_help_key#0,"""射撃：<%NormalAttack> 移動：<%MoveLeft>/<%MoveRight> カメラ操作：マウス移動 途中で退席：Esc"""
away_confirmation#0,"""退席確認"""
away_button#0,"""退席する"""
shooter_result#0,"""シューターリザルト"""
shooter_result_comment#0,"""メセタンシューターを続けますか？"""
acquisition_cc#0,"""獲得<pict AmusementCoin>"""
possession_cc#0,"""合計所持<pict AmusementCoin>"""
rate_1#0,"""ブロンズ"""
rate_2#0,"""シルバー"""
rate_3#0,"""ゴールド"""
shooter_menu_item#0,"""$(0)モードでプレイ"""
cc_with_icon#0,"""$(0)<pict AmusementCoin>"""
shooter_result_item#0,"""$(0)<pict AmusementCoin>でプレイ（$(1)モード）"""
contents_info_title#0,"""メセタンシューター情報"""
contents_info#0,"""\u3000"""
contents_info_rate#0,"""$(0)モード"""
player_num#0,"""プレイヤー人数\u3000$(1)／$(0)"""
shooter_menu_message#0,"""$(0)<pict AmusementCoin>で<br>メセタンシューターを遊びます。<br>よろしいですか？<br><br>（所持<pict AmusementCoin>：$(1)）"""
shooter_menu_coin_message#0,"""所持カジノコインが不足しています。"""
away_message#0,"""退席します。<br>獲得したコインを清算します。<br><br>よろしいですか？"""
line_message#0,"""WAITING…<br>現在のWAVEが終わるまでお待ちください。"""
toast_playing#0,"""他のプレイヤーが遊んでいるため、遊べません。"""
toast_burst_failed#0,"""他のプレイヤーがPSEバースト中です。しばらくお待ちください。"""
toast_coin_message#0,"""コインが足りないのでゲームを終了しました"""
title_slot#0,"""ラッピースロット"""
2gide_slot#0,"""<c f0df60>ラッピースロットを遊ぶことができます<c>"""
content_slot#0,"""ラッピースロット"""
bet_maisu#0,"""BET枚数"""
Coin#1,"""所持カジノコイン"""
slot_tonyu#0,"""投入"""
slot_help#0,"""投入\u3000\u3000\u3000\u3000\u3000/← →<br>スタート\u3000\u3000\u3000/Enter<br>スロットを終了/Esc<br>配当表を見る\u3000/End<br>ヘルプ\u3000\u3000\u3000\u3000/Home"""
slot_haitohyo#0,"""配当表"""
SlotInfo#0,"""基本情報"""
SlotBonus#0,"""ボーナスゲーム当選回数"""
SlotMeter#0,"""ラッピーメーター"""
SlotJackpot#0,"""JACKPOT"""
SlotMenuPlay#0,"""プレイする"""
SlotMenuBack#0,"""戻る"""
SlotMenuTitle#0,"""ラッピースロット情報"""
BasicInfo#0,"""1プレイ 1～5<pict AmusementCoin>"""
BonusNum#0,"""$(0)回"""
RappyOn#0,"""<pict slot_rappy_on>"""
RappyOff#0,"""<pict slot_rappy_off>"""
EndConfirmTitle#0,"""終了確認"""
EndConfirm#0,"""ラッピースロットを終了します。<br>よろしいですか？"""
CoinNum#0,"""$(0)<pict AmusementCoin>"""
InfoCoinNum#0,"""x $(0)"""
InfoStr00#0,"""+bounsgame"""
InfoStr01#0,"""meter+1"""
InfoCoin_01#0,"""x100"""
InfoCoin_02#0,"""x 30"""
InfoCoin_03#0,"""x 15"""
InfoCoin_04#0,"""x10"""
InfoCoin_05#0,"""x 8"""
InfoCoin_06#0,"""x 5"""
InfoCoin_07#0,"""x 3"""
Help_00#0,"""投入"""
Help_01#0,"""スタート"""
Help_02#0,"""配当表"""
Help_03#0,"""終了"""
Help_04#0,"""チャット"""
Help_10#0,"""[↑][↓]キー"""
Help_10a#0,"""<pict Alpha_UP><pict Alpha_DOWN>"""
Help_10b#0,"""<pict Sign_UP><pict Sign_DOWN>"""
Help_10c#0,"""<pict Number_UP><pict Number_DOWN>"""
Help_11#0,"""<%Decide>"""
Help_12#0,"""[End]キー"""
Help_12a#0,"""<pict Alpha_X>"""
Help_12b#0,"""<pict Sign_SQUARE>"""
Help_12c#0,"""<pict Number_3>"""
Help_13#0,"""<%Cancel>/[ESC]キー"""
Help_13a#0,"""<%Cancel>"""
Help_14#0,"""<pict Sign_SELECT>"""
SlotInitMsg#0,"""-,---,---"""
NoCoinTitle#0,"""所持カジノコインエラー"""
NoCoinMessage#0,"""所持カジノコインが不足しているため、<br>プレイすることができません。"""
WaitLongMsg#0,"""一定時間ラッピースロットがプレイされなかったため退席しました。"""
ChanceModeExplanation#0,"""/mn17 きゅー♪フリースピンに突入っきゅ！Wild図柄出現確率上昇中！<br>期待期待、きゅっきゅっきゅー！"""
BonusModeExplanation#0,"""/mn38 ここが勝負の掛け所っきゅ！<br>ラッPSEバースト中は出現したWild図柄がホールドされるっきゅ！"""
JackpotText#0,"""/mn22 /toge $(0)！<br>きゅーっ！\u3000すごい！\u3000きゅきゅきゅーっ！"""
TipsText0#0,"""/mn9 Wild図柄は、どの図柄としても判定される特別な図柄っきゅ！"""
TipsText1#0,"""/mn1 足跡マークはハズレなの……きゅう。"""
TipsText2#0,"""/mn9 ラッピーメーターが５つ溜まったら、<br>タイミングよくWild図柄を狙うっきゅ！"""
TipsText3#0,"""/mn9 ラッPSEチャンスは、真ん中がWild図柄でホールドされるチャンスモードっきゅ！"""
TipsText4#0,"""/mn9 ラッPSEバーストはWild図柄が出現するとホールドされるっきゅ！<br>いっぱいWild図柄が出るとゲキアツっきゅ！"""
TipsText5#0,"""/mn9 Wild図柄が全て揃ったらジャックポット！\u3000きゅきゅきゅ！"""
TipsText6#0,"""/mn9 ジャックポットはみんながプレイする度に<br>コインが溜まっていくっきゅ！"""
TipsText7#0,"""/mn9 当たりやすい台と当たりにくい台がある<br>みたい……この台は、きっと、大丈夫だきゅっ！"""
TipsText8#0,"""/mn9 BET枚数に応じて払い出し枚数が<br>倍になるっきゅ！"""
TipsText9#0,"""/mn9 ラッPSEチャンスとラッPSEバーストは<br>突入時のBET枚数を維持したフリースピンきゅ！"""
TipsText10#0,"""/mn16 /moya 今日も当ててラッピー日和！\u3000きゅっきゅっ！"""
TipsText11#0,"""/moya /mn4 当たってお願いきゅっきゅっきゅー！"""
TipsText12#0,"""/mn15 勝つまでやれば、負けはない、きゅきゅ！"""
TipsText13#0,"""/mn7 ラッピーの神様、お願いしますっきゅ！"""
TipsText14#0,"""/mn10 大当たりしたら、景品もらい放題だきゅっ！"""
TipsText15#0,"""/mn20 きゅっきゅっ！\u3000そろそろ流れが来そう！"""
TipsText16#0,"""ラッPSEチャンスに入りたい！\u3000きゅきゅ！"""
TipsText17#0,"""ラッPSEバーストまで行けば……<br>きゅきゅきゅっ！"""
TipsText18#0,"""/mn1 きゅぅ……ぐるぐる回るの早すぎて<br>目押しがとっても難しい。きゅきゅ"""
TipsText19#0,"""/moya ジャックポット、一度は見てみたい！<br>きゅきゅっ！"""
TopMenu#0,"""メニュー"""
MenuSlot#0,"""スロット"""
MenuShooter#0,"""シューター"""
SubMenuSlot#0,"""スロットメニュー"""
SlotAnimeTest#0,"""アニメテスト"""
SlotInfoTest#0,"""情報表示テスト"""
SubMenuGacha#0,"""コインエクスチェンジャー"""
SlotInfo_01#0,"""BET設定"""
SlotInfo_02#0,"""スタート"""
SlotInfo_03#0,"""配当表"""
SlotInfo_04#0,"""終了"""
access#0,"""現在のジャックポットは$(0)枚です。"""
balloon_help#0,"""<%PhotonArts>で降りる。"""
